MS ID	Old MS ID	External ID	Source
rxn03040|rxn18677			name
rxn00159|rxn00161|rxn27982		'malic' enzyme	name
rxn19486		((+/-))-5-[(tert-butylamino)-2'-hydroxypropoxy]-1,2,3,4-tetrahydro-1-naphthol:NADP+ oxidoreductase	name
rxn16997		((+/-))-trans-acenaphthene-1,2-diol:NADP+ oxidoreductase	name
	rxn02702	((6S)-hydroxylating)	name
rxn07464		(+)-(10R)-germacrene A synthase	name
rxn18025		(+)-(1S,4R)-limonene-1,2- epoxide hydrolase	name
rxn22400		(+)-2-epi-prezizaene synthase	name
rxn16810		(+)-3-carene	name
rxn04981|rxn27468		(+)-ABA 8'-hydroxylase	name
rxn01469	rxn01469	(+)-Bornyl-diphosphate lyase (decyclizing)	name
rxn00177		(+)-CMA-CoA lyase	name
	rxn06496	(+)-Camphor,reduced-putidaredoxin:oxygen oxidoreductase	name
rxn06496		(+)-Camphor,reduced-putidaredoxin:oxygen oxidoreductase (5-hydroxylating)	name
	rxn06589	(+)-Camphor,reduced-rubredoxin:oxygen oxidoreductase	name
rxn06589		(+)-Camphor,reduced-rubredoxin:oxygen oxidoreductase (1,2-lactonizing)	name
rxn15607	rxn01490	(+)-Copalyl-diphosphate lyase (decyclizing)	name
rxn14129		(+)-MFS	name
rxn04282	rxn04281|rxn04282	(+)-Pulegone reductase	name
rxn16736		(+)-T-muurolol synthase	name
rxn04981|rxn27468		(+)-abscisic acid 8'-hydroxylase	name
rxn16456		(+)-alpha-barbatene synthase	name
rxn16820		(+)-alpha-pinene synthase	name
rxn22970		(+)-alpha-santalene monooxygenase	name
rxn16450		(+)-alpha-santalene synthase [(2Z,6Z)-farnesyl diphosphate cyclizing]	name
rxn16814		(+)-alpha-terpineol synthase	name
rxn16676		(+)-beta-caryophyllene hydrolase [cyclizing, (+)-caryolan-1-ol-forming]	name
rxn16727		(+)-beta-caryophyllene synthase	name
rxn16821		(+)-beta-pinene synthase	name
rxn02110		(+)-borneol dehydrogenase	name
rxn02110	rxn02110	(+)-borneol:NAD+ oxidoreductase	name
rxn12170		(+)-bornyl diphosphate hydrolase	name
rxn01469		(+)-bornyl diphosphate synthase	name
rxn01469		(+)-bornyl-diphosphate lyase (decyclizing)	name
rxn01469		(+)-bornylpyrophosphate cyclase	name
rxn16817		(+)-camphene synthase	name
rxn23584		(+)-camphor 6-endo-hydroxylase	name
rxn23582|rxn23583		(+)-camphor 6-exo-hydroxylase	name
rxn20737		(+)-camphor,reduced putidaredoxin:oxygen oxidoreductase (5-hydroxylating)	name
rxn19250		(+)-camphor,reduced-rubredoxin:oxygen oxidoreductase (1,2-lactonizing)	name
rxn16810		(+)-car-3-ene synthase	name
rxn16676		(+)-caryolan-1-ol synthase	name
rxn02899	rxn02899	(+)-cis-3,4-dihydrophenanthrene-3,4-diol:NAD+ 3,4-oxidoreductase	name
rxn04280	rxn04280	(+)-cis-Isopulegone isomerase	name
rxn02659	rxn02659	(+)-cis-Sabinol:NAD+ oxidoreductase	name
rxn14271	rxn14271	(+)-cis-isopulegone:NADP+ oxidoreductase	name
rxn02877		(+)-cis-naphthalene dihydrodiol dehydrogenase	name
rxn02659		(+)-cis-sabinol dehydrogenase	name
rxn02659		(+)-cis-sabinol:NAD+ oxidoreductase	name
rxn02622		(+)-citramalate hydro-lyase	name
rxn00234		(+)-citramalate pyruvate-lyase	name
rxn02622		(+)-citramalic hydro-lyase	name
rxn15897|rxn25768		(+)-columbianetin,NADPH:oxygen oxidoreductase	name
rxn23289		(+)-copalol synthase	name
rxn16530		(+)-copalyl-diphosphate diphosphate-lyase (phyllocladan-16alpha-ol-forming)	name
rxn04175		(+)-copalyl-diphosphate diphosphate-lyase [cyclizing, (-)-abietadiene-forming]	name
rxn15607|rxn24021		(+)-copalyl-diphosphate lyase (decyclizing)	name
rxn16457		(+)-cubenene synthase	name
rxn01661		(+)-delta-cadinene synthase	name
	rxn01661	(+)-delta-cadinene-forming)	name
rxn16458		(+)-delta-selinene synthase	name
rxn25545|rxn25559		(+)-dihydrocarvone:acceptor 1,6-oxidoreductase	name
rxn16451		(+)-endo-beta-bergamotene synthase [(2Z,6Z)-farnesyl diphosphate cyclizing]	name
rxn15821|rxn15822|rxn15823|rxn15824		(+)-epi-isozizaene,NADPH:oxygen oxidoreductase (5-hydroxylating)	name
rxn15823		(+)-epi-isozizaene,NADPH:oxygen oxidoreductase (5R-hydroxylating)	name
rxn15821		(+)-epi-isozizaene,NADPH:oxygen oxidoreductase (5S-hydroxylating)	name
rxn16459		(+)-epicubenol synthase	name
rxn16730		(+)-gamma-cadinene synthase	name
rxn07464		(+)-germacrene A synthase	name
rxn16402		(+)-germacrene D synthase	name
rxn16391		(+)-germacrene-A,NADPH:oxygen oxidoreductase (12-hydroxylating)	name
rxn25064		(+)-lariciresinol lyase	name
rxn04135		(+)-limonene 6-monooxygenase	name
rxn04136		(+)-limonene synthase	name
	rxn04264	(+)-limonene,NADH:oxygen oxidoreductase	name
rxn04135		(+)-limonene-6-hydroxylase	name
rxn16760		(+)-linalool,NADH:oxygen oxidoreductase (8-hydroxylating)	name
rxn07562	rxn07562	(+)-maackiain:NADP+ 2'-oxidoreductase	name
rxn11741|rxn24879		(+)-marmesin,NADPH:oxygen oxidoreductase	name
rxn14129		(+)-menthofuran synthase	name
rxn01850		(+)-neomenthol dehydrogenase	name
rxn01850	rxn01850	(+)-neomenthol:NADP+ oxidoreductase	name
rxn25063		(+)-pinoresinol reductase	name
rxn14129		(+)-pulegone 9-hydroxylase	name
rxn04281|rxn04282		(+)-pulegone reductase	name
rxn14129	rxn14129	(+)-pulegone,NADPH:oxygen oxidoreductase (9-hydroxylating)	name
rxn16775		(+)-sabinene 3-hydroxylase	name
rxn16813		(+)-sabinene synthase	name
rxn16775		(+)-sabinene,NADPH:oxygen oxidoreductase (3-hydroxylating)	name
rxn02659		(+)-sabinol dehydrogenase	name
rxn25028		(+)-sativene synthase	name
rxn07561	rxn07561	(+)-sophorol:NADP+ oxidoreductase	name
rxn02601		(+)-taxifolin 5'-hydroxylase	name
rxn16832|rxn16833|rxn23273		(+)-thujan-3-ol dehydrogenase	name
rxn16832		(+)-thujan-3-ol:NAD+ oxidoreductase	name
rxn16833		(+)-thujan-3-ol:NADP+ oxidoreductase	name
rxn04134|rxn25946		(+)-trans-carveol dehydrogenase	name
rxn04134	rxn04134	(+)-trans-carveol: NAD+ oxidoreductase	name
rxn04134		(+)-trans-carveol:NAD+ oxidoreductase	name
	rxn03169	(+/-)-5-[(tert-Butylamino)-2'-hydroxypropoxyl]-1,2,3,4-tetrahydro-1-	name
rxn03169|rxn15482		(+/-)-5-[(tert-Butylamino)-2'-hydroxypropoxyl]-1,2,3,4-tetrahydro-1-naphthol:NADP+ oxidoreductase	name
rxn03053	rxn03053	(+/-)-6-hydroxy-3-oxo-alpha-ionol:NAD+ 4'-oxidoreductase	name
rxn02850	rxn02850	(+/-)-trans-acenaphthene-1,2-diol:NADP+ oxidoreductase	name
rxn04018|rxn04019|rxn06074		(-)-(1S,5S)-pinene synthase	name
rxn24055		(-)-(4S)-beta-phellandrene synthase	name
rxn01473		(-)-(4S)-limonene synthase	name
rxn01473		(-)-(4S)-limonene-forming]	name
rxn01419		(-)-1-hydroxy-1,2,4-butanetricarboxylate:NAD+ oxidoreductase (decarboxylating)	name
rxn07448		(-)-3R-linalool synthase	name
rxn16705		(-)-9beta-pimara-7,15-dien-19-al monooxygenase	name
rxn16704		(-)-9beta-pimara-7,15-dien-19-ol dehydrogenase	name
rxn16703		(-)-9beta-pimara-7,15-diene monooxygenase	name
rxn02580	rxn02580	(-)-Ephedrine:NAD+ 2-oxidoreductase	name
rxn04279	rxn04279	(-)-Isopiperitenone reductase	name
rxn01786	rxn01786	(-)-Limonene,NADPH:oxygen oxidoreductase (6-hydroxylating)	name
rxn01788	rxn01788	(-)-Limonene,NADPH:oxygen oxidoreductase (7-hydroxylating)	name
	rxn00562	(-)-Ureidoglycolate urea-lyase	name
rxn25013		(-)-alpha-cedrene synthase	name
rxn16733		(-)-alpha-cuprenene synthase	name
rxn04018		(-)-alpha-pinene synthase	name
rxn20209		(-)-alpha-terpineol synthase	name
rxn12182		(-)-beta-caryophyllene synthase	name
rxn20954		(-)-beta-curcumene synthase	name
rxn24055		(-)-beta-phellandrene synthase	name
rxn04019		(-)-beta-pinene synthase	name
rxn02111		(-)-borneol dehydrogenase	name
rxn02111|rxn15382	rxn02111	(-)-borneol:NAD+ oxidoreductase	name
rxn20208		(-)-bornyl diphosphate hydrolase	name
rxn01469		(-)-bornyl diphosphate synthase	name
rxn16818		(-)-camphene synthase	name
rxn23341		(-)-camphor 5-monooxygenase	name
rxn02749		(-)-citramalate hydro-lyase	name
rxn16735		(-)-delta-cadinene synthase	name
rxn16449		(-)-endo-alpha-bergamotene synthase [(2Z,6Z)-farnesyl diphosphate cyclizing]	name
rxn01467		(-)-endo-fenchol cyclase	name
rxn23270|rxn37172|rxn37173		(-)-endo-fenchol dehydrogenase	name
rxn01467		(-)-endo-fenchol synthase	name
rxn16830		(-)-endo-fenchol:NAD+ oxidoreductase	name
rxn16831		(-)-endo-fenchol:NADP+ oxidoreductase	name
rxn23298		(-)-ent-copalol synthase	name
rxn02580		(-)-ephedrine:NAD+ 2-oxidoreductase	name
rxn22223		(-)-gamma-cadinene cyclase	name
rxn22223		(-)-gamma-cadinene synthase [(2Z,6E)-farnesyl diphosphate cyclizing]	name
rxn07463		(-)-germacrene D synthase	name
rxn14271		(-)-isopiperitenone reductase	name
rxn01787		(-)-limonene 3-hydroxylase	name
rxn01787		(-)-limonene 3-monooxygenase	name
rxn01786|rxn25591|rxn27448		(-)-limonene 6-hydroxylase	name
rxn01786|rxn25591|rxn27448		(-)-limonene 6-monooxygenase	name
rxn01788		(-)-limonene 7-monooxygenase	name
rxn01788		(-)-limonene hydroxylase	name
rxn01788		(-)-limonene monooxygenase	name
rxn01787	rxn01787	(-)-limonene,NADPH:oxygen oxidoreductase (3-hydroxylating)	name
rxn01786		(-)-limonene,NADPH:oxygen oxidoreductase (6-hydroxylating)	name
rxn01788		(-)-limonene,NADPH:oxygen oxidoreductase (7-hydroxylating)	name
rxn16761		(-)-linalool,NADH:oxygen oxidoreductase (8-hydroxylating)	name
rxn23931		(-)-maackiain-3-O-glucoside beta-glucosidase	name
rxn07566	rxn07566	(-)-maackiain:NADP+ 2'-oxidoreductase	name
rxn01566		(-)-menthol dehydrogenase	name
rxn01567		(-)-menthol monooxygenase	name
rxn01567	rxn01567	(-)-menthol,NADPH:oxygen oxidoreductase (8-hydroxylating)	name
rxn01566	rxn01566	(-)-menthol:NADP+ oxidoreductase	name
rxn13988|rxn25537|rxn25541|rxn25556|rxn25571|rxn25949	rxn13988	(-)-menthone,NADPH:oxygen oxidoreductase	name
rxn04281|rxn04282		(-)-menthone:NADP+ oxidoreductase	name
rxn16812		(-)-sabinene synthase	name
rxn07565	rxn07565	(-)-sophorol:NADP+ oxidoreductase	name
rxn23345		(-)-thujanol dehydrogenase	name
rxn02234	rxn02234	(-)-trans-Carveol:NADP+ oxidoreductase	name
rxn02234|rxn19263		(-)-trans-carveol dehydrogenase	name
rxn02234|rxn19263		(-)-trans-carveol:NADP+ oxidoreductase	name
rxn02336|rxn19950	rxn02336	(-)-trans-isopiperitenol:NAD+ oxidoreductase	name
rxn16420		(-)-vetispiradiene monooxygenase	name
rxn16420|rxn16421		(-)-vetispiradiene,NADPH:oxygen 2alpha-oxidoreductase	name
rxn03626		(-)t-3,t-4-dihydroxycyclohexane-c-1-carboxylate-NAD+ oxidoreductase	name
	rxn01801	(1'-hydroxylating)	name
	rxn03490	(1,2-hydroxylating)	name
	rxn02349|rxn06589	(1,2-lactonizing)	name
rxn18942		(1,4)-beta-D-glucuronan lyase	name
rxn21405		(1-6)-alpha-D-glucan:(1-6)-alpha-D-glucan 6-alpha-D-[1-6alpha-D-glucano]-transferase (cyclizing)	name
	rxn06869	(1->2) glucosyltransferase	name
rxn05973|rxn17992|rxn35562|rxn35563		(1->2)-(1->3)-alpha-D-mannan mannohydrolase	name
rxn05973|rxn17917		(1->2)-(1->6)-alpha-D-mannan D-mannohydrolase	name
rxn17903		(1->2)-alpha-D-glucosyl-branched-dextran 2-glucohydrolase	name
rxn17980		(1->3)-(1->4)-alpha-D-glucan 4-glucanohydrolase	name
rxn17988		(1->3)-(1->4)-beta-D-glucan 4-glucanohydrolase	name
rxn17902		(1->3)-(1->6)-mannosyl-oligosaccharide alpha-D-mannohydrolase	name
rxn17919|rxn17920|rxn17921		(1->4)-2-acetamido-2-deoxy-beta-D-glucan glycanohydrolase	name
rxn18938		(1->4)-6-O-methyl-alpha-D-galacturonan lyase	name
rxn23770|rxn23771		(1->4)-alpha-D-galacturonan glycanohydrolase	name
rxn14066|rxn18949	rxn14066	(1->4)-alpha-D-galacturonan lyase	name
rxn14062	rxn14062	(1->4)-alpha-D-galacturonan reducing-end-disaccharide-lyase	name
rxn18952		(1->4)-alpha-D-galacturonan reducing-end-trisaccharide-lyase	name
rxn18987		(1->4)-alpha-D-glucan 1-alpha-D-glucosylmutase	name
rxn18941		(1->4)-alpha-D-glucan exo-4-lyase (1,5-anhydro-D-fructose-forming)	name
rxn17549		(1->4)-alpha-D-glucan:(1->4)-alpha-D-glucan 4-alpha-D-[(1->4)-alpha-D-glucano]-transferase (cyclizing)	name
rxn23747|rxn23748|rxn25313		(1->4)-alpha-D-glucan:(1->4)-alpha-D-glucan 4-alpha-D-glycosyltransferase	name
rxn19859|rxn24407|rxn24408		(1->4)-alpha-D-glucan:(1->4)-alpha-D-glucan 6-alpha-D-[(1->4)-alpha-D-glucano]-transferase	name
rxn17585		(1->4)-alpha-D-glucan:(1->4)-alpha-D-glucan(D-glucose) 6-alpha-D-glucosyltransferase	name
rxn06049|rxn22861		(1->4)-alpha-D-glucan:phosphate alpha-D-glucosyltransferase	name
rxn19279		(1->4)-beta-D-glucan:phosphate alpha-D-glucosyltransferase	name
rxn18942		(1->4)-beta-D-glucuronan lyase	name
rxn21405		(1->6)-alpha-D-glucan:(1->6)-alpha-D-glucan 6-alpha-D-[1->6alpha-D-glucano]-transferase (cyclizing)	name
rxn17942		(1->6)-alpha-mannosyl alpha-D-mannohydrolase	name
rxn01599	rxn01599	(1-Hydroxycyclohexan-1-yl)acetyl-CoA cyclohexanone-lyase	name
rxn01599		(1-hydroxycyclohexan-1-yl)acetyl-CoA cyclohexanone-lyase	name
rxn01599		(1-hydroxycyclohexan-1-yl)acetyl-CoA cyclohexanone-lyase (acetyl-CoA-forming)	name
rxn01599		(1-hydroxycyclohexan-1-yl)acetyl-CoA lyase	name
	rxn04724|rxn04745|rxn04748	(1-hydroxylating,decarboxylating)	name
rxn16652		(10R)-dioxygenase	name
	rxn04182	(10beta-hydroxylating)	name
rxn02387|rxn03318	rxn02387|rxn03318|rxn06133|rxn06229|rxn06230|rxn06507|rxn11982|rxn12002	(11-hydroxylating)	name
	rxn06131	(11alpha-hydroxylating)	name
rxn17236|rxn17237		(13,14)-all-trans-retinol saturase	name
	rxn06052	(13-hydroxylating, lactonizing)	name
	rxn03131	(13E)-(15S)-11alpha,15-dihydroxy-9-oxoprost-13-enoate:NADP+	name
rxn03131		(13E)-(15S)-11alpha,15-dihydroxy-9-oxoprost-13-enoate:NADP+ 15-oxidoreductase	name
rxn03138		(13E)-(15S)-15-hydroxy-9-oxoprosta-10,13-dienoate delta10-delta11-isomerase	name
rxn23232		(13E)-labda-7,13-dien-15-ol synthase	name
rxn23303		(13S)-vitexifolin A synthase	name
	rxn04181	(13alpha-hyroxylating)	name
	rxn03215	(14-hydroxylating)	name
	rxn03112	(15S)-15-Hydroxy-5,8,11-cis-13-trans-icosatetraenoate:NAD+	name
rxn03112		(15S)-15-Hydroxy-5,8,11-cis-13-trans-icosatetraenoate:NAD+ 15-oxidoreductase	name
	rxn03113	(15S)-15-Hydroxy-5,8,11-cis-13-trans-icosatetraenoate:NADP+	name
rxn03113		(15S)-15-Hydroxy-5,8,11-cis-13-trans-icosatetraenoate:NADP+ 15-oxidoreductase	name
rxn03112|rxn03113|rxn16870		(15S)-15-hydroxy-5,8,11-cis-13-trans-icosatetraenoate:NAD(P)+ 15-oxidoreductase	name
rxn33900|rxn33901		(16:1) Desaturase	name
rxn33902		(16:2) Desaturase	name
rxn33903		(16:3) Desaturase	name
rxn33904		(16:4) Desaturase	name
	rxn03320|rxn06103|rxn06128|rxn06482|rxn06797	(17-alpha-hydroxylating)	name
	rxn06351	(18-hydroxylating)	name
rxn33905|rxn33906		(18:0) Elongase	name
rxn33907		(18:1) Desaturase	name
rxn33908		(18:2) Desaturase	name
rxn33909		(18:3) Desaturase	name
rxn33910		(18:4) Desaturase	name
rxn03050		(1E,3E)-4-hydroxybuta-1,3-diene-1,2,4-tricarboxylate 1,2-hydro-lyase (2-hydroxy-4-oxobutane-1,2,4-tricarboxylate-forming)	name
rxn03495		(1H)-3-hydroxy-4-oxoquinaldine 2,4-dioxygenase	name
rxn03364		(1H)-3-hydroxy-4-oxoquinoline 2,4-dioxygenase	name
rxn04810		(1R)-glutathionyl-(2R)-hydroxy-1,2-dihydronaphthalene glutathione-lyase (epoxide-forming)	name
rxn04809		(1R)-hydroxy-(2R)-glutathionyl-1,2-dihydronaphthalene glutathione-lyase (epoxide-forming)	name
rxn04242		(1R,2R,4R)-dihydrocarveol dehydrogenase	name
rxn04243		(1R,2R,4S)-iso-dihydrocarveol dehydrogenase	name
rxn16225		(1R,2R,4S)-menth-8-ene-1,2-diol:NAD+ 2-oxidoreductase	name
rxn01665	rxn01665	(1R,2S)-1-Hydroxypropane-1,2,3-tricarboxylate 1-epimerase	name
	rxn01419|rxn03324	(1R,2S)-1-hydroxybutane-1,2,4-tricarboxylate:NAD+ oxidoreductase	name
rxn01419|rxn01420|rxn03324		(1R,2S)-1-hydroxybutane-1,2,4-tricarboxylate:NAD+ oxidoreductase (decarboxylating)	name
rxn01665		(1R,2S)-1-hydroxypropane-1,2,3-tricarboxylate 1-epimerase	name
rxn01194		(1R,2S)-dihydroxy-3,5-cyclohexadiene-1,4-dicarboxylate dehydrogenase	name
rxn04820|rxn15643|rxn15644	rxn04820	(1R,2S)-naphthalene 1,2-oxide hydrolase	name
rxn04244		(1R,2S,4R)-neo-dihydrocarveol dehydrogenase	name
rxn04245		(1R,2S,4S)- neoiso-dihydrocarveol dehydrogenase	name
rxn16227		(1R,4S)-1-hydroxymenth-8-en-2-one,NADPH:oxygen oxidoreductase	name
rxn25317		(1R,6R)-1,2,5,5a,6,7-hexahydrophenazine-1,6-dicarboxylate synthase	name
rxn00584		(1R,6R)-1,6-dihydroxycyclohexa-2,4-diene-1-carboxylate:NAD+ oxidoreductase (decarboxylating)	name
rxn02832|rxn20471		(1R,6R)-6-hydroxy-2-succinylcyclohexa-2,4-diene-1-carboxylate hydrolyase (2-succinylbenzoate-forming)	name
rxn00584		(1R,6S)-1,6-dihydroxycyclohexa-2,4-diene-1-carboxylate:NAD+ oxidoreductase (decarboxylating)	name
rxn04811		(1S)-hydroxy-(2S)-glutathionyl-1,2-dihydronaphthalene glutathione-lyase (epoxide-forming)	name
	rxn01682	(1S,2R)-1-C-(indol-3-yl)glycerol 3-phosphate	name
rxn01682|rxn28615|rxn33281		(1S,2R)-1-C-(indol-3-yl)glycerol 3-phosphate D-glyceraldehyde-3-phosphate-lyase	name
rxn01682		(1S,2R)-1-C-(indol-3-yl)glycerol-3-phosphate D-glyceraldehyde-3-phosphate-lyase (indole-forming)	name
rxn04821|rxn15645|rxn15646|rxn32737	rxn04821	(1S,2R)-naphthalene 1,2-oxide hydrolase	name
rxn04250		(1S,2R,4R)-neoiso-dihydrocarveol dehydrogenase	name
rxn04251		(1S,2R,4S)-neo-dihydrocarveol dehydrogenase	name
rxn04248		(1S,2S,4R)-iso-dihydrocarveol dehydrogenase	name
rxn04265		(1S,2S,4R)-menth-8-ene-1,2-diol:NAD+ 2-oxidoreductase	name
rxn04249		(1S,2S,4S)-dihydrocarveol dehydrogenase	name
