ModelSEED ID	External ID	Source
rxn00001	Degradation (Degradation/Utilization/Assimilation)	MetaCyc
rxn00001	Glyphosate-Degradation (glyphosate degradation)	MetaCyc
rxn00001	Noncarbon-Nutrients (Inorganic Nutrient Metabolism)	MetaCyc
rxn00001	PWY-7805 ((aminomethyl)phosphonate degradation)	MetaCyc
rxn00001	PWY-7807 (glyphosate degradation III)	MetaCyc
rxn00001	Phosphorus-Compounds (Phosphorus Compound Metabolism)	MetaCyc
rxn00002	ALLANTOINDEG-PWY (superpathway of allantoin degradation in yeast)	MetaCyc
rxn00002	AMINE-DEG (Amine and Polyamine Degradation)	MetaCyc
rxn00002	AROMATIC-COMPOUNDS-DEGRADATION (Aromatic Compound Degradation)	MetaCyc
rxn00002	Allantoin-degradation (Allantoin Degradation)	MetaCyc
rxn00002	Atrazine-Degradation (Atrazine Degradation)	MetaCyc
rxn00002	Degradation (Degradation/Utilization/Assimilation)	MetaCyc
rxn00002	PWY-5169 (cyanurate degradation)	MetaCyc
rxn00002	PWY-5703 (urea degradation I)	MetaCyc
rxn00002	PWY-5724 (superpathway of atrazine degradation)	MetaCyc
rxn00002	Urea-Degradation (Urea Degradation)	MetaCyc
rxn00002	rn00330 (Arginine and proline metabolism)	KEGG
rxn00002	rn00791 (Atrazine degradation)	KEGG
rxn00002	s-Triazine-Degradation (<i>s</i>-Triazine Degredation)	MetaCyc
rxn00003	rn00770 (Pantothenate and CoA biosynthesis)	KEGG
rxn00004	rn00362 (Benzoate degradation)	KEGG
rxn00004	rn00660 (C5-Branched dibasic acid metabolism)	KEGG
rxn00006	C1-COMPOUNDS (C1 Compound Utilization and Assimilation)	MetaCyc
rxn00006	DETOX1-PWY (superoxide radicals degradation)	MetaCyc
rxn00006	DETOX1-PWY-1 (reactive oxygen species degradation)	MetaCyc
rxn00006	Degradation (Degradation/Utilization/Assimilation)	MetaCyc
rxn00006	Detoxification (Detoxification)	MetaCyc
rxn00006	Methanol-Oxidation (Methanol Oxidation)	MetaCyc
rxn00006	PWY-5506 (methanol oxidation to formaldehyde IV)	MetaCyc
rxn00006	REACTIVE-OXYGEN-SPECIES-DEGRADATION (Reactive Oxygen Specie Degradation)	MetaCyc
rxn00006	rn00630 (Glyoxylate and dicarboxylate metabolism)	KEGG
rxn00006	rn01110 (Biosynthesis of secondary metabolites)	KEGG
rxn00007	rn00500 (Starch and sucrose metabolism)	KEGG
rxn00008	Degradation (Degradation/Utilization/Assimilation)	MetaCyc
rxn00008	Manganese-Oxidation (Manganese Oxidation)	MetaCyc
rxn00008	Noncarbon-Nutrients (Inorganic Nutrient Metabolism)	MetaCyc
rxn00008	PWY-6591 (manganese oxidation I)	MetaCyc
rxn00010	Alcohol-Degradation (Alcohol Degradation)	MetaCyc
rxn00010	CARBOXYLATES-DEG (Carboxylate Degradation)	MetaCyc
rxn00010	Degradation (Degradation/Utilization/Assimilation)	MetaCyc
rxn00010	GLYCOL-GLYOXDEG-PWY (superpathway of glycol metabolism and degradation)	MetaCyc
rxn00010	GLYCOLATEMET-PWY (glycolate and glyoxylate degradation I)	MetaCyc
rxn00010	Glycolate-Degradation (Glycolate Degradation)	MetaCyc
rxn00010	rn00630 (Glyoxylate and dicarboxylate metabolism)	KEGG
rxn00011	rn00010 (Glycolysis / Gluconeogenesis)	KEGG
rxn00011	rn00020 (Citrate cycle (TCA cycle))	KEGG
rxn00011	rn00620 (Pyruvate metabolism)	KEGG
rxn00011	rn01110 (Biosynthesis of secondary metabolites)	KEGG
rxn00012	Carbohydrates-Biosynthesis (Carbohydrate Biosynthesis)	MetaCyc
rxn00012	Glycan-Biosynthesis (Glycan Biosynthesis)	MetaCyc
rxn00012	Glycan-Pathways (Glycan Pathways)	MetaCyc
rxn00012	PWY-822 (fructan biosynthesis)	MetaCyc
rxn00012	Polysaccharides-Biosynthesis (Polysaccharide Biosynthesis)	MetaCyc
rxn00015	rn00960 (Tropane, piperidine and pyridine alkaloid biosynthesis)	KEGG
rxn00015	rn01110 (Biosynthesis of secondary metabolites)	KEGG
rxn00016	rn00520 (Amino sugar and nucleotide sugar metabolism)	KEGG
rxn00016	rn01110 (Biosynthesis of secondary metabolites)	KEGG
rxn00018	Alcohol-Biosynthesis (Fermentation to Alcohols)	MetaCyc
rxn00018	Autotrophic-CO2-Fixation (Autotrophic CO<sub>2</sub> Fixation)	MetaCyc
rxn00018	C1-COMPOUNDS (C1 Compound Utilization and Assimilation)	MetaCyc
rxn00018	CALVIN-PWY (Calvin-Benson-Bassham cycle)	MetaCyc
rxn00018	CARBO-BIOSYNTHESIS (Sugar Biosynthesis)	MetaCyc
rxn00018	CO2-Fixation (CO<sub>2</sub> Fixation)	MetaCyc
rxn00018	Carbohydrates-Biosynthesis (Carbohydrate Biosynthesis)	MetaCyc
rxn00018	Degradation (Degradation/Utilization/Assimilation)	MetaCyc
rxn00018	Energy-Metabolism (Generation of Precursor Metabolite and Energy)	MetaCyc
rxn00018	Ethylene-Biosynthesis (Ethylene Biosynthesis)	MetaCyc
rxn00018	Fermentation ()	MetaCyc
rxn00018	HORMONE-SYN (Hormone Biosynthesis)	MetaCyc
rxn00018	NUCLEO-DEG (Nucleoside and Nucleotide Degradation)	MetaCyc
rxn00018	PHOTOALL-PWY (oxygenic photosynthesis)	MetaCyc
rxn00018	PWY-5532 (nucleoside and nucleotide degradation (archaea))	MetaCyc
rxn00018	PWY-5723 (Rubisco shunt)	MetaCyc
rxn00018	PWY-6886 (1-butanol autotrophic biosynthesis (engineered))	MetaCyc
rxn00018	PWY-7124 (ethylene biosynthesis V (engineered))	MetaCyc
rxn00018	PWY-7218 (photosynthetic 3-hydroxybutanoate biosynthesis (engineered))	MetaCyc
rxn00018	Photosynthesis ()	MetaCyc
rxn00018	Plant-Hormone-Biosynthesis (Plant Hormone Biosynthesis)	MetaCyc
rxn00018	Storage-Compounds-Biosynthesis (Storage Compound Biosynthesis)	MetaCyc
rxn00018	rn00710 (Carbon fixation in photosynthetic organisms)	KEGG
rxn00018	rn01200 (Carbon metabolism)	KEGG
rxn00020	rn00500 (Starch and sucrose metabolism)	KEGG
rxn00022	rn00500 (Starch and sucrose metabolism)	KEGG
rxn00024	ALKALOIDS-SYN (Alkaloid Biosynthesis)	MetaCyc
rxn00024	Antibiotic-Biosynthesis (Antibiotic Biosynthesis)	MetaCyc
rxn00024	BETALAIN-ALKALOIDS (Betalaine Alkaloid Biosynthesis)	MetaCyc
rxn00024	ISOQUINOLINE-ALKALOIDS (Isoquinoline and Benzylisoquinoline Alkaloid Biosynthesis)	MetaCyc
rxn00024	N-CONTAINING-SECONDARY-CMPD-SYN (Nitrogen-Containing Secondary Compound Biosynthesis)	MetaCyc
rxn00024	PWY-3581 ((<i>S</i>)-reticuline biosynthesis I)	MetaCyc
rxn00024	PWY-5399 (betacyanin biosynthesis)	MetaCyc
rxn00024	PWY-5405 (superpathway of betalain biosynthesis)	MetaCyc
rxn00024	PWY-6133 ((S)-reticuline biosynthesis II)	MetaCyc
rxn00024	PWY-6955 (lincomycin biosynthesis)	MetaCyc
rxn00024	S-Reticuline-Biosynthesis ((<i>S</i>)-reticuline biosynthesis)	MetaCyc
rxn00024	SECONDARY-METABOLITE-BIOSYNTHESIS (Secondary Metabolite Biosynthesis)	MetaCyc
rxn00024	rn00350 (Tyrosine metabolism)	KEGG
rxn00024	rn00950 (Isoquinoline alkaloid biosynthesis)	KEGG
rxn00024	rn01110 (Biosynthesis of secondary metabolites)	KEGG
rxn00025	Cofactor-Biosynthesis (Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis)	MetaCyc
rxn00025	PWY-6857 (retinol biosynthesis)	MetaCyc
rxn00025	Vitamin-A-Biosynthesis (Vitamin A Biosynthesis)	MetaCyc
rxn00025	Vitamin-Biosynthesis (Vitamin Biosynthesis)	MetaCyc
rxn00025	rn00830 (Retinol metabolism)	KEGG
rxn00026	rn00730 (Thiamine metabolism)	KEGG
