ModelSEED ID	External ID	Source
cpd00001	H20	name
cpd00001	H2O	name
cpd00001	H3O+	name
cpd00001	HO-	name
cpd00001	Hydroxide ion	name
cpd00001	OH	name
cpd00001	OH-	name
cpd00001	Water	name
cpd00001	hydrogen oxide	name
cpd00001	hydroxide	name
cpd00001	hydroxide ion	name
cpd00001	hydroxyl	name
cpd00001	hydroxyl ion	name
cpd00001	oxonium	name
cpd00001	water	name
cpd00002	ATP	name
cpd00002	Adenosine 5'-triphosphate	name
cpd00002	adenosine-5'-triphosphate	name
cpd00002	adenosine-triphosphate	name
cpd00002	adenylpyrophosphate	name
cpd00003	DPN	name
cpd00003	DPN+	name
cpd00003	DPN-ox	name
cpd00003	Diphosphopyridine nucleotide	name
cpd00003	NAD	name
cpd00003	NAD+	name
cpd00003	NAD-ox	name
cpd00003	NAD-oxidized	name
cpd00003	Nadide	name
cpd00003	Nicotinamide adenine dinucleotide	name
cpd00003	Nicotinamideadeninedinucleotide	name
cpd00003	beta-nicotinamide adenine dinucleotide	name
cpd00003	coenzyme I	name
cpd00003	diphosphopyridine nucleotide	name
cpd00003	diphosphopyridine nucleotide oxidized	name
cpd00003	nicotinamide adenine dinucleotide	name
cpd00003	nicotinamide adenine dinucleotide oxidized	name
cpd00004	DPNH	name
cpd00004	NAD-reduced	name
cpd00004	NADH	name
cpd00004	NADH+H+	name
cpd00004	NADH2	name
cpd00004	Nicotinamide adenine dinucleotide - reduced	name
cpd00004	Nicotinamideadeninedinucleotide-reduced	name
cpd00004	Reduced nicotinamide adenine dinucleotide	name
cpd00004	dihydrodiphosphopyridine nucleotide	name
cpd00004	dihydronicotinamide adenine dinucleotide	name
cpd00004	diphosphopyridine nucleotide reduced	name
cpd00004	nicotinamide adenine dinucleotide reduced	name
cpd00005	NADP(H)	name
cpd00005	NADP-red	name
cpd00005	NADP-reduced	name
cpd00005	NADPH	name
cpd00005	NADPH+H+	name
cpd00005	NADPH2	name
cpd00005	Nicotinamide adenine dinucleotide phosphate - reduced	name
cpd00005	Nicotinamide adenine dinucleotide phosphate-reduced	name
cpd00005	Nicotinamideadeninedinucleotidephosphate-reduced	name
cpd00005	Reduced nicotinamide adenine dinucleotide phosphate	name
cpd00005	TPNH	name
cpd00005	dihydronicotinamide adenine dinucleotide phosphate	name
cpd00005	dihydronicotinamide adenine dinucleotide phosphate reduced	name
cpd00005	dihydronicotinamide adenine dinucleotide-P	name
cpd00005	dihydrotriphosphopyridine nucleotide	name
cpd00005	dihydrotriphosphopyridine nucleotide reduced	name
cpd00006	NADP	name
cpd00006	NADP(+)	name
cpd00006	NADP+	name
cpd00006	NADP-ox	name
cpd00006	NADP-oxidized	name
cpd00006	Nicotinamide adenine dinucleotide phosphate	name
cpd00006	Nicotinamide adenine dinucleotide phosphate -	name
cpd00006	Nicotinamideadeninedinucleotidephosphate	name
cpd00006	TPN	name
cpd00006	TPN+	name
cpd00006	TPN-ox	name
cpd00006	Triphosphopyridine nucleotide	name
cpd00006	beta-Nicotinamide adenine dinucleotide phosphate	name
cpd00006	coenzyme II	name
cpd00006	nicotinamide adenine dinucleotide phosphate	name
cpd00006	nicotinamide adenine dinucleotide-P	name
cpd00006	triphosphopyridine nucleotide	name
cpd00007	O2	name
cpd00007	Oxygen	name
cpd00007	dioxygen	name
cpd00007	oxygen	name
cpd00007	oxygen molecule	name
cpd00008	ADP	name
cpd00008	Adenosine 5'-diphosphate	name
cpd00008	Adenosine 5'-phosphate	name
cpd00008	adenosine 5'-pyrophosphate	name
cpd00008	adenosine pyrophosphate	name
cpd00008	adenosine-5'-diphosphate	name
cpd00008	adenosine-5-diphosphate	name
cpd00008	adenosine-diphosphate	name
cpd00009	HPO4-2	name
cpd00009	HPO42-	name
cpd00009	Orthophosphate	name
cpd00009	Orthophosphoric acid	name
cpd00009	PO43-	name
cpd00009	Phosphate	name
cpd00009	Phosphoric acid	name
cpd00009	Pi	name
cpd00009	inorganic phosphate	name
cpd00009	orthophosphate	name
cpd00009	phosphate	name
cpd00009	phosphate-inorganic	name
cpd00010	CoA	name
cpd00010	CoA-SH	name
cpd00010	Coenzyme A	name
cpd00010	CoenzymeA	name
cpd00010	HS-CoA	name
cpd00010	co-A	name
cpd00010	co-A-SH	name
cpd00010	co-enzyme-A	name
cpd00010	coenzyme A	name
cpd00011	CO2	name
cpd00011	Carbon dioxide	name
cpd00011	carbon dioxide	name
cpd00011	carbonic acid gas	name
cpd00011	carbonic anhydride	name
cpd00012	Diphosphate	name
cpd00012	Diphosphoric acid	name
cpd00012	PP	name
cpd00012	PPi	name
cpd00012	Pyrophosphate	name
cpd00012	Pyrophosphoric acid	name
cpd00012	diphosphate	name
cpd00012	pyrophosphate	name
cpd00013	Ammonia	name
cpd00013	NH3	name
cpd00013	NH4plus	name
cpd00013	ammonia	name
cpd00014	UDP	name
cpd00014	Uridine 5'-diphosphate	name
cpd00014	uridine-5'-diphosphate	name
cpd00014	uridine-diphosphate	name
cpd00015	FAD	name
cpd00015	Flavin adenine dinucleotide	name
cpd00015	Flavin adenine dinucleotide oxidized	name
cpd00015	Flavinadeninedinucleotideoxidized	name
cpd00015	flavin adenine dinucleotide	name
cpd00015	flavin adenine dinucleotide oxidized	name
cpd00015	flavitan	name
cpd00016	PLP	name
cpd00016	Pyridoxal 5'-phosphate	name
cpd00016	Pyridoxal 5-phosphate	name
cpd00016	Pyridoxal phosphate	name
cpd00016	pyridoxal 5'-phosphate	name
cpd00016	pyridoxal 5-phosphate	name
cpd00016	pyridoxal phosphate	name
cpd00016	pyridoxal-5P	name
cpd00016	pyridoxal-P	name
cpd00016	vitamin B6	name
cpd00017	2-S-adenosyl-L-methionine	name
cpd00017	Acylcarnitine	name
cpd00017	AdoMet	name
cpd00017	S-Adenosyl-L-methionine	name
cpd00017	S-Adenosylmethionine	name
cpd00017	S-adenosyl-L-methionine	name
cpd00017	S-adenosyl-methionine	name
cpd00017	S-adenosylmethionine	name
cpd00017	SAM	name
cpd00017	adenosylmethionine	name
cpd00018	5'-AMP	name
cpd00018	5'-Adenosine monophosphate	name
cpd00018	5'-Adenylic acid	name
cpd00018	5'-adenosine monophosphate	name
cpd00018	5'-adenylic acid	name
cpd00018	AMP	name
cpd00018	Adenosine 5'-monophosphate	name
cpd00018	Adenosine 5'-phosphate	name
cpd00018	Adenylate	name
cpd00018	Adenylic acid	name
cpd00018	adenosine 5'-monophosphate	name
cpd00018	adenosine 5'-phosphate	name
cpd00018	adenosine-5'-phosphate	name
cpd00018	adenosine-monophosphate	name
cpd00018	adenosine-phosphate	name
cpd00018	adenylate	name
cpd00018	adenylic acid	name
cpd00019	2-S-adenosyl-L-homocysteine	name
cpd00019	AdoHcy	name
cpd00019	S-Adenosyl-L-homocysteine	name
cpd00019	S-Adenosylhomocysteine	name
cpd00019	S-adenosyl-L-homocysteine	name
cpd00019	S-adenosyl-homocysteine	name
cpd00019	S-adenosylhomocysteine	name
cpd00019	SAH	name
cpd00019	adenosyl-homo-cys	name
cpd00019	adenosylhomo-cys	name
cpd00019	adenosylhomocysteine	name
cpd00019	s-adenosyl-homocysteine	name
cpd00020	2-Oxopropanoate	name
cpd00020	2-Oxopropanoic acid	name
cpd00020	2-oxo-propionic acid	name
cpd00020	2-oxopropanoate	name
cpd00020	2-oxopropanoic acid	name
cpd00020	BTS	name
cpd00020	Pyroracemic acid	name
cpd00020	Pyruvate	name
cpd00020	Pyruvic acid	name
cpd00020	acetylformic acid	name
cpd00020	alpha-ketopropionic acid	name
cpd00020	pyroracemic acid	name
cpd00020	pyruvate	name
cpd00020	pyruvic acid	name
cpd00021	Iron	name
cpd00022	Acetyl coenzyme A	name
cpd00022	Acetyl-CoA	name
cpd00022	ac-CoA	name
cpd00022	ac-S-CoA	name
cpd00022	acetyl coenzyme-A	name
cpd00022	acetyl-CoA	name
cpd00022	acetyl-S-CoA	name
cpd00022	acetylcoenzyme-A	name
cpd00023	1-amino-propane-1,3-dicarboxylic acid	name
cpd00023	2-aminopentanedioic acid	name
cpd00023	GLU	name
cpd00023	Glutamate	name
cpd00023	Glutaminic acid	name
cpd00023	L-Glutamate	name
cpd00023	L-Glutamic acid	name
cpd00023	L-Glutaminic acid	name
cpd00023	L-glu	name
cpd00023	L-glutamate	name
cpd00023	L-glutamic acid	name
cpd00023	alpha-aminoglutaric acid	name
cpd00023	glt	name
cpd00023	glu	name
cpd00023	glut	name
cpd00023	glutacid	name
cpd00023	glutamate	name
cpd00023	glutaminic acid	name
cpd00024	2-Ketoglutaric acid	name
cpd00024	2-Oxoglutarate	name
cpd00024	2-ketoglutarate	name
cpd00024	2-ketoglutaric acid	name
