cpd_id	compound_name	name_queried	strategy	result_type	stored_inchikey	pubchem_inchikey	pubchem_cid	stored_smiles	pubchem_smiles	mismatch_detail
cpd08052	Rhodamine 6G	C11177	kegg_xref	MISMATCH	XFKVYXCRNATCOO-UHFFFAOYSA-M	VYXSBFYARXAAKO-UHFFFAOYSA-N	13806	CCNc1cc2[o+]c3cc(NCC)c(C)cc3c(-c3ccccc3C(=O)OCC)c2cc1C.[Cl-]	CCNC1=CC2=C(C=C1C)C(=C3C=C(C(=[NH+]CC)C=C3O2)C)C4=CC=CC=C4C(=O)OCC.[Cl-]	IGNORE:tautomer_connectivity (same heavy-atom connectivity, different H positions — tautomer not recognized by RDKit enumerator)
cpd08063	Rhodamine 123	C11190	kegg_xref	MISMATCH	TUFFYSFVSYUHPA-UHFFFAOYSA-M	MYFATKRONKHHQL-UHFFFAOYSA-N	65217	COC(=O)c1ccccc1-c1c2ccc(N)cc2[o+]c2cc(N)ccc12.[Cl-]	COC(=O)C1=CC=CC=C1C2=C3C=CC(=[NH2+])C=C3OC4=C2C=CC(=C4)N.[Cl-]	IGNORE:tautomer_connectivity (same heavy-atom connectivity, different H positions — tautomer not recognized by RDKit enumerator)
cpd09656	CGS 7181	C13836	kegg_xref	MISMATCH	HHZWHXHTVABHTP-UHFFFAOYSA-N	YMEXYIFTFLKKQK-UHFFFAOYSA-N	656759	CCOC(=O)C1C(=O)N(C(=O)Nc2ccc(C)cc2)c2cc(C(F)(F)F)ccc21	CCOC(=O)C1=C(N(C2=C1C=CC(=C2)C(F)(F)F)C(=O)NC3=CC=C(C=C3)C)O	IGNORE:tautomer (same canonical tautomer, stored form curated for biological relevance)
cpd10179	2,6-Dioxo-5-diazopyrimidine	C14480	kegg_xref	MISMATCH	VEOLNAAQJHGJPM-UHFFFAOYSA-N	XFLJNCDBYCPPTE-UHFFFAOYSA-N	73266	[N-]=[N+]=C1C=NC(=O)NC1=O	C1=C(C(=O)NC(=N1)[O-])[N+]#N	IGNORE:tautomer_connectivity (same heavy-atom connectivity, different H positions — tautomer not recognized by RDKit enumerator)
cpd10327	17beta-Hydroxy-2-hydroxymethylene-5alpha-androstan-3-one	C14628	kegg_xref	MISMATCH	YIWMQGFUDMPIHR-YNZDMMAESA-N	DKCLFTBKKHWBQS-CVEXGSQQSA-N	5355012	C[C@]12CC(C=O)=C(O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12	C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CC[C@@H]4[C@@]3(C/C(=C/O)/C(=O)C4)C	IGNORE:tautomer (same canonical tautomer, stored form curated for biological relevance)
cpd10542	4-Bromophenol-2,3-epoxide	C14845	kegg_xref	MISMATCH	AXBNSRXSRRJVIX-UHFFFAOYSA-N	NIXDKVLCYSTGRG-UHFFFAOYSA-N	11954064	O=C1CC=C(Br)C2OC12	C1=C(C2C(O2)C(=C1)Br)O	IGNORE:tautomer (same canonical tautomer, stored form curated for biological relevance)
cpd10820	2,17beta-Dihydroxy-17-methylandrosta-1,4-dien-3-one	C15126	kegg_xref	MISMATCH	FGTXISRRKAWTCP-LUCRAQOWSA-N	LWCFGFNTFZFVOY-LUCRAQOWSA-N	16818	C[C@]12CC(=O)C(=O)C=C1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O	C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C)O)CCC4=CC(=O)C(=C[C@]34C)O	IGNORE:tautomer (same canonical tautomer, stored form curated for biological relevance)
cpd20782	C.I. Solvent Red 23	C19527	kegg_xref	MISMATCH	XYWSVVUQWNOHIU-KAJPWYIYSA-N	FHNINJWBTRXEBC-UHFFFAOYSA-N	62331	O=C1C=Cc2ccccc2C1=NN=C1C=CC(=NNc2ccccc2)C=C1	C1=CC=C(C=C1)N=NC2=CC=C(C=C2)N=NC3=C(C=CC4=CC=CC=C43)O	IGNORE:tautomer (same canonical tautomer, stored form curated for biological relevance)
cpd21872	2-hydroxy-6-(2-carboxyphenyl)-6-oxo-2,4-hexadienoate	2-hydroxy-6-(2-carboxyphenyl)-6-oxo-2,4-hexadienoate	name_lookup	MISMATCH	ITLMIBZJFWOLPC-UHFFFAOYSA-L	AGCCSGUKFYOOTJ-XOGRUQSTSA-L	54740361	O=C([O-])C(=O)C=CCC(=O)c1ccccc1C(=O)[O-]	C1=CC=C(C(=C1)/C(=C/C=C\C(=O)C(=O)O)/[O-])C(=O)[O-]	IGNORE:tautomer_connectivity (same heavy-atom connectivity, different H positions — tautomer not recognized by RDKit enumerator)
cpd22006	3-deazaadenine	3-deazaadenine	name_lookup	MISMATCH	QIBLFAMJLVFXAT-UHFFFAOYSA-N	UHUHBFMZVCOEOV-UHFFFAOYSA-N	418745	Nc1[nH]ccc2ncnc1-2	C1=CN=C(C2=C1NC=N2)N	IGNORE:tautomer (same canonical tautomer, stored form curated for biological relevance)
