biomass_id	id	coefficient	coefficient_type	class	linked_compounds	compartment
bio1	cpd00002	-1	MULTIPLIER	energy	cpd00001:-1|cpd00008:-1|cpd00009:-1|cpd00067:1	c0
bio1	cpd11416	1	EXACT	energy	null	c0
bio2	cpd00072	-0.0709	EXACT	other	null	c0
bio2	cpd00101	-0.8977	EXACT	other	null	c0
bio2	cpd00236	-0.8977	EXACT	other	null	c0
bio2	cpd00102	-0.129	EXACT	other	null	c0
bio2	cpd00169	-1.496	EXACT	other	null	c0
bio2	cpd00061	-0.5191	EXACT	other	null	c0
bio2	cpd00020	-2.8328	EXACT	other	null	c0
bio2	cpd00022	-3.7478	EXACT	other	null	c0
bio2	cpd00032	-1.7867	EXACT	other	null	c0
bio2	cpd00024	-1.0789	EXACT	other	null	c0
bio2	cpd00079	-0.205	EXACT	other	null	c0
bio2	cpd00005	-1.8225	EXACT	other	cpd00067:-1	c0
bio2	cpd00003	-3.547	EXACT	other	cpd00067:-1	c0
bio2	cpd00010	3.7478	EXACT	other	null	c0
bio2	cpd11416	1	EXACT	other	null	c0
bio2	cpd00006	1.8225	EXACT	other	null	c0
bio2	cpd00004	3.547	EXACT	other	null	c0
bio2	cpd00002	-1	MULTIPLIER	energy	cpd00001:-1|cpd00008:-1|cpd00009:-1|cpd00067:1	c0
