ID	Name	Reversible	Reactants	Products	E.C.	Pathway
R_NE1	Non enzymatic reaction	false					
R_NE2	Non enzymatic reaction	false					
R_r1	Aldose 1-epimerase	true					
R_r2	aldose-1-epimerase	true					
R_r3	aldose-1-epimerase	true					
R_r4	aldose-1-epimerase	true					
R_r5a	Hexokinase	false					
R_r6	Glucokinase	false					
R_r7	Glucose-6-phosphate isomerase	true					
R_r8	Glucose-6-phosphate isomerase	true					
R_r9	Glucose-6-phosphate 1-epimerase	true					
R_r10	6-phosphofructokinase (Phosphofructokinase I)	false					
R_r11	Fructose-2,6-bisphosphatase	false					
R_r12a	Fructose-bisphosphate aldolase	true					
R_r13a	Triosephosphate isomerase	true					
R_r14	Glyceraldehyde 3-phosphate dehydrogenase	true					
R_r15	Phosphoglycerate kinase	true					
R_r16a	Phosphoglycerate mutase	true					
R_r17	Phosphopyruvate hydratase (enolase)	true					
R_r18	Pyruvate kinase	false					
R_r19	Pyruvate carboxylase	false					
R_r20	Pyruvate carboxylase	false					
R_r21	Phosphoenolpyruvate carboxykinase (ATP)	false					
R_r22	Glucose 6-phosphate 1-dehydrogenase	false					
R_r23	6-Phosphogluconolactonase	false					
R_r24a	Phosphogluconate dehydrogenase (decarboxylating)	false					
R_r25	Ribulose-phosphate 3-epimerase	true					
R_r26	Ribose-5-phosphate isomerase	true					
R_r27	Transketolase	true					
R_r28	Transketolase	true					
R_r29a	Transaldolase	true					
R_r1273	Phosphoketolase	true					
R_r31a	Citrate synthase	false					
R_r32a	Aconitate hydratase	true					
R_r33a	Aconitate hydratase	true					
R_r34	Isocitrate dehydrogenase (NADP+)	false					
R_r30	Isocitrate dehydrogenase (NAD+)	false					
R_r35	Isocitrate dehydrogenase (NADP+)	true					
R_r36a	alpha-ketoglutarate dehydrogenase	false					
R_r36b	Dihydrolipoamide S-succinyl transferase	false					
R_r36c	Dihydrolipoamide dehydrogenase	true					
R_r38a	Succinate CoA ligase (GDP forming) alpha/beta	true					
R_r39	Succinate dehydrogenase (ubiquinone)	true					
R_r42	Fumarate hydratase	true					
R_r43	Fumarate hydratase	true					
R_r44	Malate dehydrogenase	true					
R_r45a	Malate dehydrogenase	true					
R_r46	Isocitrate lyase	false					
R_r47	Malate synthase	false					
R_r48c	Malate dehydrogenase (NADP-specific) (malic enzyme)	false					
R_r48m	Malate dehydrogenase (NADP-specific) (malic enzyme)	false					
R_r50a	ATP:citrate oxaloacetate-lyase ((pro-3S)-CH2COO- ->acetyl-CoA) (ATP-dephosphorylating) subunit 2	false					
R_r50ma	ATP:citrate oxaloacetate-lyase ((pro-3S)-CH2COO- ->acetyl-CoA) (ATP-dephosphorylating) subunit 2	false					
R_r37	Mitochondrial citrate lyase	false					
R_r51	Oxaloacetate acetylhydrolase	false					
R_r52	Oxalate decarboxylase	false					
R_r56	Oxalate decarboxylase	false					
R_r53a	Alcohol dehydrogenase	true					
R_r54	Formaldehyde dehydrogenase	true					
R_r55	Formate oxidase	false					
R_r61	Formaldehyde dehydrogenase (glutathione)	true					
R_r56a	Pyruvate dehydrogenase (lipoamide)	false					
R_r56b	Dihydrolipoamide S-acetyltransferase and lipoamide dehydrogenase	true					
R_r58a	Pyruvate decarboxylase	false					
R_r59	Pyruvate oxidase	false					
R_r60	Acetate kinase	true					
R_r62	Methylglyoxal synthase or non-enzymatic	false					
R_r63	chemical reaction	false					
R_r64	D-Lactaldehyde dehydrogenase (Methylglyoxal reductase) (MGR I)	true					
R_r65	Lactaldehyde dehydrogenase	true					
R_r66	D-lactate dehydrogenase	true					
R_r67	Lactoylglutathione lyase (glyoxylase I)	true					
R_r68a	Hydroxyacylglutathione hydrolase (glyoxylase II)	false					
R_r69a	Aldehyde dehydrogenase (NAD+)	true					
R_r70	Propanoate:CoA ligase (AMP-forming)	false					
R_r85	Propanoate:CoA ligase (AMP-forming)	false					
R_r71	2-Methylcitrate synthase	false					
R_r72	2-methylcitrate hydrolyase	true					
R_r73	2-methylisocitrate dehydratase	true					
R_r74	2-methylisocitrate lyase	true					
R_r75a	Glutamate decarboxylase	false					
R_r76	4-Aminobutyrate transaminase	false					
R_r77	Succinate-semialdehyde dehydrogenase (NAD+)	false					
R_r78	GTP cyclohydrolase I	false					
R_r79	Glycerophosphatase, alkaline phosphatase; nucleoside triphosphatase	false					
R_r80	Dihydroneopterin aldolase	false					
R_r991	Glycolaldehyde dehydrogenase	true					
R_r992	Glycolate oxidase	false					
R_r81	6-Hydroxymethyl-7,8 dihydropterin pyrophosphokinase	false					
R_r82	Aminodeoxychorismate synthase	false					
R_r83	Aminodeoxychorismate lyase	false					
R_r84	Dihydropteroate synthase	false					
R_r86	Dihydrofolate synthase	false					
R_r87	Dihydrofolate reductase	true					
R_r88	Tetrahydrofolylpolyglutamate synthase	false					
R_r89	Formate-dihydrofolate ligase (10-Formyltetrahydrofolate synthetase, FTHFS) (Trifunctional)	false					
R_r90	Methenyltetrahydrofolate cyclohydrolase (Trifunctional)	true					
R_r91	Methylenetetrahydrofolate dehydrogenase (NADP+) (Trifunctional)	true					
R_r92	Methylenetetrahydrofolate reductase (NADPH)	true					
R_r93	Methylenetetrahydrofolate dehydrogenase (NAD+)	true					
R_r94	Methenyltetrahydrofolate cyclohydrolase	true					
R_r95	5-formyltetrahydrofolate deformylase	false					
R_r96	Methylenetetrahydrofolate reductase (NADPH)	true					
