ID	Names	Equation	Equation definition
jrxn14430	Cytoplasmic Ferredoxin hydrognase, H2 translocating 	 (2) cpd00067 + (2) cpd11620 + cpd00982 => (2) cpd11621 + (2) cpd11640 + cpd00015	(2) H+ + (2) Reducedferredoxin +  FADH2 =  (2) Oxidizedferredoxin + (2) H2[e]+ FAD
jrxn14431	Cytoplasmic/periplasmic hydrogonase, cytochrome c3 type	 (2) cpd11640[1] + 8 cpd18072 = > 8 cpd00067 [1] + 8 cpd18074	(4) H2[e] + 8 cytochrome-c3-ox => 8H+[e] + 8 cytochrome-c3-red
jrxn14432	APS reductase, cytochrome c3 type	 cpd00193 + 2 cpd18074 => cpd00018 + cpd00081 + 2 cpd18072	APS + 2cytochrome-c3-Red => AMP +SO3 + 2cytochrome-c3-ox
jrxn14433 	Sulfite reductase, cytochrome c3 type 	cpd00081 + (6) cpd18074 + (2) cpd00067 => cpd00239 + (6) cpd18072	SO3 + (6) cytochrome-c3-red + 2H+ => H2S + (6) cytochroem-c3-ox
jrxn14429	Lactate deyhdrogonase, FAD reducing	cpd00015 + cpd00159 <=> cpd00020 + cpd00982	(1) FAD[0] + (1) H+[0] + (1) L-Lactate[0] <=> (1) Pyruvate[0] + (1) FADH2[0]
jrxn14434	Nitrogenase, Iron-sulfur; Vanadium cation or Mo cation	(16) cpd00001 + (16) cpd00002 + cpd00528 + (4) cpd01270 => (16) cpd00008 + (16) cpd00009 + (14) cpd00067 + cpd11640 + cpd00013 + cpd00050  	(16) H2O[0] + (16) ATP[0] + (1) N2[0] + (4) FMNH2[0] <=> (16) ADP[0] + (16) Phosphate[0] + (14) H+[0] + (1) H2[0] + (2) NH4+[0] + (4)FMN[0]
jrxn14435	Rusticyanin electron transfer, cytochrome c reducing 	cpd18072 + cpd28076 => cpd26785 + cpd18074	 Cytochromes-C-Ox + Reduced-Rusticyanins => Cytochromes-C-Red + Oxidized-Rusticyanins
jrxn14436	Thiosulfate oxidase, electron transfer to cytochrome c	(5) cpd00001 + (8) cpd18072 + cpd00268 <=> (2) cpd00048 + (10) cpd00067[1] + (8) cpd18074	(5) H2O + (8) Cytochrome-C-Ox  + H2S2O3 <=> (2) Sulfate + (10) H+ + (8) Cytochrome-C-Red+
jrxn14437	Cytochrome C oxidase, thiosulfate oxidation 	 (2) cpd00007 + (8) cpd00067 + (8) cpd18074 => (4) cpd00001 + (8) cpd18072	  (2) O2 + (8) H+ + (8) Cytochrome-C-Red => (4) H2O + (8) Cytochrome-C-Ox
jrxn14438	Thiosulfate-cytochrome c oxidoreductase 	(2) cpd00268 + (2) cpd18072 <=> (2) cpd00067 + cpd01414 + (2) cpd18074	(2) H2S2O3 + (2) Cytochromes-C-Ox => (2) H+ + Tetrathionate + (2) Cytochromes-C-Red
jrxn14439	Tetrathionate oxidase, cytochrome-c reducing 	(10) cpd00001 + cpd01414 + (14) cpd18072 => (4) cpd00048 + (20) cpd00067[1] + (16) cpd18074	 (10) H20 + Tetrathionate +  (14) Cytochromes-C-Ox => (4) Sulfate + (20) H+  +  (14) Cytochromes-C-Red
jrxn14442	Hydrogenase, ubiquinone reducing	(2) cpd00067 + cpd11640[1] + cpd15560 => (2) cpd00067[1] + cpd15561	(2) H+[0] + (1) H2[1] + (1) Ubiquinone-8[0] => (2) H+[1] + (1) Ubiquinol-8[0]
jrxn14440 	Ammonia monooxygenase, Hydroxylamine generating	cpd00007 + cpd00013 + cpd15561 => cpd00001 + cpd00067 + cpd00165 + cpd15560	(1)	O2[0] + (1) NH3[0] + (1)Ubiquinol-8 => (1) H2O[0] + (1) H+[0] + (1) Hydroxylamine[0] + (1) Ubiquinone-8[0]
jrxn14441  	Ammonia monooxygenase, Hydroxylamine oxidizing	cpd00001 + cpd18079 + cpd00165 + cpd15560 <=> (4) cpd00067 + cpd00075 + cpd18080 + cpd15561	H2O + (1) cytochrome-aa-ox + Hydroxylamine + (1) Ubiquinone-8[0]<=> (4) H+ + Nitrite + (1) cytochrome-aa-red + (1)Ubiquinol-8
