ID	PubMed	Year	Species	Title	Link to Data
iMA871	18364712	2008	Aspergillus niger	Metabolic model integration of the bibliome, genome, metabolome and reactome of Aspergillus niger.	OpenCOBRA (SBML)
iWV1314	18500999	2008	Aspergillus oryzae	Improved annotation through genome-scale metabolic modeling of Aspergillus oryzae	OpenCOBRA (SBML)
iMM904	19321003	2009	Saccharomyces cerevisiae	Connecting extracellular metabolomic measurements to intracellular flux states in yeast.	OpenCOBRA (SBML)
iNL895	22558935	2012	Yarrowia lipolytica	A genome-scale metabolic model of the lipid-accumulating yeast Yarrowia lipolytica.	Springer (SBML)
iSS884	22472172	2012	Pichia stipitis	Genome-scale metabolic reconstructions of Pichia stipitis and Pichia pastoris and in silico evaluation of their potentials.	OpenCOBRA (SBML)
iLC915	22472172	2012	Pichia pastoris	Genome-scale metabolic reconstructions of Pichia stipitis and Pichia pastoris and in silico evaluation of their potentials.	OpenCOBRA (SBML)
iYL619_PCP	23236514	2012	Yarrowia lipolytica	Reconstruction and in silico analysis of metabolic network for an oleaginous yeast, Yarrowia lipolytica	PLoS
iJDZ836	23935467	2013	Neurospora crassa	Reconstruction and validation of a genome-scale metabolic model for the filamentous fungus Neurospora crassa using FARM.	PLoS (SBML)
iTO977	23631471	2013	Saccharomyces cerevisiae	Mapping condition-dependent regulation of metabolism in yeast through genome-scale modeling.	Springer (SBML)
iAL1006	23555215	2013	Penicillium chrysogenum	The RAVEN toolbox and its use for generating a genome-scale metabolic model for Penicillium chrysogenum.	PLoS (SBML)
iJL1454	23624532	2013	Aspergillus terreus	Genome-scale reconstruction and in silico analysis of Aspergillus terreus metabolism.	RSC (Excel)
iNX804	23172360	2013	Candida glabrata	Reconstruction and analysis of the genome-scale metabolic network of Candida glabrata.	RSC (Excel)
yeast_6.06	23935056	2013	Saccharomyces cerevisiae	Version 6 of the consensus yeast metabolic network refines biochemical coverage and improves model performance.	SourceForge (SBML)
yeast_7.6	24678285	2013	Saccharomyces cerevisiae	Revising the Representation of Fatty Acid, Glycerolipid, and Glycerophospholipid Metabolism in the Consensus Model of Yeast Metabolism	Zenodo (SBML)
iRL766	24374726	2014	Ashbya gossypii	Genome scale metabolic modeling of the riboflavin overproducer Ashbya gossypii.	Wiley (SBML)
iCY1106	25582171	2015	Mortierella alpina	Reconstruction and analysis of a genome-scale metabolic model of the oleaginous fungus Mortierella alpina	BMC (SBML)
iCT646	26915092	2016	Candida tropicalis	Genome-scale metabolic modeling and in silico analysis of lipid accumulating yeast Candida tropicalis for dicarboxylic acid production	Wiley (Doc)
iWV1213	26911256	2016	Mucor circinelloides	Genome-scale metabolic modeling of Mucor circinelloides and comparative analysis with other oleaginous species.	Elsevier (SBML)
yeast_8.3.4		2018	Saccharomyces cerevisiae		Zenodo (SBML)
