id	name	reactions	parent
OXIDATIVEPENT-PWY	pentose phosphate pathway (oxidative branch) I	GLU6PDEHYDROG-RXN|RXN-9952|6PGLUCONOLACT-RXN	Pentose-Phosphate-Cycle
PWY-7173	quercetin triglucoside biosynthesis	RXN-14000|RXN-14001|RXN1F-462	FLAVONOL-SYN|Glycosylation-Pathways
PWY-6401	hispidol and hispidol 4'-O-beta-D-glucoside biosynthesis	RXN-16236|RXN-16235|RXN-16234|RXN-16233|RXN-16232|RXN-8010|RXN-11086|RXN-11087|RXN-11084|RXN-11085|RXN-11083	AURONE-SYN
PWY-5642	2,4-dinitrotoluene degradation	RXN-17165|1.2.1.27-RXN|RXN-8824|RXN-8823|RXN-8822|RXN-8821|RXN-8820	Dinitrotoluene-Degradation
PWY-1901	aurone biosynthesis	RXN-8456|RXN-8011|RXN-8455|RXN-8454|RXN-8453|RXN-8012|RXN-8008|RXN-6242|RXN-3102	AURONE-SYN
PWY-7681	1-chloro-2-nitrobenzene degradation	RXN-16792	Dinitrotoluene-Degradation
PWY-6239	luteolin glycosides biosynthesis	RXN-13801|FLAVONE-7-O-BETA-GLUCOSYLTRANSFERASE-RXN|RXN-5004	FLAVONE-SYN
PWY-7796	pentose phosphate pathway (oxidative branch) II	R10-RXN|R12-RXN	Pentose-Phosphate-Cycle
PWY-7189	pinocembrin C-glucosylation	RXN-14085|RXN-14088|RXN-14087|RXN-14084|RXN-14083	FLAVONE-SYN
PWY-5637	nitrobenzene degradation I	RXN-18437|RXN-18436|5.4.4.1-RXN	Nitrobenzene-Degradation
PWY-7298	nevadensin biosynthesis	RXN-14657|RXN-14656|RXN-14635|RXN-14639|RXN-14655	FLAVONE-SYN
PWY-5645	4-chloronitrobenzene degradation	RXN-18438|RXN-10381|RXN-10245|RXN-10246|RXN-8838|RXN-8837|RXN-8836|RXN-8835|RXN-8834	Nitrobenzene-Degradation
PWY-8340	isoorientin biosynthesis II	RXN-9081	FLAVONE-SYN
PWY-5640	nitrobenzene degradation II	RXN-3661	Nitrobenzene-Degradation
PWY-5793	maysin biosynthesis	RXN-9085|RXN-9082	FLAVONE-SYN
NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch) I	RIB5PISOM-RXN|RIBULP3EPIM-RXN|1TRANSKETO-RXN|2TRANSKETO-RXN|TRANSALDOL-RXN	Pentose-Phosphate-Cycle
PWY-6024	isovitexin glycosides biosynthesis	RXN-16846|RXN-16845|RXN-16840|RXN-16839|RXN-16838|ISOVITEXIN-BETA-GLUCOSYLTRANSFERASE-RXN|RXN-9717|RXN-9716|RXN-9715|RXN-9714	FLAVONE-SYN
PWY-6051	2,4,6-trinitrotoluene degradation	RXN-9752|RXN-9751|RXN-9750|RXN-9749|RXN-9748|RXN-9747|RXN-9746|RXN-9745|RXN-9744|RXN-9743|RXN-9742|RXN-9741	Nitro-Toluene-Degradation
PWY-7188	orientin and isoorientin biosynthesis I	RXN-14079|RXN-14082|RXN-14081|RXN-14078|RXN-14077	FLAVONE-SYN
PWY-5641	2-nitrotoluene degradation	RXN-8819|2-OH-6-OXOHEPTA-2-4-DIENOATE-HYDR-RXN|CATECHOL-2-3-DIOXYGENASE-RXN	Nitro-Toluene-Degradation
PWY-7213	wogonin metabolism	RXN-14239|RXN-14062|RXN-14060	FLAVONE-SYN
PWY-5643	2,6-dinitrotoluene degradation	RXN-8827|RXN-8826|RXN-8825	Dinitrotoluene-Degradation
PWY-7444	luteolin triglucuronide biosynthesis	LUTEOLIN-7-O-GLUCORONOSYLTRANSFERASE-RXN|2.4.1.191-RXN|2.4.1.190-RXN	FLAVONE-SYN
PWY-5644	4-nitrotoluene degradation II	RXN-12735|RXN-14412|RXN-8842|RXN-8841|RXN-8840|RXN-8832|RXN-8829|RXN-8831|RXN-8828	4-Nitrotoluene-Degradation
PWY-5119	acacetin biosynthesis	APIGENIN-4-O-METHYLTRANSFERASE-RXN	FLAVONE-SYN
P421-PWY	4-nitrotoluene degradation I	R363-RXN|R362-RXN|R361-RXN	4-Nitrotoluene-Degradation
PWY-6015	vitexin and derivatives biosynthesis	RXN-4981|VITEXIN-BETA-GLUCOSYLTRANSFERASE-RXN|RXN-9705|RXN-9704	FLAVONE-SYN
PWY-7161	polymethylated quercetin biosynthesis	2.1.1.82-RXN|RXN-13932|RXN-13934|RXN-13933|RXN-13906|RXN-13930|QUERCETIN-3-O-METHYLTRANSFERASE-RXN|RXN-13929|RXN-8262	FLAVONE-SYN
PWY-7212	baicalein metabolism	RXN-14238|RXN-11760|RXN-11755|RXN-14237	FLAVONE-SYN
PWY-7325	salvigenin biosynthesis	RXN-15530|RXN-15529|RXN-15528|RXN-7650|RXN-14748|RXN-14752|RXN-14751|RXN-14750|RXN-14661	FLAVONE-SYN
PWY-5060	luteolin biosynthesis	RXN66-587|RXN-7687|RXN-7686|RXN-7653|RXN-7652|RXN-7650	FLAVONE-SYN
PWY-6010	apigenin glycosides biosynthesis	RXN-13800|RXN-5021|FLAVONE-APIOSYLTRANSFERASE-RXN|RXN-9699|RXN-9700	FLAVONE-SYN
PWY1F-823	leucopelargonidin and leucocyanidin biosynthesis	RXN-7775|RXN-525|DIHYDROKAEMPFEROL-4-REDUCTASE-RXN|RXN-600	LEUCOANTHOCYANIDIN-SYN
PWY-5152	leucodelphinidin biosynthesis	RXN-13718|RXN-525|RXN-7784|RXN-7922|RXN-7921	LEUCOANTHOCYANIDIN-SYN
PWY-641	proanthocyanidins biosynthesis from flavanols	RXN-18349|RXN-18348|RXN-17699|RXN-17698|RXN-10691|RXN-10692|RXN-10693	PROANTHOCYANIDIN-SYN
PWY-7464	cyanidin 3,7-diglucoside polyacylation biosynthesis	RXN-15374|RXN-15373|RXN-15372	ANTHOCYANIN-SYN
PWY-7252	luteolinidin 5-O-glucoside biosynthesis	RXN-14424|RXN-14423|RXN-14422	ANTHOCYANIN-SYN
PWY-7259	pelargonidin diglucoside biosynthesis (acyl-glucose dependent)	RXN-14447|RXN-14440|RXN-14439	ANTHOCYANIN-SYN|Glycosylation-Pathways
PWY-5153	anthocyanin biosynthesis (delphinidin 3-O-glucoside)	RXN-7785|RXN-7815	ANTHOCYANIN-SYN
PWY-7262	rose anthocyanin biosynthesis II (via cyanidin 3-O-beta-D-glucoside)	RXN-8169|RXN1F-775	ANTHOCYANIN-SYN|Glycosylation-Pathways
PWY-5284	shisonin biosynthesis	RXN-8205|RXN-8204|RXN-8171|RXN-8170|RXN-8169	ANTHOCYANIN-SYN
PWY-7449	acylated cyanidin galactoside biosynthesis	RXN-15323|RXN-15322|RXN-13962|RXN-15321|RXN-13974|RXN-13960	ANTHOCYANIN-SYN
