ID	Name	Reversible	Reactants	Products	E.C.	Pathway
R_MAL0001	hexokinase	true	M_atp_c[1];M_dglc_c[1];	M_h_c[1];M_adp_c[1];M_dg6p_c[1];			
R_MAL0002	Glucose-6-phosphate isomerase	true	M_dg6p_c[1];	M_f6p_c[1];			
R_MAL0003	6-phosphofructokinase	false	M_atp_c[1];M_f6p_c[1];	M_h_c[1];M_adp_c[1];M_f16p_c[1];			
R_MAL0004	fructose-bisphosphatase	false	M_h_c[1];M_f16p_c[1];M_h2o_c[1];	M_f6p_c[1];M_pi_c[1];			
R_MAL0005	Fructose-bisphosphate aldolase	true	M_h_c[1];M_f16p_c[1];	M_t3p1_c[1];M_t3p2_c[1];			
R_MAL0006	triosephosphate isomerase (TIM)	true	M_h_c[1];M_t3p2_c[1];	M_t3p1_c[1];			
R_MAL0007	glyceraldehyde-3-phosphate dehydrogenase	true	M_pi_c[1];M_t3p1_c[1];M_nad_c[1];	M_h_c[3];M_nadh_c[1];M_13pdg_c[1];			
R_MAL0008	Phosphoglycerate kinase	true	M_adp_c[1];M_13pdg_c[1];	M_atp_c[1];M_3pg_c[1];			
R_MAL0009	Phosphoglycerate mutase	true	M_3pg_c[1];	M_2pg_c[1];			
R_MAL0010	phosphopyruvate hydratase	true	M_h_c[1];M_2pg_c[1];	M_h2o_c[1];M_pep_c[1];			
R_MAL0011	pyruvate kinase	false	M_adp_c[1];M_pep_c[1];	M_atp_c[1];M_pyr_c[1];			
R_MAL0012	pyruvate, water dikinase	false	M_atp_c[1];M_pi_c[1];M_pyr_c[1];	M_h_c[1];M_pep_c[1];M_amp_c[1];M_ppi_c[1];			
R_MAL0013	aldehyde dehydrogenase (NAD+)	false	M_h2o_c[1];M_nad_c[1];M_acal_c[1];	M_h_c[2];M_nadh_c[1];M_ac_c[1];			
R_MAL0014	aldehyde dehydrogenase [NAD(P)[c] +]	false	M_h2o_c[1];M_acal_c[1];M_nadp_c[1];	M_h_c[2];M_ac_c[1];M_nadph_c[1];			
R_MAL0015	L-lactate dehydrogenase	true	M_h_c[1];M_nadh_c[1];M_pyr_c[1];	M_nad_c[1];M_llac_c[1];			
R_MAL0016	hexokinase	false	M_atp_c[1];M_glcn_c[1];	M_h_c[1];M_adp_c[1];M_ga6p_c[1];			
R_MAL0017	Alcohol dehydrogenase (NADP[c] +)	false	M_h_c[1];M_acal_c[1];M_nadph_c[1];	M_nadp_c[1];M_eth_c[1];			
R_MAL0018	Alcohol dehydrogenase	true	M_h_c[1];M_nadh_c[1];M_acal_c[1];	M_nad_c[1];M_eth_c[1];			
R_MAL0019	acetyl-CoA synthetase	true	M_ac_m[1];M_coa_m[1];M_atp_m[1];	M_accoa_m[1];M_ppi_m[1];M_amp_m[1];			
R_MAL0020	acetyl-CoA synthetase	true	M_ac_p[1];M_coa_p[1];M_atp_p[1];	M_accoa_p[1];M_ppi_p[1];M_amp_p[1];			
R_MAL0021	acetyl-CoA synthetase	true	M_atp_c[1];M_ac_c[1];M_coa_c[1];	M_amp_c[1];M_ppi_c[1];M_accoa_c[1];			
R_MAL0022	Pyruvate dehydrogenase complex	true	M_coa_m[1];M_pyr_m[1];M_nad_m[1];	M_accoa_m[1];M_nadh_m[1];M_co2_m[1];			
R_MAL0023	Phosphoglucomutase	true	M_g1p_c[1];	M_dg6p_c[1];			
R_MAL0024	ATP citrate synthase	false	M_atp_c[1];M_h_c[1];M_coa_c[1];M_cit_c[1];	M_adp_c[1];M_pi_c[1];M_accoa_c[1];M_oa_c[1];			
R_MAL0025	Aconitate hydratase	true	M_cit_m[1];	M_icit_m[1];			
R_MAL0026	Isocitrate dehydrogenase (NADP[c] +)	false	M_nadp_c[1];M_icit_c[1];	M_nadph_c[1];M_akg_c[1];M_co2_c[1];			
R_MAL0027	Isocitrate dehydrogenase (NADP[c] +)	false	M_icit_m[1];M_nadp_m[1];	M_co2_m[1];M_akg_m[1];M_nadph_m[1];			
R_MAL0028	Isocitrate dehydrogenase (NAD[e] +)	false	M_nad_m[1];M_icit_m[1];	M_nadh_m[1];M_co2_m[1];M_akg_m[1];			
R_MAL0029	2-Oxoglutarate dehydrogenase complex	false	M_coa_m[1];M_nad_m[1];M_akg_m[1];	M_nadh_m[1];M_co2_m[1];M_succoa_m[1];			
R_MAL0030	Succinate-CoA ligase (ADP-forming)	true	M_coa_m[1];M_atp_m[1];M_succ_m[1];M_h_m[1];	M_succoa_m[1];M_pi_m[1];M_adp_m[1];			
R_MAL0031	Succinate dehydrogenase (ubiquinone)	false	M_succ_m[1];M_q_m[1];	M_fum_m[1];M_qh2_m[1];			
R_MAL0032	Fumarate hydratase	true	M_fum_m[1];M_h2o_m[1];	M_mal_m[1];			
R_MAL0033	Malate dehydrogenase	true	M_nad_m[1];M_mal_m[1];	M_nadh_m[1];M_h_m[1];M_oa_m[1];			
R_MAL0034	Malate dehydrogenase	true	M_nad_c[1];M_mal_c[1];	M_h_c[1];M_nadh_c[1];M_oa_c[1];			
