MS ID	Old MS ID	External ID	Source
rxn07912	rxn07912	12DGR120tipp	BiGG
rxn07913	rxn07913	12DGR140tipp	BiGG
rxn07914	rxn07914	12DGR141tipp	BiGG
rxn07915	rxn07915	12DGR160tipp	BiGG
rxn07916	rxn07916	12DGR161tipp	BiGG
rxn07917	rxn07917	12DGR180tipp	BiGG
rxn07918	rxn07918	12DGR181tipp	BiGG
rxn07919	rxn07919	12PPDRtex	BiGG
rxn07920	rxn07920	12PPDRtpp	BiGG
rxn07921	rxn07921	12PPDStex	BiGG
rxn07922	rxn07922	12PPDStpp	BiGG
rxn10140	rxn10140	12PPDt	BiGG
rxn09611	rxn09611	13BGH	BiGG
rxn39070	rxn09611	13BGHe	BiGG
rxn09400	rxn09400	13GS	BiGG
rxn07923	rxn07923	14GLUCANabcpp	BiGG
rxn07924	rxn07924	14GLUCANtexi	BiGG
rxn13184	rxn13184	16GS	BiGG
rxn01579		1PPDCRc	BiGG
rxn07925	rxn07925	23CAMPtex	BiGG
rxn13185	rxn13185	23CAPPD	BiGG
rxn07926	rxn07926	23CCMPtex	BiGG
rxn07927	rxn07927	23CGMPtex	BiGG
rxn02521		23CN2P1	BiGG
rxn02522		23CN2P2	BiGG
rxn02762		23CN2P3	BiGG
rxn03483		23CN2P4	BiGG
rxn07928	rxn07928	23CUMPtex	BiGG
rxn07929	rxn07929	23DAPPAt2pp	BiGG
rxn07930	rxn07930	23DAPPAtex	BiGG
rxn19341	rxn02522	23PDE2pp	BiGG
rxn19340	rxn02762	23PDE4pp	BiGG
rxn19338	rxn02521	23PDE7pp	BiGG
rxn19339	rxn03483	23PDE9pp	BiGG
rxn04786		24DAB4AT	BiGG
rxn07931	rxn07931	26DAHtex	BiGG
rxn02900		2AEPPNAT	BiGG
rxn07932	rxn07932	2AGPA120tipp	BiGG
rxn07933	rxn07933	2AGPA140tipp	BiGG
rxn07934	rxn07934	2AGPA141tipp	BiGG
rxn07935	rxn07935	2AGPA160tipp	BiGG
rxn07936	rxn07936	2AGPA161tipp	BiGG
rxn07937	rxn07937	2AGPA180tipp	BiGG
rxn07938	rxn07938	2AGPA181tipp	BiGG
rxn07939	rxn07939	2AGPE120tipp	BiGG
rxn07940	rxn07940	2AGPE140tipp	BiGG
rxn07941	rxn07941	2AGPE141tipp	BiGG
rxn07942	rxn07942	2AGPE160tipp	BiGG
rxn07943	rxn07943	2AGPE161tipp	BiGG
rxn07944	rxn07944	2AGPE180tipp	BiGG
rxn07945	rxn07945	2AGPE181tipp	BiGG
rxn07946	rxn07946	2AGPEAT120	BiGG
rxn07947	rxn07947	2AGPEAT140	BiGG
rxn07948	rxn07948	2AGPEAT141	BiGG
rxn07949	rxn07949	2AGPEAT160	BiGG
rxn07950	rxn07950	2AGPEAT161	BiGG
rxn07951	rxn07951	2AGPEAT180	BiGG
rxn07952	rxn07952	2AGPEAT181	BiGG
rxn07953	rxn07953	2AGPG120tipp	BiGG
rxn07954	rxn07954	2AGPG140tipp	BiGG
rxn07955	rxn07955	2AGPG141tipp	BiGG
rxn07956	rxn07956	2AGPG160tipp	BiGG
rxn07957	rxn07957	2AGPG161tipp	BiGG
rxn07958	rxn07958	2AGPG180tipp	BiGG
rxn07959	rxn07959	2AGPG181tipp	BiGG
rxn07960	rxn07960	2AGPGAT120	BiGG
rxn07961	rxn07961	2AGPGAT140	BiGG
rxn07962	rxn07962	2AGPGAT141	BiGG
rxn07963	rxn07963	2AGPGAT160	BiGG
rxn07964	rxn07964	2AGPGAT161	BiGG
rxn07965	rxn07965	2AGPGAT180	BiGG
rxn07966	rxn07966	2AGPGAT181	BiGG
rxn02900		2AMIPYT	BiGG
rxn09807	rxn09807	2DDA7Ptm	BiGG
rxn02842		2DGLCNDH	BiGG
rxn07967	rxn07967	2DGLCNRx	BiGG
rxn01277	rxn01277	2DGLCNRy	BiGG
rxn07969	rxn07969	2DGULRx	BiGG
rxn07970	rxn07970	2DGULRy	BiGG
rxn09806	rxn09806	2DHPtm	BiGG
rxn01883	rxn01883	2DOXG6PP	BiGG
rxn00741	rxn00741	2HBO	BiGG
rxn12585	rxn12585	2HBt2	BiGG
rxn30325	rxn13186	2HMHMBQMTm	BiGG
rxn30326	rxn03390	2HP6MPMOm	BiGG
rxn30327	rxn03391	2HPMBQMTm	BiGG
rxn13187	rxn13187	2HPMMBQMOm	BiGG
rxn02007		2INSD	BiGG
rxn00899	rxn00899	2LDA	BiGG
rxn01924	rxn01924	2MACOAD	BiGG
rxn07971	rxn07971	2MAHMP	BiGG
rxn13188	rxn13188	2MBACt	BiGG
rxn13189	rxn13189	2MBALDt	BiGG
rxn13190	rxn13190	2MBALDtm	BiGG
rxn02270	rxn02270	2MBCOAD	BiGG
rxn13191	rxn13191	2MBTOHt	BiGG
rxn13192	rxn13192	2MBTOHtm	BiGG
rxn13193	rxn13193	2MPPALt	BiGG
rxn13194	rxn13194	2MPPALtm	BiGG
rxn30222		2OBUTtex	BiGG
rxn13195	rxn13195	2OBUTtm	BiGG
rxn30223		2OBUTtpp	BiGG
rxn09803	rxn09803	2OXOADPtim	BiGG
rxn01926	rxn01926	2PGK	BiGG
rxn30224		2PGLYCt6ex	BiGG
rxn30225		2PGLYCt6pp	BiGG
rxn30226		2PGt6ex	BiGG
rxn30450		2PGt6ii	BiGG
rxn30227		2PGt6pp	BiGG
rxn13196	rxn13196	2PHETOHt	BiGG
rxn13197	rxn13197	2PHETOHtm	BiGG
rxn10420	rxn10420	2PLS	BiGG
rxn30328	rxn02392	34HPLFM	BiGG
rxn01827	rxn01827	34HPPOR	BiGG
rxn09802	rxn09802	34HPPt2m	BiGG
rxn09869	rxn09869	34HPPt2p	BiGG
