ID	NAMES	KEGG	COMPARTMENT	MATCH	MODELSEED	MS NAMES
00001	C00058_Formate_CH2O2	C00058	C_00002	Y	cpd00047	Formate
00002	C00058_Formate_CH2O2	C00058	C_00003	Y	cpd00047	Formate
00003	C05269_3-Oxohexanoyl-CoA_C27H44N7O18P3S	C05269	C_00002	Y	cpd03123	3-Oxohexanoyl-CoA
00004	C00003_NAD+_C21H28N7O14P2	C00003	C_00002	Y	cpd00003	NAD
00005	C00004_NADH_C21H29N7O14P2	C00004	C_00002	Y	cpd00004	NADH
00006	C00080_H+_H	C00080	C_00002	Y	cpd00067	H+
00007	C05268_(S)-Hydroxyhexanoyl-CoA_C27H46N7O18P3S	C05268	C_00002	Y	cpd03122	(S)-Hydroxyhexanoyl-CoA
00008	C05259_3-Oxopalmitoyl-CoA_C37H64N7O18P3S	C05259	C_00002	Y	cpd03114	3-Oxopalmitoyl-CoA
00009	C05258_(S)-3-Hydroxyhexadecanoyl-CoA_C37H66N7O18P3S	C05258	C_00002	Y	cpd03113	(S)-3-Hydroxyhexadecanoyl-CoA
00010	C00441_L-Aspartate 4-semialdehyde_C4H7NO3	C00441	C_00002	Y	cpd00346	L-Aspartate4-semialdehyde
00011	C00441_L-Aspartate 4-semialdehyde_C4H7NO3	C00441	C_00003	Y	cpd00346	L-Aspartate4-semialdehyde
00012	C00002_ATP_C10H16N5O13P3	C00002	C_00003	Y	cpd00002	ATP
00013	C00001_H2O_H2O	C00001	C_00003	Y	cpd00001	H2O
00014	C00533_Nitric oxide_NO	C00533	C_00003	Y	cpd00418	NO
00015	C00009_Orthophosphate_H3PO4	C00009	C_00003	Y	cpd00009	Phosphate
00016	C00008_ADP_C10H15N5O10P2	C00008	C_00003	Y	cpd00008	ADP
00017	C00533_Nitric oxide_NO	C00533	C_00001	Y	cpd00418	NO
00018	C00111_Glycerone phosphate_C3H7O6P	C00111	C_00003	Y	cpd00095	Glycerone-phosphate
00019	C00184_Glycerone_C3H6O3	C00184	C_00003	Y	cpd00157	Glycerone
00020	C00255_Riboflavin_C17H20N4O6	C00255	C_00003	Y	cpd00220	Riboflavin
00021	C00061_FMN_C17H21N4O9P	C00061	C_00003	Y	cpd00050	FMN
00022	C00233_4-Methyl-2-oxopentanoate_C6H10O3	C00233	C_00002	Y	cpd00200	4MOP
00023	C00233_4-Methyl-2-oxopentanoate_C6H10O3	C00233	C_00003	Y	cpd00200	4MOP
00024	C00025_L-Glutamate_C5H9NO4	C00025	C_00003	Y	cpd00023	L-Glutamate
00025	C00025_L-Glutamate_C5H9NO4	C00025	C_00001	Y	cpd00023	L-Glutamate
00026	C00037_Glycine_C2H5NO2	C00037	C_00003	Y	cpd00033	Glycine
00027	C00037_Glycine_C2H5NO2	C00037	C_00001	Y	cpd00033	Glycine
00028	G10618_Dolichyl D-glucosyl phosphate	G10618	C_00003	Y	cpd21701	Dolichyl D-glucosyl phosphate
00029	G10622_Dolichyl phosphate	G10622	C_00003	Y	cpd11619	Dolichyl phosphate
00030	G10599	G10599	C_00003	Y	cpd21699	(Glc)2(GlcNAc)2(Man)9(PP-Dol)1
00031	G10598	G10598	C_00003	Y	cpd21698	(Glc)1(GlcNAc)2(Man)9(PP-Dol)1
00032	C05266_(S)-3-Hydroxyoctanoyl-CoA_C29H50N7O18P3S	C05266	C_00002	Y	cpd03120	(S)-Hydroxyoctanoyl-CoA
00033	C05267_3-Oxooctanoyl-CoA_C29H48N7O18P3S	C05267	C_00002	Y	cpd03121	3-Oxooctanoyl-CoA
00034	C00085_D-Fructose 6-phosphate_C6H13O9P	C00085	C_00003	Y	cpd00072	D-fructose-6-phosphate
00035	C00352_D-Glucosamine 6-phosphate_C6H14NO8P	C00352	C_00003	Y	cpd00288	D-Glucosamine phosphate
00036	C00014_NH3_NH3	C00014	C_00003	Y	cpd00013	NH3
00037	C00003_NAD+_C21H28N7O14P2	C00003	C_00003	Y	cpd00003	NAD
00038	C16329_3-Hydroxy-OPC8-CoA_C39H64N7O19P3S	C16329	C_00003	Y	cpd15045	3-Hydroxy-OPC8-CoA
00039	C00004_NADH_C21H29N7O14P2	C00004	C_00003	Y	cpd00004	NADH
00040	C16330_3-Oxo-OPC8-CoA_C39H62N7O19P3S	C16330	C_00003	Y	cpd15046	3-Oxo-OPC8-CoA
00041	C00080_H+_H	C00080	C_00003	Y	cpd00067	H+
00042	C05262_(S)-3-Hydroxydodecanoyl-CoA_C33H58N7O18P3S	C05262	C_00003	Y	cpd03116	(S)-3-Hydroxydodecanoyl-CoA
00043	C05263_3-Oxododecanoyl-CoA_C33H56N7O18P3S	C05263	C_00003	Y	cpd03117	3-Oxododecanoyl-CoA
00044	C00235_Dimethylallyl diphosphate_C5H12O7P2	C00235	C_00003	Y	cpd00202	DMAPP
00045	C00235_Dimethylallyl diphosphate_C5H12O7P2	C00235	C_00001	Y	cpd00202	DMAPP
00046	C05264_(S)-Hydroxydecanoyl-CoA_C31H54N7O18P3S	C05264	C_00002	Y	cpd03118	(S)-Hydroxydecanoyl-CoA
00047	C05265_3-Oxodecanoyl-CoA_C31H52N7O18P3S	C05265	C_00002	Y	cpd03119	3-Oxodecanoyl-CoA
00048	C16334_3-Oxo-OPC6-CoA_C37H58N7O19P3S	C16334	C_00003	Y	cpd15050	3-Oxo-OPC6-CoA
00049	C16333_3-Hydroxy-OPC6-CoA_C37H60N7O19P3S	C16333	C_00003	Y	cpd15049	3-Hydroxy-OPC6-CoA
00050	C16338_3-Oxo-OPC4-CoA_C35H54N7O19P3S	C16338	C_00003	Y	cpd15054	3-Oxo-OPC4-CoA
00051	C16337_3-Hydroxy-OPC4-CoA_C35H56N7O19P3S	C16337	C_00003	Y	cpd15053	3-Hydroxy-OPC4-CoA
