ID	Name	Compartment	Charge	boundary Condition	KEGG	InChI
E_00001	1.C.90.1.#	C_00002	UNDEF	UNDEF		
M_00001	C00058_Formate_CH2O2	C_00002	UNDEF	UNDEF	C00058	
M_00002	C00058_Formate_CH2O2	C_00003	UNDEF	UNDEF	C00058	
E_00002	1.1.1.211	C_00002	UNDEF	UNDEF		
E_00003	1.1.1.35	C_00002	UNDEF	UNDEF		
M_00003	C05269_3-Oxohexanoyl-CoA_C27H44N7O18P3S	C_00002	UNDEF	UNDEF	C05269	
M_00004	C00003_NAD+_C21H28N7O14P2	C_00002	UNDEF	UNDEF	C00003	
M_00005	C00004_NADH_C21H29N7O14P2	C_00002	UNDEF	UNDEF	C00004	
M_00006	C00080_H+_H	C_00002	UNDEF	UNDEF	C00080	
M_00007	C05268_(S)-Hydroxyhexanoyl-CoA_C27H46N7O18P3S	C_00002	UNDEF	UNDEF	C05268	
M_00008	C05259_3-Oxopalmitoyl-CoA_C37H64N7O18P3S	C_00002	UNDEF	UNDEF	C05259	
M_00009	C05258_(S)-3-Hydroxyhexadecanoyl-CoA_C37H66N7O18P3S	C_00002	UNDEF	UNDEF	C05258	
M_00010	C00441_L-Aspartate 4-semialdehyde_C4H7NO3	C_00002	UNDEF	UNDEF	C00441	
M_00011	C00441_L-Aspartate 4-semialdehyde_C4H7NO3	C_00003	UNDEF	UNDEF	C00441	
E_00004	3.A.1.204.#	C_00004	UNDEF	UNDEF		
E_00005	3.A.1.205.#	C_00004	UNDEF	UNDEF		
M_00012	C00002_ATP_C10H16N5O13P3	C_00003	UNDEF	UNDEF	C00002	
M_00013	C00001_H2O_H2O	C_00003	UNDEF	UNDEF	C00001	
M_00014	C00533_Nitric oxide_NO	C_00003	UNDEF	UNDEF	C00533	
M_00015	C00009_Orthophosphate_H3PO4	C_00003	UNDEF	UNDEF	C00009	
M_00016	C00008_ADP_C10H15N5O10P2	C_00003	UNDEF	UNDEF	C00008	
M_00017	C00533_Nitric oxide_NO	C_00001	UNDEF	UNDEF	C00533	
E_00006	2.7.1.29	C_00003	UNDEF	UNDEF		
M_00018	C00111_Glycerone phosphate_C3H7O6P	C_00003	UNDEF	UNDEF	C00111	
M_00019	C00184_Glycerone_C3H6O3	C_00003	UNDEF	UNDEF	C00184	
E_00007	2.7.1.26	C_00003	UNDEF	UNDEF		
M_00020	C00255_Riboflavin_C17H20N4O6	C_00003	UNDEF	UNDEF	C00255	
M_00021	C00061_FMN_C17H21N4O9P	C_00003	UNDEF	UNDEF	C00061	
E_00008	2.A.82.1.#	C_00002	UNDEF	UNDEF		
M_00022	C00233_4-Methyl-2-oxopentanoate_C6H10O3	C_00002	UNDEF	UNDEF	C00233	
M_00023	C00233_4-Methyl-2-oxopentanoate_C6H10O3	C_00003	UNDEF	UNDEF	C00233	
M_00024	C00025_L-Glutamate_C5H9NO4	C_00003	UNDEF	UNDEF	C00025	
M_00025	C00025_L-Glutamate_C5H9NO4	C_00001	UNDEF	UNDEF	C00025	
M_00026	C00037_Glycine_C2H5NO2	C_00003	UNDEF	UNDEF	C00037	
M_00027	C00037_Glycine_C2H5NO2	C_00001	UNDEF	UNDEF	C00037	
E_00009	2.4.1.265	C_00003	UNDEF	UNDEF		
M_00028	G10618_Dolichyl D-glucosyl phosphate	C_00003	UNDEF	UNDEF	G10618	
M_00029	G10622_Dolichyl phosphate	C_00003	UNDEF	UNDEF	G10622	
M_00030	G10599	C_00003	UNDEF	UNDEF	G10599	
M_00031	G10598	C_00003	UNDEF	UNDEF	G10598	
M_00032	C05266_(S)-3-Hydroxyoctanoyl-CoA_C29H50N7O18P3S	C_00002	UNDEF	UNDEF	C05266	
M_00033	C05267_3-Oxooctanoyl-CoA_C29H48N7O18P3S	C_00002	UNDEF	UNDEF	C05267	
E_00010	3.5.99.6	C_00003	UNDEF	UNDEF		
M_00034	C00085_D-Fructose 6-phosphate_C6H13O9P	C_00003	UNDEF	UNDEF	C00085	
M_00035	C00352_D-Glucosamine 6-phosphate_C6H14NO8P	C_00003	UNDEF	UNDEF	C00352	
M_00036	C00014_NH3_NH3	C_00003	UNDEF	UNDEF	C00014	
E_00011	1.1.1.211	C_00003	UNDEF	UNDEF		
E_00012	1.1.1.35	C_00003	UNDEF	UNDEF		
M_00037	C00003_NAD+_C21H28N7O14P2	C_00003	UNDEF	UNDEF	C00003	
M_00038	C16329_3-Hydroxy-OPC8-CoA_C39H64N7O19P3S	C_00003	UNDEF	UNDEF	C16329	
M_00039	C00004_NADH_C21H29N7O14P2	C_00003	UNDEF	UNDEF	C00004	
M_00040	C16330_3-Oxo-OPC8-CoA_C39H62N7O19P3S	C_00003	UNDEF	UNDEF	C16330	
M_00041	C00080_H+_H	C_00003	UNDEF	UNDEF	C00080	
M_00042	C05262_(S)-3-Hydroxydodecanoyl-CoA_C33H58N7O18P3S	C_00003	UNDEF	UNDEF	C05262	
M_00043	C05263_3-Oxododecanoyl-CoA_C33H56N7O18P3S	C_00003	UNDEF	UNDEF	C05263	
E_00013	3.A.3.10.#	C_00004	UNDEF	UNDEF		
E_00014	3.A.3.14.#	C_00004	UNDEF	UNDEF		
E_00015	3.A.3.8.#	C_00004	UNDEF	UNDEF		
M_00044	C00235_Dimethylallyl diphosphate_C5H12O7P2	C_00003	UNDEF	UNDEF	C00235	
M_00045	C00235_Dimethylallyl diphosphate_C5H12O7P2	C_00001	UNDEF	UNDEF	C00235	
M_00046	C05264_(S)-Hydroxydecanoyl-CoA_C31H54N7O18P3S	C_00002	UNDEF	UNDEF	C05264	
