ID	NAMES	KEGG	COMPARTMENT
00001	1.C.90.1.#		C_00002
00002	1.1.1.211		C_00002
00003	1.1.1.35		C_00002
00004	3.A.1.204.#		C_00004
00005	3.A.1.205.#		C_00004
00006	2.7.1.29		C_00003
00007	2.7.1.26		C_00003
00008	2.A.82.1.#		C_00002
00009	2.4.1.265		C_00003
00010	3.5.99.6		C_00003
00011	1.1.1.211		C_00003
00012	1.1.1.35		C_00003
00013	3.A.3.10.#		C_00004
00014	3.A.3.14.#		C_00004
00015	3.A.3.8.#		C_00004
00016	2.5.1.54		C_00003
00017	2.3.1.15		C_00003
00018	2.A.29.1.#		C_00002
00019	2.A.29.15.#		C_00002
00020	2.A.29.2.#		C_00002
00021	2.A.29.7.#		C_00002
00022	2.A.29.9.#		C_00002
00023	4.2.1.17		C_00003
00024	4.2.1.55		C_00003
00025	1.1.1.157		C_00003
00026	3.5.2.3		C_00003
00027	2.A.18.4.#		C_00004
00028	2.A.18.6.#		C_00004
00029	2.A.18.7.#		C_00004
00030	2.A.3.10.#		C_00004
00031	2.A.3.4.#		C_00004
00032	2.A.3.8.#		C_00004
00033	1.5.1.20		C_00003
00034	2.4.1.261		C_00003
00035	3.5.1.23		C_00003
00036	2.5.1.61		C_00002
00037	3.5.1.1		C_00003
00038	3.5.1.38		C_00003
00039	3.5.5.4		C_00003
00040	2.A.18.5.#		C_00004
00041	4.2.1.59		C_00003
00042	3.5.1.4		C_00003
00043	1.1.1.8		C_00003
00044	1.1.1.94		C_00003
00045	3.5.2.5		C_00003
00046	2.4.1.260		C_00003
00047	9.A.27.1.#		C_00002
00048	2.3.1.85		C_00002
00049	2.3.1.86		C_00002
00050	4.2.1.59		C_00002
00051	3.2.2.5		C_00003
00052	3.2.2.6		C_00003
00053	1.3.1.9		C_00002
00054	1.3.1.10		C_00003
00055	2.3.1.30		C_00003
00056	1.1.1.3		C_00002
00057	1.1.1.3		C_00003
00058	2.4.1.257		C_00003
00059	3.5.1.54		C_00003
00060	2.5.1.48		C_00003
00061	4.1.1.49		C_00003
00062	1.4.1.18		C_00003
00063	2.3.1.41		C_00002
00064	3.1.2.14		C_00003
00065	1.14.19.2		C_00002
00066	3.1.2.14		C_00002
