ID	NAMES	EQUATION	TRANSPORT	ADJUSTED	MATCH	COMPLETE	MODELSEED	MS DEFINITION
00001	T00120_4501_C4__(1.0Formate(MITO)=>1.0Formate(CYTO))	00001(cpd00047)[0] => 00002(cpd00047)[1]	Y	N	Y	Y	rxn08525	(1) Formate[0] <=> (1) Formate[1]
00002	R04748_C4__((S)-Hydroxyhexanoyl-CoA+NAD+<=>3-Oxohexanoyl-CoA+NADH+H+)	00004(cpd00003)[0] 00007(cpd03122)[0] => 00003(cpd03123)[0] 00005(cpd00004)[0] 00006(cpd00067)[0]	N	N	Y	Y	rxn03249	(1) NAD[0] + (1) (S)-Hydroxyhexanoyl-CoA[0] <=> (1) NADH[0] + (1) H+[0] + (1) 3-Oxohexanoyl-CoA[0]
00003	R04737_C4__((S)-3-Hydroxyhexadecanoyl-CoA+NAD+<=>3-Oxopalmitoyl-CoA+NADH+H+)	00004(cpd00003)[0] 00009(cpd03113)[0] => 00008(cpd03114)[0] 00005(cpd00004)[0] 00006(cpd00067)[0]	N	N	Y	Y	rxn03239	(1) NAD[0] + (1) (S)-3-Hydroxyhexadecanoyl-CoA[0] <=> (1) NADH[0] + (1) H+[0] + (1) 3-Oxopalmitoyl-CoA[0]
00004	T00120_4513_C4__(1.0L-Aspartate4-semialdehyde(MITO)=>1.0L-Aspartate4-semialdehyde(CYTO))	00010(cpd00346)[0] => 00011(cpd00346)[1]	Y	N	Y	Y	rxn32742	(1) L-Aspartate4-semialdehyde[0] <=> (1) L-Aspartate4-semialdehyde[1]
00005	T02578_0_0_2393_0_0_C7__(1.0ATP(CYTO)+1.0H2O(CYTO)+1.0Nitricoxide(CYTO)=>1.0Orthophosphate(CYTO)+1.0ADP(CYTO)+1.0Nitricoxide(EXTR))	00012(cpd00002)[0] 00013(cpd00001)[0] 00014(cpd00418)[0] => 00015(cpd00009)[0] 00016(cpd00008)[0] 00017(cpd00418)[1]	Y	N	N	Y	frxn00001	
00006	R01011_C3__(ATP+Glycerone=>ADP+Glyceronephosphate)	00012(cpd00002)[0] 00019(cpd00157)[0] => 00018(cpd00095)[0] 00016(cpd00008)[0]	N	N	Y	Y	rxn00744	(1) ATP[0] + (1) Glycerone[0] => (1) ADP[0] + (1) H+[0] + (1) Glycerone-phosphate[0]
00007	R00549_C3__(ATP+Riboflavin=>ADP+FMN)	00020(cpd00220)[0] 00012(cpd00002)[0] => 00021(cpd00050)[0] 00016(cpd00008)[0]	N	N	Y	Y	rxn00392	(1) ATP[0] + (1) Riboflavin[0] => (1) ADP[0] + (1) FMN[0]
00008	T00016_2092_C4__(1.04-Methyl-2-oxopentanoate(MITO)<=>1.04-Methyl-2-oxopentanoate(CYTO))	00022(cpd00200)[0] => 00023(cpd00200)[1]	Y	N	Y	Y	rxn11318	(1) 4MOP[0] <=> (1) 4MOP[1]
00009	T02578_0_0_2392_0_0_C7__(1.0ATP(CYTO)+1.0H2O(CYTO)+1.0L-Glutamate(CYTO)=>1.0Orthophosphate(CYTO)+1.0ADP(CYTO)+1.0L-Glutamate(EXTR))	00012(cpd00002)[0] 00013(cpd00001)[0] 00024(cpd00023)[0] => 00015(cpd00009)[0] 00016(cpd00008)[0] 00025(cpd00023)[1]	Y	N	N	Y	frxn00002	
00010	T02578_0_0_2391_0_0_C7__(1.0ATP(CYTO)+1.0H2O(CYTO)+1.0Glycine(CYTO)=>1.0Orthophosphate(CYTO)+1.0ADP(CYTO)+1.0Glycine(EXTR))	00012(cpd00002)[0] 00013(cpd00001)[0] 00026(cpd00033)[0] => 00015(cpd00009)[0] 00016(cpd00008)[0] 00027(cpd00033)[1]	Y	N	N	Y	frxn00003	
00011	R06263_C3__(DolichylD-glucosylphosphate+G10598<=>Dolichylphosphate+G10599)	00028(cpd21701)[0] 00031(cpd21698)[0] => 00029(cpd11619)[0] 00030(cpd21699)[0]	N	N	Y	Y	rxn31503	(1) (Glc)1(GlcNAc)2(Man)9(PP-Dol)1[0] + (1) Dolichyl D-glucosyl phosphate[0] <=> (1) Dolichyl phosphate[0] + (1) (Glc)2(GlcNAc)2(Man)9(PP-Dol)1[0]
00012	R04745_C4__((S)-3-Hydroxyoctanoyl-CoA+NAD+<=>3-Oxooctanoyl-CoA+NADH+H+)	00032(cpd03120)[0] 00004(cpd00003)[0] => 00033(cpd03121)[0] 00005(cpd00004)[0] 00006(cpd00067)[0]	N	N	Y	Y	rxn03246	(1) NAD[0] + (1) (S)-Hydroxyoctanoyl-CoA[0] <=> (1) NADH[0] + (1) H+[0] + (1) 3-Oxooctanoyl-CoA[0]
