ID	Name	Reversible	Reactants	Products	E.C.	Pathway
R_00001	T00120_4501_C4__(1.0Formate(MITO)=>1.0Formate(CYTO))	false	M_00001[1];	M_00002[1];			
R_00002	R04748_C4__((S)-Hydroxyhexanoyl-CoA+NAD+<=>3-Oxohexanoyl-CoA+NADH+H+)	true	M_00004[1];M_00007[1];	M_00003[1];M_00005[1];M_00006[1];			
R_00003	R04737_C4__((S)-3-Hydroxyhexadecanoyl-CoA+NAD+<=>3-Oxopalmitoyl-CoA+NADH+H+)	true	M_00004[1];M_00009[1];	M_00008[1];M_00005[1];M_00006[1];			
R_00004	T00120_4513_C4__(1.0L-Aspartate4-semialdehyde(MITO)=>1.0L-Aspartate4-semialdehyde(CYTO))	false	M_00010[1];	M_00011[1];			
R_00005	T02578_0_0_2393_0_0_C7__(1.0ATP(CYTO)+1.0H2O(CYTO)+1.0Nitricoxide(CYTO)=>1.0Orthophosphate(CYTO)+1.0ADP(CYTO)+1.0Nitricoxide(EXTR))	false	M_00012[1];M_00013[1];M_00014[1];	M_00015[1];M_00016[1];M_00017[1];			
R_EX_00017_	R_EX_C00533_Nitric oxide_NO	false	M_00017[1];				
R_00006	R01011_C3__(ATP+Glycerone=>ADP+Glyceronephosphate)	false	M_00012[1];M_00019[1];	M_00018[1];M_00016[1];			
R_00007	R00549_C3__(ATP+Riboflavin=>ADP+FMN)	false	M_00020[1];M_00012[1];	M_00021[1];M_00016[1];			
R_00008	T00016_2092_C4__(1.04-Methyl-2-oxopentanoate(MITO)<=>1.04-Methyl-2-oxopentanoate(CYTO))	true	M_00022[1];	M_00023[1];			
R_00009	T02578_0_0_2392_0_0_C7__(1.0ATP(CYTO)+1.0H2O(CYTO)+1.0L-Glutamate(CYTO)=>1.0Orthophosphate(CYTO)+1.0ADP(CYTO)+1.0L-Glutamate(EXTR))	false	M_00012[1];M_00013[1];M_00024[1];	M_00015[1];M_00016[1];M_00025[1];			
R_EX_00025_	R_EX_C00025_L-Glutamate_C5H9NO4	false	M_00025[1];				
R_00010	T02578_0_0_2391_0_0_C7__(1.0ATP(CYTO)+1.0H2O(CYTO)+1.0Glycine(CYTO)=>1.0Orthophosphate(CYTO)+1.0ADP(CYTO)+1.0Glycine(EXTR))	false	M_00012[1];M_00013[1];M_00026[1];	M_00015[1];M_00016[1];M_00027[1];			
R_EX_00027_	R_EX_C00037_Glycine_C2H5NO2	false	M_00027[1];				
R_00011	R06263_C3__(DolichylD-glucosylphosphate+G10598<=>Dolichylphosphate+G10599)	true	M_00028[1];M_00031[1];	M_00029[1];M_00030[1];			
R_00012	R04745_C4__((S)-3-Hydroxyoctanoyl-CoA+NAD+<=>3-Oxooctanoyl-CoA+NADH+H+)	true	M_00032[1];M_00004[1];	M_00033[1];M_00005[1];M_00006[1];			
R_00013	R00765_C3__(D-Glucosamine6-phosphate+H2O<=>D-Fructose6-phosphate+NH3)	true	M_00013[1];M_00035[1];	M_00034[1];M_00036[1];			
R_00014	R07890_C3__(3-Hydroxy-OPC8-CoA+NAD+<=>3-Oxo-OPC8-CoA+NADH+H+)	true	M_00037[1];M_00038[1];	M_00039[1];M_00040[1];M_00041[1];			
R_00015	R04741_C3__((S)-3-Hydroxydodecanoyl-CoA+NAD+<=>3-Oxododecanoyl-CoA+NADH+H+)	true	M_00042[1];M_00037[1];	M_00043[1];M_00039[1];M_00041[1];			
R_00016	T02790_577_0_0_0_0_C7__(1.0Dimethylallyldiphosphate(CYTO)+1.0ATP(CYTO)+1.0H2O(CYTO)=>1.0Dimethylallyldiphosphate(EXTR)+1.0Orthophosphate(CYTO)+1.0ADP(CYTO))	false	M_00044[1];M_00012[1];M_00013[1];	M_00045[1];M_00015[1];M_00016[1];			
R_EX_00045_	R_EX_C00235_Dimethylallyl diphosphate_C5H12O7P2	false	M_00045[1];				
R_00017	R04743_C4__((S)-Hydroxydecanoyl-CoA+NAD+<=>3-Oxodecanoyl-CoA+NADH+H+)	true	M_00046[1];M_00004[1];	M_00047[1];M_00005[1];M_00006[1];			
