id	name	description	reactions	parent
M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate		R01786|R02189|R09085|R02740|R04779|R09084|R01070|R01015|R01061|R01063|R01512|R07159|R01518|R00658|R00200	rn00010|rn01200|Central carbohydrate metabolism
M00002	Glycolysis, core module involving three-carbon compounds		R01015|R01061|R01063|R01512|R07159|R01518|R00658|R00200	rn00010|rn01200|rn01230|Central carbohydrate metabolism
M00003	Gluconeogenesis, oxaloacetate => fructose-6P		R00431|R00726|R00341|R00658|R01518|R01512|R01061|R01063|R01015|R01070|R04780	rn00010|rn00020|Central carbohydrate metabolism
M00004	Pentose phosphate pathway (Pentose phosphate cycle)		R02736|R10907|R02035|R01528|R10221|R01529|R01056|R01641|R01827|R01830|R02740|R02739	rn00030|rn01200|rn01120|Central carbohydrate metabolism
M00005	PRPP biosynthesis, ribose 5P => PRPP		R01049	rn00030|rn00230|rn01200|rn01230|Central carbohydrate metabolism
M00006	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P		R02736|R10907|R02035|R01528|R10221	rn00030|rn01200|rn01120|Central carbohydrate metabolism
M00007	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P		R01830|R01827|R01641|R01529|R01056	rn00030|rn01200|rn01230|rn01120|Central carbohydrate metabolism
M00008	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate		R02736|R02035|R02036|R05605	rn00030|rn01200|rn01120|Central carbohydrate metabolism
M00009	Citrate cycle (TCA cycle, Krebs cycle)		R00351|R01325+R01900|R01324|R01899+R00268|R00267|R00709|R00621+R03316|R01700|R02570|R07618|R01197|R00405|R00432|R00727|R10343|R02164|R01082|R00342|R00361	rn00020|rn01200|Central carbohydrate metabolism
M00010	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate		R00351|R01325+R01900|R01324|R01899+R00268|R00267|R00709	rn00020|rn01200|rn01210|rn01230|Central carbohydrate metabolism
M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate		R00621+R03316|R01700|R02570|R07618|R01197|R00405|R00432|R00727|R10343|R02164|R01082|R00342|R00361	rn00020|rn01200|rn01210|Central carbohydrate metabolism
M00012	Glyoxylate cycle		R00351|R01325|R01900|R00479|R00472|R00473+R10612|R00342	rn00630|rn01200|rn01110|Other carbohydrate metabolism
M00013	Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA		R04432|R12356|R03045|R03158|R01608|R00705|R00706	rn00410|rn00640|rn01200|Other carbohydrate metabolism
M00014	Glucuronate pathway (uronate pathway)		R00286|R01381|R01476|R01383|R01478|R01481|R02640|R01905|R01904|R01896|R01639	rn00040|Other carbohydrate metabolism
M00015	Proline biosynthesis, glutamate => proline		R00239|R03313|R00667|R03314|R01251	rn00330|rn01230|Arginine and proline metabolism
M00016	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine		R00480|R02291|R10147|R04198|R04199|R04365|R04475|R02734|R02735|R00451	rn00300|rn01230|Lysine metabolism
M00017	Methionine biosynthesis, aspartate => homoserine => methionine		R00480|R02291|R01773|R01775|R01777|R03260|R01286|R00946|R04405	rn00270|rn01230|Cysteine and methionine metabolism
M00018	Threonine biosynthesis, aspartate => homoserine => threonine		R00480|R02291|R01773|R01775|R01771|R01466	rn00260|rn01230|rn01110|Serine and threonine metabolism
M00019	Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine		R00226|R05071|R04440|R04439|R04441|R01214|R08648|R05069|R05068|R05070|R02199	rn00290|rn00770|rn01210|rn01230|rn01110|Branched-chain amino acid metabolism
M00020	Serine biosynthesis, glycerate-3P => serine		R01513|R04173|R00582	rn00260|rn00680|rn01200|rn01230|Serine and threonine metabolism
M00021	Cysteine biosynthesis, serine => cysteine		R00586|R00897	rn00270|rn00920|rn01200|rn01230|rn01110|Cysteine and methionine metabolism
M00022	Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate		R01826|R03083|R03084|R02413|R02412|R03460|R01714	rn00400|rn01230|rn01110|Aromatic amino acid metabolism
M00023	Tryptophan biosynthesis, chorismate => tryptophan		R00985|R00986|R01073|R03509|R03508|R02722	rn00400|rn01230|rn01110|Aromatic amino acid metabolism
M00024	Phenylalanine biosynthesis, chorismate => phenylpyruvate => phenylalanine		R01715|R01373|R00694	rn00400|rn01230|rn01110|Aromatic amino acid metabolism
M00025	Tyrosine biosynthesis, chorismate => HPP => tyrosine		R01715|R01728|R01730|R00734	rn00400|rn01230|Aromatic amino acid metabolism
M00026	Histidine biosynthesis, PRPP => histidine		R01071|R04035|R04037|R04640|R04558|R03457|R03243|R03013|R03012|R01163	rn00340|rn01230|rn01110|Histidine metabolism
M00027	GABA (gamma-Aminobutyrate) shunt		R00261|R01648|R10178|R00713|R00714	rn00250|rn00650|Other amino acid metabolism
M00028	Ornithine biosynthesis, glutamate => ornithine		R00259|R02649|R03443|R02283|R00669|R02282	rn00220|rn01210|rn01230|Arginine and proline metabolism
M00029	Urea cycle		R00149|R01398|R01954|R01086|R00551	rn00220|rn01230|Arginine and proline metabolism
M00030	Lysine biosynthesis, AAA pathway, 2-oxoglutarate => 2-aminoadipate => lysine		R00271|R03444|R04371|R01934|R01939|R03098|R04863|R04390|R02315|R00715	rn00300|rn01230|Lysine metabolism
M00031	Lysine biosynthesis, mediated by LysW, 2-aminoadipate => lysine		R09775|R09776|R09777|R09778|R09779	rn00300|rn01210|rn01230|Lysine metabolism
M00032	Lysine degradation, lysine => saccharopine => acetoacetyl-CoA		R00716|R02313|R03102|R03103|R01939|R01933|R01940|R13166+R13167|R02571|R07618|R02488|R03026|R01975	rn00310|rn01210|Lysine metabolism
M00033	Ectoine biosynthesis, aspartate => ectoine		R00480|R02291|R06977|R06978|R06979	rn00260|rn01210|rn01230|rn01120|Serine and threonine metabolism
M00034	Methionine salvage pathway		R00177|R00178|R01920|R01401|R04143|R01402|R04420|R07392|R07393|R07394|R07395|R07364|R07396|R12507	rn00270|Cysteine and methionine metabolism
M00035	Methionine degradation		R00177|R00367|R04858|R00192|R01290	rn00270|Cysteine and methionine metabolism
M00036	Leucine degradation, leucine => acetoacetate + acetyl-CoA		R01090|R07601+R07602|R04097|R07618|R04095|R04138|R02085|R01360	rn00280|Branched-chain amino acid metabolism
M00037	Melatonin biosynthesis, animals, tryptophan => serotonin => melatonin		R01814|R02701|R02911|R03130	rn00380|Aromatic amino acid metabolism
M00038	Tryptophan metabolism, tryptophan => kynurenine => 2-aminomuconate		R00678|R01959|R01960|R02668|R02665|R04323|R03889	rn00380|Aromatic amino acid metabolism
M00039	Monolignol biosynthesis, phenylalanine/tyrosine => monolignol		R00697|R02253|R00737|R01616|R01615|R07437|R02416|R06582|R07433|R01942|R02193|R02593|R06572|R06576|R03918	rn00940|rn01110|Biosynthesis of phytochemical compounds
M00040	Tyrosine biosynthesis, chorismate => arogenate => tyrosine		R01715|R01731|R00732|R00733	rn00400|rn01230|rn01110|Aromatic amino acid metabolism
M00042	Catecholamine biosynthesis, tyrosine => dopamine => noradrenaline => adrenaline		R00731|R01815|R02080|R02535|R02533	rn00350|Aromatic amino acid metabolism
M00043	Thyroid hormone biosynthesis, tyrosine => triiodothyronine/thyroxine		R03539|R03973|R03953|R03208	rn00350|Aromatic amino acid metabolism
M00044	Tyrosine degradation, tyrosine => homogentisate		R00734|R00729|R02521|R02519|R03181|R01364	rn00350|Aromatic amino acid metabolism
M00045	Histidine degradation, histidine => N-formiminoglutamate => glutamate		R01168|R02914|R02288|R02285|R02287|R02286|R00525	rn00340|Histidine metabolism
M00046	Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate		R00978|R00977|R02269|R00905|R01415|R11026|R03055|R04666	rn00240|rn00410|rn00770|Pyrimidine metabolism
M00047	Creatine pathway		R00565|R01883|R01881|R07420	rn00330|rn00260|Arginine and proline metabolism
M00048	De novo purine biosynthesis, PRPP + glutamine => IMP		R01072|R04144|R04325|R04463|R04208|R04209|R07404|R07405|R04591|R04559|R04560|R06975|R01127	rn00230|Purine metabolism
M00049	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP		R01135|R01083|R00127|R00333|R00331	rn00230|rn01232|rn01240|Purine metabolism
M00050	Guanine ribonucleotide biosynthesis, IMP => GDP,GTP		R01130|R01230|R01231|R00332|R00330	rn00230|rn01232|Purine metabolism
M00051	De novo pyrimidine biosynthesis, glutamine (+ PRPP) => UMP		R00575|R01397|R01993|R01867|R01868|R01869|R01870|R00965	rn00240|rn01240|Pyrimidine metabolism
M00052	Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP		R00158|R00156|R00571|R00573|R00570	rn00240|rn01232|rn01240|Pyrimidine metabolism
M00053	Deoxyribonucleotide biosynthesis, ADP/GDP/CDP/UDP => dATP/dGTP/dCTP/dUTP		R02017|R01137|R02019|R01857|R02024|R02326|R02018|R02331	rn00230|rn00240|rn01232|Purine metabolism
M00055	N-glycan precursor biosynthesis		R05969|R05970|R05972|R05973|R06238|R06127|R06128|R06258|R06259|R06260|R06261|R01005|R06262|R06263|R06264	rn00510|Glycan biosynthesis
M00056	O-glycan biosynthesis, mucin type core		R05907|R05908|R05912|R05909|R05915|R05910	rn00512|Glycan biosynthesis
M00057	Glycosaminoglycan biosynthesis, linkage tetrasaccharide		R05925|R05926|R05927|R05928	rn00532|rn00534|Glycosaminoglycan metabolism
M00058	Glycosaminoglycan biosynthesis, chondroitin sulfate backbone		R05929|R05931|R05932	rn00532|Glycosaminoglycan metabolism
M00059	Glycosaminoglycan biosynthesis, heparan sulfate backbone		R05930|R05935|R05936	rn00534|Glycosaminoglycan metabolism
M00060	KDO2-lipid A biosynthesis, Raetz pathway, LpxL-LpxM type		R04567|R04587|R04550|R04549|R04606|R04657|R04658|R05074|R05146|R05075	rn00540|Lipopolysaccharide metabolism
M00061	D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P		R01482|R02454|R05606|R01541|R05605	rn00040|rn00030|Other carbohydrate metabolism
M00063	CMP-KDO biosynthesis		R01530|R03254|R03350|R03351	rn00540|rn01250|Lipopolysaccharide metabolism
M00064	ADP-L-glycero-D-manno-heptose biosynthesis		R05645|R05646|R05647|R05644|R05176	rn00540|rn01250|Lipopolysaccharide metabolism
M00065	GPI-anchor biosynthesis, core oligosaccharide		R05916|R05917|R05918|R05919|R12350|R12351|R05922|R08107|R12702	rn00563|Glycan biosynthesis
M00066	Lactosylceramide biosynthesis		R01497|R03354	rn00600|Lipid metabolism
M00067	Sulfoglycolipids biosynthesis, ceramide/1-alkyl-2-acylglycerol => sulfatide/seminolipid		R01500|R04017|R10804|R10805	rn00600|rn00565|Lipid metabolism
M00068	Glycosphingolipid biosynthesis, globo-series, LacCer => Gb4Cer		R05960|R05962	rn00603|Glycan biosynthesis
M00069	Glycosphingolipid biosynthesis, ganglio series, LacCer => GT3		R05937|R05940|R05947	rn00604|Glycan biosynthesis
M00070	Glycosphingolipid biosynthesis, lacto-series, LacCer => Lc4Cer		R05971|R06006	rn00601|Glycan biosynthesis
M00071	Glycosphingolipid biosynthesis, neolacto-series, LacCer => nLc4Cer		R05971|R05977	rn00601|Glycan biosynthesis
M00072	N-glycosylation by oligosaccharyltransferase		R05976	rn00510|rn00513|Glycan biosynthesis
M00073	N-glycan precursor trimming		R05979|R05980|R05981|R06722|R12479	rn00510|Glycan biosynthesis
M00074	N-glycan biosynthesis, high-mannose type		R05980|R05981|R06722|R12479|R08599	rn00510|rn00513|Glycan biosynthesis
M00075	N-glycan biosynthesis, complex type		R05984|R05985|R05986|R05987|R05991|R05992|R05988|R05989|R05990	rn00510|Glycan biosynthesis
M00076	Dermatan sulfate degradation		R07820|R07821|R07822|R07823|R07824	rn00531|Glycosaminoglycan metabolism
M00077	Chondroitin sulfate degradation		R07823|R07824	rn00531|Glycosaminoglycan metabolism
M00078	Heparan sulfate degradation		R07811|R07812|R07813|R07814|R07815|R07816|R07817|R07818|R07819	rn00531|Glycosaminoglycan metabolism
M00079	Keratan sulfate degradation		R07805|R07806|R07807|R07808|R07809|R07810	rn00531|Glycosaminoglycan metabolism
M00081	Pectin degradation		R02362|R02360|R07413	rn00040|Other carbohydrate metabolism
M00082	Fatty acid biosynthesis, initiation		R00742|R01626|R01624|R04355|R10707	rn00061|rn01212|Fatty acid metabolism
M00083	Fatty acid biosynthesis, elongation		R04355|R04533|R04428|R04429|R04430||R04952|R04953|R04954|R04955|R04956||R04957|R04536|R04537|R04958|R04959||R04960|R04534|R04535|R04961|R04962||R04963|R04964|R04965|R04724|R04725||R04726|R04566|R04568|R04966|R04967||R04968|R04543|R04544|R04969|R04970	rn00061|rn01212|Fatty acid metabolism
M00085	Fatty acid elongation in mitochondria		R00391|R01778|R02685|R07162||R01177|R04748|R04749|R06985||R04747|R04745|R04746|R03776||R03778|R04743|R04744|R04753||R04742|R04741|R04170|R03856||R03858|R04739|R04740|R03989||R03991|R04737|R04738|R01278	rn00062|rn01212|Fatty acid metabolism
M00086	beta-Oxidation, acyl-CoA synthesis		R01280	rn00061|rn00071|rn01212|Fatty acid metabolism
