ID	NAMES	KEGG	EQUATION	ECs
R00001	polyphosphate polyphosphohydrolase	R00001	C00404[0] + C00001[0] <=> (2) C02174[0]	3.6.1.10
R00002	Reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing)	R00002	(16) C00002[0] + (16) C00001[0] + (8) C00138[0] <=> (8) C05359[0] + (16) C00009[0] + (16) C00008[0] + (8) C00139[0]	1.18.6.1
R00004	diphosphate phosphohydrolase|pyrophosphate phosphohydrolase	R00004	C00013[0] + C00001[0] <=> (2) C00009[0]	3.6.1.1
R00005	urea-1-carboxylate amidohydrolase	R00005	C01010[0] + C00001[0] <=> (2) C00011[0] + (2) C00014[0]	3.5.1.54
R00006	pyruvate:pyruvate acetaldehydetransferase (decarboxylating)|2-acetolactate pyruvate-lyase (carboxylating)	R00006	C00900[0] + C00011[0] <=> (2) C00022[0]	2.2.1.6
R00008	4-hydroxy-4-methyl-2-oxoglutarate pyruvate-lyase (pyruvate-forming)	R00008	C06033[0] <=> (2) C00022[0]	4.1.3.17
R00009	hydrogen-peroxide:hydrogen-peroxide oxidoreductase	R00009	(2) C00027[0] <=> C00007[0] + (2) C00001[0]	1.11.1.6|1.11.1.21
R00010	alpha,alpha-trehalose glucohydrolase	R00010	C01083[0] + C00001[0] <=> (2) C00031[0]	3.2.1.28
R00011	Mn(II):hydrogen-peroxide oxidoreductase	R00011	(2) C19610[0] + C00027[0] + (2) C00080[0] <=> (2) C19611[0] + (2) C00001[0]	1.11.1.13
R00012	GTP:GTP guanylyltransferase	R00012	(2) C00044[0] <=> C00013[0] + C01261[0]	2.7.7.45
R00013	glyoxylate carboxy-lyase (dimerizing; tartronate-semialdehyde-forming)	R00013	(2) C00048[0] <=> C01146[0] + C00011[0]	4.1.1.47
R00014	pyruvate:thiamin diphosphate acetaldehydetransferase (decarboxylating)	R00014	C00022[0] + C00068[0] <=> C05125[0] + C00011[0]	1.2.4.1|2.2.1.6|4.1.1.1
R00015	sucrose:sucrose 1'-beta-D-fructosyltransferase|sucrose:sucrose 1F-beta-D-fructosyltransferase	R00015	(2) C00089[0] <=> C00031[0] + C03661[0]	2.4.1.99
R00017	ferrocytochrome-c:hydrogen-peroxide oxidoreductase	R00017	C00027[0] + (2) C00126[0] <=> (2) C00125[0] + (2) C00001[0]	1.11.1.5
R00018	putrescine:putrescine 4-aminobutyltransferase (ammonia-forming)	R00018	(2) C00134[0] <=> C06366[0] + C00014[0]	2.5.1.44
R00019	hydrogen:ferredoxin oxidoreductase|reduced ferredoxin:H+ oxidoreductase	R00019	(2) C00138[0] + (2) C00080[0] <=> C00282[0] + (2) C00139[0]	1.12.7.2|1.12.99.-
R00021	L-glutamate:ferredoxin oxidoreductase (transaminating)	R00021	(2) C00025[0] + (2) C00139[0] <=> C00064[0] + C00026[0] + (2) C00138[0] + (2) C00080[0]	1.4.7.1
R00022	chitobiose N-acetylglucosaminohydrolase	R00022	C01674[0] + C00001[0] <=> (2) C00140[0]	3.2.1.52
R00023	hydroxylamine:NAD+ oxidoreductase|NADH:hyponitrite oxidoreductase	R00023	(2) C00192[0] + (2) C00003[0] <=> C01818[0] + (2) C00004[0] + (2) C00080[0]	1.7.1.5
R00024	3-phospho-D-glycerate carboxy-lyase (dimerizing; D-ribulose-1,5-bisphosphate-forming)	R00024	C01182[0] + C00011[0] + C00001[0] <=> (2) C00197[0]	4.1.1.39
R00025	ethylnitronate:oxygen 2-oxidoreductase (nitrite-forming)	R00025	C18091[0] + C00007[0] + C01847[0] <=> C00084[0] + C00088[0] + C00061[0] + C00001[0]	1.13.12.16
R00026	cellobiose glucohydrolase	R00026	C00185[0] + C00001[0] <=> (2) C00221[0]	3.2.1.21
