ID	NAMES	FORMULA	CHARGE	MASS
CPD-7944	n-pentacosane|pentacosane	C25H52	10000000	352.686
CPD-8808	alpha-calacorene	C15H20	10000000	200.323
4-hydroxybenzoate	4-hydroxybenzoate|p-hydroxybenzoate	C7H5O3	10000000	137.115
CPD-20359	Ile-His|L-isoleucyl-L-histidine	C12H20N4O3	10000000	268.315
CPD-15615	6-deoxy-alpha-D-talose	C6H12O5	10000000	164.158
CPD-12937	apo-4'-lycopenoate|apo-4'-lycopenoic acid	C35H45O2	10000000	497.739
CPD-14833	narcotine hemiacetal	C22H25NO7	10000000	415.442
A-LXYL-PEN-1:5	a-lxyl-PEN-1:5|alpha-L-Xylp	noformula	10000000	10000000
CPD0-2507	CaCl2(H2O)2|calcium chloride dihydrate	noformula	10000000	147.016
CPD-11497	3-methoxy-4-hydroxyphenylglycol|4-hydroxy-3-methoxyphenylglycol|HMPG|MHPG|MHPG piperazine|MOPEG|hydroxymethoxyphenylglycol|methoxy-hydroxyphenyl glycol|methoxyhydroxyphenylglycol|vanylglycol	C9H12O4	10000000	184.191
CPD-105	(R)-4-hydroxymandelate|D-4-hydroxymandelate|D-p-hydroxymandelate	C8H7O4	10000000	167.141
CPD-8955	2,3-O-digalloyl-1,4,6-tri-O-beta-D-galloylglucose	C55H40O34	10000000	1244.901
UDP-AA-GLUTAMATE	UDP-N-acetyl-alpha-D-muramoyl-L-alanyl-D-glutamate	C28H39N5O23P2	10000000	875.583
CPD-10695	N, N1-bis-(prop-2-ynyl)-1,4-diaminobutane	C10H16N2	10000000	164.25
SS-DIMETHYL-BETA-PROPIOTHETIN	DMPT|DMSP|S,S-dimethyl-beta-propiothetin|S-dimethylsulfonium propionic acid|dimethylpropiothetin|dimethylsulfoniopropanoate|dimethylsulfoniopropionate	C5H10O2S	10000000	134.193
CPD-5221	amphomycin	C58H88N13O20	10000000	1287.408
CPD-15835	guanosine 3'-monophosphate 5'-triphosphate|guanosine 5'-triphosphate,3'-monophosphate|pppGp	C10H11N5O17P4	10000000	597.115
CPD-15854	(5Z,8R,9E,11Z,14Z)-8-hydroperoxyicosa-5,9,11,14-tetraenoate|(8R)-HPETE	C20H31O4	10000000	335.462
CPD-10031	(+)-neoisodihydrocarveol|(1S,2R,4R)-menth-8-en-2-ol|(1S,2R,4R)-neoiso-dihydrocarveol	C10H18O	10000000	154.252
CPD-13092	(9Z,15Z)-12,13-dihydroxyoctadeca-9,15-dienoate|(9Z,15Z)-12,13-dihydroxyoctadeca-9,15-dienoic acid|(9Z,15Z)-12,13-dihydroxyoctadecadienoate	C18H31O4	10000000	311.44
