ModelSEED ID	External ID	External Name
+-BORNEOL-DEHYDROGENASE-RXN	Camphor-Biosynthesis	Camphor Biosynthesis
+-BORNEOL-DEHYDROGENASE-RXN	MONOTERPENOID-SYN	Monoterpenoid Biosynthesis
+-BORNEOL-DEHYDROGENASE-RXN	PWY-6990	(+)-camphor biosynthesis
+-BORNEOL-DEHYDROGENASE-RXN	SECONDARY-METABOLITE-BIOSYNTHESIS	Secondary Metabolite Biosynthesis
+-BORNEOL-DEHYDROGENASE-RXN	Terpenoid-Biosynthesis	Terpenoid Biosynthesis
+-NEOMENTHOL-DEHYDROGENASE-RXN	MONOTERPENOID-SYN	Monoterpenoid Biosynthesis
+-NEOMENTHOL-DEHYDROGENASE-RXN	PWY-3061	menthol biosynthesis
+-NEOMENTHOL-DEHYDROGENASE-RXN	SECONDARY-METABOLITE-BIOSYNTHESIS	Secondary Metabolite Biosynthesis
+-NEOMENTHOL-DEHYDROGENASE-RXN	Terpenoid-Biosynthesis	Terpenoid Biosynthesis
--BORNEOL-DEHYDROGENASE-RXN	Camphor-Biosynthesis	Camphor Biosynthesis
--BORNEOL-DEHYDROGENASE-RXN	MONOTERPENOID-SYN	Monoterpenoid Biosynthesis
--BORNEOL-DEHYDROGENASE-RXN	PWY-6991	(-)-camphor biosynthesis
--BORNEOL-DEHYDROGENASE-RXN	SECONDARY-METABOLITE-BIOSYNTHESIS	Secondary Metabolite Biosynthesis
--BORNEOL-DEHYDROGENASE-RXN	Terpenoid-Biosynthesis	Terpenoid Biosynthesis
--LIMONENE-3-MONOOXYGENASE-RXN	MONOTERPENOID-SYN	Monoterpenoid Biosynthesis
--LIMONENE-3-MONOOXYGENASE-RXN	PWY-3061	menthol biosynthesis
--LIMONENE-3-MONOOXYGENASE-RXN	SECONDARY-METABOLITE-BIOSYNTHESIS	Secondary Metabolite Biosynthesis
--LIMONENE-3-MONOOXYGENASE-RXN	Terpenoid-Biosynthesis	Terpenoid Biosynthesis
--LIMONENE-6-MONOOXYGENASE-RXN	MONOTERPENOID-SYN	Monoterpenoid Biosynthesis
--LIMONENE-6-MONOOXYGENASE-RXN	PWY-5928	(4<i>R</i>)-carvone biosynthesis
--LIMONENE-6-MONOOXYGENASE-RXN	SECONDARY-METABOLITE-BIOSYNTHESIS	Secondary Metabolite Biosynthesis
--LIMONENE-6-MONOOXYGENASE-RXN	Terpenoid-Biosynthesis	Terpenoid Biosynthesis
--LIMONENE-7-MONOOXYGENASE-RXN	MONOTERPENOID-SYN	Monoterpenoid Biosynthesis
--LIMONENE-7-MONOOXYGENASE-RXN	PWY-6436	perillyl aldehyde biosynthesis
--LIMONENE-7-MONOOXYGENASE-RXN	SECONDARY-METABOLITE-BIOSYNTHESIS	Secondary Metabolite Biosynthesis
--LIMONENE-7-MONOOXYGENASE-RXN	Terpenoid-Biosynthesis	Terpenoid Biosynthesis
--MENTHOL-DEHYDROGENASE-RXN	MONOTERPENOID-SYN	Monoterpenoid Biosynthesis
--MENTHOL-DEHYDROGENASE-RXN	PWY-3061	menthol biosynthesis
--MENTHOL-DEHYDROGENASE-RXN	SECONDARY-METABOLITE-BIOSYNTHESIS	Secondary Metabolite Biosynthesis
--MENTHOL-DEHYDROGENASE-RXN	Terpenoid-Biosynthesis	Terpenoid Biosynthesis
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN	CDP-diacylglycerol-Biosynthesis	CDP-diacylglycerol Biosynthesis
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN	Lipid-Biosynthesis	Fatty Acid and Lipid Biosynthesis
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN	PHOSLIPSYN-PWY	superpathway of phospholipid biosynthesis I (bacteria)
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN	PHOSLIPSYN2-PWY	superpathway of phospholipid biosynthesis II (plants)
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN	PWY-5981	CDP-diacylglycerol biosynthesis III
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN	PWY0-1319	CDP-diacylglycerol biosynthesis II
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN	PWY4FS-7	phosphatidylglycerol biosynthesis I (plastidic)
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN	PhosphatidylglycerolBiosynthesis	Phosphatidylglycerol Biosynthesis
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN	Phospholipid-Biosynthesis	Phospholipid Biosynthesis
1-PHOSPHATIDYLINOSITOL-3-KINASE-RXN	Cyclitols-Biosynthesis	Cyclitol Biosynthesis
1-PHOSPHATIDYLINOSITOL-3-KINASE-RXN	Lipid-Biosynthesis	Fatty Acid and Lipid Biosynthesis
1-PHOSPHATIDYLINOSITOL-3-KINASE-RXN	PWY-6352	3-phosphoinositide biosynthesis
1-PHOSPHATIDYLINOSITOL-3-KINASE-RXN	PWY-6371	superpathway of inositol phosphate compounds
1-PHOSPHATIDYLINOSITOL-3-KINASE-RXN	Phospholipid-Biosynthesis	Phospholipid Biosynthesis
1-PHOSPHATIDYLINOSITOL-3-KINASE-RXN	SECONDARY-METABOLITE-BIOSYNTHESIS	Secondary Metabolite Biosynthesis
1-PHOSPHATIDYLINOSITOL-3-KINASE-RXN	SUGAR-DERIVS	Sugar Derivative Biosynthesis
1-PHOSPHATIDYLINOSITOL-3-KINASE-RXN	Sugar-Alcohols-Biosynthesis	Sugar Alcohol Biosynthesis
1-PHOSPHATIDYLINOSITOL-KINASE-RXN	Cyclitols-Biosynthesis	Cyclitol Biosynthesis
1-PHOSPHATIDYLINOSITOL-KINASE-RXN	Lipid-Biosynthesis	Fatty Acid and Lipid Biosynthesis
1-PHOSPHATIDYLINOSITOL-KINASE-RXN	PWY-6351	D-<i>myo</i>-inositol (1,4,5)-trisphosphate biosynthesis
1-PHOSPHATIDYLINOSITOL-KINASE-RXN	PWY-6352	3-phosphoinositide biosynthesis
1-PHOSPHATIDYLINOSITOL-KINASE-RXN	PWY-6371	superpathway of inositol phosphate compounds
1-PHOSPHATIDYLINOSITOL-KINASE-RXN	Phospholipid-Biosynthesis	Phospholipid Biosynthesis
1-PHOSPHATIDYLINOSITOL-KINASE-RXN	SECONDARY-METABOLITE-BIOSYNTHESIS	Secondary Metabolite Biosynthesis
1-PHOSPHATIDYLINOSITOL-KINASE-RXN	SUGAR-DERIVS	Sugar Derivative Biosynthesis
1-PHOSPHATIDYLINOSITOL-KINASE-RXN	Sugar-Alcohols-Biosynthesis	Sugar Alcohol Biosynthesis
1.1.1.117-RXN	Cofactor-Biosynthesis	Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
1.1.1.117-RXN	PWY3O-6	dehydro-D-arabinono-1,4-lactone biosynthesis
1.1.1.117-RXN	Vitamin-Biosynthesis	Vitamin Biosynthesis
1.1.1.127-RXN	Carbohydrates-Degradation	Carbohydrate Degradation
1.1.1.127-RXN	Degradation	Degradation/Utilization/Assimilation
1.1.1.127-RXN	PWY-6507	4-deoxy-L-<i>threo</i>-hex-4-enopyranuronate degradation
1.1.1.127-RXN	PWY-6516	superpathway of microbial D-galacturonate and D-glucuronate degradation
1.1.1.127-RXN	PWY-7562	3,6-anhydro-&alpha;-L-galactopyranose degradation
1.1.1.127-RXN	SECONDARY-METABOLITE-DEGRADATION	Secondary Metabolite Degradation
1.1.1.127-RXN	Sugar-Derivatives	Sugar Derivative Degradation
1.1.1.127-RXN	Sugars-And-Polysaccharides-Degradation	Sugar Degradation
1.1.1.136-RXN	CARBO-BIOSYNTHESIS	Sugar Biosynthesis
1.1.1.136-RXN	Carbohydrates-Biosynthesis	Carbohydrate Biosynthesis
1.1.1.136-RXN	PWY-7090	UDP-2,3-diacetamido-2,3-dideoxy-&alpha;-D-mannuronate biosynthesis
1.1.1.136-RXN	PWY-7332	superpathway of UDP-<I>N</i>-acetylglucosamine-derived O-antigen building blocks biosynthesis
1.1.1.136-RXN	PWY-7336	UDP-<i>N</i>-acetyl-&alpha;-D-galactosaminuronate biosynthesis
1.1.1.136-RXN	SUGAR-NUCLEOTIDES	Sugar Nucleotide Biosynthesis
1.1.1.136-RXN	UDP-Sugar-Biosynthesis	UDP-sugar Biosynthesis
1.1.1.168-RXN	Cofactor-Biosynthesis	Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
1.1.1.168-RXN	PWY-3961	phosphopantothenate biosynthesis II
1.1.1.168-RXN	Pantothenate-Biosynthesis	Phosphopantothenate Biosynthesis
1.1.1.168-RXN	Vitamin-Biosynthesis	Vitamin Biosynthesis
1.1.1.176-RXN	Bile-Acids-Degradation	Bile Acid Degradation
1.1.1.176-RXN	CARBOXYLATES-DEG	Carboxylate Degradation
1.1.1.176-RXN	Degradation	Degradation/Utilization/Assimilation
1.1.1.176-RXN	Fatty-Acid-and-Lipid-Degradation	Fatty Acid and Lipid Degradation
1.1.1.176-RXN	PWY-6518	glycocholate metabolism (bacteria)
1.1.1.176-RXN	Steroids-Degradation	Steroid Degradation
1.1.1.178-RXN	Amino-Acid-Degradation	Amino Acid Degradation
1.1.1.178-RXN	Degradation	Degradation/Utilization/Assimilation
1.1.1.178-RXN	Energy-Metabolism	Generation of Precursor Metabolite and Energy
1.1.1.178-RXN	Fermentation	
1.1.1.178-RXN	Fermentation-to-Acids	Fermentation to Short-Chain Fatty Acids
1.1.1.178-RXN	ILEUDEG-PWY	L-isoleucine degradation I
1.1.1.178-RXN	ISOLEUCINE-DEG	L-isoleucine Degradation
1.1.1.178-RXN	PWY-5109	fermentation to 2-methylbutanoate
1.1.1.178-RXN	Proteinogenic-Amino-Acids-Degradation	Proteinogenic Amino Acid Degradation
1.1.1.181-RXN	Lipid-Biosynthesis	Fatty Acid and Lipid Biosynthesis
1.1.1.181-RXN	PWY-6061	bile acid biosynthesis, neutral pathway
1.1.1.181-RXN	Sterol-Biosynthesis	Sterol Biosynthesis
1.1.1.190-RXN	Amino-Acid-Degradation	Amino Acid Degradation
1.1.1.190-RXN	Degradation	Degradation/Utilization/Assimilation
1.1.1.190-RXN	PWY-5081	L-tryptophan degradation VIII (to tryptophol)
1.1.1.190-RXN	Proteinogenic-Amino-Acids-Degradation	Proteinogenic Amino Acid Degradation
1.1.1.190-RXN	TRYPTOPHAN-DEG	L-tryptophan Degradation
1.1.1.209-RXN	Degradation	Degradation/Utilization/Assimilation
1.1.1.209-RXN	Fatty-Acid-and-Lipid-Degradation	Fatty Acid and Lipid Degradation
1.1.1.209-RXN	PWY-6937	superpathway of testosterone and androsterone degradation
1.1.1.209-RXN	PWY-6943	testosterone and androsterone degradation to androstendione
1.1.1.209-RXN	Steroids-Degradation	Steroid Degradation
1.1.1.215-RXN	CARBOXYLATES-DEG	Carboxylate Degradation
1.1.1.215-RXN	Degradation	Degradation/Utilization/Assimilation
1.1.1.215-RXN	KETOGLUCONMET-PWY	ketogluconate metabolism
1.1.1.215-RXN	SECONDARY-METABOLITE-DEGRADATION	Secondary Metabolite Degradation
1.1.1.215-RXN	SUGAR-ACIDS-DEG	Sugar Acid Degradation
1.1.1.215-RXN	Sugar-Derivatives	Sugar Derivative Degradation
1.1.1.220-RXN	Cofactor-Biosynthesis	Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
1.1.1.220-RXN	PWY-5664	<i>erythro</i>-tetrahydrobiopterin biosynthesis II
1.1.1.220-RXN	Tetrahydrobiopterin-Biosynthesis	Tetrahydrobiopterin Biosynthesis
1.1.1.222-RXN	CINNAMATE-SYN	Cinnamate Biosynthesis
1.1.1.222-RXN	PHENYLPROPANOID-SYN	Phenylpropanoid Derivative Biosynthesis
1.1.1.222-RXN	PWY-5048	rosmarinic acid biosynthesis I
1.1.1.222-RXN	PWY-5071	superpathway of rosmarinic acid biosynthesis
1.1.1.222-RXN	Rosmarinate-Biosynthesis	Rosmarinate Biosynthesis
1.1.1.222-RXN	SECONDARY-METABOLITE-BIOSYNTHESIS	Secondary Metabolite Biosynthesis
1.1.1.247-RXN	ALKALOIDS-SYN	Alkaloid Biosynthesis
1.1.1.247-RXN	ISOQUINOLINE-ALKALOIDS	Isoquinoline and Benzylisoquinoline Alkaloid Biosynthesis
1.1.1.247-RXN	N-CONTAINING-SECONDARY-CMPD-SYN	Nitrogen-Containing Secondary Compound Biosynthesis
1.1.1.247-RXN	PWY-5270	morphine biosynthesis
1.1.1.247-RXN	SECONDARY-METABOLITE-BIOSYNTHESIS	Secondary Metabolite Biosynthesis
1.1.1.248-RXN	ALKALOIDS-SYN	Alkaloid Biosynthesis
1.1.1.248-RXN	ISOQUINOLINE-ALKALOIDS	Isoquinoline and Benzylisoquinoline Alkaloid Biosynthesis
1.1.1.248-RXN	N-CONTAINING-SECONDARY-CMPD-SYN	Nitrogen-Containing Secondary Compound Biosynthesis
1.1.1.248-RXN	PWY-5270	morphine biosynthesis
1.1.1.248-RXN	SECONDARY-METABOLITE-BIOSYNTHESIS	Secondary Metabolite Biosynthesis
1.1.1.251-RXN	Degradation	Degradation/Utilization/Assimilation
1.1.1.251-RXN	GALACTITOLCAT-PWY	galactitol degradation
1.1.1.251-RXN	HEXITOLDEGSUPER-PWY	superpathway of hexitol degradation (bacteria)
1.1.1.251-RXN	SECONDARY-METABOLITE-DEGRADATION	Secondary Metabolite Degradation
1.1.1.251-RXN	SUGAR-ALCOHOLS-DEG	Sugar Alcohol Degradation
1.1.1.251-RXN	Sugar-Derivatives	Sugar Derivative Degradation
1.1.1.254-RXN	AMINE-DEG	Amine and Polyamine Degradation
1.1.1.254-RXN	CARN-DEG	Carnitine Degradation
1.1.1.254-RXN	Degradation	Degradation/Utilization/Assimilation
1.1.1.254-RXN	PWY-7471	D-carnitine degradation I
1.1.1.255-RXN	Carbohydrates-Degradation	Carbohydrate Degradation
1.1.1.255-RXN	Degradation	Degradation/Utilization/Assimilation
1.1.1.255-RXN	PWY-3861	mannitol degradation II
1.1.1.255-RXN	SECONDARY-METABOLITE-DEGRADATION	Secondary Metabolite Degradation
1.1.1.255-RXN	SUGAR-ALCOHOLS-DEG	Sugar Alcohol Degradation
1.1.1.255-RXN	Sugar-Derivatives	Sugar Derivative Degradation
1.1.1.255-RXN	Sugars-And-Polysaccharides-Degradation	Sugar Degradation
1.1.1.259-RXN	AROMATIC-COMPOUNDS-DEGRADATION	Aromatic Compound Degradation
1.1.1.259-RXN	BENZCOA-PWY	anaerobic aromatic compound degradation (<i>Thauera aromatica</i>)
1.1.1.259-RXN	Benzoyl-CoA-Degradation	Benzoyl-CoA Degradation
1.1.1.259-RXN	CENTBENZCOA-PWY	benzoyl-CoA degradation II (anaerobic)
1.1.1.259-RXN	Degradation	Degradation/Utilization/Assimilation
1.1.1.259-RXN	Energy-Metabolism	Generation of Precursor Metabolite and Energy
1.1.1.259-RXN	Fermentation	
1.1.1.259-RXN	P321-PWY	benzoyl-CoA degradation III (anaerobic)
1.1.1.259-RXN	PWY-5184	toluene degradation VI (anaerobic)
1.1.1.259-RXN	PWY-7401	crotonate fermentation (to acetate and cyclohexane carboxylate)
1.1.1.259-RXN	PWY-7402	benzoate fermentation (to acetate and cyclohexane carboxylate)
1.1.1.259-RXN	TOLUENE-DEG	Toluene Degradation
1.1.1.261-RXN	Lipid-Biosynthesis	Fatty Acid and Lipid Biosynthesis
1.1.1.261-RXN	PWY-6141	archaetidylserine and archaetidylethanolamine biosynthesis
1.1.1.261-RXN	PWY-6146	<i>Methanobacterium thermoautotrophicum</i> biosynthetic metabolism
1.1.1.261-RXN	PWY-6349	CDP-archaeol biosynthesis
1.1.1.261-RXN	PWY-6350	archaetidylinositol biosynthesis
1.1.1.261-RXN	Phospholipid-Biosynthesis	Phospholipid Biosynthesis
1.1.1.264-RXN	CARBOXYLATES-DEG	Carboxylate Degradation
1.1.1.264-RXN	Degradation	Degradation/Utilization/Assimilation
1.1.1.264-RXN	IDNCAT-PWY	L-idonate degradation
1.1.1.264-RXN	KETOGLUCONMET-PWY	ketogluconate metabolism
1.1.1.264-RXN	SECONDARY-METABOLITE-DEGRADATION	Secondary Metabolite Degradation
1.1.1.264-RXN	SUGAR-ACIDS-DEG	Sugar Acid Degradation
1.1.1.264-RXN	Sugar-Derivatives	Sugar Derivative Degradation
1.1.1.266-RXN	CARBO-BIOSYNTHESIS	Sugar Biosynthesis
1.1.1.266-RXN	Carbohydrates-Biosynthesis	Carbohydrate Biosynthesis
1.1.1.266-RXN	PWY-7317	superpathway of dTDP-glucose-derived O-antigen building blocks biosynthesis
1.1.1.266-RXN	SUGAR-NUCLEOTIDES	Sugar Nucleotide Biosynthesis
1.1.1.266-RXN	dTDP-Sugar-Biosynthesis	dTDP-sugar Biosynthesis
1.1.1.268-RXN	Alkene-Degradation	Alkene Degradation
1.1.1.268-RXN	Carbohydrates-Degradation	Carbohydrate Degradation
1.1.1.268-RXN	Degradation	Degradation/Utilization/Assimilation
1.1.1.268-RXN	PWY-5534	propene degradation
1.1.1.269-RXN	Alkene-Degradation	Alkene Degradation
1.1.1.269-RXN	Carbohydrates-Degradation	Carbohydrate Degradation
