ID	NAMES	FORMULA	CHARGE	MASS
C00001	H2O|Water	H2O	10000000	18.0106
C00002	ATP|Adenosine 5'-triphosphate	C10H16N5O13P3	10000000	506.9957
C00003	NAD+|NAD|Nicotinamide adenine dinucleotide|DPN|Diphosphopyridine nucleotide|Nadide|beta-NAD+	C21H28N7O14P2	10000000	664.1169
C00004	NADH|DPNH|Reduced nicotinamide adenine dinucleotide	C21H29N7O14P2	10000000	665.1248
C00005	NADPH|TPNH|Reduced nicotinamide adenine dinucleotide phosphate	C21H30N7O17P3	10000000	745.0911
C00006	NADP+|NADP|Nicotinamide adenine dinucleotide phosphate|beta-Nicotinamide adenine dinucleotide phosphate|TPN|Triphosphopyridine nucleotide|beta-NADP+	C21H29N7O17P3	10000000	744.0833
C00007	Oxygen|O2	O2	10000000	31.9898
C00008	ADP|Adenosine 5'-diphosphate	C10H15N5O10P2	10000000	427.0294
C00009	Orthophosphate|Phosphate|Phosphoric acid|Orthophosphoric acid	H3PO4	10000000	97.9769
C00010	CoA|Coenzyme A|CoA-SH	C21H36N7O16P3S	10000000	767.1152
C00011	CO2|Carbon dioxide	CO2	10000000	43.9898
C00012	Peptide	C2H4NO2R(C2H2NOR)n	0	0
C00013	Diphosphate|Diphosphoric acid|Pyrophosphate|Pyrophosphoric acid|PPi	H4P2O7	10000000	177.9432
C00014	Ammonia|NH3	NH3	10000000	17.0265
C00015	UDP|Uridine 5'-diphosphate	C9H14N2O12P2	10000000	404.0022
C00016	FAD|Flavin adenine dinucleotide	C27H33N9O15P2	10000000	785.1571
C00017	Protein	C2H4NO2R(C2H2NOR)n	0	0
C00018	Pyridoxal phosphate|Pyridoxal 5-phosphate|Pyridoxal 5'-phosphate|PLP	C8H10NO6P	10000000	247.0246
C00019	S-Adenosyl-L-methionine|S-Adenosylmethionine|AdoMet|SAM	C15H22N6O5S	10000000	398.1372
C00020	AMP|Adenosine 5'-monophosphate|Adenylic acid|Adenylate|5'-AMP|5'-Adenylic acid|5'-Adenosine monophosphate|Adenosine 5'-phosphate	C10H14N5O7P	10000000	347.0631
C00021	S-Adenosyl-L-homocysteine|S-Adenosylhomocysteine	C14H20N6O5S	10000000	384.1216
C00022	Pyruvate|Pyruvic acid|2-Oxopropanoate|2-Oxopropanoic acid|Pyroracemic acid	C3H4O3	10000000	88.016
C00023	Iron	Fe	10000000	55.9349
C00024	Acetyl-CoA|Acetyl coenzyme A	C23H38N7O17P3S	10000000	809.1258
C00025	L-Glutamate|L-Glutamic acid|L-Glutaminic acid|Glutamate	C5H9NO4	10000000	147.0532
C00026	2-Oxoglutarate|Oxoglutaric acid|2-Ketoglutaric acid|alpha-Ketoglutaric acid	C5H6O5	10000000	146.0215
C00027	Hydrogen peroxide|H2O2|Oxydol	H2O2	10000000	34.0055
C00028	Acceptor|Hydrogen-acceptor|A|Oxidized donor	noformula	10000000	10000000
C00029	UDP-glucose|UDPglucose|UDP-D-glucose|Uridine diphosphate glucose|UDP-alpha-D-glucose	C15H24N2O17P2	10000000	566.055
C00030	Reduced acceptor|AH2|Hydrogen-donor|Donor	noformula	10000000	10000000
C00031	D-Glucose|Grape sugar|Dextrose|Glucose|D-Glucopyranose	C6H12O6	10000000	180.0634
C00032	Heme|Haem|Protoheme|Heme B|Protoheme IX	C34H32FeN4O4	10000000	616.1773
C00033	Acetate|Acetic acid|Ethanoic acid	C2H4O2	10000000	60.0211
C00034	Manganese	Mn	10000000	54.9381
C00035	GDP|Guanosine 5'-diphosphate|Guanosine diphosphate	C10H15N5O11P2	10000000	443.0243
C00036	Oxaloacetate|Oxalacetic acid|Oxaloacetic acid|2-Oxobutanedioic acid|2-Oxosuccinic acid|keto-Oxaloacetate	C4H4O5	10000000	132.0059
C00037	Glycine|Aminoacetic acid|Gly	C2H5NO2	10000000	75.032
C00038	Zinc cation|Zn2+|Zn(II)|Zinc ion	Zn	10000000	63.9291
C00039	DNA|DNAn|DNAn+1|(Deoxyribonucleotide)n|(Deoxyribonucleotide)m|(Deoxyribonucleotide)n+m|Deoxyribonucleic acid	C10H17O8PR2(C5H8O5PR)n	0	0
C00040	Acyl-CoA|Acyl coenzyme A	C22H35N7O17P3SR	0	0
C00041	L-Alanine|L-2-Aminopropionic acid|L-alpha-Alanine	C3H7NO2	10000000	89.0477
C00042	Succinate|Succinic acid|Butanedionic acid|Ethylenesuccinic acid	C4H6O4	10000000	118.0266
C00043	UDP-N-acetyl-alpha-D-glucosamine|UDP-N-acetyl-D-glucosamine|UDP-N-acetylglucosamine	C17H27N3O17P2	10000000	607.0816
C00044	GTP|Guanosine 5'-triphosphate	C10H16N5O14P3	10000000	522.9907
C00045	Amino acid|Amino acids	C2H4NO2R	0	0
C00046	RNA|RNAn|RNAn+1|RNA(linear)|(Ribonucleotide)n|(Ribonucleotide)m|(Ribonucleotide)n+m|Ribonucleic acid	C10H18O13P2R2(C5H8O6PR)n	0	0
C00047	L-Lysine|Lysine acid|2,6-Diaminohexanoic acid	C6H14N2O2	10000000	146.1055
C00048	Glyoxylate|Glyoxalate|Glyoxylic acid	C2H2O3	10000000	74.0004
C00049	L-Aspartate|L-Aspartic acid|2-Aminosuccinic acid|L-Asp	C4H7NO4	10000000	133.0375
C00050	Metal	noformula	10000000	10000000
C00051	Glutathione|5-L-Glutamyl-L-cysteinylglycine|N-(N-gamma-L-Glutamyl-L-cysteinyl)glycine|gamma-L-Glutamyl-L-cysteinyl-glycine|GSH|Reduced glutathione	C10H17N3O6S	10000000	307.0838
C00052	UDP-alpha-D-galactose|UDP-D-galactose|UDP-galactose|UDP-D-galactopyranose|UDP-alpha-D-galactopyranose	C15H24N2O17P2	10000000	566.055
C00053	3'-Phosphoadenylyl sulfate|3'-Phosphoadenosine 5'-phosphosulfate|3'-Phospho-5'-adenylyl sulfate|PAPS	C10H15N5O13P2S	10000000	506.9862
C00054	Adenosine 3',5'-bisphosphate|PAP|3'-Phosphoadenylate|Phosphoadenosine phosphate	C10H15N5O10P2	10000000	427.0294
C00055	CMP|Cytidine-5'-monophosphate|Cytidylic acid	C9H14N3O8P	10000000	323.0519
C00058	Formate|Methanoic acid|Formic acid	CH2O2	10000000	46.0055
C00059	Sulfate|Sulfuric acid	H2SO4	10000000	97.9674
C00060	Carboxylate|R-COOH|Monocarboxylate|Carboxylic acid	CO2R	0	0
C00061	FMN|Riboflavin-5-phosphate|Flavin mononucleotide	C17H21N4O9P	10000000	456.1046
C00062	L-Arginine|(S)-2-Amino-5-guanidinovaleric acid|L-Arg	C6H14N4O2	10000000	174.1117
C00063	CTP|Cytidine 5'-triphosphate|Cytidine triphosphate	C9H16N3O14P3	10000000	482.9845
C00064	L-Glutamine|L-2-Aminoglutaramic acid	C5H10N2O3	10000000	146.0691
C00065	L-Serine|L-2-Amino-3-hydroxypropionic acid|L-3-Hydroxy-alanine|Serine	C3H7NO3	10000000	105.0426
C00066	tRNA|tRNA(n)|tRNA(n+1)|transfer RNA	C10H17O10PR2(C5H8O6PR)n	0	0
C00067	Formaldehyde|Methanal|Oxomethane|Oxomethylene|Methylene oxide|Formalin	CH2O	10000000	30.0106
C00068	Thiamin diphosphate|Thiamine diphosphate|Thiamin pyrophosphate|TPP|ThPP	C12H19N4O7P2S	10000000	425.045
C00069	Alcohol	HOR	0	0
C00070	Copper|Cu+|Cu2+|Cu(II)	Cu	10000000	62.9296
C00071	Aldehyde|RCHO	CHOR	0	0
C00072	Ascorbate|Ascorbic acid|L-Ascorbate|L-Ascorbic acid|Vitamin C	C6H8O6	10000000	176.0321
C00073	L-Methionine|Methionine|L-2-Amino-4methylthiobutyric acid	C5H11NO2S	10000000	149.051
C00074	Phosphoenolpyruvate|Phosphoenolpyruvic acid|PEP	C3H5O6P	10000000	167.9824
C00075	UTP|Uridine 5'-triphosphate|Uridine triphosphate	C9H15N2O15P3	10000000	483.9685
C00076	Calcium cation|Ca2+|Calcium(2+)|Calcium ion	Ca	10000000	39.9626
C00077	L-Ornithine|(S)-2,5-Diaminovaleric acid|(S)-2,5-Diaminopentanoic acid|(S)-2,5-Diaminopentanoate	C5H12N2O2	10000000	132.0899
C00078	L-Tryptophan|Tryptophan|(S)-alpha-Amino-beta-(3-indolyl)-propionic acid	C11H12N2O2	10000000	204.0899
C00079	L-Phenylalanine|(S)-alpha-Amino-beta-phenylpropionic acid	C9H11NO2	10000000	165.079
C00080	H+|Hydron	H	10000000	1.0078
C00081	ITP|Inosine 5'-triphosphate|Inosine triphosphate|Inosine tripolyphosphate	C10H15N4O14P3	10000000	507.9798
C00082	L-Tyrosine|(S)-3-(p-Hydroxyphenyl)alanine|(S)-2-Amino-3-(p-hydroxyphenyl)propionic acid|Tyrosine	C9H11NO3	10000000	181.0739
C00083	Malonyl-CoA|Malonyl coenzyme A	C24H38N7O19P3S	10000000	853.1156
C00084	Acetaldehyde|Ethanal	C2H4O	10000000	44.0262
C00085	D-Fructose 6-phosphate|D-Fructose 6-phosphoric acid|Neuberg ester	C6H13O9P	10000000	260.0297
C00086	Urea|Carbamide	CH4N2O	10000000	60.0324
C00087	Sulfur|S|Elemental sulfur	S	10000000	31.9721
C00088	Nitrite	HNO2	10000000	47.0007
C00089	Sucrose|Cane sugar|Saccharose|1-alpha-D-Glucopyranosyl-2-beta-D-fructofuranoside	C12H22O11	10000000	342.1162
C00090	Catechol|1,2-Benzenediol|o-Benzenediol|1,2-Dihydroxybenzene|Brenzcatechin|Pyrocatechol	C6H6O2	10000000	110.0368
C00091	Succinyl-CoA|Succinyl coenzyme A	C25H40N7O19P3S	10000000	867.1313
C00092	D-Glucose 6-phosphate|Glucose 6-phosphate|Robison ester	C6H13O9P	10000000	260.0297
C00093	sn-Glycerol 3-phosphate|Glycerophosphoric acid|D-Glycerol 1-phosphate	C3H9O6P	10000000	172.0137
C00094	Sulfite|Sulfurous acid	H2SO3	10000000	81.9725
C00095	D-Fructose|Levulose|Fruit sugar|D-arabino-Hexulose	C6H12O6	10000000	180.0634
C00096	GDP-mannose|GDP-D-mannose|GDP-alpha-D-mannose	C16H25N5O16P2	10000000	605.0772
C00097	L-Cysteine|L-2-Amino-3-mercaptopropionic acid	C3H7NO2S	10000000	121.0197
C00098	Oligopeptide	C2H4NO2R(C2H2NOR)n	0	0
C00099	beta-Alanine|3-Aminopropionic acid|3-Aminopropanoate	C3H7NO2	10000000	89.0477
C00100	Propanoyl-CoA|Propionyl-CoA|Propionyl coenzyme A	C24H40N7O17P3S	10000000	823.1414
C00101	Tetrahydrofolate|5,6,7,8-Tetrahydrofolate|Tetrahydrofolic acid|THF|(6S)-Tetrahydrofolate|(6S)-Tetrahydrofolic acid|(6S)-THFA	C19H23N7O6	10000000	445.171
C00102	2,6-Dichloroindophenol|2,6-Dichlorophenolindophenol|DCIP	C12H7Cl2NO2	10000000	266.9854
C00103	D-Glucose 1-phosphate|alpha-D-Glucose 1-phosphate|Cori ester|D-Glucose alpha-1-phosphate	C6H13O9P	10000000	260.0297
C00104	IDP|Inosine 5'-diphosphate|Inosine diphosphate	C10H14N4O11P2	10000000	428.0134
C00105	UMP|Uridylic acid|Uridine monophosphate|Uridine 5'-monophosphate|5'Uridylic acid	C9H13N2O9P	10000000	324.0359
C00106	Uracil	C4H4N2O2	10000000	112.0273
C00107	Dipeptide	C4H6N2O3R2	0	0
C00108	Anthranilate|Anthranilic acid|o-Aminobenzoic acid|Vitamin L1|2-Aminobenzoate	C7H7NO2	10000000	137.0477
C00109	2-Oxobutanoate|2-Ketobutyric acid|2-Oxobutyric acid|2-Oxobutyrate|2-Oxobutanoic acid|alpha-Ketobutyric acid|alpha-Ketobutyrate	C4H6O3	10000000	102.0317
