biomass_id	id	coefficient	coefficient_type	class	linked_compounds	compartment
bio1	cpd00002	-0.262	MOLFRACTION	rna	cpd00012:-1	c0
bio1	cpd00038	-0.322	MOLFRACTION	rna	cpd00012:-1	c0
bio1	cpd00052	-0.2	MOLFRACTION	rna	cpd00012:-1	c0
bio1	cpd00062	-0.216	MOLFRACTION	rna	cpd00012:-1	c0
bio1	cpd00115	-1	AT	dna	cpd00012:-1	c0
bio1	cpd00241	-1	GC	dna	cpd00012:-1	c0
bio1	cpd00356	-1	GC	dna	cpd00012:-1	c0
bio1	cpd00357	-1	AT	dna	cpd00012:-1	c0
bio1	cpd00023	-0.0492	MOLFRACTION	protein	cpd00001:-1	c0
bio1	cpd00033	-0.1145	MOLFRACTION	protein	cpd00001:-1	c0
bio1	cpd00035	-0.0961	MOLFRACTION	protein	cpd00001:-1	c0
bio1	cpd00039	-0.0641	MOLFRACTION	protein	cpd00001:-1	c0
bio1	cpd00041	-0.0451	MOLFRACTION	protein	cpd00001:-1	c0
bio1	cpd00051	-0.0554	MOLFRACTION	protein	cpd00001:-1	c0
bio1	cpd00053	-0.0492	MOLFRACTION	protein	cpd00001:-1	c0
bio1	cpd00054	-0.0403	MOLFRACTION	protein	cpd00001:-1	c0
bio1	cpd00060	-0.0287	MOLFRACTION	protein	cpd00001:-1	c0
bio1	cpd00065	-0.0106	MOLFRACTION	protein	cpd00001:-1	c0
bio1	cpd00066	-0.0347	MOLFRACTION	protein	cpd00001:-1	c0
bio1	cpd00069	-0.0271	MOLFRACTION	protein	cpd00001:-1	c0
bio1	cpd00084	-0.0171	MOLFRACTION	protein	cpd00001:-1	c0
bio1	cpd00107	-0.0843	MOLFRACTION	protein	cpd00001:-1	c0
bio1	cpd00119	-0.0178	MOLFRACTION	protein	cpd00001:-1	c0
bio1	cpd00129	-0.0414	MOLFRACTION	protein	cpd00001:-1	c0
bio1	cpd00132	-0.0451	MOLFRACTION	protein	cpd00001:-1	c0
bio1	cpd00156	-0.0791	MOLFRACTION	protein	cpd00001:-1	c0
bio1	cpd00161	-0.0474	MOLFRACTION	protein	cpd00001:-1	c0
bio1	cpd00322	-0.0543	MOLFRACTION	protein	cpd00001:-1	c0
bio1	cpd00002	-1	MULTIPLIER	energy	cpd00001:-1|cpd00008:-1|cpd00009:-1|cpd00067:1	c0
bio1	cpd11416	1	EXACT	other	null	c0
bio1	cpd17041	-1	EXACT	other	null	c0
bio1	cpd17042	-1	EXACT	other	null	c0
bio1	cpd17043	-1	EXACT	other	null	c0
bio1	cpd00010	-1	MOLSPLIT	cofactor	null	c0
bio1	cpd11493	-1	MOLSPLIT	cofactor	cpd12370:-1	c0
bio1	cpd00003	-1	MOLSPLIT	cofactor	null	c0
bio1	cpd00006	-1	MOLSPLIT	cofactor	null	c0
bio1	cpd00205	-1	MOLSPLIT	cofactor	null	c0
bio1	cpd00254	-1	MOLSPLIT	cofactor	null	c0
bio1	cpd10516	-1	MOLSPLIT	cofactor	null	c0
bio1	cpd00063	-1	MOLSPLIT	cofactor	null	c0
bio1	cpd00009	-1	MOLSPLIT	cofactor	null	c0
bio1	cpd00099	-1	MOLSPLIT	cofactor	null	c0
bio1	cpd00149	-1	MOLSPLIT	cofactor	null	c0
bio1	cpd00058	-1	MOLSPLIT	cofactor	null	c0
bio1	cpd00015	-1	MOLSPLIT	cofactor	null	c0
bio1	cpd10515	-1	MOLSPLIT	cofactor	null	c0
bio1	cpd00030	-1	MOLSPLIT	cofactor	null	c0
bio1	cpd00048	-1	MOLSPLIT	cofactor	null	c0
bio1	cpd00034	-1	MOLSPLIT	cofactor	null	c0
bio1	cpd00016	-1	MOLSPLIT	cofactor	null	c0
bio1	cpd00220	-1	MOLSPLIT	cofactor	null	c0
bio1	cpd00017	-1	MOLSPLIT	cofactor	null	c0
bio1	cpd00201	-1	MOLSPLIT	cofactor	null	c0
bio1	cpd00087	-1	MOLSPLIT	cofactor	null	c0
bio1	cpd00345	-1	MOLSPLIT	cofactor	null	c0
bio1	cpd00042	-1	MOLSPLIT	cofactor	null	c0
bio1	cpd00028	-1	MOLSPLIT	cofactor	null	c0
bio1	cpd00557	-1	MOLSPLIT	cofactor	null	c0
bio1	cpd00264	-1	MOLSPLIT	cofactor	null	c0
bio1	cpd00118	-1	MOLSPLIT	cofactor	null	c0
bio1	cpd00056	-1	MOLSPLIT	cofactor	null	c0
bio1	cpd15560	-1	MOLSPLIT	cofactor	null	c0
bio1	cpd15352	-1	MOLSPLIT	cofactor	null	c0
bio1	cpd15500	-1	MOLSPLIT	cofactor	null	c0
bio1	cpd00166	-1	MOLSPLIT	cofactor	cpd01997:-1|cpd03422:-1	c0
bio1	cpd15793	-1	MOLSPLIT	lipid	null	c0
bio1	cpd15794	-1	MOLSPLIT	lipid	null	c0
bio1	cpd15795	-1	MOLSPLIT	lipid	null	c0
bio1	cpd15722	-1	MOLSPLIT	lipid	null	c0
bio1	cpd15723	-1	MOLSPLIT	lipid	null	c0
bio1	cpd15540	-1	MOLSPLIT	lipid	null	c0
bio1	cpd15533	-1	MOLSPLIT	lipid	null	c0
bio1	cpd15695	-1	MOLSPLIT	lipid	null	c0
bio1	cpd15696	-1	MOLSPLIT	lipid	null	c0
bio1	cpd15432	-1	MOLSPLIT	cellwall	null	c0
bio1	cpd02229	-1	MOLSPLIT	cellwall	null	c0
bio1	cpd15665	-1	MOLSPLIT	cellwall	cpd15666:-1	c0
