Original Reaction	Matched Reaction	Original Description	Matched Description	Swapped Compounds	
rxn00066	rxn22402	(1) NADH[0] + (1) H2O2[0] + (1) H+[0] => (2) H2O[0] + (1) NAD[0]	(1) H2O2[0] + (1) Donor-H2[0] <=> (2) H2O[0] + (1) Acceptor[0]	cpd00004:cpd26978;cpd00003:cpd22290	
rxn00066	rxn14265	(1) NADH[0] + (1) H2O2[0] + (1) H+[0] => (2) H2O[0] + (1) NAD[0]	(1) H2O2[0] + (1) AH2[0] <=> (2) H2O[0] + (1) A[0]	cpd00004:cpd11610;cpd00003:cpd11609	
rxn00067	rxn19318	(1) NAD[0] + (2) CoA[0] <= (1) NADH[0] + (1) H+[0] + (1) CoA-disulfide[0]	(2) CoA[0] + (1) NAD-P-OR-NOP[0] <=> (1) H+[0] + (1) CoA-disulfide[0] + (1) NADH-P-OR-NOP[0]	cpd00003:cpd27638;cpd00004:cpd27640	
rxn00071	rxn14195	(1) NAD[0] + (2) L-Ascorbate[0] <= (1) NADH[0] + (3) H+[0] + (2) Ascorbate radical[0]	(2) L-Ascorbate[0] + (1) A[0] <=> (2) Ascorbate radical[0] + (1) AH2[0]	cpd00003:cpd11609;cpd00004:cpd11610	
rxn00071	rxn42533	(1) NAD[0] + (2) L-Ascorbate[0] <= (1) NADH[0] + (3) H+[0] + (2) Ascorbate radical[0]	(2) L-Ascorbate[0] + (2) H+[0] + (1) Acceptor[0] <=> (2) Ascorbate radical[0] + (1) Donor-H2[0]	cpd00003:cpd22290;cpd00004:cpd26978	
rxn00075	rxn20264	(1) H2O[0] + (1) NAD[0] => (1) H+[0] + (1) Nicotinamide[0] + (1) ADPribose[0]	(1) H2O[0] + (1) NAD-P-OR-NOP[0] => (1) Nicotinamide[0] + (1) ADPribose[0]	cpd00003:cpd27638	
rxn00083	rxn05797	(1) NAD[0] + (1) NADPH[0] <=> (1) NADH[0] + (1) NADP[0]	(1) NADPH[0] + (1) H+[0] + (1) A[0] <=> (1) NADP[0] + (1) AH2[0]	cpd00003:cpd11609;cpd00004:cpd11610	
rxn00083	rxn20268	(1) NAD[0] + (1) NADPH[0] <=> (1) NADH[0] + (1) NADP[0]	(1) NADPH[0] + (1) H+[0] + (1) Acceptor[0] <=> (1) NADP[0] + (1) Donor-H2[0]	cpd00003:cpd22290;cpd00004:cpd26978	
rxn00083	rxn17260	(1) NAD[0] + (1) NADPH[0] <=> (1) NADH[0] + (1) NADP[0]	(1) NADH[0] + (1) H+[0] + (1) Acceptor[0] <=> (1) NAD[0] + (1) Donor-H2[0]	cpd00005:cpd26978;cpd00006:cpd22290	
rxn00083	rxn05796	(1) NAD[0] + (1) NADPH[0] <=> (1) NADH[0] + (1) NADP[0]	(1) NADH[0] + (1) H+[0] + (1) A[0] <=> (1) NAD[0] + (1) AH2[0]	cpd00005:cpd11610;cpd00006:cpd11609	
rxn00084	rxn22402	(1) NADPH[0] + (1) H2O2[0] + (1) H+[0] => (2) H2O[0] + (1) NADP[0]	(1) H2O2[0] + (1) Donor-H2[0] <=> (2) H2O[0] + (1) Acceptor[0]	cpd00005:cpd26978;cpd00006:cpd22290	
