ID	NAMES	EQUATION	TRANSPORT	ADJUSTED	MATCH	COMPLETE	MODELSEED	MS DEFINITION
2MBACt	2-methylbutyl transport (extracellular)	m953(cpd16872)[0] => m954(cpd16872)[1]	Y	N	Y	Y	rxn13188	(1) 2-methylbutyl acetate[0] <=> (1) 2-methylbutyl acetate[1]
2MBACxtI	Uptake of 2-methylbutyl acetate	m1079(cpd16872)[0] => m954(cpd16872)[1]	Y	N	Y	Y	rxn13188	(1) 2-methylbutyl acetate[0] <=> (1) 2-methylbutyl acetate[1]
2MBACxtO	Excretion of 2-methylbutyl acetate	m954(cpd16872)[0] => m1079(cpd16872)[1]	Y	N	Y	Y	rxn13188	(1) 2-methylbutyl acetate[0] <=> (1) 2-methylbutyl acetate[1]
2MBALDt	2-Methylbutanal transport (extracellular)	m766(cpd01499)[0] => m955(cpd01499)[1]	Y	N	Y	Y	rxn13189	(1) 2-Methylbutanal[0] <=> (1) 2-Methylbutanal[1]
2MBALDxtI	Uptake of 2-methylbutyraldehyde	m1080(cpd01499)[0] => m955(cpd01499)[1]	Y	N	Y	Y	rxn13189	(1) 2-Methylbutanal[0] <=> (1) 2-Methylbutanal[1]
2MBTOHt	2-methyl-1-butanol transport (extracellular)	m769(cpd16873)[0] => m956(cpd16873)[1]	Y	N	Y	Y	rxn13191	(1) 2-methyl-1-butanol[0] <=> (1) 2-methyl-1-butanol[1]
2MPPALt	2-methylpropanal transport (extracellular)	m957(cpd16874)[0] => m958(cpd16874)[1]	Y	N	Y	Y	rxn13193	(1) 2-methylpropanal[0] <=> (1) 2-methylpropanal[1]
2PHETOHt	2-phenylethanol reversible transport	m959(cpd03481)[0] => m960(cpd03481)[1]	Y	N	Y	Y	rxn13196	(1) 2-phenylethanol[1] <=> (1) 2-phenylethanol[0]
3C3HMPt	2-Isopropylmalate transport, diffusion	m793(cpd01646)[0] => m961(cpd01646)[1]	Y	N	Y	Y	rxn09801	(1) 2-Isopropylmalate[0] <=> (1) 2-Isopropylmalate[1]
3MBALDt	3-methylbutanal transport (extracellular)	m788(cpd04534)[0] => m962(cpd04534)[1]	Y	N	Y	Y	rxn13201	(1) 3-Methylbutanal[0] <=> (1) 3-Methylbutanal[1]
3MOPt	3mop reversible trasport	m963(cpd00508)[0] => m178(cpd00508)[1]	Y	N	Y	Y	rxn09798	(1) 3MOP[0] <=> (1) 3MOP[1]
44DIMZYMSTxtI	Uptake of 4,4-dimethylzymosterol	m1081(cpd03038)[0] => m907(cpd03038)[1]	Y	N	N	Y	frxn00001	
44DIMZYMSTxtO	Excretion of 4,4-dimethylzymosterol	m907(cpd03038)[0] => m1081(cpd03038)[1]	Y	N	N	Y	frxn00001	(1) 14-Demethyllanosterol[0] <=> (1) 14-Demethyllanosterol[1]
