ID	NAMES	EQUATION
2MBACt	2-methylbutyl transport (extracellular)	m953[0] => m954[1]
2MBACxtI	Uptake of 2-methylbutyl acetate	m1079[0] => m954[1]
2MBACxtO	Excretion of 2-methylbutyl acetate	m954[0] => m1079[1]
2MBALDt	2-Methylbutanal transport (extracellular)	m766[0] => m955[1]
2MBALDxtI	Uptake of 2-methylbutyraldehyde	m1080[0] => m955[1]
2MBTOHt	2-methyl-1-butanol transport (extracellular)	m769[0] => m956[1]
2MPPALt	2-methylpropanal transport (extracellular)	m957[0] => m958[1]
2PHETOHt	2-phenylethanol reversible transport	m959[0] => m960[1]
3C3HMPt	2-Isopropylmalate transport, diffusion	m793[0] => m961[1]
3MBALDt	3-methylbutanal transport (extracellular)	m788[0] => m962[1]
3MOPt	3mop reversible trasport	m963[0] => m178[1]
44DIMZYMSTxtI	Uptake of 4,4-dimethylzymosterol	m1081[0] => m907[1]
44DIMZYMSTxtO	Excretion of 4,4-dimethylzymosterol	m907[0] => m1081[1]
4ABZt	4-Aminobenzoate mitochondrial transport via diffusion	m460[0] => m964[1]
A01		m138[0] m900[0] => m273[0] m575[0]
A02		m55[0] m164[0] m271[0] => m53[0] m167[0]
A03		m42[0] => m39[0] m933[0]
A04		m1242[0] => m683[0] m1248[0]
A05		m1249[0] => m507[0] m913[0]
A06		m264[0] => m1250[0] m1251[0]
A07	cardiolipin acylhydrolase	m264[0] => m1250[0] m1251[0]
A08		m1242[0] => m212[0] m913[0]
A09		m542[0] => m549[1]
A10	Aromatic amino acid aminotransferase 2	m13[0] m703[0] => m14[0] m98[0]
A100	Acyl-coenzyme A oxidase	m1298[0] => m1311[0]
A101	D-3-hydroxyacyl-CoA dehydrogenase	m480[0] m1311[0] => m482[0] m1312[0]
A102	3-ketoacyl-CoA thiolase, peroxisomal	m195[0] m1312[0] => m193[0] m438[0]
A103	Acyl-coenzyme A oxidase	m1300[0] => m1313[0]
A104	D-3-hydroxyacyl-CoA dehydrogenase	m480[0] m1313[0] => m482[0] m1314[0]
A105	3-ketoacyl-CoA thiolase, peroxisomal	m195[0] m1314[0] => m193[0] m434[0]
A106	Acyl-coenzyme A oxidase	m1302[0] => m1315[0]
A107	D-3-hydroxyacyl-CoA dehydrogenase	m480[0] m1315[0] => m482[0] m1316[0]
A108	3-ketoacyl-CoA thiolase, peroxisomal	m195[0] m1316[0] => m193[0] m1295[0]
A109	Acyl-coenzyme A oxidase	m1304[0] => m1317[0]
A110	D-3-hydroxyacyl-CoA dehydrogenase	m480[0] m1317[0] => m482[0] m1318[0]
A111	3-ketoacyl-CoA thiolase, peroxisomal	m195[0] m1318[0] => m193[0] m1301[0]
A112	Acyl-coenzyme A oxidase	m192[0] m1319[0] => m191[0] m1320[0]
A113	Acyl-coenzyme A oxidase	m1320[0] => m1321[0]
A114	D-3-hydroxyacyl-CoA dehydrogenase	m480[0] m580[0] m1321[0] => m482[0] m578[0] m1322[0]
A115	3-ketoacyl-CoA thiolase, peroxisomal	m195[0] m1322[0] => m193[0] m432[0]
A116	Acyl-CoA desaturase 1	m271[0] m381[0] => m1323[0]
A117	Long-chain-fatty-acid--CoA ligase 3	m4[0] m31[0] m1324[0] => m38[0] m39[0] m1323[0]
A118	Very long-chain fatty acyl-CoA synthetase	m195[0] m370[0] m1325[0] => m372[0] m374[0] m1293[0]
A119	Very long-chain fatty acyl-CoA synthetase	m195[0] m370[0] m1326[0] => m372[0] m374[0] m1295[0]
A12		m312[0] => m13[0] m137[0]
A120	Very long-chain fatty acyl-CoA synthetase	m195[0] m370[0] m1327[0] => m372[0] m374[0] m1323[1]
A121	Very long-chain fatty acyl-CoA synthetase	m195[0] m370[0] m1328[0] => m372[0] m374[0] m1299[0]
A122	Very long-chain fatty acyl-CoA synthetase	m195[0] m370[0] m1329[0] => m372[0] m374[0] m1301[0]
A123	Very long-chain fatty acyl-CoA synthetase	m195[0] m370[0] m1330[0] => m372[0] m374[0] m1303[0]
A124	fatty acyl-CoA peroxisomal transport via ABC system	m370[0] m1279[1] => m771[0] m782[0] m1299[0]
A125	fatty acyl-CoA peroxisomal transport via ABC system	m370[0] m1280[1] => m771[0] m782[0] m1301[0]
A126	fatty acyl-CoA transport via ABC system	m370[0] m1281[1] => m771[0] m782[0] m1303[0]
A127	fatty acyl-CoA peroxisomal transport via ABC system	m370[0] m1323[1] => m771[0] m782[0] m1319[0]
A128	fatty acyl-CoA peroxisomal transport via ABC system	m325[0] m370[1] => m771[1] m782[1] m1295[1]
A129	fatty acyl-CoA transport via ABC system	m323[0] m370[1] => m771[1] m782[1] m1293[1]
A13		m313[0] => m85[0] m685[0]
A130	fatty acyl-CoA peroxisomal transport via ABC system	m327[0] m370[1] => m438[1] m771[1] m782[1]
A131	fatty acyl-CoA peroxisomal transport via ABC system	m370[0] m865[1] => m440[0] m771[0] m782[0]
A132	fatty acyl-CoA transport via ABC system	m315[0] m370[1] => m376[1] m771[1] m782[1]
A133	fatty acyl-CoA peroxisomal transport via ABC system	m317[0] m370[1] => m721[1] m771[1] m782[1]
A134	fatty acyl-CoA peroxisomal transport via ABC system	m370[0] m381[1] => m434[0] m771[0] m782[0]
A135	fatty acyl-CoA transport via ABC system	m321[0] m370[1] => m430[1] m771[1] m782[1]
A136	fatty acyl-CoA transport via ABC system	m141[0] m370[1] => m771[1] m782[1] m948[1]
A14	Riboflavine synthase	(2) m806[0] => m805[0] m914[0]
A15	Phenylacrylic acid decarboxylase	m251[0] => m27[0] m975[0]
A16	Geranyltranstransferase	(7) m344[0] m345[0] => (7) m39[0] m250[0]
A17	Hexaprenyldihydroxybenzoate methyltransferase, mitochondrial	m253[0] m1252[0] => m254[0] m773[0]
A18	Ubiquinone biosynthesis monooxygenase COQ6	m257[0] m1253[0] => m1252[0]
A19	Ubiquinone biosynthesis methyltransferase COQ5, mitochondrial	m253[0] m1254[0] => m254[0] m1253[0]
A20	2-octaprenyl-6-methoxyphenol hydroxylase	m257[0] m1255[0] => m1254[0]
A21	Dimethyladenosine transferase	m240[0] m1256[0] => m242[0] m1257[0]
A22	2-octaprenylphenol hydroxylase	m271[0] m1258[0] => m1256[0]
A23	Phenylacrylic acid decarboxylase	m1259[0] => m27[0] m1258[0]
A24	Hexaprenyl pyrophosphate synthetase, mitochondrial	m249[0] m1260[0] => m39[0] m1259[0]
A25	transport 2-nonaprenyl-6-methoxyphenol	m1255[0] => m1257[1]
A26	Geranyltranstransferase	(3) m344[0] m346[0] => (7) m39[0] m1260[0]
A27		m293[0] m1261[0] => m1262[0] m1263[0]
