ID	Name	Reversible	Reactants	Products	E.C.	Pathway
R_AAC1	ADP,ATP carrier protein 1	false	M_m1[1];M_m2[1];M_m3[1];	M_m4[1];M_m5[1];M_m6[1];M_m7[1];			
R_AAT1_1	Aspartate aminotransferase, mitochondrial	true	M_m8[1];M_m9[1];	M_m10[1];M_m11[1];			
R_AAT1_2	Aspartate aminotransferase, mitochondrial	true	M_m12[1];M_m13[1];	M_m14[1];M_m15[1];			
R_AAT2_1	Aspartate aminotransferase, cytoplasmic	true	M_m13[1];M_m16[1];	M_m14[1];M_m17[1];			
R_AAT2_3	Aspartate aminotransferase, peroxisomal	true	M_m18[1];M_m19[1];	M_m20[1];M_m21[1];			
R_AAT2_4	Aspartate aminotransferase, peroxisomal	true	M_m18[1];M_m22[1];	M_m21[1];M_m23[1];			
R_ABZ1	Aminodeoxychorismate synthase	false	M_m24[1];M_m25[1];	M_m13[1];M_m26[1];			
R_ACC1	Acetyl-CoA carboxylase	true	M_m4[1];M_m27[1];M_m28[1];	M_m1[1];M_m2[1];M_m29[1];			
R_ACH1	Acetyl-CoA hydrolase	false	M_m28[1];	M_m30[1];M_m31[1];			
R_ACO1	Aconitate hydratase, mitochondrial	true	M_m32[1];	M_m33[1];			
R_NDI1	NADH-ubiquinone oxidoreductase, mitochondrial	false	M_m34[1];M_m35[1];	M_m36[1];M_m37[1];			
R_ACS1	Acetyl-coenzyme A synthetase 1	false	M_m4[1];M_m30[1];M_m31[1];	M_m28[1];M_m38[1];M_m39[1];			
R_ADE1	Phosphoribosylaminoimidazole-succinocarboxamide synthase	true	M_m4[1];M_m17[1];M_m40[1];	M_m1[1];M_m2[1];M_m41[1];			
R_ADE12	Adenylosuccinate synthetase	false	M_m17[1];M_m42[1];M_m43[1];	M_m2[1];M_m44[1];M_m45[1];			
R_ADE13_1	Adenylosuccinate lyase	true	M_m41[1];	M_m46[1];M_m47[1];			
R_ADE13_2	Adenylosuccinate lyase	true	M_m45[1];	M_m38[1];M_m47[1];			
R_ADE16_1	Phosphoribosylaminoimidazolecarboxamide formyltransferase	true	M_m46[1];M_m48[1];	M_m49[1];M_m50[1];			
R_ADE16_2	IMP cyclohydrolase	true	M_m49[1];	M_m43[1];			
R_ADE2	Phosphoribosylaminoimidazole carboxylase	true	M_m40[1];	M_m27[1];M_m51[1];			
R_ADE3_1	Methylenetetrahydrofolate dehydrogenase	true	M_m52[1];M_m53[1];	M_m54[1];M_m55[1];			
