ID	NAMES	EQUATION
Biomass	Biomass deduced	(0.90068) 13glucan[0] (0.22294) ala[0] (0.16063) arg[0] (0.08887) asn[0] (0.14613) asp[0] (71.4) atp[0] (0.26575) chit[0] (0.02091) ctp[0] (0.03297) cys[0] (0.00398) datp[0] (0.00431) dctp[0] (0.00431) dgtp[0] (0.00398) dttp[0] (0.03153) ffa[0] (0.076) gl[0] (0.10126) gln[0] (0.15371) glu[0] (0.17484) gly[0] (0.0015) glycogen[0] (0.03051) gtp[0] (71.4) h2o[0] (0.06317) his[0] (0.12286) ile[0] (0.23243) leu[0] (0.1126) lys[0] (0.05566) met[0] (0.3348) mnt[0] (0.02264) paa[0] (0.07966) pc[0] (0.03399) pe[0] (0.09533) phe[0] (0.15713) pro[0] (0.01378) ps[0] (0.2067) ser[0] (0.06168) tagly[0] (0.15021) thr[0] (0.03822) trp[0] (0.07351) tyr[0] (0.02795) utp[0] (0.16131) val[0] => (71.4) adp[0] (71.4) h[0] (71.4) pi[0]
cyto-c	cytochrome-c oxidase	(2) fero[0] (6) h[0] (0.5) o2[0] => (2) feri[0] h2o[0] (4) h[1]
etf-qo	Electron-transferring-flavoprotein dehydrogenase	fadh2[0] q[0] => fad[0] h[0] qh2[0]
f-atpase	ATP synthesis(F type), H+-transporting two-sector ATPase	adp[0] (4.7) h[1] pi[0] => atp[0] h2o[0] (4.7) h[0]
h-atpase	H+-exporting ATPase	atp[0] h2o[0] (3) h[0] => adp[0] (4) h[1] pi[0]
nadh-q_cyto	NADH-ubiquinone oxidoreductase	(5) h[0] nadh[1] q[0] => (4) h[1] nad[1] qh2[0]
nadh-q_cyto_alter	alternative NADH dehydrogenase 	h[0] nadh[0] q[1] => nad[0] qh2[1]
nadh-q_mito	NADH-ubiquinone oxidoreductase (respirer chain), complex I	(5) h[0] nadh[0] q[0] => (4) h[1] nad[0] qh2[0]
nadh-q_mito_alter	alternative NADH dehydrogenase 	h[0] nadh[0] q[0] => nad[0] qh2[0]
oxids_alte	alternative oxidase	(0.5) o2[0] qh2[0] => h2o[0] q[0]
q-cyto-c	ubiquinol-cytochrome-c reductase (complex III)	(2) feri[0] (2) h[0] qh2[0] => (2) fero[0] (4) h[1] q[0]
r0001	L-amino-acid oxidase	h2o[0] ile[0] o2[0] => h2o2[0] nh3[0] omval[0]
r0002	L-amino-acid oxidase	asp[0] h2o[0] o2[0] => h2o2[0] nh3[0] oa[0]
r0003	aspartate racemase	asp[0] => dasp[0]
r0004	D-amino-acid oxidase 	dasp[0] h2o[0] o2[0] => h2o2[0] nh3[0] oa[0]
r0005	D-amino-acid oxidase 	dasp[0] h2o[0] o2[0] => h2o2[0] nh3[0] oa[0]
r0006	aspartate aminotransferase	akg[0] asp[0] => glu[0] oa[0]
r0007	aspartate aminotransferase, mitchondrial	glu[0] oa[0] => akg[0] asp[0]
r0008	Alanine transaminase	akg[0] ala[0] => glu[0] pyr[0]
r0009	Alanine transaminase	akg[0] ala[0] => glu[0] pyr[0]
r0010	Alanine-glyoxylate transaminase	ala[0] glx[0] => gly[0] pyr[0]
r0011	succinate-semialdehyde dehydrogenase	h2o[0] nadp[0] succsal[0] => (2) h[0] nadph[0] succ[0]
r0012	succinate-semialdehyde dehydrogenase [NAD(P)+]	h2o[0] nad[0] succsal[0] => (2) h[0] nadh[0] succ[0]
r0013	4-Aminobutyrate transaminase	akg[0] bala[0] => glu[0] oppa[0]
r0014	4-Aminobutyrate transaminase	akg[0] gaba[0] => glu[0] succsal[0]
r0015	4-Aminobutyrate transaminase	gaba[0] pyr[0] => ala[0] succsal[0]
r0016	Asparagine synthase	asp[0] atp[0] gln[0] h2o[0] => amp[0] asn[0] glu[0] (2) h[0] ppi[0]
r0017	L-asparaginase	asn[0] h2o[0] => asp[0] nh3[0]
r0018	pyrroline-5-carboxylate reductase	(2) h2o[0] nad[0] phc[0] => ehglu[0] h[0] nadh[0]
r0019	L-aspartate:2-oxoglutarate aminotransferase	akg[0] ehglu[0] => glu[0] hakg[0]
r0020	agmatine deiminase	agmt[0] h2o[0] => ncapsc[0] nh3[0]
r0021	aspartate aminotransferase	akg[0] cys[0] => glu[0] mrpyr[0]
r0022	aspartate aminotransferase	akg[0] cyse[0] => glu[0] slpyr[0]
r0023	hydroxyproline oxidase	fad[0] hpro[1] => fadh2[0] phc[1]
r0024	diamine N-acetyltransferase	accoa[0] ptrsc[0] => coa[0] h[0] naps[0]
r0025	spermidine synthase	dsam[0] sprmd[0] => h[0] mta[0] spere[0]
