ID	NAMES
57426	sinapoyl (S)-malate
33737	[2Fe-2S](2+)
33738	[2Fe-2S](1+)
33723	[4Fe-4S](1+) cluster
33723	[4Fe-4S](1+) cluster
33722	[4Fe-4S](2+) cluster
33722	[4Fe-4S](2+) cluster
78930	a 1-acyl-2-hexanoyl-sn-glycero-3-phospho-(1D-myo-inositol-5-phosphate)
78931	a 1-acyl-2-hexanoyl-sn-glycero-3-phospho-(1D-myo-inositol)
78934	1,2-dioctanoyl-sn-glycero-3-phospho-(1-D-myo-inositol-3-phosphate)
59923	oxidized coenzyme alpha-F420-3
77851	(2S)-2-amino-3-oxo-4-(phosphooxy)butanoate
77857	cyanidin 3-O-beta-D-glucoside
77858	4-hydroxycoumarin
77859	(2Z,4E)-2-aminomuconate
77860	3-cyano-L-alanine
77862	3,3',4',5,7,8-hexahydroxyflavone
77938	barbiturate
77984	quercetin 3,3',7-trissulfate
77989	luteolin 7-O-[(beta-D-glucuronosyl)-(1->2)-(beta-D-glucuronide)]
77992	calycosin
78324	baicalein
78216	alpha,beta-didehydrotryptophan
25822	p-cumate
78995	1,2-dihexadecanoyl-sn-glycero-3-phospho-(1D-myo-inositol-3-phosphate)
78994	1,2-dihexadecanoyl-sn-glycero-3-phospho-(1D-myo-inositol-3,5-phosphate)
77589	monoacyl-sn-glycero-3-phosphate
79008	(R)-nicotine
17846	(2S)-naringenin
79021	3-oxo-(11Z)-hexadecenoyl-CoA
49552	Cu(+)
29036	Cu(2+)
64479	O-(pantetheine-4'-phosphoryl)-L-serine residue
79032	O-[S-(dihydromonacolin L carboxy)pantetheine-4'-phosphoryl]-L-serine residue
79031	dihydromonacolin L carboxylate
79036	3alpha-hydroxy-3,5-dihydromonacolin L carboxylate
79035	monacolin J carboxylate
79044	monacolin L carboxylate
79063	all-trans-4,4'-diapolycopene-4,4'-dioate
58124	isovitexin 2''-O-beta-D-glucoside
79064	4,4'-diaponeurosporenoate
79065	4,4'-diaponeurosporenal
79066	4-O-(beta-D-glucosyl)-trans-4-coumarate
17957	5-(2-hydroxyethyl)-4-methylthiazole
79080	lactose 6-phosphate
79081	cyclic (2R)-2,3-bisphosphoglycerate
77410	(4R)-4-hydroxy-L-lysine
28145	dibenzofuran
28517	biphenyl-2,2',3-triol
79172	2-hydroxy-6-(2-hydroxyphenyl)-6-oxo-cis,cis-hexa-2,4-dienoate
28891	dibenzo-p-dioxin
79174	2,2',3-trihydroxydiphenyl ether
19327	2-hydroxy-6-(2-hydroxyphenoxy)-6-oxo-cis,cis-hexa-2,4-dienoate
29965	L-arginine residue
78294	(3R)-3-hydroxy-L-arginine residue
79188	(3R)-3-amino-3-phenylpropanoyl-CoA
79186	3'-N-debenzoyl-2'-deoxytaxol
79191	2-(L-cystein-S-yl)-2-(1H-indol-3-yl)-acetonitrile
79192	6-acetamido-2-oxohexanoate
79193	5-acetamidopentanoate
79284	trehalulose
65315	UMP residue
65315	UMP residue
65315	UMP residue
65314	psi-uridine residue
65314	psi-uridine residue
65314	psi-uridine residue
65315	UMP residue
65314	psi-uridine residue
65315	UMP residue
65314	psi-uridine residue
65315	UMP residue
65314	psi-uridine residue
65315	UMP residue
65314	psi-uridine residue
65315	UMP residue
65315	UMP residue
65315	UMP residue
65314	psi-uridine residue
65314	psi-uridine residue
65314	psi-uridine residue
65315	UMP residue
65315	UMP residue
65315	UMP residue
58087	N-succinyl-(2S,6S)-2,6-diaminoheptanedioate
65314	psi-uridine residue
65314	psi-uridine residue
65314	psi-uridine residue
65315	UMP residue
65314	psi-uridine residue
65315	UMP residue
65314	psi-uridine residue
65315	UMP residue
65314	psi-uridine residue
65315	UMP residue
65314	psi-uridine residue
65315	UMP residue
58168	a 1-acyl-sn-glycero-3-phosphocholine
65314	psi-uridine residue
65315	UMP residue
65314	psi-uridine residue
65315	UMP residue
65314	psi-uridine residue
65315	UMP residue
65315	UMP residue
65314	psi-uridine residue
65314	psi-uridine residue
65315	UMP residue
65315	UMP residue
65314	psi-uridine residue
65314	psi-uridine residue
28938	NH4(+)
78442	AMP 3'-end residue
79333	O-adenylyl-D-amino acid group
79380	2-hydroxy-7-methyl-6-oxo-(2E,4E)-octadienoate
28977	3-carboxy-2-hydroxy-7-methyl-6-oxo-(2Z,4Z)-octadienoate
78442	AMP 3'-end residue
82605	1,2-dibutyryl-sn-glycero-3-phospho-(1D-myo-inositol-5-phosphate)
82606	1,2-dibutyryl-sn-glycero-3-phospho-(1D-myo-inositol)
29950	L-cysteine residue
82612	S-methyl-L-cysteine residue
46858	L-tyrosine residue
82620	L-tyrosine-phosphate residue
82628	11R-hydroperoxy-(5Z,8Z,12E,14Z)-eicosatetraenoate
82626	(15R)-hydroperoxy-(5Z,8Z,11Z,13E)-eicosatetraenoate
82629	prostaglandin G2
29969	L-lysine residue
82657	deoxyhypusine residue
74269	GMP residue
73542	N(1)-methylguanosine residue
78590	7-O-geranyl-2-O,3-dimethylflaviolin
25979	phenylacetonitrile
74411	AMP residue
74543	8-methyladenosine 5'-phosphate residue
65315	UMP residue
74447	5-methyluridine 5'-phosphate residue
29999	L-serine residue
82683	O-[2'-(5-phosphoribosyl)-3'-dephospho-CoA]-L-serine residue
82685	thio-Mo-molybdopterin
58312	6-phospho-beta-D-glucosyl-(1->4)-D-glucose
29999	L-serine residue
82683	O-[2'-(5-phosphoribosyl)-3'-dephospho-CoA]-L-serine residue
74411	AMP residue
74418	N(6)-L-threonylcarbamoyladenosine 5'-phosphate residue
64315	4-demethylwyosine residue
73542	N(1)-methylguanosine residue
74447	5-methyluridine 5'-phosphate residue
82693	2-[(3S)-3-carboxy-3-(methylamino)propyl]-L-histidine residue
82695	2-[(3S)-3-carboxy-3-(dimethylamino)propyl]-L-histidine residue
82696	diphthine residue
79005	diphthine methyl ester residue
16692	diphthamide residue
82697	N-(ADP-D-ribosyl)diphthamide residue
78981	UDP-2-acetamido-3-dehydro-2-deoxy-alpha-D-glucopyranose
82703	gamma-L-glutamyl-hercynylcysteine S-oxide
82706	S-(hercyn-2-yl)-L-cysteine S-oxide
82705	hercynylselenocysteine
58008	2-carboxy-D-arabinitol
82710	an S-alkyl-L-cysteine
82728	L-alanin-3-yl L-histidin-5-yl sulfoxide
79071	selnoneine thione
82735	pimeloyl-pantetheine-4-phosphorylserine methyl ester residue
2571	an aliphatic alcohol
74480	N(7)-methylguanosine 5'-phosphate residue
74269	GMP residue
74269	GMP residue
74445	2'-O-methylguanosine 5'-phosphate residue
65315	UMP residue
62031	a polar amino acid
74455	5-methylaminomethyl-2-thiouridine 5'-phosphate residue
82743	5-methylaminomethyl-2-selenouridine 5'-monophosphate residue
74454	5-aminomethyl-2-thiouridine 5'-phosphate residue
58532	precorrin-6B
74269	GMP residue
74445	2'-O-methylguanosine 5'-phosphate residue
65315	UMP residue
74478	2'-O-methyluridine 5'-phosphate residue
65315	UMP residue
74478	2'-O-methyluridine 5'-phosphate residue
82744	an aliphatic aldoxime
30011	L-glutamine residue
29973	L-glutamate residue
74269	GMP residue
74480	N(7)-methylguanosine 5'-phosphate residue
74269	GMP residue
74481	N(2)-methylguanosine 5'-monophosphate residue
74269	GMP residue
74481	N(2)-methylguanosine 5'-monophosphate residue
74269	GMP residue
74481	N(2)-methylguanosine 5'-monophosphate residue
74269	GMP residue
74481	N(2)-methylguanosine 5'-monophosphate residue
74483	5-methylcytidine 5'-phosphate residue
82748	CMP residue
65314	psi-uridine residue
74486	N(3)-methylpseudouridine 5'-phosphate residue
82748	CMP residue
74483	5-methylcytidine 5'-phosphate residue
74269	GMP residue
74480	N(7)-methylguanosine 5'-phosphate residue
74491	N(1)-methyladenosine 5'-phosphate residue
74411	AMP residue
74411	AMP residue
74449	N(6)-methyladenosine 5'-phosphate residue
74411	AMP residue
74411	AMP residue
74493	N(6)-dimethyladenosine 5'-phosphate residue
74493	N(6)-dimethyladenosine 5'-phosphate residue
74411	AMP residue
74411	AMP residue
74493	N(6)-dimethyladenosine 5'-phosphate residue
74493	N(6)-dimethyladenosine 5'-phosphate residue
74493	N(6)-dimethyladenosine 5'-phosphate residue
74411	AMP residue
74269	GMP residue
1178	(2S)-2-isopropylmalate
74445	2'-O-methylguanosine 5'-phosphate residue
74411	AMP residue
74449	N(6)-methyladenosine 5'-phosphate residue
82748	CMP residue
74495	2'-O-methylcytidine 5'-phosphate residue
74269	GMP residue
82748	CMP residue
74445	2'-O-methylguanosine 5'-phosphate residue
74495	2'-O-methylcytidine 5'-phosphate residue
3663	cholesteryl hexadecanoate
41509	cholesteryl (9Z,12Z)-octadecadienoate
82750	cholesteryl octadecanoate
82751	cholesteryl (5Z,8Z,11Z,14Z)-eicosatetraenoate
32197	tetracenomycin A2
9470	tetracenomycin C
82757	2-hydroxy-5-methyl-1-naphthoate
82759	(S)-3-acetyloctanal
61748	(2E)-octenal
29650	narbonolide
31144	8-demethyltetracenomycin C
17346	4-chlorophenylacetonitrile
64479	O-(pantetheine-4'-phosphoryl)-L-serine residue
82764	O-[S-2-methylbutenoylpantetheine-4'-phosphoryl]serine residue
82765	1,2-dioctanoyl-sn-glycero-3-diphosphate
82769	caldopentamine
82771	N(4)-bis(aminopropyl)spermidine
82770	N(4)-aminopropylspermidine
82772	N(4)-aminopropylspermine
82773	(R)-3-phosphomevalonate
82774	(R)-3,5-bisphosphomevalonate
82775	5'-deoxyinosine
30011	L-glutamine residue
61891	N(5)-methyl-L-glutamine residue
74269	GMP residue
73542	N(1)-methylguanosine residue
74269	GMP residue
73542	N(1)-methylguanosine residue
74447	5-methyluridine 5'-phosphate residue
65315	UMP residue
16572	3-ethylcatechol
74497	2-methyladenosine 5'-phosphate residue
74502	N(3)-methyluridine 5'-phosphate residue
65315	UMP residue
74495	2'-O-methylcytidine 5'-phosphate residue
82748	CMP residue
74506	N(4)-methylcytidine 5'-phosphate residue
82748	CMP residue
74495	2'-O-methylcytidine 5'-phosphate residue
74478	2'-O-methyluridine 5'-phosphate residue
82748	CMP residue
82748	CMP residue
82748	CMP residue
82748	CMP residue
74483	5-methylcytidine 5'-phosphate residue
74483	5-methylcytidine 5'-phosphate residue
74483	5-methylcytidine 5'-phosphate residue
82748	CMP residue
15948	all-trans-lycopene
74483	5-methylcytidine 5'-phosphate residue
29033	Fe(2+)
29034	Fe(3+)
29034	Fe(3+)
29033	Fe(2+)
65315	UMP residue
65315	UMP residue
65314	psi-uridine residue
65314	psi-uridine residue
74495	2'-O-methylcytidine 5'-phosphate residue
82748	CMP residue
82795	L-glutamate O(5)-methyl ester residue
8210	pimara-8(14),15-diene
82798	cembrene C
82799	(R)-nephthenol
82800	(R)-cembrene A
82801	(1S,4E,8E,12E)-2,2,5,9,13-pentamethylcyclopentadeca-4,8,12-trien-1-ol
82810	N-hexadecanoylhexadecasphinganine
36234	chenodeoxycholate
82811	N-octadecanoylhexadecasphinganine
27605	D-allulose
48095	keto-D-fructose
47693	keto-D-tagatose
13022	keto-D-sorbose
82815	3-(methylsulfanyl)propanoyl-CoA
82766	2-O-(alpha-D-glucopyranosyl)glycerol
79038	lovastatin carboxylate
82828	oleanolate
67939	erythrodiol
82827	oleanolic aldehyde
82748	CMP residue
74495	2'-O-methylcytidine 5'-phosphate residue
