id	name	abbreviation	formula	charge	isCofactor
cpd00001	H2O	H2O	H2O	0	0
cpd00002	ATP	ATP	C10H13N5O13P3	-3	0
cpd00003	NAD+	NAD+	C21H26N7O14P2	-1	0
cpd00004	NADH	NADH	C21H27N7O14P2	-2	0
cpd00005	NADPH	NADPH	C21H26N7O17P3	-4	0
cpd00006	NADP+	NADP+	C21H25N7O17P3	-3	0
cpd00007	Oxygen	Oxygen	O2	0	0
cpd00008	ADP	ADP	C10H13N5O10P2	-2	0
cpd00009	Orthophosphate	Orthophosphate	HO4P	-2	0
cpd00010	CoA	CoA	C21H32N7O16P3S	-4	0
cpd00011	CO2	CO2	CO2	0	0
cpd00012	Diphosphate	Diphosphate	HO7P2	-3	0
cpd00013	NH3	NH3	H4N	1	0
cpd00014	UDP	UDP	C9H12N2O12P2	-2	0
cpd00015	FAD	FAD	C27H30N9O15P2	-3	0
cpd00016	Pyridoxal phosphate	Pyridoxal phosphate	C8H8NO6P	-2	0
cpd00017	S-Adenosyl-L-methionine	S-Adenosyl-L-methionine	C15H23N6O5S	1	0
cpd00018	AMP	AMP	C10H12N5O7P	-2	0
cpd00019	S-Adenosyl-L-homocysteine	S-Adenosyl-L-homocysteine	C14H20N6O5S	0	0
cpd00020	Pyruvate	Pyruvate	C3H3O3	-1	0
cpd00021	Iron	Iron	Fe	0	0
cpd00022	Acetyl-CoA	Acetyl-CoA	C23H34N7O17P3S	-4	0
cpd00023	L-Glutamate	L-Glutamate	C5H8NO4	-1	0
cpd00024	2-Oxoglutarate	2-Oxoglutarate	C5H4O5	-2	0
cpd00025	Hydrogen peroxide	Hydrogen peroxide	H2O2	0	0
cpd00026	UDP-glucose	UDP-glucose	C15H22N2O17P2	-2	0
cpd00027	D-Glucose	D-Glucose	C6H12O6	0	0
cpd00028	Heme	Heme	C34H30N4O4.Fe	-2	0
cpd00029	Acetate	Acetate	C2H3O2	-1	0
cpd00030	Manganese	Manganese	Mn	0	0
cpd00031	GDP	GDP	C10H13N5O11P2	-2	0
cpd00032	Oxaloacetate	Oxaloacetate	C4H2O5	-2	0
cpd00033	Glycine	Glycine	C2H5NO2	0	0
cpd00034	Zinc cation	Zinc cation	Zn	2	0
cpd00035	L-Alanine	L-Alanine	C3H7NO2	0	0
cpd00036	Succinate	Succinate	C4H4O4	-2	0
cpd00037	UDP-N-acetyl-D-glucosamine	UDP-N-acetyl-D-glucosamine	C17H25N3O17P2	-2	0
cpd00038	GTP	GTP	C10H13N5O14P3	-3	0
cpd00039	L-Lysine	L-Lysine	C6H15N2O2	1	0
cpd00040	Glyoxylate	Glyoxylate	C2HO3	-1	0
cpd00041	L-Aspartate	L-Aspartate	C4H6NO4	-1	0
cpd00042	Glutathione	Glutathione	C10H16N3O6S	-1	0
cpd00043	UDP-D-galactose	UDP-D-galactose	C15H22N2O17P2	-2	0
cpd00044	3'-Phosphoadenylyl sulfate	3'-Phosphoadenylyl sulfate	C10H11N5O13P2S	-4	0
cpd00045	Adenosine 3',5'-bisphosphate	Adenosine 3',5'-bisphosphate	C10H11N5O10P2	-4	0
cpd00046	CMP	CMP	C9H12N3O8P	-2	0
cpd00047	Formate	Formate	CHO2	-1	0
cpd00048	Sulfate	Sulfate	O4S	-2	0
cpd00049	Carboxylate	Carboxylate	CO2R	10000000	0
cpd00050	FMN	FMN	C17H18N4O9P	-3	0
cpd00051	L-Arginine	L-Arginine	C6H15N4O2	1	0
cpd00052	CTP	CTP	C9H13N3O14P3	-3	0
cpd00053	L-Glutamine	L-Glutamine	C5H10N2O3	0	0
cpd00054	L-Serine	L-Serine	C3H7NO3	0	0
cpd00055	Formaldehyde	Formaldehyde	CH2O	0	0
cpd00056	Thiamin diphosphate	Thiamin diphosphate	C12H17N4O7P2S	-1	0
cpd00057	Alcohol	Alcohol	HOR	10000000	0
cpd00058	Copper	Copper	Cu	2	0
cpd00059	Ascorbate	Ascorbate	C6H7O6	-1	0
cpd00060	L-Methionine	L-Methionine	C5H11NO2S	0	0
cpd00061	Phosphoenolpyruvate	Phosphoenolpyruvate	C3H2O6P	-3	0
cpd00062	UTP	UTP	C9H12N2O15P3	-3	0
cpd00063	Calcium cation	Calcium cation	Ca	2	0
cpd00064	L-Ornithine	L-Ornithine	C5H13N2O2	1	0
cpd00065	L-Tryptophan	L-Tryptophan	C11H12N2O2	0	0
cpd00066	L-Phenylalanine	L-Phenylalanine	C9H11NO2	0	0
cpd00067	H+	H+	H	1	0
cpd00068	ITP	ITP	C10H12N4O14P3	-3	0
cpd00069	L-Tyrosine	L-Tyrosine	C9H11NO3	0	0
cpd00070	Malonyl-CoA	Malonyl-CoA	C24H33N7O19P3S	-5	0
cpd00071	Acetaldehyde	Acetaldehyde	C2H4O	0	0
cpd00072	D-Fructose 6-phosphate	D-Fructose 6-phosphate	C6H11O9P	-2	0
cpd00073	Urea	Urea	CH4N2O	0	0
cpd00074	Sulfur	Sulfur	S	0	0
cpd00075	Nitrite	Nitrite	NO2	-1	0
cpd00076	Sucrose	Sucrose	C12H22O11	0	0
cpd00077	Catechol	Catechol	C6H6O2	0	0
cpd00078	Succinyl-CoA	Succinyl-CoA	C25H35N7O19P3S	-5	0
cpd00079	D-Glucose 6-phosphate	D-Glucose 6-phosphate	C6H11O9P	-2	0
cpd00080	sn-Glycerol 3-phosphate	sn-Glycerol 3-phosphate	C3H7O6P	-2	0
cpd00081	Sulfite	Sulfite	HO3S	-1	0
cpd00082	D-Fructose	D-Fructose	C6H12O6	0	0
cpd00083	GDP-mannose	GDP-mannose	C16H23N5O16P2	-2	0
cpd00084	L-Cysteine	L-Cysteine	C3H7NO2S	0	0
cpd00085	beta-Alanine	beta-Alanine	C3H7NO2	0	0
cpd00086	Propanoyl-CoA	Propanoyl-CoA	C24H36N7O17P3S	-4	0
cpd00087	Tetrahydrofolate	Tetrahydrofolate	C19H21N7O6	-2	0
cpd00088	2,6-Dichloroindophenol	2,6-Dichloroindophenol	C12H7Cl2NO2	0	0
cpd00089	D-Glucose 1-phosphate	D-Glucose 1-phosphate	C6H11O9P	-2	0
cpd00090	IDP	IDP	C10H12N4O11P2	-2	0
cpd00091	UMP	UMP	C9H11N2O9P	-2	0
cpd00092	Uracil	Uracil	C4H4N2O2	0	0
cpd00093	Anthranilate	Anthranilate	C7H6NO2	-1	0
cpd00094	2-Oxobutanoate	2-Oxobutanoate	C4H5O3	-1	0
cpd00095	Glycerone phosphate	Glycerone phosphate	C3H5O6P	-2	0
cpd00096	CDP	CDP	C9H13N3O11P2	-2	0
cpd00097	PQQ	PQQ	C14H3N2O8	-3	0
cpd00098	Choline	Choline	C5H14NO	1	0
cpd00099	Cl-	Cl-	Cl	-1	0
cpd00100	Glycerol	Glycerol	C3H8O3	0	0
cpd00101	D-Ribose 5-phosphate	D-Ribose 5-phosphate	C5H9O8P	-2	0
cpd00102	D-Glyceraldehyde 3-phosphate	D-Glyceraldehyde 3-phosphate	C3H5O6P	-2	0
cpd00103	5-Phospho-alpha-D-ribose 1-diphosphate	5-Phospho-alpha-D-ribose 1-diphosphate	C5H9O14P3	-4	0
cpd00104	Biotin	Biotin	C10H15N2O3S	-1	0
cpd00105	D-Ribose	D-Ribose	C5H10O5	0	0
cpd00106	Fumarate	Fumarate	C4H2O4	-2	0
cpd00107	L-Leucine	L-Leucine	C6H13NO2	0	0
cpd00108	D-Galactose	D-Galactose	C6H12O6	0	0
cpd00109	Ferricytochrome c	Ferricytochrome c	C42H44FeN8O8R4S2	10000000	0
cpd00110	Ferrocytochrome c	Ferrocytochrome c	C42H44FeN8O8R4S2	10000000	0
cpd00111	Glutathione disulfide	Glutathione disulfide	C20H30N6O12S2	-2	0
cpd00112	CMP-N-acetylneuraminate	CMP-N-acetylneuraminate	C20H29N4O16P	-2	0
cpd00113	Isopentenyl diphosphate	Isopentenyl diphosphate	C5H10O7P2	-2	0
cpd00114	IMP	IMP	C10H11N4O8P	-2	0
cpd00115	dATP	dATP	C10H13N5O12P3	-3	0
cpd00116	Methanol	Methanol	CH4O	0	0
cpd00117	D-Alanine	D-Alanine	C3H7NO2	0	0
cpd00118	Putrescine	Putrescine	C4H14N2	2	0
cpd00119	L-Histidine	L-Histidine	C6H9N3O2	0	0
cpd00120	Butanoyl-CoA	Butanoyl-CoA	C25H38N7O17P3S	-4	0
cpd00121	myo-Inositol	myo-Inositol	C6H12O6	0	0
cpd00122	N-Acetyl-D-glucosamine	N-Acetyl-D-glucosamine	C8H15NO6	0	0
cpd00123	3-Methyl-2-oxobutanoic acid	3-Methyl-2-oxobutanoic acid	C5H7O3	-1	0
cpd00124	3'-Phosphomononucleotide	3'-Phosphomononucleotide	C5H9O7PR	-1	0
cpd00125	5,10-Methylenetetrahydrofolate	5,10-Methylenetetrahydrofolate	C20H21N7O6	-2	0
cpd00126	GMP	GMP	C10H12N5O8P	-2	0
cpd00127	Phenol	Phenol	C6H6O	0	0
cpd00128	Adenine	Adenine	C5H5N5	0	0
cpd00129	L-Proline	L-Proline	C5H9NO2	0	0
cpd00130	(S)-Malate	(S)-Malate	C4H4O5	-2	0
cpd00131	Molybdenum	Molybdenum	Mo	2	0
cpd00132	L-Asparagine	L-Asparagine	C4H8N2O3	0	0
cpd00133	Nicotinamide	Nicotinamide	C6H6N2O	0	0
cpd00134	Palmitoyl-CoA	Palmitoyl-CoA	C37H62N7O17P3S	-4	0
cpd00135	L-Homocysteine	L-Homocysteine	C4H9NO2S	0	0
cpd00136	4-Hydroxybenzoate	4-Hydroxybenzoate	C7H5O3	-1	0
cpd00137	Citrate	Citrate	C6H5O7	-3	0
cpd00138	D-Mannose	D-Mannose	C6H12O6	0	0
cpd00139	Glycolate	Glycolate	C2H3O3	-1	0
cpd00141	Propanoate	Propanoate	C3H5O2	-1	0
cpd00142	Acetoacetate	Acetoacetate	C4H5O3	-1	0
cpd00143	Phenylpyruvate	Phenylpyruvate	C9H7O3	-1	0
cpd00144	UDP-glucuronate	UDP-glucuronate	C15H19N2O18P2	-3	0
cpd00145	Hydroxypyruvate	Hydroxypyruvate	C3H3O4	-1	0
cpd00146	Carbamoyl phosphate	Carbamoyl phosphate	CH2NO5P	-2	0
cpd00147	5'-Methylthioadenosine	5'-Methylthioadenosine	C11H15N5O3S	0	0
cpd00148	5'-Phosphomononucleotide	5'-Phosphomononucleotide	C5H10O7PR	10000000	0
cpd00149	Cobalt ion	Cobalt ion	Co	2	0
cpd00150	Cyanide	Cyanide	CHN	0	0
cpd00151	Thymine	Thymine	C5H6N2O2	0	0
cpd00152	Agmatine	Agmatine	C5H16N4	2	0
cpd00153	Benzoate	Benzoate	C7H5O2	-1	0
cpd00154	D-Xylose	D-Xylose	C5H10O5	0	0
cpd00155	Glycogen	Glycogen	C24H42O21	0	0
cpd00156	L-Valine	L-Valine	C5H11NO2	0	0
cpd00157	Glycerone	Glycerone	C3H6O3	0	0
cpd00158	Cellobiose	Cellobiose	C12H22O11	0	0
cpd00159	(S)-Lactate	(S)-Lactate	C3H5O3	-1	0
cpd00160	Cholesterol	Cholesterol	C27H46O	0	0
cpd00161	L-Threonine	L-Threonine	C4H9NO3	0	0
cpd00162	Ethanolamine	Ethanolamine	C2H8NO	1	0
cpd00163	UDP-D-xylose	UDP-D-xylose	C14H20N2O16P2	-2	0
cpd00164	D-Glucuronate	D-Glucuronate	C6H9O7	-1	0
cpd00165	Hydroxylamine	Hydroxylamine	H3NO	0	0
cpd00166	Cobamide coenzyme	Cobamide coenzyme	C62H90N13O14P.C10H12N5O3.Co	2	0
cpd00167	N-Acylsphingosine	N-Acylsphingosine	C19H36NO3R	10000000	0
cpd00168	2,3-Dihydroxybenzoate	2,3-Dihydroxybenzoate	C7H5O4	-1	0
cpd00169	3-Phospho-D-glycerate	3-Phospho-D-glycerate	C3H4O7P	-3	0
cpd00170	D-Glucono-1,5-lactone	D-Glucono-1,5-lactone	C6H10O6	0	0
cpd00171	D-Ribulose 5-phosphate	D-Ribulose 5-phosphate	C5H9O8P	-2	0
cpd00172	Phenazine methosulfate	Phenazine methosulfate	C14H14N2O4S	10000000	0
cpd00173	Nucleoside triphosphate	Nucleoside triphosphate	C5H12O13P3R	10000000	0
cpd00174	Isoflurophate	Isoflurophate	C6H14FO3P	0	0
cpd00175	UDP-N-acetyl-D-galactosamine	UDP-N-acetyl-D-galactosamine	C17H25N3O17P2	-2	0
cpd00176	2-Dehydro-3-deoxy-D-gluconate	2-Dehydro-3-deoxy-D-gluconate	C6H9O6	-1	0
cpd00177	dADP	dADP	C10H13N5O9P2	-2	0
cpd00178	Acetone	Acetone	C3H6O	0	0
cpd00179	Maltose	Maltose	C12H22O11	0	0
cpd00180	Oxalate	Oxalate	C2O4	-2	0
cpd00181	Cobamide	Cobamide	C53H80N11O15P.Co	2	0
cpd00182	Adenosine	Adenosine	C10H13N5O4	0	0
cpd00183	Sarcosine	Sarcosine	C3H7NO2	0	0
cpd00184	Thymidine	Thymidine	C10H14N2O5	0	0
cpd00185	D-Arabinose	D-Arabinose	C5H10O5	0	0
cpd00186	D-Glutamate	D-Glutamate	C5H8NO4	-1	0
cpd00187	Methylamine	Methylamine	CH6N	1	0
cpd00188	Arachidonate	Arachidonate	C20H31O2	-1	0
cpd00189	Methylene blue	Methylene blue	C16H18ClN3S	10000000	0
cpd00190	beta-D-Glucose	beta-D-Glucose	C6H12O6	0	0
cpd00191	3-Oxopropanoate	3-Oxopropanoate	C3H3O3	-1	0
cpd00192	p-Coumaroyl-CoA	p-Coumaroyl-CoA	C30H38N7O18P3S	-4	0
cpd00193	Adenylyl sulfate	Adenylyl sulfate	C10H12N5O10PS	-2	0
cpd00194	Methyl viologen	Methyl viologen	C12H14Cl2N2	10000000	0
cpd00195	Primary alcohol	Primary alcohol	CH3OR	10000000	0
cpd00196	Acetyl phosphate	Acetyl phosphate	C2H3O5P	-2	0
cpd00197	3,4-Dihydroxybenzoate	3,4-Dihydroxybenzoate	C7H5O4	-1	0
