id	abbreviation	name	formula	mass	source	inchikey	charge	is_core	is_obsolete	linked_compound	is_cofactor	abstract_compound	comprised_of	aliases	smiles	notes
cpd31000	photon	Photon	R	0.0	User		0	1	1	cpd11632	0	null	null	Name: Lichtquant; Light; Photon; a photon; foton; gamma; hn; hnu; light; light quantum; photon; photon_b|AraCyc: Light|BiGG: photon|ChEBI: 30212|KEGG: C00205|MetaCyc: Light	*	null
cpd31001	Aluminum acetoacetate	Aluminum acetoacetate	C12H15AlO9	330.0531	Primary Database	DEVXQDKRGJCZMV-UHFFFAOYSA-K	0	0	0	null	0	null	null	Name: Aluminum acetoacetate|KEGG: C17688|metanetx.chemical: MNXM152156	CC(=O)CC(=O)[O-].CC(=O)CC(=O)[O-].CC(=O)CC(=O)[O-].[Al+3]	GC
cpd31002	Civetol	Civetol	C17H32O	252.2453	Primary Database	QNDMQRZWUGHGHY-UPHRSURJSA-N	0	0	0	null	0	null	null	Name: Civetol|KEGG: C17815|metanetx.chemical: MNXM153540	OC1CCCCCCC/C=C\CCCCCCC1	GC|EQ|EQU
cpd31003	Cryptocyanin	Cryptocyanin	C25H25IN2	480.1062	Primary Database	CEJANLKHJMMNQB-UHFFFAOYSA-M	0	0	0	null	0	null	null	Name: Cryptocyanin; Cryptocyanine iodide|KEGG: C17880|metanetx.chemical: MNXM123986	CCN1C=CC(=CC=Cc2cc[n+](CC)c3ccccc23)c2ccccc21.[I-]	GC
cpd31004	Penitrem A	Penitrem A	C37H44ClNO6	633.2857	Primary Database	JDUWHZOLEDOQSR-JKPSMKLGSA-N	0	0	0	null	0	null	null	Name: Penitrem A|KEGG: C20070|metanetx.chemical: MNXM159508	C=C(C)[C@H]1O[C@H]2CC[C@@]3(C)[C@@](O)(CC[C@H]4[C@@H]5OC(C)(C)[C@H]6C[C@@H]7C(=C)Cc8c(Cl)cc9[nH]c(c5c9c8[C@@]76O)[C@@]43C)[C@]23O[C@@H]3[C@H]1O	GC
cpd31005	(+)-Sativene	(+)-Sativene	C15H24	204.1878	Primary Database	VOBBUADSYROGAT-DYQPHDICSA-N	0	0	0	null	0	null	null	Name: (+)-Sativene|KEGG: C20275	C=C1C2CCC3C2[C@H](C(C)C)CC[C@@]13C	GC
cpd31006	1-Phenylazo-2,6-dihydroxynaphthalene	1-Phenylazo-2,6-dihydroxynaphthalene	C16H12N2O2	264.0899	Primary Database	JVWRDWIVNBPMRR-ISLYRVAYSA-N	0	0	0	null	0	null	null	Name: 1-Phenylazo-2,6-dihydroxynaphthalene; 6-OH-Sudan I|KEGG: C20280|metanetx.chemical: MNXM101314	Oc1ccc2c(/N=N/c3ccccc3)c(O)ccc2c1	GC|EQ
cpd31007	1-(4-Hydroxyphenylazo)-2-naphthol	1-(4-Hydroxyphenylazo)-2-naphthol	C16H12N2O2	264.0899	Primary Database	VFCMIQSRZVLDRW-ISLYRVAYSA-N	0	0	0	null	0	null	null	Name: 1-(4-Hydroxyphenylazo)-2-naphthol; 4'-OH-Sudan I|KEGG: C20281|metanetx.chemical: MNXM101233	Oc1ccc(/N=N/c2c(O)ccc3ccccc23)cc1	GC|EQ
cpd31008	1-(4-Hydroxyphenylazo)-naphthalene-2,6-diol	1-(4-Hydroxyphenylazo)-naphthalene-2,6-diol	C16H12N2O3	280.0848	Primary Database	AKAPJADGYIGRPD-ISLYRVAYSA-N	0	0	0	null	0	null	null	Name: 1-(4-Hydroxyphenylazo)-naphthalene-2,6-diol; 4',6-diOH-Sudan I|KEGG: C20282|metanetx.chemical: MNXM101234	Oc1ccc(/N=N/c2c(O)ccc3cc(O)ccc23)cc1	GC|EQ
cpd31009	1-(3,4-Dihydroxyphenylazo)-2-naphthol	1-(3,4-Dihydroxyphenylazo)-2-naphthol	C16H12N2O3	280.0848	Primary Database	SBQMYKDRQXVKJM-ISLYRVAYSA-N	0	0	0	null	0	null	null	Name: 1-(3,4-Dihydroxyphenylazo)-2-naphthol; 3',4'-diOH-Sudan I|KEGG: C20283|metanetx.chemical: MNXM101227	Oc1ccc(/N=N/c2c(O)ccc3ccccc23)cc1O	GC|EQ
