id	abbreviation	name	formula	mass	source	inchikey	charge	is_core	is_obsolete	linked_compound	is_cofactor	abstract_compound	comprised_of	aliases	smiles	notes
cpd36000	5-methyl-CTP	5-methyl-CTP	C10H13N3O14P3	10000000.0	Primary Database	YIJVOACVHQZMKI-JXOAFFINSA-I	-5	0	0	null	0	null	null	Name: 5-methyl-CTP; m(5)CTP; m5CTP; m<sup>5</sup>CTP|ChEBI: 142795|MetaCyc: CPD0-2549|metanetx.chemical: MNXM157643	Cc1cn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c([O-])nc1=N	null
cpd36001	1-aci-nitro-2-(4-hydroxyphenyl)ethane	1-aci-nitro-2-(4-hydroxyphenyl)ethane	C8H8NO3	167.164	Primary Database	CSVYVVQDEQONIS-UHFFFAOYSA-N	-1	0	0	null	0	null	null	Name: 1-<i>aci</i>-nitro-2-(4-hydroxyphenyl)ethane; 1-aci-nitro-2-(4-hydroxyphenyl)ethane|MetaCyc: CPD-20050	[O-][N+]([O-])=CCc1ccc(O)cc1	GC
cpd36002	(2E)-3-(methylsulfanyl)prop-2-enoate	(2E)-3-(methylsulfanyl)prop-2-enoate	C4H5O2S	117.142	Primary Database	RCZLOQQOUWHMIS-NSCUHMNNSA-M	-1	0	0	null	0	null	null	Name: (2E)-3-(methylsulfanyl)prop-2-enoate; 3-(methylsulfanyl)acryloate; 3-(methylthio)acryloate|MetaCyc: CPD-17925|metanetx.chemical: MNXM150835	CS/C=C/C(=O)[O-]	GC|EQ|EQU
cpd36003	indol-5-one	indol-5-one	C8H5NO	131.134	Primary Database	CHCVONSEJKYYBG-UHFFFAOYSA-N	0	0	0	null	0	null	null	Name: indol-5-one|MetaCyc: CPD-18140|metanetx.chemical: MNXM57334	O=C1C=CC2=NC=CC2=C1	GC|EQ
cpd36004	2-oxo-3-(phosphooxy)propyl 7-methyl-3-oxooctanoate	2-oxo-3-(phosphooxy)propyl 7-methyl-3-oxooctanoate	C12H19O8P	322.251	Primary Database	BLMGYJCDNLTUKV-UHFFFAOYSA-L	-2	0	0	null	0	null	null	Name: 2-oxo-3-(phosphooxy)propyl 7-methyl-3-oxooctanoate|MetaCyc: CPD-19933	CC(C)CCCC(=O)CC(=O)OCC(=O)COP(=O)([O-])[O-]	GC
cpd36005	(2S)-4-{[(1R)-1-carboxy-2-(1H-imidazol-4-yl)ethyl]amino}-2-[(1-carboxyethyl)amino]butanoate	(2S)-4-{[(1R)-1-carboxy-2-(1H-imidazol-4-yl)ethyl]amino}-2-[(1-carboxyethyl)amino]butanoate	C13H19N4O6	327.316	Primary Database	WLNNYKMTYVPSDL-VYDKEIKOSA-M	-1	0	0	null	0	null	null	Name: (2S)-2-[(1-carboxyethyl)amino]-3-(D-histidinyl)propanoate; (2S)-4-{[(1R)-1-carboxy-2-(1H-imidazol-4-yl)ethyl]amino}-2-[(1-carboxyethyl)amino]butanoate; N-[(3S)-3-{[(1S)-1-carboxyethyl]amino}-3-carboxypropyl]-D-histidine; staphylopine|ChEBI: 141669|MetaCyc: CPD-21428	CC([NH2+][C@@H](CC[NH2+][C@H](Cc1cnc[nH]1)C(=O)[O-])C(=O)[O-])C(=O)[O-]	GC
cpd36006	S-benzyl-gamma-glutamylcysteine	S-benzyl-gamma-glutamylcysteine	C15H18N2O5S	339.385	Primary Database	DFOHPWOFJIEXJX-RYUDHWBXSA-L	-2	0	0	null	0	null	null	Name: S-benzyl-gamma-glutamylcysteine|MetaCyc: CPD-21165	[NH3+][C@@H](CCC([O-])=N[C@@H](CSCc1ccccc1)C(=O)[O-])C(=O)[O-]	GC
cpd36007	L-alanin-3-yl L-histidin-5-yl S-oxide	L-alanin-3-yl L-histidin-5-yl S-oxide	C9H14N4O5S	290.293	Primary Database	CHVJBWUZNCGHCS-VCNVLXLASA-N	0	0	0	null	0	null	null	Name: (2R)-2-azaniumyl-3-({4-[(2S)-2-azaniumyl-2-carboxylatoethyl]-1H-imidazol-5-yl}sulfinyl)propanoate; L-alanin-3-yl L-histidin-5-yl <i>S</i>-oxide; L-alanin-3-yl L-histidin-5-yl S-oxide; L-alanin-3-yl L-histidin-5-yl sulfoxide; S-(5-L-histidyl)-L-cysteine sulfoxide dizwitterion|ChEBI: 82728|MetaCyc: CPD-17029|metanetx.chemical: MNXM146404	[NH3+][C@@H](Cc1nc[nH]c1S(=O)C[C@H]([NH3+])C(=O)[O-])C(=O)[O-]	GC
cpd36008	purine nucleotide phosporamidate	purine nucleotide phosporamidate	C5H10NO6PR	10000000.0	Primary Database		-1	0	0	null	0	null	null	Name: a purine nucleotide phosphoramidate; purine nucleotide phosporamidate|MetaCyc: CPD0-2580|metanetx.chemical: MNXM160663	*[C@@H]1O[C@H](COP(N)(=O)[O-])[C@@H](O)[C@H]1O	null
cpd36009	(R)-S-adenosyl-L-methionine	(R)-S-adenosyl-L-methionine	C15H24N6O5S	399.444	Primary Database	MEFKEPWMEQBLKI-TYYLHDHTSA-P	2	0	0	null	0	null	null	Name: (<i>R</i>)-<i>S</i>-adenosyl-L-methionine; (<i>R</i>)-S-adenosyl-L-methionine; (R)-S-adenosyl-L-methionine|MetaCyc: CPD0-2554|metanetx.chemical: MNXM13751	C[S@+](CC[C@H]([NH3+])C(=O)[O-])C[C@H]1O[C@@H](n2cnc3c(N)[nH+]cnc32)[C@H](O)[C@@H]1O	GC|EQ
cpd36010	beta-L-xylopyranose	beta-L-xylopyranose	C5H10O5	150.131	Primary Database	SRBFZHDQGSBBOR-QTBDOELSSA-N	0	0	0	null	0	null	null	Name: beta-L-xylopyranose|MetaCyc: CPD-21257	O[C@H]1[C@H](O)[C@@H](O)OC[C@@H]1O	GC|EQ|EQU
cpd36011	arabidopyl alcohol	arabidopyl alcohol	C9H7O5	195.151	Primary Database	JZWUYCGDMCRRTE-OWOJBTEDSA-M	-1	0	0	null	0	null	null	Name: arabidopyl alcohol|MetaCyc: CPD-18129|metanetx.chemical: MNXM167076	O=C([O-])c1cc(/C=C/CO)cc(=O)o1	GC|EQ
cpd36012	3,8-dihydroxy-urolithin	3,8-dihydroxy-urolithin	C13H8O4	228.204	Primary Database	RIUPLDUFZCXCHM-UHFFFAOYSA-N	0	0	0	null	0	null	null	Name: 3,8-dihydroxy-urolithin; urolithin A|MetaCyc: CPD-20705	O=c1oc2cc(O)ccc2c2ccc(O)cc12	GC|EQ
cpd36013	protogracillin	protogracillin	C51H84O23	1065.211	Primary Database	GMCGZPQYTRHQRU-DIRUUWFYSA-N	0	0	0	null	0	null	null	Name: protogracillin|MetaCyc: CPD-15470	C[C@H](CC[C@@]1(O)O[C@H]2C[C@H]3[C@@H]4CC=C5C[C@@H](O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O[C@@H]7O[C@H](CO)[C@@H](O)[C@H](O)[C@H]7O)[C@H]6O[C@@H]6O[C@@H](C)[C@H](O)[C@@H](O)[C@H]6O)CC[C@]5(C)[C@H]4CC[C@]3(C)C2[C@@H]1C)CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O	GC
cpd36014	5-ethyl-4-hydroxy-2-methyl-3(2H)-furanone	5-ethyl-4-hydroxy-2-methyl-3(2H)-furanone	C7H10O3	142.154	Primary Database	QJYOEDXNPLUUAR-UHFFFAOYSA-N	0	0	0	null	0	null	null	Name: 5-ethyl-4-hydroxy-2-methyl-3(2H)-furanone|MetaCyc: CPD-20120	CCC1=C(O)C(=O)C(C)O1	GC
cpd36015	3-hydroxy-4-methyl-D-kynurenine	3-hydroxy-4-methyl-D-kynurenine	C11H14N2O4	238.243	Primary Database	BHPWCYYINLFUDE-SSDOTTSWSA-N	0	0	0	null	0	null	null	Name: 3-hydroxy-4-methyl-D-kynurenine; D-3H4MK|ChEBI: 141611|MetaCyc: CPD-18438|metanetx.chemical: MNXM164229	Cc1ccc(C(=O)C[C@@H]([NH3+])C(=O)[O-])c(N)c1O	GC|EQ|EQU
cpd36016	8-(cyclopentylmethyl)-6-(4-hydroxyphenyl)-2-[(4-hydroxyphenyl)methyl]-7H-imidazo[1,2-a]pyrazin-3-one	8-(cyclopentylmethyl)-6-(4-hydroxyphenyl)-2-[(4-hydroxyphenyl)methyl]-7H-imidazo[1,2-a]pyrazin-3-one	C25H25N3O3	415.491	Primary Database	ZHUQRWXCVVZBSL-UHFFFAOYSA-N	0	0	0	null	0	null	null	Name: 8-(cyclopentylmethyl)-6-(4-hydroxyphenyl)-2-[(4-hydroxyphenyl)methyl]-7H-imidazo[1,2-a]pyrazin-3-one; coelenterazine cp|MetaCyc: CPD-20230	O=c1c(Cc2ccc(O)cc2)nc2c(CC3CCCC3)[nH]c(-c3ccc(O)cc3)cn1-2	GC
cpd36017	alpha-D-Gal-(1->3)-alpha-D-GlcNAc-diphospho-ditrans,octacis-undecaprenol	alpha-D-Gal-(1->3)-alpha-D-GlcNAc-diphospho-ditrans,octacis-undecaprenol	C69H112NO17P2	1290.596	Primary Database	WZXSCLOEBAZOTJ-ATDYAINCSA-K	-3	0	0	null	0	null	null	Name: 2-acetamido-2-deoxy-3-O-alpha-D-galactopyranosyl-1-O-{[({[(2Z,6Z,10Z,14Z,18Z,22Z,26Z,30Z,34E,38E)-3,7,11,15,19,23,27,31,35,39,43-undecamethyltetratetraconta-2,6,10,14,18,22,26,30,34,38,42-undecaen-1-yl]oxy}phosphinato)oxy]phosphinato}-alpha-D-glucopyranose; alpha-D-Gal-(1->3)-alpha-D-GlcNAc-PP-Und; alpha-D-Gal-(1->3)-alpha-D-GlcNAc-di-trans,octa-cis-undecaprenyl diphosphate; alpha-D-Gal-(1->3)-alpha-D-GlcNAc-diphospho-ditrans,octacis-undecaprenol; alpha-D-galactopyranosyl-(1->3)-N-acetyl-alpha-D-glucosaminyl-diphospho-ditrans,octacis-undecaprenol; alpha-D-galactosyl-(1->3)-N-acetyl-alpha-D-glucosaminyl-diphospho-ditrans,octacis-undecaprenol|ChEBI: 133491|MetaCyc: CPD-19418|metanetx.chemical: MNXM162924	CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\COP(=O)([O-])OP(=O)([O-])O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O[C@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@H]1N=C(C)[O-]	GC|EQ|EQU
cpd36018	validoxylamine A 7'-phosphate	validoxylamine A 7'-phosphate	C14H25NO11P	414.325	Primary Database	ZKSTYMJGEHZSFH-MBABXGOBSA-M	-1	0	0	null	0	null	null	Name: [(1R,2R,3S,4S,5S)-2,3,4-trihydroxy-5-{[(1S,4R,5S,6S)-4,5,6-trihydroxy-3-(hydroxymethyl)cyclohex-2-en-1-yl]azaniumyl}cyclohexyl]methyl phosphate; validoxylamine A 7'-phosphate|ChEBI: 111504|MetaCyc: CPD-18789|metanetx.chemical: MNXM162438	O=P([O-])([O-])OC[C@H]1C[C@H]([NH2+][C@H]2C=C(CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O	GC|EQ|EQU
cpd36019	1alpha-hydroxy-phaseollone	1alpha-hydroxy-phaseollone	C20H18O5	338.359	Primary Database	XBSGPVUHRGTYRA-BOUXLOLZSA-N	0	0	0	null	0	null	null	Name: 1alpha-hydroxy-phaseollone; 1alpha-hydroxyphaseollone|MetaCyc: CPD-17459|metanetx.chemical: MNXM148611	CC1(C)C=Cc2c(ccc3c2O[C@@H]2[C@H]3COC3=CC(=O)C=C[C@@]32O)O1	GC|EQ
cpd36020	4-[(E)-2-(3,4-dihydroxyphenyl)ethenyl]-1,7-dihydroxy-2,3,5-trioxabicyclo[2.2.2]oct-7-en-6-one	4-[(E)-2-(3,4-dihydroxyphenyl)ethenyl]-1,7-dihydroxy-2,3,5-trioxabicyclo[2.2.2]oct-7-en-6-one	C13H9O8	293.209	Primary Database	YKRIHJNBOCNWST-ONEGZZNKSA-M	-1	0	0	null	0	null	null	Name: 4-[(E)-2-(3,4-dihydroxyphenyl)ethenyl]-1,7-dihydroxy-2,3,5-trioxabicyclo[2.2.2]oct-7-en-6-one|MetaCyc: CPD-20574	O=C1OC2(/C=C/c3ccc(O)c(O)c3)C=C([O-])C1(O)OO2	GC
