id	abbreviation	name	code	stoichiometry	is_transport	equation	definition	reversibility	abstract_reaction	pathways	aliases	ec_numbers	compound_ids	status	is_obsolete	linked_reaction	notes	source
rxn58000	trans-hexacos-2-enoyl-[acp] reductase	trans-hexacos-2-enoyl-[acp] reductase	(1) cpd00006[0] + (1) cpd48656[0] <=> (1) cpd00005[0] + (1) cpd48971[0]	-1:cpd00006:0:"NADP";-1:cpd48656:0:"a cerotoyl-[acp domain within a fatty acid synthase]";1:cpd00005:0:"NADPH";2:cpd00067:0:"H+";1:cpd48971:0:"a (2E)-hexacos-2-enoyl-[acp domain within a fatty acid synthase]"	0	(1) cpd00006[0] + (1) cpd48656[0] <=> (1) cpd00005[0] + (2) cpd00067[0] + (1) cpd48971[0]	(1) NADP[0] + (1) a cerotoyl-[acp domain within a fatty acid synthase][0] <=> (1) NADPH[0] + (2) H+[0] + (1) a (2E)-hexacos-2-enoyl-[acp domain within a fatty acid synthase][0]	?	null	MetaCyc: Biosynthesis (); Fatty-acid-biosynthesis (Fatty Acid Biosynthesis); Lipid-Biosynthesis (Fatty Acid and Lipid Biosynthesis); PWY-6113 (superpathway of mycolate biosynthesis); PWYG-321 (mycolate biosynthesis); Super-Pathways ()	MetaCyc: RXN-10062	null	cpd00005;cpd00006;cpd00067;cpd48656;cpd48971	OK	0	null	EQP|HB	Primary Database
rxn58001			(1) cpd00002[0] + (1) cpd00010[0] + (1) cpd19889[0] <=> (1) cpd00012[0] + (1) cpd00018[0] + (1) cpd38314[0]	-1:cpd00002:0:"ATP";-1:cpd00010:0:"CoA";-1:cpd19889:0:"4-Nitrobenzoic acid";1:cpd00012:0:"PPi";1:cpd00018:0:"AMP";1:cpd38314:0:"4-nitrobenzoyl-CoA"	0	(1) cpd00002[0] + (1) cpd00010[0] + (1) cpd19889[0] <=> (1) cpd00012[0] + (1) cpd00018[0] + (1) cpd38314[0]	(1) ATP[0] + (1) CoA[0] + (1) 4-Nitrobenzoic acid[0] <=> (1) PPi[0] + (1) AMP[0] + (1) 4-nitrobenzoyl-CoA[0]	?	null	MetaCyc: Antibiotic-Biosynthesis (Antibiotic Biosynthesis); Biosynthesis (); PWY-8033 (aureothin biosynthesis); PWY-8034 (spectinabilin biosynthesis); SECONDARY-METABOLITE-BIOSYNTHESIS (Secondary Metabolite Biosynthesis); Toxin-Biosynthesis ()	MetaCyc: RXN-20207	null	cpd00002;cpd00010;cpd00012;cpd00018;cpd19889;cpd38314	OK	0	null	HB|EQP	Primary Database
rxn58002			(1) cpd00001[0] + (1) cpd45040[0] <=> (1) cpd45024[0]	-1:cpd00001:0:"H2O";-1:cpd45040:0:"a mix-linked (1->3/1->4)-beta-D-xylan";1:cpd45024:0:"a beta-D-xylosyl-(1->3)-beta-D-xylosyl-(1->4)-(D-xylose)n"	0	(1) cpd00001[0] + (1) cpd45040[0] <=> (1) cpd45024[0]	(1) H2O[0] + (1) a mix-linked (1->3/1->4)-beta-D-xylan[0] <=> (1) a beta-D-xylosyl-(1->3)-beta-D-xylosyl-(1->4)-(D-xylose)n[0]	?	null	null	MetaCyc: RXN-23174	null	cpd00001;cpd45024;cpd45040	MI:C:-5/H:-9/O:-5/R:-1	0	null	EQP	Primary Database
rxn58003			(1) cpd27953[0] + (1) cpd48726[0] <=> (1) cpd27950[0] + (1) cpd48932[0]	-1:cpd27953:0:"Protein-Red-Disulfides";-1:cpd48726:0:"a [protein disulfide isomerase] carrying a disulfide bond";1:cpd27950:0:"Protein-Ox-Disulfides";1:cpd48932:0:"a [protein disulfide isomerase] with reduced L-cysteine residues"	0	(1) cpd27953[0] + (1) cpd48726[0] <=> (1) cpd27950[0] + (1) cpd48932[0]	(1) Protein-Red-Disulfides[0] + (1) a [protein disulfide isomerase] carrying a disulfide bond[0] <=> (1) Protein-Ox-Disulfides[0] + (1) a [protein disulfide isomerase] with reduced L-cysteine residues[0]	?	null	null	MetaCyc: RXN-19952	null	cpd27950;cpd27953;cpd48726;cpd48932	OK	0	null	HB|EQP	Primary Database
rxn58004			(1) cpd44986[0] + (1) cpd48735[0] <=> (1) cpd11493[0] + (1) cpd44990[0]	-1:cpd44986:0:"an alpha-Kdo-(2->4)-alpha-Kdo-(2->6)-(acyl)-[lipid IVA]";-1:cpd48735:0:"a fatty acyl-[acyl-carrier protein]";1:cpd11493:0:"ACP";1:cpd44990:0:"an alpha-Kdo-(2->4)-alpha-Kdo-(2->6)-(acyl)2-[lipid IVA]"	0	(1) cpd44986[0] + (1) cpd48735[0] <=> (1) cpd11493[0] + (1) cpd44990[0]	(1) an alpha-Kdo-(2->4)-alpha-Kdo-(2->6)-(acyl)-[lipid IVA][0] + (1) a fatty acyl-[acyl-carrier protein][0] <=> (1) ACP[0] + (1) an alpha-Kdo-(2->4)-alpha-Kdo-(2->6)-(acyl)2-[lipid IVA][0]	?	null	MetaCyc: Biosynthesis (); Cell-Structure-Biosynthesis (Cell Structure Biosynthesis); Kdo-lipid-A-Biosynthesis (); Lipid-Biosynthesis (Fatty Acid and Lipid Biosynthesis); Lipopolysaccharide-Biosynthesis (Lipopolysaccharide Biosynthesis); PWY-8285 ((Kdo)2-lipid A biosynthesis (generic))	MetaCyc: RXN-22489	null	cpd11493;cpd44986;cpd44990;cpd48735	MI:C:-3/H:-4/N:-1/O:-1/R:-1|CI:-2	0	null	EQP	Primary Database
rxn58005			(1) cpd39647[0] + (1) cpd48618[0] <=> (3) cpd00042[0]	-1:cpd39647:0:"arsenic triglutathione";-1:cpd48618:0:"an [ArsD arsenite metallochaperone]";3:cpd00042:0:"GSH"	0	(1) cpd39647[0] + (1) cpd48618[0] <=> (3) cpd00042[0]	(1) arsenic triglutathione[0] + (1) an [ArsD arsenite metallochaperone][0] <=> (3) GSH[0]	?	null	MetaCyc: Arsenate-Detoxification (Arsenate Detoxification); Arsenic-Detoxification (); Detoxification (Detoxification); PWY-8264 (arsenate detoxification I)	MetaCyc: RXN-22365	null	cpd00042;cpd39647;cpd48618	MI:As:-1/C:-9/H:-15/N:-3/O:-6/R:-6/S:-3|CI:-3	0	null	EQP	Primary Database
rxn58006			(2) cpd00017[0] + (1) cpd08870[0] <=> (2) cpd00019[0] + (1) cpd06870[0]	-2:cpd00017:0:"S-Adenosyl-L-methionine";-1:cpd08870:0:"Bis-noryangonin";2:cpd00019:0:"S-Adenosyl-homocysteine";1:cpd00067:0:"H+";1:cpd06870:0:"Yangonin"	0	(2) cpd00017[0] + (1) cpd08870[0] <=> (2) cpd00019[0] + (1) cpd00067[0] + (1) cpd06870[0]	(2) S-Adenosyl-L-methionine[0] + (1) Bis-noryangonin[0] <=> (2) S-Adenosyl-homocysteine[0] + (1) H+[0] + (1) Yangonin[0]	?	null	MetaCyc: Biosynthesis (); PHENYLPROPANOID-SYN (Phenylpropanoid Derivative Biosynthesis); PWY-8094 (superpathway of kavalactone biosynthesis); PWY-8104 (yangonin biosynthesis); SECONDARY-METABOLITE-BIOSYNTHESIS (Secondary Metabolite Biosynthesis); Super-Pathways ()	MetaCyc: RXN-21009	null	cpd00017;cpd00019;cpd00067;cpd06870;cpd08870	OK	0	null	HB|EQC	Primary Database
rxn58007			(1) cpd48896[0] <=> (2) cpd00001[0] + (1) cpd11493[0] + (1) cpd45989[0]	-1:cpd48896:0:"a 7-(4,5-dichloro-1H-pyrrol-2-yl)-3,5-dihydroxy-7-oxoheptanoyl-[PltL prolyl-carrier protein]";2:cpd00001:0:"H2O";1:cpd11493:0:"ACP";1:cpd45989:0:"2-(4,5-dichloro-1H-pyrrole-2-carbonyl)phenol"	0	(1) cpd48896[0] <=> (2) cpd00001[0] + (1) cpd11493[0] + (1) cpd45989[0]	(1) a 7-(4,5-dichloro-1H-pyrrol-2-yl)-3,5-dihydroxy-7-oxoheptanoyl-[PltL prolyl-carrier protein][0] <=> (2) H2O[0] + (1) ACP[0] + (1) 2-(4,5-dichloro-1H-pyrrole-2-carbonyl)phenol[0]	?	null	MetaCyc: AROMATIC-COMPOUNDS-BIOSYN (Aromatic Compound Biosynthesis); Biosynthesis (); Halogenated-Aromatics-Biosynthesis (Halogenated Aromatic Compound Biosynthesis); PWY-8210 (pyrrolomycin biosynthesis)	MetaCyc: RXN-22089	null	cpd00001;cpd11493;cpd45989;cpd48896	MI:C:-3/H:-4/N:-1/O:-1/R:-1|CI:-2	0	null	EQP	Primary Database
rxn58008			(1) cpd00017[0] + (1) cpd01785[0] <=> (1) cpd00019[0] + (1) cpd17900[0]	-1:cpd00017:0:"S-Adenosyl-L-methionine";-1:cpd01785:0:"(+)-Pseudoephedrine";1:cpd00019:0:"S-Adenosyl-homocysteine";1:cpd00067:0:"H+";1:cpd17900:0:"(+)-N-methylpseudoephedrine"	0	(1) cpd00017[0] + (1) cpd01785[0] <= (1) cpd00019[0] + (1) cpd00067[0] + (1) cpd17900[0]	(1) S-Adenosyl-L-methionine[0] + (1) (+)-Pseudoephedrine[0] <= (1) S-Adenosyl-homocysteine[0] + (1) H+[0] + (1) (+)-N-methylpseudoephedrine[0]	<	null	MetaCyc: ALKALOIDS-SYN (Alkaloid Biosynthesis); Biosynthesis (); N-CONTAINING-SECONDARY-CMPD-SYN (Nitrogen-Containing Secondary Compound Biosynthesis); PWY-5883 (ephedrine biosynthesis); SECONDARY-METABOLITE-BIOSYNTHESIS (Secondary Metabolite Biosynthesis)	MetaCyc: RXN-21529	null	cpd00017;cpd00019;cpd00067;cpd01785;cpd17900	OK	0	null	EQC	Primary Database
rxn58009			(1) cpd00002[0] + (1) cpd48952[0] <=> (1) cpd00012[0]	-1:cpd00002:0:"ATP";-1:cpd00067:0:"H+";-1:cpd48952:0:"a sulfur-carrier protein with a C-terminal Gly-Gly";1:cpd00012:0:"PPi"	0	(1) cpd00002[0] + (1) cpd00067[0] + (1) cpd48952[0] <=> (1) cpd00012[0]	(1) ATP[0] + (1) H+[0] + (1) a sulfur-carrier protein with a C-terminal Gly-Gly[0] <=> (1) PPi[0]	?	null	MetaCyc: Antibiotic-Biosynthesis (Antibiotic Biosynthesis); Biosynthesis (); PWY-8179 (platensimycin biosynthesis); SECONDARY-METABOLITE-BIOSYNTHESIS (Secondary Metabolite Biosynthesis); Toxin-Biosynthesis ()	MetaCyc: RXN-21735	null	cpd00002;cpd00012;cpd00067;cpd48952	MI:C:-14/H:-20/N:-7/O:-9/P:-1/R:-1|CI:-1	0	null	EQP	Primary Database
