id	abbreviation	name	code	stoichiometry	is_transport	equation	definition	reversibility	direction	abstract_reaction	pathways	aliases	ec_numbers	deltag	deltagerr	compound_ids	status	is_obsolete	linked_reaction	notes	source
rxn23000	RXN-12558.m	crotonyl-CoA reductase (NAD+)	(1) cpd00003[0] + (1) cpd00120[0] <=> (1) cpd00004[0] + (1) cpd00650[0]	-1:cpd00003:0:0:"NAD";-1:cpd00120:0:0:"Butyryl-CoA";1:cpd00004:0:0:"NADH";1:cpd00067:0:0:"H+";1:cpd00650:0:0:"Crotonyl-CoA"	0	(1) cpd00003[0] + (1) cpd00120[0] <= (1) cpd00004[0] + (1) cpd00067[0] + (1) cpd00650[0]	(1) NAD[0] + (1) Butyryl-CoA[0] <= (1) NADH[0] + (1) H+[0] + (1) Crotonyl-CoA[0]	=	<	null	MetaCyc: Alcohol-Biosynthesis (Fermentation to Alcohols); Energy-Metabolism (Generation of Precursor Metabolite and Energy); Fermentation (); PWY-6863 (pyruvate fermentation to hexanol (engineered)); PWY-6883 (pyruvate fermentation to butanol II (engineered)); PWY-6886 (1-butanol autotrophic biosynthesis (engineered)); Pyruvate-Butanol-Fermentation (Pyruvate Fermentation to Butanol); Pyruvate-Degradation (Fermentation of Pyruvate)|KEGG: rn00310 (Lysine degradation); rn00650 (Butanoate metabolism); rn01200 (Carbon metabolism)	BiGG: ACOAD1|KEGG: R01171|MetaCyc: RXN-12558|RiceCyc: R106-RXN|SorghumCyc: R106-RXN|Name: Butanoyl-CoA:(acceptor) 2,3-oxidoreductase; Butanoyl-CoA:NAD+ trans-2-oxidoreductase; acyl-CoA dehydrogenase (butanoyl-CoA); butanoyl-CoA:NAD+ trans-2-oxidoreductase; crotonyl-CoA reductase (NAD+)	1.3.1.44|1.3.8.1	13.11	0.64	cpd00003;cpd00004;cpd00067;cpd00120;cpd00650	OK	1	rxn00868	GCC|EQC|EQU	Primary Database
rxn23001	RXN-12559.m	trans-2-hexenoyl-CoA  reductase (NAD+)	(1) cpd00003[0] + (1) cpd03124[0] <=> (1) cpd00004[0] + (1) cpd03125[0]	-1:cpd00003:0:0:"NAD";-1:cpd03124:0:0:"Hexanoyl-CoA";1:cpd00004:0:0:"NADH";1:cpd00067:0:0:"H+";1:cpd03125:0:0:"(2E)-Hexenoyl-CoA"	0	(1) cpd00003[0] + (1) cpd03124[0] <= (1) cpd00004[0] + (1) cpd00067[0] + (1) cpd03125[0]	(1) NAD[0] + (1) Hexanoyl-CoA[0] <= (1) NADH[0] + (1) H+[0] + (1) (2E)-Hexenoyl-CoA[0]	=	<	null	MetaCyc: Alcohol-Biosynthesis (Fermentation to Alcohols); Energy-Metabolism (Generation of Precursor Metabolite and Energy); Fermentation (); PWY-6863 (pyruvate fermentation to hexanol (engineered)); Pyruvate-Degradation (Fermentation of Pyruvate)	BiGG: ACOAD2|MetaCyc: RXN-12559|iSB619: ACOAD2|iYO844: ACOAD2|Name: acyl-CoA dehydrogenase (hexanoyl-CoA); trans-2-hexenoyl-CoA  reductase (NAD+); trans-2-hexenoyl-CoA reductase (NAD+)	1.3.1.44	14.37	0.55	cpd00003;cpd00004;cpd00067;cpd03124;cpd03125	OK	1	rxn10010	GCC|EQC|EQU	Primary Database
rxn23002	RXN-12560.c	RXN-12560.c	(1) cpd00006[0] + (1) cpd23921[0] <=> (1) cpd00005[0] + (1) cpd23920[0]	-1:cpd00006:0:0:"NADP";-3:cpd00067:0:0:"H+";-1:cpd23921:0:0:"beta-ketovaleryl-CoA";1:cpd00005:0:0:"NADPH";1:cpd23920:0:0:"(R)-3-hydroxyvaleryl-CoA"	0	(1) cpd00006[0] + (3) cpd00067[0] + (1) cpd23921[0] <= (1) cpd00005[0] + (1) cpd23920[0]	(1) NADP[0] + (3) H+[0] + (1) beta-ketovaleryl-CoA[0] <= (1) NADPH[0] + (1) (R)-3-hydroxyvaleryl-CoA[0]	<	<	null	MetaCyc: CARBOXYLATES-DEG (Carboxylate Degradation); Degradation (Degradation/Utilization/Assimilation); PWY-7948 (4-oxopentanoate degradation)	MetaCyc: RXN-12560|Name: 	1.1.1.36	25.84	7.93	cpd00005;cpd00006;cpd00067;cpd23920;cpd23921	CI:-4	0	null	GCC|EQP	Primary Database
rxn23003	RXN-12561.c	RXN-12561.c	(1) cpd00022[0] + (1) cpd00086[0] <=> (1) cpd00010[0] + (1) cpd23921[0]	-1:cpd00022:0:0:"Acetyl-CoA";-1:cpd00086:0:0:"Propionyl-CoA";1:cpd00010:0:0:"CoA";1:cpd23921:0:0:"beta-ketovaleryl-CoA"	0	(1) cpd00022[0] + (1) cpd00086[0] <=> (1) cpd00010[0] + (1) cpd23921[0]	(1) Acetyl-CoA[0] + (1) Propionyl-CoA[0] <=> (1) CoA[0] + (1) beta-ketovaleryl-CoA[0]	=	=	null	MetaCyc: CARBOXYLATES-DEG (Carboxylate Degradation); Degradation (Degradation/Utilization/Assimilation); PWY-7948 (4-oxopentanoate degradation)	AraCyc: RXN-12561|CornCyc: RXN-12561|MetaCyc: RXN-12561|SoyCyc: RXN-12561|Name: 	2.3.1.9	7.06	7.07	cpd00010;cpd00022;cpd00086;cpd23921	OK	0	null	GCC|EQP	Primary Database
rxn23004	RXN-12563.c	RXN-12563.c	(1) cpd11624[0] + (1) cpd26662[0] <=> (1) cpd21789[0] + (1) cpd21856[0] + (1) cpd26684[0]	-1:cpd11624:0:0:"Lecithin";-1:cpd26662:0:0:"CRPB-11-Cis-Retinol";1:cpd21789:0:0:"11-Cis-Retinyl-Esters";1:cpd21856:0:0:"2-Acylglycero-Phosphocholines";1:cpd26684:0:0:"Cellular-Retinol-Binding-Proteins"	0	(1) cpd11624[0] + (1) cpd26662[0] <= (1) cpd21789[0] + (1) cpd21856[0] + (1) cpd26684[0]	(1) Lecithin[0] + (1) CRPB-11-Cis-Retinol[0] <= (1) 11-Cis-Retinyl-Esters[0] + (1) 2-Acylglycero-Phosphocholines[0] + (1) Cellular-Retinol-Binding-Proteins[0]	?	<	null	null	MetaCyc: RXN-12563|Name: 	2.3.1.135	10000000.0	10000000.0	cpd11624;cpd21789;cpd21856;cpd26662;cpd26684	CPDFORMERROR	0	null	GCP|EQP	Primary Database
rxn23005	RXN-12564.c	retinyl ester hydrolase	(1) cpd00001[0] + (1) cpd21789[0] <=> (1) cpd00667[0] + (1) cpd27058[0]	-1:cpd00001:0:0:"H2O";-1:cpd21789:0:0:"11-Cis-Retinyl-Esters";1:cpd00067:0:0:"H+";1:cpd00667:0:0:"11-cis-Retinol";1:cpd27058:0:0:"Fatty-Acids"	0	(1) cpd00001[0] + (1) cpd21789[0] <= (1) cpd00067[0] + (1) cpd00667[0] + (1) cpd27058[0]	(1) H2O[0] + (1) 11-Cis-Retinyl-Esters[0] <= (1) H+[0] + (1) 11-cis-Retinol[0] + (1) Fatty-Acids[0]	?	<	null	null	MetaCyc: RXN-12564|Name: retinyl ester hydrolase	3.1.1.63	10000000.0	10000000.0	cpd00001;cpd00067;cpd00667;cpd21789;cpd27058	OK	0	null	HB|GCP|EQP	Primary Database
rxn23006	RXN-12568.c	hexanal dehydrogenase	(1) cpd00010[0] + (1) cpd15611[0] + (1) cpd27638[0] <=> (1) cpd03124[0] + (1) cpd27640[0]	-1:cpd00010:0:0:"CoA";-1:cpd15611:0:0:"hexanal";-1:cpd27638:0:0:"NAD-P-OR-NOP";1:cpd00067:0:0:"H+";1:cpd03124:0:0:"Hexanoyl-CoA";1:cpd27640:0:0:"NADH-P-OR-NOP"	0	(1) cpd00010[0] + (1) cpd15611[0] + (1) cpd27638[0] <=> (1) cpd00067[0] + (1) cpd03124[0] + (1) cpd27640[0]	(1) CoA[0] + (1) hexanal[0] + (1) NAD-P-OR-NOP[0] <=> (1) H+[0] + (1) Hexanoyl-CoA[0] + (1) NADH-P-OR-NOP[0]	?	=	null	MetaCyc: Alcohol-Biosynthesis (Fermentation to Alcohols); Energy-Metabolism (Generation of Precursor Metabolite and Energy); Fermentation (); PWY-6863 (pyruvate fermentation to hexanol (engineered)); Pyruvate-Degradation (Fermentation of Pyruvate)	MetaCyc: RXN-12568|Name: hexanal dehydrogenase	1.2.1.-	10000000.0	10000000.0	cpd00010;cpd00067;cpd03124;cpd15611;cpd27638;cpd27640	OK	0	null	GCP|EQP	Primary Database
rxn23009	RXN-12571.c	3-methylmercaptopropionyl-CoA ligase	(1) cpd00002[0] + (1) cpd00010[0] + (1) cpd05191[0] <=> (1) cpd00012[0] + (1) cpd00018[0] + (1) cpd23929[0]	-1:cpd00002:0:0:"ATP";-1:cpd00010:0:0:"CoA";-1:cpd05191:0:0:"3-Methylthiopropionate";1:cpd00012:0:0:"PPi";1:cpd00018:0:0:"AMP";1:cpd00067:0:0:"H+";1:cpd23929:0:0:"3-S-methylthiopropionyl-CoA"	0	(1) cpd00002[0] + (1) cpd00010[0] + (1) cpd05191[0] => (1) cpd00012[0] + (1) cpd00018[0] + (1) cpd00067[0] + (1) cpd23929[0]	(1) ATP[0] + (1) CoA[0] + (1) 3-Methylthiopropionate[0] => (1) PPi[0] + (1) AMP[0] + (1) H+[0] + (1) 3-S-methylthiopropionyl-CoA[0]	>	>	null	MetaCyc: Degradation (Degradation/Utilization/Assimilation); Dimethylsulfoniopropionate-Degradation (Dimethylsulfoniopropanoate Degradation); Methylthiopropionate-Degradation (Methylthiopropanoate Degradation); Noncarbon-Nutrients (Inorganic Nutrient Metabolism); PWY-6048 (methylthiopropanoate degradation I (cleavage)); PWY-6049 (superpathway of dimethylsulfoniopropanoate degradation); Sulfur-Metabolism (Sulfur Compound Metabolism)	MetaCyc: RXN-12571|Name: 3-methylmercaptopropionyl-CoA ligase	6.2.1.-|6.2.1.44	-2.62	0.35	cpd00002;cpd00010;cpd00012;cpd00018;cpd00067;cpd05191;cpd23929	OK	0	null	GCC|EQC|EQU	Primary Database
rxn23010	RXN-12572.c	3-methylmercaptopropionyl-CoA dehydrogenase	(1) cpd00015[0] + (1) cpd23929[0] <=> (1) cpd00982[0] + (1) cpd23930[0]	-1:cpd00015:0:0:"FAD";-1:cpd23929:0:0:"3-S-methylthiopropionyl-CoA";1:cpd00982:0:0:"FADH2";1:cpd23930:0:0:"methylthioacryloyl-CoA"	0	(1) cpd00015[0] + (1) cpd23929[0] <=> (1) cpd00982[0] + (1) cpd23930[0]	(1) FAD[0] + (1) 3-S-methylthiopropionyl-CoA[0] <=> (1) FADH2[0] + (1) methylthioacryloyl-CoA[0]	<	=	null	MetaCyc: Degradation (Degradation/Utilization/Assimilation); Dimethylsulfoniopropionate-Degradation (Dimethylsulfoniopropanoate Degradation); Methylthiopropionate-Degradation (Methylthiopropanoate Degradation); Noncarbon-Nutrients (Inorganic Nutrient Metabolism); PWY-6048 (methylthiopropanoate degradation I (cleavage)); PWY-6049 (superpathway of dimethylsulfoniopropanoate degradation); Sulfur-Metabolism (Sulfur Compound Metabolism)	MetaCyc: RXN-12572|Name: 3-methylmercaptopropionyl-CoA dehydrogenase; MMPA-CoA dehydrogenase	1.3.8.-	10.66	0.78	cpd00015;cpd00982;cpd23929;cpd23930	OK	0	null	GCC|HB|EQC|EQU	Primary Database
rxn23011	RXN-12573.c	methylthioacryloyl-CoA hydrolase (decarboxylating, acetaldehyde forming)	(2) cpd00001[0] + (1) cpd23930[0] <=> (1) cpd00010[0] + (1) cpd00011[0] + (1) cpd00071[0] + (1) cpd00324[0]	-2:cpd00001:0:0:"H2O";-1:cpd23930:0:0:"methylthioacryloyl-CoA";1:cpd00010:0:0:"CoA";1:cpd00011:0:0:"CO2";1:cpd00071:0:0:"Acetaldehyde";1:cpd00324:0:0:"MTTL"	0	(2) cpd00001[0] + (1) cpd23930[0] => (1) cpd00010[0] + (1) cpd00011[0] + (1) cpd00071[0] + (1) cpd00324[0]	(2) H2O[0] + (1) methylthioacryloyl-CoA[0] => (1) CoA[0] + (1) CO2[0] + (1) Acetaldehyde[0] + (1) MTTL[0]	>	>	null	MetaCyc: Degradation (Degradation/Utilization/Assimilation); Dimethylsulfoniopropionate-Degradation (Dimethylsulfoniopropanoate Degradation); Methylthiopropionate-Degradation (Methylthiopropanoate Degradation); Noncarbon-Nutrients (Inorganic Nutrient Metabolism); PWY-6048 (methylthiopropanoate degradation I (cleavage)); PWY-6049 (superpathway of dimethylsulfoniopropanoate degradation); Sulfur-Metabolism (Sulfur Compound Metabolism)	MetaCyc: RXN-12573|Name: MTA-CoA hydrolase; methylthioacryloyl-CoA hydrolase (decarboxylating, acetaldehyde forming)	3.1.2.-|4.2.1.155	-11.48	1.08	cpd00001;cpd00010;cpd00011;cpd00071;cpd00324;cpd23930	OK	0	null	GCC|EQC|EQU	Primary Database
