id	abbreviation	name	code	stoichiometry	is_transport	equation	definition	reversibility	direction	abstract_reaction	pathways	aliases	ec_numbers	deltag	deltagerr	compound_ids	status	is_obsolete	linked_reaction	notes	source
rxn21000	RXN-10647.c	RXN-10647.c	(1) cpd00751[0] + (1) cpd14648[0] <=> (1) cpd00001[0] + (1) cpd22953[0]	-1:cpd00751:0:0:"L-Fucose";-1:cpd14648:0:0:"Myxol";1:cpd00001:0:0:"H2O";1:cpd22953:0:0:"myxol-2' fucoside"	0	(1) cpd00751[0] + (1) cpd14648[0] <= (1) cpd00001[0] + (1) cpd22953[0]	(1) L-Fucose[0] + (1) Myxol[0] <= (1) H2O[0] + (1) myxol-2' fucoside[0]	=	<	null	MetaCyc: C40-Carotenoids-Biosynthesis (C<sub>40</sub> Carotenoid Biosynthesis); CAROTENOID-SYN (Carotenoid Biosynthesis); PWY-6279 (myxol-2' fucoside biosynthesis); SECONDARY-METABOLITE-BIOSYNTHESIS (Secondary Metabolite Biosynthesis); TETRATERPENOID-SYN (Tetraterpenoid Biosynthesis); Terpenoid-Biosynthesis (Terpenoid Biosynthesis)	MetaCyc: RXN-10647|Name: 	null	2.37	0.55	cpd00001;cpd00751;cpd14648;cpd22953	OK	0	null	GCC|EQC|EQU	Primary Database
rxn21001	RXN-10648.c	RXN-10648.c	(1) cpd01420[0] <=> (1) cpd22955[0]	-1:cpd01420:0:0:"beta-Carotene";4:cpd00067:0:0:"H+";1:cpd22955:0:0:"beta,chi-carotene"	0	(1) cpd01420[0] => (4) cpd00067[0] + (1) cpd22955[0]	(1) beta-Carotene[0] => (4) H+[0] + (1) beta,chi-carotene[0]	>	>	null	MetaCyc: C40-Carotenoids-Biosynthesis (C<sub>40</sub> Carotenoid Biosynthesis); CAROTENOID-SYN (Carotenoid Biosynthesis); PWY-6280 (synechoxanthin biosynthesis); SECONDARY-METABOLITE-BIOSYNTHESIS (Secondary Metabolite Biosynthesis); TETRATERPENOID-SYN (Tetraterpenoid Biosynthesis); Terpenoid-Biosynthesis (Terpenoid Biosynthesis)	MetaCyc: RXN-10648|Name: 	null	-18.94	1.93	cpd00067;cpd01420;cpd22955	CI:4	0	null	GCC|EQC|EQU	Primary Database
rxn21002	RXN-10649.c	RXN-10649.c	(1) cpd22955[0] <=> (1) cpd22956[0]	-1:cpd22955:0:0:"beta,chi-carotene";4:cpd00067:0:0:"H+";1:cpd22956:0:0:"chi,chi-carotene"	0	(1) cpd22955[0] => (4) cpd00067[0] + (1) cpd22956[0]	(1) beta,chi-carotene[0] => (4) H+[0] + (1) chi,chi-carotene[0]	>	>	null	MetaCyc: C40-Carotenoids-Biosynthesis (C<sub>40</sub> Carotenoid Biosynthesis); CAROTENOID-SYN (Carotenoid Biosynthesis); PWY-6280 (synechoxanthin biosynthesis); SECONDARY-METABOLITE-BIOSYNTHESIS (Secondary Metabolite Biosynthesis); TETRATERPENOID-SYN (Tetraterpenoid Biosynthesis); Terpenoid-Biosynthesis (Terpenoid Biosynthesis)	MetaCyc: RXN-10649|Name: 	null	-18.94	1.93	cpd00067;cpd22955;cpd22956	CI:4	0	null	GCC|EQC|EQU	Primary Database
rxn21003	RXN-1065.v	RXN-1065.v	(1) cpd00001[0] + (1) cpd20873[0] <=> (1) cpd20874[0]	-1:cpd00001:0:0:"H2O";-1:cpd20873:0:0:"9,10-Epoxy-18-hydroxystearate";1:cpd20874:0:0:"9,10,18-Trihydroxystearate"	0	(1) cpd00001[0] + (1) cpd20873[0] <=> (1) cpd20874[0]	(1) H2O[0] + (1) 9,10-Epoxy-18-hydroxystearate[0] <=> (1) 9,10,18-Trihydroxystearate[0]	<	=	null	MetaCyc: Cell-Structure-Biosynthesis (Cell Structure Biosynthesis); EPIDERMAL-STRUCTURE (Epidermal Structures); Lipid-Biosynthesis (Fatty Acid and Lipid Biosynthesis); PLANT-CELL-STRUCTURE (Plant Cell Structures); PWY-321 (cutin biosynthesis)|KEGG: rn00073 (Cutin, suberine and wax biosynthesis)	AraCyc: RXN-1065|CornCyc: RXN-1065|KEGG: R09464|MetaCyc: RXN-1065|PlantCyc: RXN-1065|Name: 9,10-epoxy-18-hydroxystearate hydrolase	3.3.2.-	6.48	0.85	cpd00001;cpd20873;cpd20874	OK	1	rxn16304;rxn30773	GCC|EQC|EQU	Primary Database
rxn21004	RXN-10650.c	RXN-10650.c	(1) cpd00001[0] + (1) cpd22956[0] <=> (1) cpd22957[0]	-1:cpd00001:0:0:"H2O";-1:cpd22956:0:0:"chi,chi-carotene";2:cpd00067:0:0:"H+";1:cpd22957:0:0:"18-hydroxy-chi,chi-carotene"	0	(1) cpd00001[0] + (1) cpd22956[0] <=> (2) cpd00067[0] + (1) cpd22957[0]	(1) H2O[0] + (1) chi,chi-carotene[0] <=> (2) H+[0] + (1) 18-hydroxy-chi,chi-carotene[0]	=	=	null	MetaCyc: C40-Carotenoids-Biosynthesis (C<sub>40</sub> Carotenoid Biosynthesis); CAROTENOID-SYN (Carotenoid Biosynthesis); PWY-6280 (synechoxanthin biosynthesis); SECONDARY-METABOLITE-BIOSYNTHESIS (Secondary Metabolite Biosynthesis); TETRATERPENOID-SYN (Tetraterpenoid Biosynthesis); Terpenoid-Biosynthesis (Terpenoid Biosynthesis)	MetaCyc: RXN-10650|Name: 	null	0.13	0.25	cpd00001;cpd00067;cpd22956;cpd22957	CI:2	0	null	GCC|EQC|EQU	Primary Database
rxn21005	RXN-10651.c	RXN-10651.c	(1) cpd00001[0] + (1) cpd22957[0] <=> (1) cpd22958[0]	-1:cpd00001:0:0:"H2O";-1:cpd22957:0:0:"18-hydroxy-chi,chi-carotene";5:cpd00067:0:0:"H+";1:cpd22958:0:0:"chi,chi-caroten-18-oate"	0	(1) cpd00001[0] + (1) cpd22957[0] => (5) cpd00067[0] + (1) cpd22958[0]	(1) H2O[0] + (1) 18-hydroxy-chi,chi-carotene[0] => (5) H+[0] + (1) chi,chi-caroten-18-oate[0]	>	>	null	MetaCyc: C40-Carotenoids-Biosynthesis (C<sub>40</sub> Carotenoid Biosynthesis); CAROTENOID-SYN (Carotenoid Biosynthesis); PWY-6280 (synechoxanthin biosynthesis); SECONDARY-METABOLITE-BIOSYNTHESIS (Secondary Metabolite Biosynthesis); TETRATERPENOID-SYN (Tetraterpenoid Biosynthesis); Terpenoid-Biosynthesis (Terpenoid Biosynthesis)	MetaCyc: RXN-10651|Name: 	null	-34.3	0.27	cpd00001;cpd00067;cpd22957;cpd22958	CI:4	0	null	GCC|EQC|EQU	Primary Database
rxn21006	RXN-10652.c	RXN-10652.c	(1) cpd00001[0] + (1) cpd22958[0] <=> (1) cpd22959[0]	-1:cpd00001:0:0:"H2O";-1:cpd22958:0:0:"chi,chi-caroten-18-oate";2:cpd00067:0:0:"H+";1:cpd22959:0:0:"18'-hydroxy-chi,chi-caroten-18-oate"	0	(1) cpd00001[0] + (1) cpd22958[0] <=> (2) cpd00067[0] + (1) cpd22959[0]	(1) H2O[0] + (1) chi,chi-caroten-18-oate[0] <=> (2) H+[0] + (1) 18'-hydroxy-chi,chi-caroten-18-oate[0]	=	=	null	MetaCyc: C40-Carotenoids-Biosynthesis (C<sub>40</sub> Carotenoid Biosynthesis); CAROTENOID-SYN (Carotenoid Biosynthesis); PWY-6280 (synechoxanthin biosynthesis); SECONDARY-METABOLITE-BIOSYNTHESIS (Secondary Metabolite Biosynthesis); TETRATERPENOID-SYN (Tetraterpenoid Biosynthesis); Terpenoid-Biosynthesis (Terpenoid Biosynthesis)	MetaCyc: RXN-10652|Name: 	null	0.13	0.25	cpd00001;cpd00067;cpd22958;cpd22959	CI:2	0	null	GCC|EQC|EQU	Primary Database
rxn21007	RXN-10653.c	RXN-10653.c	(1) cpd00001[0] + (1) cpd22959[0] <=> (1) cpd22960[0]	-1:cpd00001:0:0:"H2O";-1:cpd22959:0:0:"18'-hydroxy-chi,chi-caroten-18-oate";5:cpd00067:0:0:"H+";1:cpd22960:0:0:"chi,chi-caroten-18,18'-dioate"	0	(1) cpd00001[0] + (1) cpd22959[0] => (5) cpd00067[0] + (1) cpd22960[0]	(1) H2O[0] + (1) 18'-hydroxy-chi,chi-caroten-18-oate[0] => (5) H+[0] + (1) chi,chi-caroten-18,18'-dioate[0]	>	>	null	MetaCyc: C40-Carotenoids-Biosynthesis (C<sub>40</sub> Carotenoid Biosynthesis); CAROTENOID-SYN (Carotenoid Biosynthesis); PWY-6280 (synechoxanthin biosynthesis); SECONDARY-METABOLITE-BIOSYNTHESIS (Secondary Metabolite Biosynthesis); TETRATERPENOID-SYN (Tetraterpenoid Biosynthesis); Terpenoid-Biosynthesis (Terpenoid Biosynthesis)	MetaCyc: RXN-10653|Name: 	null	-34.69	0.27	cpd00001;cpd00067;cpd22959;cpd22960	CI:4	0	null	GCC|EQC|EQU	Primary Database
rxn21008	RXN-10654.c	RXN-10654.c	(1) cpd11492[0] + (1) cpd26726[0] <=> (1) cpd00011[0] + (1) cpd11493[0] + (1) cpd22075[0]	-2:cpd00067:0:0:"H+";-1:cpd11492:0:0:"Malonyl-acyl-carrierprotein-";-1:cpd26726:0:0:"Cis-Delta5-dodecenoyl-ACPs";1:cpd00011:0:0:"CO2";1:cpd11493:0:0:"ACP";1:cpd22075:0:0:"3-oxo-cis-D7-tetradecenoyl-ACPs"	0	(2) cpd00067[0] + (1) cpd11492[0] + (1) cpd26726[0] => (1) cpd00011[0] + (1) cpd11493[0] + (1) cpd22075[0]	(2) H+[0] + (1) Malonyl-acyl-carrierprotein-[0] + (1) Cis-Delta5-dodecenoyl-ACPs[0] => (1) CO2[0] + (1) ACP[0] + (1) 3-oxo-cis-D7-tetradecenoyl-ACPs[0]	?	>	null	MetaCyc: Fatty-acid-biosynthesis (Fatty Acid Biosynthesis); Lipid-Biosynthesis (Fatty Acid and Lipid Biosynthesis); PWY-6282 (palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)); PWY-6284 (superpathway of unsaturated fatty acids biosynthesis (<i>E. coli</i>)); PWY-6285 (superpathway of fatty acids biosynthesis (<i>E. coli</i>)); Palmitoleate-Biosynthesis (Palmitoleate Biosynthesis); Unsaturated-Fatty-Acids-Biosynthesis (Unsaturated Fatty Acid Biosynthesis)	AraCyc: RXN-10654|CornCyc: RXN-10654|EcoCyc: RXN-10654|MaizeCyc: RXN-10654|MetaCyc: RXN-10654|Name: 	2.3.1.41	10000000.0	10000000.0	cpd00011;cpd00067;cpd11492;cpd11493;cpd22075;cpd26726	CI:-2	0	rxn38289	HB|GCP|EQP	Primary Database
rxn21009	RXN-10655.c	RXN-10655.c	(1) cpd00005[0] + (1) cpd22075[0] <=> (1) cpd00006[0] + (1) cpd22061[0]	-1:cpd00005:0:0:"NADPH";-1:cpd22075:0:0:"3-oxo-cis-D7-tetradecenoyl-ACPs";1:cpd00006:0:0:"NADP";1:cpd00067:0:0:"H+";1:cpd22061:0:0:"3-hydroxy-cis-D7-tetraecenoyl-ACPs"	0	(1) cpd00005[0] + (1) cpd22075[0] <=> (1) cpd00006[0] + (1) cpd00067[0] + (1) cpd22061[0]	(1) NADPH[0] + (1) 3-oxo-cis-D7-tetradecenoyl-ACPs[0] <=> (1) NADP[0] + (1) H+[0] + (1) 3-hydroxy-cis-D7-tetraecenoyl-ACPs[0]	?	=	null	MetaCyc: Fatty-acid-biosynthesis (Fatty Acid Biosynthesis); Lipid-Biosynthesis (Fatty Acid and Lipid Biosynthesis); PWY-6282 (palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)); PWY-6284 (superpathway of unsaturated fatty acids biosynthesis (<i>E. coli</i>)); PWY-6285 (superpathway of fatty acids biosynthesis (<i>E. coli</i>)); Palmitoleate-Biosynthesis (Palmitoleate Biosynthesis); Unsaturated-Fatty-Acids-Biosynthesis (Unsaturated Fatty Acid Biosynthesis)	AraCyc: RXN-10655|CornCyc: RXN-10655|EcoCyc: RXN-10655|MaizeCyc: RXN-10655|MetaCyc: RXN-10655|Name: 	1.1.1.100	10000000.0	10000000.0	cpd00005;cpd00006;cpd00067;cpd22061;cpd22075	CI:2	0	rxn38290;rxn38291;rxn38292	HB|GCP|EQP	Primary Database
