id	abbreviation	name	formula	mass	source	inchikey	charge	is_core	is_obsolete	linked_compound	is_cofactor	deltag	deltagerr	pka	pkb	abstract_compound	comprised_of	aliases	smiles	notes
cpd11000	17,21-Epoxy-9-fluoro-11beta-hydroxyprogesterone	17,21-Epoxy-9-fluoro-11beta-hydroxyprogesterone	C21H27FO4	362.0	Primary Database	NVDNCLODVOXYKU-BULBTXNYSA-N	0	1	0	null	0	10000000.0	10000000.0	1:9:18.09;1:20:19.37;1:25:13.65	1:23:-5.15;1:24:-8.77;1:25:-3.39;1:26:-4.21	null	null	Name: 17,21-Epoxy-9-fluoro-11beta-hydroxypregn-4-ene-3,20-dione; 17,21-Epoxy-9-fluoro-11beta-hydroxyprogesterone|KEGG: C15309	C[C@]12C[C@H](O)[C@@]3(F)[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@]21OCC1=O	GC|EQ
cpd11001	6alpha-Fluoro-17-hydroxypregn-4-ene-3,20-dione acetate	6alpha-Fluoro-17-hydroxypregn-4-ene-3,20-dione acetate	C23H31FO4	390.0	Primary Database	ZPTTUFVORSZZFO-WXLIAARGSA-N	0	1	0	null	0	10000000.0	10000000.0	1:9:15.32;1:20:17.83	1:22:-6.16;1:23:-8.07;1:27:-7.05	null	null	Name: 6alpha-Fluoro-17-hydroxypregn-4-ene-3,20-dione acetate|KEGG: C15310	CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C	GC|EQ
cpd11002	N,N-Bis(2-chloroethyl)-DL-alanine hydrochloride	N,N-Bis(2-chloroethyl)-DL-alanine hydrochloride	C7H12Cl3NO2	212.0	Primary Database	OSFZRZNDOBDGPU-UHFFFAOYSA-L	-2	1	0	null	0	-83.09	1.57	1:11:1.47;2:1:-7.00	1:1:6.92	null	null	Name: N,N-Bis(2-chloroethyl)-DL-alanine hydrochloride|KEGG: C15311	CC(C(=O)[O-])N(CCCl)CCCl.[Cl-]	GC|EQ
cpd11003	11beta-Hydroxy-9alpha-fluoroprogesterone	11beta-Hydroxy-9alpha-fluoroprogesterone	C21H29FO3	348.0	Primary Database	JSGVCWDJNUVILL-VTZQMFNYSA-N	0	1	0	null	0	10000000.0	10000000.0	1:9:18.09;1:20:19.43;1:25:13.66	1:23:-5.09;1:24:-7.36;1:25:-3.39	null	null	Name: 11beta-Hydroxy-9alpha-fluoroprogesterone; 9alpha-Fluoro-11beta-hydroxy-4-pregnene-3,20-dione|KEGG: C15312	CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C	GC|EQ
cpd11004	6-Oxo-17beta-estradiol diacetate	6-Oxo-17beta-estradiol diacetate	C22H26O5	370.0	Primary Database	REXFWMANWYNMPV-AJYQEWAOSA-N	0	1	0	null	0	-133.27	4.35	1:6:16.61	1:19:-7.74;1:26:-7.21;1:27:-6.69	null	null	Name: 3,17beta-Diacetoxyestra-1,3,5(10)-trien-6-one; 3,17beta-Dihydroxyestra-1,3,5(10)-trien-6-one diacetate; 6-Oxo-17beta-estradiol diacetate|KEGG: C15313	CC(=O)Oc1ccc2c(c1)C(=O)C[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](OC(C)=O)CC[C@@H]12	GC|EQ
cpd11005	11beta-Hydroxytestosterone 17-propionate	11beta-Hydroxytestosterone 17-propionate	C22H32O4	360.0	Primary Database	XPJSYVSOPZVTNB-STPLJEHOSA-N	0	1	0	null	0	-100.66	6.83	1:9:18.53;1:22:14.89	1:21:-4.83;1:22:-2.85;1:25:-7.04	null	null	Name: 11beta,17beta-Dihydroxyandrost-4-en-3-one 17-propionate; 11beta-Hydroxytestosterone 17-propionate|KEGG: C15314	CCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@]12C	GC|EQ
cpd11006	1-Methylestradiol	1-Methylestradiol	C19H26O2	286.0	Primary Database	YFECXKBRYLRUTI-QSUVVDIXSA-N	0	1	0	null	0	-25.17	4.35	1:19:10.44;1:20:19.38	1:19:-5.45;1:20:-0.88	null	null	Name: 1-Methylestra-1,3,5(10)-triene-3,17beta-diol; 1-Methylestradiol|KEGG: C15315	Cc1cc(O)cc2c1[C@H]1CC[C@]3(C)[C@@H](O)CC[C@H]3[C@@H]1CC2	GC|EQ
cpd11007	5alpha-Androstane-2alpha-methyl-17beta-ol	5alpha-Androstane-2alpha-methyl-17beta-ol	C20H34O	290.0	Primary Database	ZOCYLDVQMLRLSR-RGJFDMQWSA-N	0	1	0	null	0	-11.53	7.19	1:20:19.38	1:20:-0.88	null	null	Name: 5alpha-Androstane-2alpha-methyl-17beta-ol|KEGG: C15316	C[C@H]1CC[C@@H]2CC[C@H]3[C@@H]4CC[C@H](O)[C@@]4(C)CC[C@@H]3[C@@]2(C)C1	GC|EQ
cpd11008	9-Fluoro-11beta-hydroxy-16alpha-methylpregn-4-ene-3,20-dione	9-Fluoro-11beta-hydroxy-16alpha-methylpregn-4-ene-3,20-dione	C22H31FO3	362.0	Primary Database	FCBHFLRFWJSOTB-GAYBOGBZSA-N	0	1	0	null	0	10000000.0	10000000.0	1:9:18.09;1:20:19.39;1:25:13.66	1:23:-5.09;1:24:-7.36;1:25:-3.39	null	null	Name: 9-Fluoro-11beta-hydroxy-16alpha-methylpregn-4-ene-3,20-dione|KEGG: C15317	CC(=O)[C@H]1[C@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C	GC|EQ
cpd11009	D-Homotestosterone	D-Homotestosterone	C20H30O2	302.0	Primary Database	FFZVTLPCFSOGJI-RABCQHRBSA-N	0	1	0	null	0	-21.81	6.95	1:9:18.52;1:22:19.75	1:21:-4.82;1:22:-0.72	null	null	Name: 17abeta-Hydroxy-D-homoandrost-4-en-3-one; D-Homotestosterone|KEGG: C15318	C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CCC[C@@H]2O	GC|EQ
