id	abbreviation	name	formula	mass	source	inchikey	charge	is_core	is_obsolete	linked_compound	is_cofactor	deltag	deltagerr	pka	pkb	abstract_compound	comprised_of	aliases	smiles	notes
cpd42000	Fe(III)-[cytochrome b561]	Fe(III)-[cytochrome b561]	null	10000000	Primary Database		0	0	0	null	0	10000000.0	10000000.0			null	null	Name: Fe(III)-[cytochrome b561]|Rhea: GENERIC:10441		
cpd42001	L-aspartate(89)-[ribosomal protein uS12]-methanesulfate	L-aspartate(89)-[ribosomal protein uS12]-methanesulfate	null	10000000	Primary Database		0	0	0	null	0	10000000.0	10000000.0			null	null	Name: L-aspartate(89)-[ribosomal protein uS12]-methanesulfate|Rhea: GENERIC:10456		
cpd42002	3-methylsulfanyl-L-aspartate(89)-[ribosomal protein uS12]-hydrogen	3-methylsulfanyl-L-aspartate(89)-[ribosomal protein uS12]-hydrogen	null	10000000	Primary Database		0	0	0	null	0	10000000.0	10000000.0			null	null	Name: 3-methylsulfanyl-L-aspartate(89)-[ribosomal protein uS12]-hydrogen|Rhea: GENERIC:10460		
cpd42003	L-aspartate(89)-[ribosomal protein uS12]-hydrogen	L-aspartate(89)-[ribosomal protein uS12]-hydrogen	null	10000000	Primary Database		0	0	0	null	0	10000000.0	10000000.0			null	null	Name: L-aspartate(89)-[ribosomal protein uS12]-hydrogen|Rhea: GENERIC:10461		
cpd42004	a 3'-end 3'-phospho-ribonucleotide-RNA	a 3'-end 3'-phospho-ribonucleotide-RNA	null	10000000	Primary Database		0	0	0	null	0	10000000.0	10000000.0			null	null	Name: a 3'-end 3'-phospho-ribonucleotide-RNA|Rhea: GENERIC:10463		
cpd42005	a 3'-end 2',3'-cyclophospho-ribonucleotide-RNA	a 3'-end 2',3'-cyclophospho-ribonucleotide-RNA	null	10000000	Primary Database		0	0	0	null	0	10000000.0	10000000.0			null	null	Name: a 3'-end 2',3'-cyclophospho-ribonucleotide-RNA|Rhea: GENERIC:10464		
cpd42006	a tRNA precursor	a tRNA precursor	null	10000000	Primary Database		0	0	0	null	0	10000000.0	10000000.0			null	null	Name: a tRNA precursor|Rhea: GENERIC:10465		
cpd42007	a tRNA with a 3' CCA end	a tRNA with a 3' CCA end	null	10000000	Primary Database		0	0	0	null	0	10000000.0	10000000.0			null	null	Name: a tRNA with a 3' CCA end|Rhea: GENERIC:10468		
cpd42008	(R)-N(6)-lipoyl-L-lysyl-[protein]	(R)-N(6)-lipoyl-L-lysyl-[protein]	null	10000000	Primary Database		0	0	0	null	0	10000000.0	10000000.0			null	null	Name: (R)-N(6)-lipoyl-L-lysyl-[protein]|Rhea: GENERIC:10474		
cpd42009	(R)-N(6)-dihydrolipoyl-L-lysyl-[protein]	(R)-N(6)-dihydrolipoyl-L-lysyl-[protein]	null	10000000	Primary Database		0	0	0	null	0	10000000.0	10000000.0			null	null	Name: (R)-N(6)-dihydrolipoyl-L-lysyl-[protein]|Rhea: GENERIC:10475		
cpd42010	(R)-N(6)-(S(8)-acetyldihydrolipoyl)-L-lysyl-[protein]	(R)-N(6)-(S(8)-acetyldihydrolipoyl)-L-lysyl-[protein]	null	10000000	Primary Database		0	0	0	null	0	10000000.0	10000000.0			null	null	Name: (R)-N(6)-(S(8)-acetyldihydrolipoyl)-L-lysyl-[protein]|Rhea: GENERIC:10478		
cpd42011	(R)-N(6)-lipoyl-L-lysyl-[dihydrolipoyllysine-residue acetyltransferase]	(R)-N(6)-lipoyl-L-lysyl-[dihydrolipoyllysine-residue acetyltransferase]	null	10000000	Primary Database		0	0	0	null	0	10000000.0	10000000.0			null	null	Name: (R)-N(6)-lipoyl-L-lysyl-[dihydrolipoyllysine-residue acetyltransferase]|Rhea: GENERIC:10480		
