id	name	abbreviation	direction	thermoReversibility	status	defaultProtons	equation
CoA-2-methylpropanoylating)	1281967929	(decarboxylating-CoA-2-methylpropanoylating)	=	=	unknown	0	(1) cpd00010[c] + (1) cpd00123[c] + (1) cpd11621[c] <=> (1) cpd00011[c] + (1) cpd00481[c] + (1) cpd11620[c]
rxn00000	CustomReaction	CustomReaction	=	=	OK	0	 <=> 
rxn00001	Pyrophosphate phosphohydrolase	PPA	=	>	OK	0	(1) cpd00001[c] + (1) cpd00012[c] <=> (2) cpd00009[c] + (2) cpd00067[c]
rxn00002	Urea-1-carboxylate amidohydrolase	ALPHNH	=	>	OK	0	(1) cpd00001[c] + (3) cpd00067[c] + (1) cpd00742[c] <=> (2) cpd00011[c] + (2) cpd00013[c]
rxn00003	2-Acetolactate pyruvate-lyase (carboxylating)	ACLS	=	<	OK	0	(1) cpd00011[c] + (1) cpd00668[c] <=> (2) cpd00020[c] + (1) cpd00067[c]
rxn00004	4-Hydroxy-4-methyl-2-oxoglutarate pyruvate-lyase	4-Hydroxy-4-methyl-2-oxoglutarate pyruvate-lyase	=	=	OK	0	(1) cpd02570[c] <=> (2) cpd00020[c]
rxn00006	hydrogen-peroxide:hydrogen-peroxide oxidoreductase	CAT	=	>	OK	0	(2) cpd00025[c] <=> (2) cpd00001[c] + (1) cpd00007[c]
rxn00007	alpha,alpha-Trehalose glucohydrolase	TREH	=	=	OK	0	(1) cpd00001[c] + (1) cpd00794[c] <=> (2) cpd00027[c]
rxn00008	Mn(II):hydrogen-peroxide oxidoreductase	Mn(II):hydrogen-peroxide oxidoreductase	=	<	CI:2	0	(2) cpd00001[c] <=> (1) cpd00025[c] + (2) cpd00067[c]
rxn00009	GTP:GTP guanylyltransferase	GTP:GTP guanylyltransferase	=	=	OK	0	(2) cpd00038[c] <=> (1) cpd00012[c] + (1) cpd00925[c]
rxn00010	Glyoxylate carboxy-lyase (dimerizing)	GLXCBL	=	>	OK	0	(2) cpd00040[c] + (1) cpd00067[c] <=> (1) cpd00011[c] + (1) cpd00843[c]
rxn00011	pyruvate:thiamin diphosphate acetaldehydetransferase	(decarboxylating)	=	<	OK	0	(1) cpd00011[c] + (1) cpd03049[c] <=> (1) cpd00020[c] + (1) cpd00056[c] + (1) cpd00067[c]
rxn00012	Sucrose:sucrose 1F-beta-D-fructosyltransferase	Sucrose:sucrose 1F-beta-D-fructosyltransferase	=	=	OK	0	(2) cpd00076[c] <=> (1) cpd00027[c] + (1) cpd02298[c]
rxn00013	D-Glucose-1-phosphate:D-glucose-1-phosphate 6-phosphotransferase	G1PPDM	=	=	OK	0	(2) cpd00089[c] <=> (1) cpd00027[c] + (1) cpd00499[c]
rxn00014	Ferrocytochrome-c:hydrogen-peroxide oxidoreductase	CYCPO	=	=	OK	0	(1) cpd00025[c] + (2) cpd00067[c] + (2) cpd00110[c] <=> (2) cpd00001[c] + (2) cpd00109[c]
rxn00015	Putrescine:putrescine 4-aminobutyltransferase (ammonia-forming)	HSPMS	=	=	OK	0	(2) cpd00118[c] <=> (1) cpd00013[c] + (1) cpd03802[c]
rxn00016	Hexosaminidase	HXAD	=	>	OK	0	(1) cpd00001[c] + (1) cpd01157[c] <=> (2) cpd00122[c]
rxn00017	NADH:hyponitrite oxidoreductase	NADH:hyponitrite oxidoreductase	=	=	OK	0	(2) cpd00003[c] + (2) cpd00165[c] <=> (2) cpd00004[c] + (2) cpd00067[c] + (1) cpd01252[c]
rxn00018	D-Ribulose 1,5-bisphosphate carboxy-lyase (dimerizing)	RBPC	=	=	OK	0	(1) cpd00001[c] + (1) cpd00011[c] + (1) cpd00871[c] <=> (2) cpd00067[c] + (2) cpd00169[c]
rxn00019	2-Nitropropane:oxygen 2-oxidoreductase	2NPDO	=	=	OK	0	(1) cpd00007[c] + (2) cpd01433[c] <=> (2) cpd00067[c] + (2) cpd00075[c] + (2) cpd00178[c]
rxn00020	beta-D-Glucoside glucohydrolase	rll_74	=	>	OK	0	(1) cpd00001[c] + (1) cpd00158[c] <=> (2) cpd00190[c]
rxn00021	2-Hydroxy-1,2-diphenylethanone benzaldehyde-lyase	2-Hydroxy-1,2-diphenylethanone benzaldehyde-lyase	=	=	OK	0	(1) cpd01008[c] <=> (2) cpd00225[c]
rxn00022	alpha-D-Glucoside glucohydrolase	MALT	=	>	OK	0	(1) cpd00001[c] + (1) cpd00179[c] <=> (2) cpd00027[c]
rxn00023	Thiosulfate:ferricytochrome-c oxidoreductase	Thiosulfate:ferricytochrome-c oxidoreductase	=	=	OK	0	(2) cpd00109[c] + (2) cpd00268[c] <=> (2) cpd00110[c] + (1) cpd01414[c]
rxn00024	1,2-Benzenediol:oxygen oxidoreductase	1,2-Benzenediol:oxygen oxidoreductase	=	>	OK	0	(1) cpd00007[c] + (2) cpd00069[c] <=> (2) cpd00291[c]
rxn00025	beta-Carotene:oxygen 15,15'-oxidoreductase (bond-cleaving)	beta-Carotene:oxygen 15,15'-oxidoreductase (bond-cleaving)	=	>	OK	0	(1) cpd00007[c] + (1) cpd01420[c] <=> (2) cpd00304[c]
rxn00026	Thiamin:oxygen 5-oxidoreductase	Thiamin:oxygen 5-oxidoreductase	=	>	OK	0	(1) cpd00007[c] + (1) cpd00305[c] <=> (1) cpd00025[c] + (1) cpd03484[c]
rxn00027	Cyclobutadipyrimidine (in DNA) pyrimidine-lyase	Cyclobutadipyrimidine (in DNA) pyrimidine-lyase	=	=	CI:4	0	(1) cpd01990[c] <=> (2) cpd00067[c] + (2) cpd05167[c]
rxn00028	L-Ascorbate:oxygen oxidoreductase	L-Ascorbate:oxygen oxidoreductase	=	>	OK	0	(1) cpd00007[c] + (2) cpd00059[c] + (2) cpd00067[c] <=> (2) cpd00001[c] + (2) cpd00335[c]
rxn00029	5-Aminolevulinate hydro-lyase(adding 5-aminolevulinate and	PPBNGS	=	>	OK	0	(2) cpd00338[c] <=> (2) cpd00001[c] + (1) cpd00067[c] + (1) cpd00689[c]
rxn00030	4-Hydroxy-3-hexanone propanal-lyase	4-Hydroxy-3-hexanone propanal-lyase	=	=	OK	0	(2) cpd00371[c] <=> (1) cpd01891[c]
rxn00031	Raffinose:raffinose alpha-D-galactosyltransferase	Raffinose:raffinose alpha-D-galactosyltransferase	=	=	OK	0	(2) cpd00382[c] <=> (1) cpd00076[c] + (1) cpd02464[c]
rxn00032	Choline:oxygen 1-oxidoreductase	Choline:oxygen 1-oxidoreductase	=	>	OK	0	(1) cpd00007[c] + (2) cpd00098[c] <=> (2) cpd00001[c] + (2) cpd00447[c]
rxn00033	4-Hydroxyphenylpyruvate:oxygen oxidoreductase (decarboxylating)	4-Hydroxyphenylpyruvate:oxygen oxidoreductase (decarboxylating)	=	>	OK	0	(1) cpd00007[c] + (2) cpd00868[c] <=> (2) cpd00011[c] + (2) cpd00489[c]
rxn00034	1,2-Bis(4-hydroxy-3-methoxyphenyl)ethylene:oxygen oxidoreductase	(alpha-beta-bond-cleaving)	=	>	OK	0	(1) cpd00007[c] + (1) cpd02768[c] <=> (2) cpd00561[c]
rxn00035	Columbamine:oxygen oxidoreductase (cyclizing)	Columbamine:oxygen oxidoreductase (cyclizing)	=	>	OK	0	(1) cpd00007[c] + (2) cpd01238[c] <=> (2) cpd00001[c] + (2) cpd00563[c]
rxn00036	1,2-Benzenediol:oxygen oxidoreductase	1,2-Benzenediol:oxygen oxidoreductase	=	>	OK	0	(1) cpd00007[c] + (2) cpd00291[c] <=> (2) cpd00001[c] + (2) cpd00612[c]
rxn00037	6-Hydroxynicotinate, hydrogen-donor:oxygen oxidoreductase	(5-hydroxylating)	=	>	OK	0	(1) cpd00007[c] + (2) cpd00067[c] + (2) cpd00752[c] <=> (2) cpd00011[c] + (2) cpd00778[c]
rxn00038	(R)-3-((R)-3-Hydroxybutanoyloxy)-butanoate hydroxybutanoylhydrolase	(R)-3-((R)-3-Hydroxybutanoyloxy)-butanoate hydroxybutanoylhydrolase	=	=	OK	0	(1) cpd00001[c] + (1) cpd02767[c] <=> (1) cpd00067[c] + (2) cpd00797[c]
rxn00039	1-O-Galloyl-beta-D-glucose:1-O-galloyl-beta-D-glucose	O-galloyltransferase	=	=	OK	0	(2) cpd00852[c] <=> (1) cpd00027[c] + (1) cpd02532[c]
rxn00040	Tannin acylhydrolase	Tannin acylhydrolase	=	=	OK	0	(1) cpd00001[c] + (1) cpd01108[c] <=> (1) cpd00067[c] + (2) cpd01020[c]
rxn00041	Orsellinate-depside hydrolase	Orsellinate-depside hydrolase	=	=	OK	0	(1) cpd00001[c] + (1) cpd01843[c] <=> (1) cpd00067[c] + (2) cpd01265[c]
rxn00042	Nucleoside:oxygen 5'-oxidoreductase	Nucleoside:oxygen 5'-oxidoreductase	=	>	OK	0	(1) cpd00007[c] + (2) cpd00246[c] <=> (2) cpd00001[c] + (2) cpd01365[c]
rxn00043	1,2-Benzenediol:oxygen oxidoreductase	1,2-Benzenediol:oxygen oxidoreductase	=	>	OK	0	(1) cpd00007[c] + (2) cpd00077[c] <=> (2) cpd00001[c] + (2) cpd01569[c]
rxn00044	N-(6-Aminohexanoyl)-6-aminohexanoate amidohydrolase	AHXDH	=	=	OK	0	(1) cpd00001[c] + (1) cpd00921[c] <=> (2) cpd01588[c]
rxn00045	Bilirubin-glucuronoside:bilirubin-glucuronoside	D-glucuronosyltransferase	=	=	OK	0	(2) cpd02141[c] <=> (1) cpd00376[c] + (1) cpd03428[c]
rxn00046	1-O-(4-Hydroxy-3,5-dimethoxycinnamoyl)-beta-D-glucoside:1-O-(4-	hydroxy-3,5-dimethoxycinnamoyl)-beta-D-glucoside	=	=	OK	0	(2) cpd00865[c] <=> (1) cpd00027[c] + (1) cpd02622[c]
rxn00047	4-(4-Deoxy-beta-D-gluc-4-enuronosyl)-D-galacturonate lyase	4-(4-Deoxy-beta-D-gluc-4-enuronosyl)-D-galacturonate lyase	=	>	OK	0	(1) cpd02883[c] <=> (2) cpd02508[c]
rxn00048	6,7-Dimethyl-8-(1-D-ribityl)lumazine:6,7-dimethyl-8-(1-D-ribityl)	RBFSb	=	>	OK	0	(2) cpd02656[c] <=> (1) cpd00220[c] + (1) cpd02882[c]
rxn00050	rxn00050	rxn00050	=	<	OK	0	(2) cpd03299[c] <=> (1) cpd00007[c] + (2) cpd02311[c]
rxn00051	rxn00051	rxn00051	=	>	OK	0	(1) cpd00007[c] + (2) cpd03431[c] <=> (2) cpd00001[c] + (2) cpd03434[c]
rxn00052	Thiamin:oxygen 5-oxidoreductase	Thiamin:oxygen 5-oxidoreductase	=	>	OK	0	(1) cpd00001[c] + (1) cpd00007[c] + (1) cpd03484[c] <=> (1) cpd00025[c] + (1) cpd00067[c] + (1) cpd01852[c]
rxn00053	Prostaglandin H2:oxygen oxidoreductase	Prostaglandin H2:oxygen oxidoreductase	=	>	OK	0	(1) cpd00007[c] + (2) cpd00336[c] <=> (2) cpd03545[c]
rxn00054	2-Aminophenol:oxygen oxidoreductase	2-Aminophenol:oxygen oxidoreductase	=	>	OK	0	(3) cpd00007[c] + (4) cpd01360[c] <=> (6) cpd00001[c] + (2) cpd01462[c]
rxn00055	S-adenosyl-L-methionine:S-adenosyl-L-methionine	3-amino-3-carboxypropyltransferase	=	>	OK	0	(3) cpd00017[c] <=> (4) cpd00067[c] + (3) cpd00147[c] + (1) cpd03158[c]
