id	abbreviation	name	formula	mass	source	inchikey	charge	is_core	is_obsolete	linked_compound	is_cofactor	deltag	deltagerr	pka	pkb	abstract_compound	comprised_of	aliases	smiles	notes
cpd34000	(2S,4Z)-2-aminohex-4-enoate	(2S,4Z)-2-aminohex-4-enoate	C6H11NO2	129.158	Primary Database	OPOBBDXDRHKTJF-HRJJCQLASA-N	0	0	0	null	0	43.42	0.43	1:9:2.69	1:7:9.48	null	null	Name: (2S,4Z)-2-aminohex-4-enoate; L-2-amino-trans-4-hexenoate|MetaCyc: CPD-19574	C/C=C/C[C@H]([NH3+])C(=O)[O-]	GC|EQ|EQU
cpd34001	3-deacetyl-3-(1-hydroxyethyl)-bacteriochlorophyllide g	3-deacetyl-3-(1-hydroxyethyl)-bacteriochlorophyllide g	C35H34MgN4O6	630.982	Primary Database		10000000	0	0	null	0	10000000.0	10000000.0	1:31:12.57;1:40:14.84;1:42:3.87	1:40:-2.87;1:43:-8.19;1:44:-7.13	null	null	Name: 3-deacetyl-3-(1-hydroxyethyl)-bacteriochlorophyllide g|MetaCyc: CPD-18887	C/C=C1/C2=Cc3c(C)c4c5n3[Mg]36n7c(c(C)c(C(C)O)c7C=C([C@@H]1C)N2~3)C=C1[C@@H](C)[C@H](CCC(=O)[O-])C(=C5[C@@H](C(=O)OC)C4=O)N1~6	GC
cpd34002	beta-D-allofuranose	beta-D-allofuranose	C6H12O6	180.157	Primary Database	AVVWPBAENSWJCB-AIECOIEWSA-N	0	0	0	null	0	-101.09	0.35	1:7:15.57;1:8:12.77;1:9:13.47;1:10:14.37;1:11:11.30	1:7:-2.97;1:8:-3.52;1:9:-3.69;1:10:-3.94;1:11:-4.39;1:12:-4.39	null	null	Name: beta-D-allofuranose|MetaCyc: CPD-16934	OC[C@@H](O)[C@H]1O[C@@H](O)[C@H](O)[C@@H]1O	GC|EQ|EQU
cpd34003	dechloro-dehydrogriseofulvin	dechloro-dehydrogriseofulvin	C17H16O6	316.31	Primary Database	CHQXBZFVCIIBRO-KRWDZBQOSA-N	0	0	0	null	0	-111.92	3.92		1:18:-9.85;1:19:-8.77;1:20:-4.76;1:21:-5.61;1:22:-4.31;1:23:-5.14	null	null	Name: dechloro-dehydrogriseofulvin|MetaCyc: CPD-17800	COC1=CC(=O)C=C(C)[C@]12Oc1cc(OC)cc(OC)c1C2=O	GC|EQ
cpd34004	4beta-acetoxyprobotryane	4beta-acetoxyprobotryane	C17H28O3	280.406	Primary Database	XGHOTUXLATYPBX-ZNSICBADSA-N	0	0	0	null	0	10000000.0	10000000.0	1:19:13.93	1:18:-7.00;1:19:-3.27	null	null	Name: 4beta-acetoxyprobotryane|MetaCyc: CPD-20912	CC(=O)O[C@H]1C[C@@H](C)[C@@H]2CC[C@@]3(C)CC(C)(C)[C@H]1[C@]23O	GC
cpd34005	hapalindole G	hapalindole G	C21H24ClN2	338.879	Primary Database	UTSDPNHKWNNPDD-DBKAPMEGSA-N	1	0	0	null	0	10000000.0	10000000.0	1:5:15.84;1:19:18.40;1:24:16.83		null	null	Name: hapalindole G|MetaCyc: CPD-20792	C#[N+][C@@H]1[C@@H]2c3c[nH]c4cccc(c34)C(C)(C)[C@H]2C[C@@H](Cl)[C@]1(C)C=C	GC
cpd34006	EDDS	EDDS	C10H14N2O8	290.229	Primary Database	VKZRWSNIWNFCIQ-UHFFFAOYSA-L	-2	0	0	null	0	-303.86	1.91	1:14:4.66;1:16:5.27;1:17:0.90;1:19:1.58	1:11:10.53;1:12:7.68	null	null	Name: EDDS; N,N'-ethylenediaspartate; N,N'-ethylenediaspartic acid; ethylenediamine-N,N'-disuccinate; ethylenediamine-N,N'-disuccinic acid|MetaCyc: CPD-21083	O=C([O-])CC([NH2+]CC[NH2+]C(CC(=O)[O-])C(=O)[O-])C(=O)[O-]	GC
cpd34007	sucrose-2-(2-methyl)butyryl-4-(2-methyl)butyryl-3-(6-methyl)heptanoyl-6-isobutyrate	sucrose-2-(2-methyl)butyryl-4-(2-methyl)butyryl-3-(6-methyl)heptanoyl-6-isobutyrate	C34H58O15	706.823	Primary Database	PTNXUEMRTYROFJ-XMXOBRKPSA-N	0	0	0	null	0	-512.01	3.38	1:35:14.79;1:36:13.39;1:38:13.99;1:39:12.09	1:35:-2.98;1:36:-3.46;1:37:-7.06;1:38:-3.69;1:39:-4.04;1:44:-3.98;1:48:-4.60;1:49:-5.34	null	null	Name: sucrose-2-(2-methyl)butyryl-4-(2-methyl)butyryl-3-(6-methyl)heptanoyl-6-isobutyrate|MetaCyc: CPD-20299	CCC(C)C(=O)O[C@H]1[C@H](OC(=O)CCCCC(C)C)[C@@H](OC(=O)C(C)CC)[C@@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)O[C@@H]1COC(=O)C(C)C	GC
cpd34008	firefly dehydroluciferin	firefly dehydroluciferin	C11H5N2O3S2	277.292	Primary Database	CYCGRDQQIOGCKX-UHFFFAOYSA-M	-1	0	0	null	0	-41.43	2.62	1:14:9.21;1:15:3.17	1:12:0.78;1:13:-3.02;1:14:-5.53	null	null	Name: firefly dehydroluciferin|MetaCyc: CPD-20212	O=C([O-])c1csc(-c2nc3ccc(O)cc3s2)n1	GC
cpd34009	sucrose-3-(2-methyl)butyryl-4-isovaleroyl-3'-laurate	sucrose-3-(2-methyl)butyryl-4-isovaleroyl-3'-laurate	C34H60O14	692.84	Primary Database	GLHMEFATBWIJIR-YUOBEJEYSA-N	0	0	0	null	0	140.99	2.27	1:35:14.96;1:36:14.39;1:37:13.57;1:40:12.91;1:41:12.21	1:35:-2.98;1:36:-2.98;1:37:-3.46;1:40:-3.70;1:41:-3.97;1:43:-3.98;1:47:-4.60;1:48:-5.35	null	null	Name: sucrose-3-(2-methyl)butyryl-4-isovaleroyl-3'-laurate|MetaCyc: CPD-19122	CCCCCCCCCCCC(=O)O[C@H]1[C@H](O)[C@@H](CO)O[C@@]1(CO)O[C@H]1O[C@H](CO)[C@@H](OC(=O)CC(C)C)[C@H](OC(=O)C(C)CC)[C@H]1O	GC|EQ|EQU
cpd34010	1-myristoyl-2-palmitoleoyl phosphatidate	1-myristoyl-2-palmitoleoyl phosphatidate	C33H61O8P	616.814	Primary Database	ALDWDBNWDITVID-XSWVMQTGSA-L	-2	0	0	null	0	270.28	2.6	1:36:1.32;1:38:6.34	1:34:-6.74;1:35:-7.35	null	null	Name: 1-myristoyl-2-palmitoleoyl phosphatidate; 1-myristoyl-2-palmitoleoyl-sn-glycerol 3-phosphate|MetaCyc: CPD-18380	CCCCCC/C=C/CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCC)COP(=O)([O-])[O-]	GC|EQ|EQU
