id	abbreviation	name	formula	mass	source	inchikey	charge	is_core	is_obsolete	linked_compound	is_cofactor	deltag	deltagerr	pka	pkb	abstract_compound	comprised_of	aliases	smiles	notes
cpd01000	Prenol	Prenol	C5H10O	86.0	Primary Database	ASUAYTHWZCLXAN-UHFFFAOYSA-N	0	1	0	null	0	77.79	0.52	1:6:16.40	1:6:-2.19	null	null	Name: 3-Methyl-2-buten-1-ol; Prenol; Prenyl alcohol; isopentenol; prenol|BiGG: 3mbald|KEGG: C01390|MetaCyc: PRENOL	CC(C)=CCO	GC|EQ|EQU
cpd01002	AACOCF3	AACOCF3	C21H31F3O	356.0	Primary Database	PLWROONZUDKYKG-DOFZRALJSA-N	0	1	0	null	0	10000000.0	10000000.0	1:19:17.61	1:22:-9.53	null	null	Name: AACOCF3; Arachidonyltrifluoromethane|KEGG: C01397	CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)C(F)(F)F	GC|EQ
cpd01003	Alanine	Alanine	C3H7NO2	89.0	Primary Database	QNAYBMKLOCPYGJ-UHFFFAOYSA-N	0	1	0	null	0	-87.92	0.29	1:1:2.47	1:6:9.48	null	null	Name: 2-Aminopropanoic acid; 2-Aminopropionic acid; Alanine|AlgaGEM: S_Alanine_c|AraGEM: S_Alanine_c|JM_Creinhardtii: Ala; Ala_m|KEGG: C01401|Maize_C4GEM: S_Alanine_c	CC([NH3+])C(=O)[O-]	GC
cpd01004	Anisole	Anisole	C7H8O	108.0	Primary Database	RDOXTESZEPMUJZ-UHFFFAOYSA-N	0	1	0	null	0	61.5	1.06		1:4:-4.82	null	null	Name: Anisole; Methoxybenzene; Methyl phenyl ether; Phenol methyl ether; anisole; methoxybenzene; methyl phenyl ether; phenol methyl ether|KEGG: C01403|MetaCyc: CPD-395	COc1ccccc1	GC|EQ|EQU
cpd01005	Arg-OEt	Arg-OEt	C8H20N4O2	204.0	Primary Database	AKGWUHIOEVNNPC-LURJTMIESA-P	2	1	0	null	0	135.51	1.45		1:3:-0.50;1:10:12.23;1:11:7.01;1:12:-7.50	null	null	Name: Arg-OEt|KEGG: C01404	CCOC(=O)[C@@H]([NH3+])CCCNC(N)=[NH2+]	GC|EQ|EQU
cpd01006	CPDIM-6114	Aspirin	C9H7O4	179.0	Primary Database	BSYNRYMUTXBXSQ-UHFFFAOYSA-M	-1	1	0	null	0	-56.02	0.8	1:8:3.41	1:13:-7.14	null	null	Name: 2-Acetoxybenzenecarboxylic acid; 2-acetoxybenzenecarboxylic acid; Acetylsalicylate; Acetylsalicylic acid; Aspirin; acetylsalicylate; acetylsalicylic acid; aspirin|KEGG: C01405|MetaCyc: CPD-524|iAbaylyiv4: CPDIM-6114	CC(=O)Oc1ccccc1C(=O)[O-]	GC|EQ|EQU
cpd01007	Benzene	Benzene	C6H6	78.0	Primary Database	UHOVQNZJYSORNB-UHFFFAOYSA-N	0	1	0	null	0	87.43	0.72			null	null	Name: Aromatic alkane; Benzene; benzene; benzol; benzole|EcoCyc: BENZENE|KEGG: C01407|MetaCyc: BENZENE	c1ccccc1	GC|EQ|EQU
cpd01008	Benzoin	Benzoin	C14H12O2	212.0	Primary Database	ISAOCJYIOMOJEB-UHFFFAOYSA-N	0	1	0	null	0	115.78	1.24	1:6:12.62	1:6:-3.84;1:10:-8.06	null	null	Name: 2-Hydroxy-1,2-diphenylethanone; Benzoin; Benzoin tincture|KEGG: C01408	O=C(c1ccccc1)C(O)c1ccccc1	GC|EQ|EQU
cpd01009	Boc-Asn	Boc-Asn	C9H15N2O5	231.0	Primary Database	FYYSQDHBALBGHX-YFKPBYRVSA-M	-1	1	0	null	0	-199.99	1.14	1:2:13.76;1:5:3.78;1:12:15.97	1:13:-2.61	null	null	Name: Boc-Asn; N-alpha-Boc-L-asparagine|KEGG: C01410	CC(C)(C)OC(=O)N[C@@H](CC(N)=O)C(=O)[O-]	GC|EQ
cpd01010	Borneol	Borneol	C10H18O	154.0	Primary Database	DTGKSKDOIYIVQL-UHFFFAOYSA-N	0	1	0	null	0	-43.25	6.17	1:10:19.60	1:10:-0.78	null	null	Name: Borneol|KEGG: C01411	CC1(C)C2CCC1(C)C(O)C2	GC|EQ
