id	abbreviation	name	code	stoichiometry	is_transport	equation	definition	reversibility	abstract_reaction	pathways	aliases	ec_numbers	deltag	deltagerr	compound_ids	status	is_obsolete	linked_reaction	notes	source
rxn00001	R00004	diphosphate phosphohydrolase	(1) cpd00001[0] + (1) cpd00012[0] <=> (2) cpd00009[0]	-1:cpd00001:0:"H2O";-1:cpd00012:0:"PPi";2:cpd00009:0:"Phosphate";1:cpd00067:0:"H+"	0	(1) cpd00001[0] + (1) cpd00012[0] => (2) cpd00009[0] + (1) cpd00067[0]	(1) H2O[0] + (1) PPi[0] => (2) Phosphate[0] + (1) H+[0]	>	null	MetaCyc: Degradation (Degradation/Utilization/Assimilation); Glyphosate-Degradation (glyphosate degradation); Noncarbon-Nutrients (Inorganic Nutrient Metabolism); PWY-7805 ((aminomethyl)phosphonate degradation); PWY-7807 (glyphosate degradation III); Phosphorus-Compounds (Phosphorus Compound Metabolism)	AraCyc: INORGPYROPHOSPHAT-RXN|BiGG: IPP1; PPA; PPA_1; PPAm|KEGG: R00004|MetaCyc: INORGPYROPHOSPHAT-RXN|Rhea: 24576; 24577; 24578; 24579|Name: Diphosphate phosphohydrolase; Inorganic diphosphatase; Inorganic pyrophosphatase; Pyrophosphate phosphohydrolase; diphosphate phosphohydrolase; inorganic diphosphatase; inorganic diphosphatase (one proton translocation); inorganicdiphosphatase; pyrophosphate phosphohydrolase	3.6.1.1	-3.46	0.05	cpd00001;cpd00009;cpd00012;cpd00067	OK	0	rxn27946;rxn27947;rxn27948;rxn32487;rxn38157;rxn38158	GCC|HB|EQC|EQU	Primary Database
rxn00002	R00005	urea-1-carboxylate amidohydrolase	(1) cpd00001[0] + (1) cpd00742[0] <=> (2) cpd00011[0] + (2) cpd00013[0]	-1:cpd00001:0:"H2O";-3:cpd00067:0:"H+";-1:cpd00742:0:"Allophanate";2:cpd00011:0:"CO2";2:cpd00013:0:"NH3"	0	(1) cpd00001[0] + (3) cpd00067[0] + (1) cpd00742[0] => (2) cpd00011[0] + (2) cpd00013[0]	(1) H2O[0] + (3) H+[0] + (1) Allophanate[0] => (2) CO2[0] + (2) NH3[0]	>	null	MetaCyc: ALLANTOINDEG-PWY (superpathway of allantoin degradation in yeast); AMINE-DEG (Amine and Polyamine Degradation); AROMATIC-COMPOUNDS-DEGRADATION (Aromatic Compound Degradation); Allantoin-degradation (Allantoin Degradation); Atrazine-Degradation (Atrazine Degradation); Degradation (Degradation/Utilization/Assimilation); PWY-5169 (cyanurate degradation); PWY-5703 (urea degradation I); PWY-5724 (superpathway of atrazine degradation); Urea-Degradation (Urea Degradation); s-Triazine-Degradation (<i>s</i>-Triazine Degredation)|KEGG: rn00330 (Arginine and proline metabolism); rn00791 (Atrazine degradation)	AraCyc: ALLOPHANATE-HYDROLASE-RXN|BiGG: ALPHNH; DUR1_2|KEGG: R00005|MetaCyc: ALLOPHANATE-HYDROLASE-RXN|Rhea: 19029; 19030; 19031; 19032|Name: Allophanate hydrolase; AtzF; TrzF; Urea-1-carboxylate amidohydrolase; allophanate hydrolase; allophanate lyase; urea-1-carboxylate amidohydrolase	3.5.1.54	-20.14	1.86	cpd00001;cpd00011;cpd00013;cpd00067;cpd00742	OK	0	rxn30346;rxn35525	GCC|EQC|EQU	Primary Database
rxn00003	R00006	pyruvate:pyruvate acetaldehydetransferase (decarboxylating)	(1) cpd00011[0] + (1) cpd00668[0] <=> (2) cpd00020[0]	-1:cpd00011:0:"CO2";-1:cpd00668:0:"ALCTT";2:cpd00020:0:"Pyruvate";1:cpd00067:0:"H+"	0	(1) cpd00011[0] + (1) cpd00668[0] <= (2) cpd00020[0] + (1) cpd00067[0]	(1) CO2[0] + (1) ALCTT[0] <= (2) Pyruvate[0] + (1) H+[0]	<	null	KEGG: rn00770 (Pantothenate and CoA biosynthesis)	AlgaGEM: R_R00006_c|AraGEM: R_R00006_c|BiGG: ILV2_2|KEGG: R00006|metanetx.reaction: MNXR106335|Name: 2-acetolactate pyruvate-lyase (carboxylating); Acetolactate synthase; Acetolactate synthase catalytic subunit; acetolactate synthase (Also catalyzes ACHBS); acetolactate synthase large subunit; acetolactate synthase small subunit; pyruvate:pyruvate acetaldehydetransferase (decarboxylating)	2.2.1.6	8.27	0.9	cpd00011;cpd00020;cpd00067;cpd00668	OK	0	rxn30144;rxn33164	GCC|EQC|EQU	Primary Database
rxn00004	R00008	4-hydroxy-4-methyl-2-oxoglutarate pyruvate-lyase (pyruvate-forming)	(1) cpd02570[0] <=> (2) cpd00020[0]	-1:cpd02570:0:"Parapyruvate";2:cpd00020:0:"Pyruvate"	0	(1) cpd02570[0] <=> (2) cpd00020[0]	(1) Parapyruvate[0] <=> (2) Pyruvate[0]	=	null	KEGG: rn00362 (Benzoate degradation); rn00660 (C5-Branched dibasic acid metabolism)	KEGG: R00008|Rhea: 22748; 22749; 22750; 22751|metanetx.reaction: MNXR106336|Name: 4-Hydroxy-4-methyl-2-oxoglutarate pyruvate-lyase; 4-hydroxy-4-methyl-2-oxoglutarate pyruvate-lyase (pyruvate-forming)	4.1.3.17	4.49	0.57	cpd00020;cpd02570	OK	0	null	GCC|EQC|EQU	Primary Database
rxn00006	R00009	hydrogen-peroxide:hydrogen-peroxide oxidoreductase	(2) cpd00025[0] <=> (2) cpd00001[0] + (1) cpd00007[0]	-2:cpd00025:0:"H2O2";2:cpd00001:0:"H2O";1:cpd00007:0:"O2"	0	(2) cpd00025[0] => (2) cpd00001[0] + (1) cpd00007[0]	(2) H2O2[0] => (2) H2O[0] + (1) O2[0]	>	null	MetaCyc: C1-COMPOUNDS (C1 Compound Utilization and Assimilation); DETOX1-PWY (superoxide radicals degradation); DETOX1-PWY-1 (reactive oxygen species degradation); Degradation (Degradation/Utilization/Assimilation); Detoxification (Detoxification); Methanol-Oxidation (Methanol Oxidation); PWY-5506 (methanol oxidation to formaldehyde IV); REACTIVE-OXYGEN-SPECIES-DEGRADATION (Reactive Oxygen Specie Degradation)|KEGG: rn00630 (Glyoxylate and dicarboxylate metabolism); rn01110 (Biosynthesis of secondary metabolites)	AraCyc: CATAL-RXN|BiGG: CAT; CATp; CTA1; CTT1|KEGG: R00009|MetaCyc: CATAL-RXN; RXN-12121|Rhea: 20309; 20310; 20311; 20312|Name: Catalase; caperase; catalase A; catalase-peroxidase; donor:hydrogen-peroxide oxidoreductase; equilase; hydrogen-peroxide:hydrogen-peroxide oxidoreductase; katG (gene name); optidase	1.11.1.21|1.11.1.6	-46.06	1.64	cpd00001;cpd00007;cpd00025	OK	0	rxn19264;rxn22404;rxn27744;rxn31381	GCC|EQC|EQU	Primary Database
rxn00007	R00010	alpha,alpha-trehalose glucohydrolase	(1) cpd00001[0] + (1) cpd00794[0] <=> (2) cpd00027[0]	-1:cpd00001:0:"H2O";-1:cpd00794:0:"TRHL";2:cpd00027:0:"D-Glucose"	0	(1) cpd00001[0] + (1) cpd00794[0] <=> (2) cpd00027[0]	(1) H2O[0] + (1) TRHL[0] <=> (2) D-Glucose[0]	=	null	KEGG: rn00500 (Starch and sucrose metabolism)	AlgaGEM: R_R00010_c|AraGEM: R_R00010_c|BiGG: ATH1; NTH1; NTH2; TREH; TREHe; TREHpp; TREHv|KEGG: R00010; R06103|metanetx.reaction: MNXR95163|Name: alpha,alpha-Trehalose glucohydrolase; alpha,alpha-trehalase; alpha,alpha-trehalose glucohydrolase	3.2.1.28	-2.79	0.26	cpd00001;cpd00027;cpd00794	OK	0	rxn29977;rxn30219;rxn30442	GCC|EQC|EQU	Primary Database
rxn00008	R00011	Mn(II):hydrogen-peroxide oxidoreductase	(2) cpd00001[0] <=> (1) cpd00025[0]	-2:cpd00001:0:"H2O";1:cpd00025:0:"H2O2";2:cpd00067:0:"H+"	0	(2) cpd00001[0] <= (1) cpd00025[0] + (2) cpd00067[0]	(2) H2O[0] <= (1) H2O2[0] + (2) H+[0]	<	null	MetaCyc: Degradation (Degradation/Utilization/Assimilation); Manganese-Oxidation (Manganese Oxidation); Noncarbon-Nutrients (Inorganic Nutrient Metabolism); PWY-6591 (manganese oxidation I)	KEGG: R00011|MetaCyc: MANGANESE-PEROXIDASE-RXN|metanetx.reaction: MNXR106337; MNXR134184|Name: Mn(II):hydrogen-peroxide oxidoreductase; Mn-dependent (NADH-oxidizing) peroxidase; manganese peroxidase; peroxidase-M2	1.11.1.13	62.53	0.8	cpd00001;cpd00025;cpd00067	CI:2	0	null	GCC|EQC|EQU	Primary Database
rxn00009	R00012	GTP:GTP guanylyltransferase	(2) cpd00038[0] <=> (1) cpd00012[0] + (1) cpd00925[0]	-2:cpd00038:0:"GTP";1:cpd00012:0:"PPi";1:cpd00067:0:"H+";1:cpd00925:0:"GppppG"	0	(2) cpd00038[0] <=> (1) cpd00012[0] + (1) cpd00067[0] + (1) cpd00925[0]	(2) GTP[0] <=> (1) PPi[0] + (1) H+[0] + (1) GppppG[0]	=	null	null	KEGG: R00012|MetaCyc: 2.7.7.45-RXN|Rhea: 18153; 18154; 18155; 18156|TS_Athaliana: rxn555_r; rxn555_x|metanetx.reaction: MNXR106338|Name: GTP-GTP guanylyltransferase; GTP:GTP guanylyltransferase; Gp4G synthetase; diguanosine tetraphosphate synthetase; guanosine triphosphate-guanose triphosphate guanylyltransferase; guanosine-triphosphate guanylyltransferase	2.7.7.45	2.7	1.52	cpd00012;cpd00038;cpd00067;cpd00925	OK	0	rxn33150;rxn33152	GCC|HB|EQC|EQU	Primary Database
rxn00010	R00013	glyoxylate carboxy-lyase (dimerizing; tartronate-semialdehyde-forming)	(2) cpd00040[0] <=> (1) cpd00011[0] + (1) cpd00843[0]	-2:cpd00040:0:"Glyoxalate";-1:cpd00067:0:"H+";1:cpd00011:0:"CO2";1:cpd00843:0:"Tartronate semialdehyde"	0	(2) cpd00040[0] + (1) cpd00067[0] <=> (1) cpd00011[0] + (1) cpd00843[0]	(2) Glyoxalate[0] + (1) H+[0] <=> (1) CO2[0] + (1) Tartronate semialdehyde[0]	=	null	MetaCyc: Alcohol-Degradation (Alcohol Degradation); CARBOXYLATES-DEG (Carboxylate Degradation); Degradation (Degradation/Utilization/Assimilation); GLYCOL-GLYOXDEG-PWY (superpathway of glycol metabolism and degradation); GLYCOLATEMET-PWY (glycolate and glyoxylate degradation I); Glycolate-Degradation (Glycolate Degradation)|KEGG: rn00630 (Glyoxylate and dicarboxylate metabolism)	BiGG: GLXCBL; GLXCL|EcoCyc: GLYOCARBOLIG-RXN|KEGG: R00013|MetaCyc: GLYOCARBOLIG-RXN|Rhea: 10136; 10137; 10138; 10139|Name: Glyoxylate carboxy-lyase (dimerizing); glyoxalate carboligase; glyoxylate carbo-ligase; glyoxylate carboxy-lyase (dimerizing); glyoxylate carboxy-lyase (dimerizing, tartronate-semialdehyde-forming); glyoxylate carboxy-lyase (dimerizing; tartronate-semialdehyde-forming); glyoxylic carbo-ligase; hydroxymalonic semialdehyde carboxylase; tartronate semialdehyde carboxylase; tartronate-semialdehyde synthase; tartronic semialdehyde carboxylase	4.1.1.47	-4.57	1.08	cpd00011;cpd00040;cpd00067;cpd00843	OK	0	null	GCC|EQC|EQU	Primary Database
rxn00011	R00014	pyruvate:thiamin diphosphate acetaldehydetransferase (decarboxylating)	(1) cpd00011[0] + (1) cpd03049[0] <=> (1) cpd00020[0] + (1) cpd00056[0]	-1:cpd00011:0:"CO2";-1:cpd03049:0:"2-Hydroxyethyl-ThPP";1:cpd00020:0:"Pyruvate";1:cpd00056:0:"TPP";1:cpd00067:0:"H+"	0	(1) cpd00011[0] + (1) cpd03049[0] <= (1) cpd00020[0] + (1) cpd00056[0] + (1) cpd00067[0]	(1) CO2[0] + (1) 2-Hydroxyethyl-ThPP[0] <= (1) Pyruvate[0] + (1) TPP[0] + (1) H+[0]	<	null	KEGG: rn00010 (Glycolysis / Gluconeogenesis); rn00020 (Citrate cycle (TCA cycle)); rn00620 (Pyruvate metabolism); rn01110 (Biosynthesis of secondary metabolites)	AraCyc: RXN-12583|CornCyc: RXN-12583|EcoCyc: RXN-12583|KEGG: R00014|MetaCyc: RXN-12583|Name: pyruvate dehydrogenase E1 component alpha subunit; pyruvate:thiamin diphosphate acetaldehydetransferase; pyruvate:thiamin diphosphate acetaldehydetransferase (decarboxylating)	1.2.4.1|2.2.1.6|4.1.1.1	7.23	0.84	cpd00011;cpd00020;cpd00056;cpd00067;cpd03049	OK	0	rxn31360;rxn31361	GCC|EQC|EQU	Primary Database
