id	abbreviation	name	formula	mass	source	inchikey	charge	is_core	is_obsolete	linked_compound	is_cofactor	deltag	deltagerr	pka	pkb	abstract_compound	comprised_of	aliases	smiles	notes
cpd06000	Hallactone A	Hallactone A	C19H22O6	346.0	Primary Database	WXJASYTWXBVSQZ-UOMNFSLCSA-N	0	1	0	null	0	10000000.0	10000000.0	1:17:13.41	1:9:-4.23;1:17:-3.49;1:20:-6.74;1:25:-7.36	null	null	Name: Hallactone A|KEGG: C09104	CC(C)c1oc(=O)cc2c1C[C@H]1OC(=O)[C@@]3(C)[C@@H](O)[C@@H]4O[C@@H]4[C@@]2(C)[C@@H]13	GC
cpd06001	Hallactone B	Hallactone B	C20H24O9S	440.0	Primary Database	AVQGMZMZZORTNF-KTFIAZJISA-N	0	1	0	null	0	10000000.0	10000000.0	1:17:13.14	1:4:-4.56;1:17:-3.61;1:20:-6.71;1:24:-3.95;1:30:-7.36	null	null	Name: Hallactone B|KEGG: C09105	C[C@@]12C[C@@H]3O[C@@H]3[C@]3(C)C(=O)O[C@H]([C@H]4O[C@@]45C1=CC(=O)O[C@@H]5[C@@](C)(O)CS(C)(=O)=O)[C@H]23	GC
cpd06002	Carapanaubine	Carapanaubine	C23H29N2O6	428.0	Primary Database	QIZNWMMOECVGAP-GHTUMPRVSA-O	1	1	0	null	0	-121.34	4.63	1:10:13.26	1:6:10.34;1:11:-4.93;1:20:-5.33;1:24:-5.81;1:26:-4.48;1:29:-7.37	null	null	Name: Carapanaubine|KEGG: C09106	COC(=O)C1=CO[C@@H](C)[C@@H]2C[NH+]3CC[C@]4(C(=O)Nc5cc(OC)c(OC)cc54)[C@@H]3C[C@H]12	GC
cpd06003	Catharanthine	Catharanthine	C21H25N2O2	337.0	Primary Database	CMKFQVZJOWHHDV-NQZBTDCJSA-O	1	1	0	null	0	10000000.0	10000000.0	1:8:16.37	1:18:7.49;1:23:-7.64	null	null	Name: (2alpha,18beta)-18-(methoxycarbonyl)-3,4-didehydroibogamin-6-ium; Catharanthine; catharanthine|KEGG: C09107|MetaCyc: CPD-7859|PlantCyc: CPD-7859	CCC1=C[C@@H]2C[NH+]3CCc4c([nH]c5ccccc45)[C@@](C(=O)OC)(C2)[C@@H]13	GC
cpd06004	Huratoxin	Huratoxin	C34H48O8	584.0	Primary Database	VWGORPXMXKBHER-GPLJIMSFSA-N	0	1	0	null	0	10000000.0	10000000.0	1:19:11.65;1:24:13.33;1:27:14.36	1:4:-4.38;1:14:-3.87;1:16:-5.50;1:19:-4.24;1:21:-4.89;1:24:-3.86;1:25:-6.24;1:27:-3.15	null	null	Name: Huratoxin|KEGG: C09108	C=C(C)[C@]12C[C@@H](C)[C@@]34OC(/C=C/C=C/CCCCCCCCC)(O[C@@H]1[C@@H]3[C@@H]1O[C@]1(CO)[C@@H](O)[C@]1(O)C(=O)C(C)=C[C@H]14)O2	GC
cpd06005	Hymatoxin A	Hymatoxin A	C20H29O7S	413.0	Primary Database	ITEVFNFZADKMQH-QBUATURESA-M	-1	1	0	null	0	10000000.0	10000000.0	1:13:13.82;1:25:-1.64	1:13:-3.32;1:28:-7.13	null	null	Name: Hymatoxin A|KEGG: C09109	C[C@]1(CCOS(=O)(=O)[O-])CC[C@@]2(O)C(=C[C@H]3OC(=O)[C@@]4(C)CCC[C@@]2(C)[C@@H]34)C1	GC
cpd06006	Ineketone	Ineketone	C20H30O3	318.0	Primary Database	BWRPYSJNBVBIRP-FLFBIERCSA-N	0	1	0	null	0	-54.52	6.41	1:11:14.68;1:14:13.87	1:11:-2.98;1:14:-3.25;1:16:-5.64	null	null	Name: Ineketone|KEGG: C09110	C=C[C@@]1(C)C=C2C(=O)C[C@@]3(O)[C@@H](CCCC3(C)C)[C@]2(C)[C@@H](O)C1	GC|EQ
cpd06007	Inflexin	Inflexin	C24H32O7	432.0	Primary Database	YVMIOJMVICZZJA-UIZRKYKGSA-N	0	1	0	null	0	10000000.0	10000000.0	1:4:19.56;1:13:14.87	1:13:-2.85;1:14:-7.72;1:24:-7.16;1:27:-6.65;1:31:-5.12	null	null	Name: 3beta,11beta-Diacetoxy-1alpha-hydroxykaura-16-ene-6,15-dione; Inflexin|KEGG: C09111	C=C1C(=O)[C@@]23CC(=O)[C@@H]4C(C)(C)[C@@H](OC(C)=O)C[C@@H](OC(C)=O)[C@@]4(C)[C@@H]2[C@H](O)C[C@@H]1C3	GC
cpd06008	Ingenol	Ingenol	C20H28O5	348.0	Primary Database	VEBVPUXQAPLADL-POYOOMFHSA-N	0	1	0	null	0	10000000.0	10000000.0	1:8:16.20;1:14:14.45;1:17:12.14;1:18:13.73;1:20:15.21	1:14:-3.53;1:17:-4.02;1:18:-3.56;1:20:-2.76;1:25:-7.76	null	null	Name: Ingenol|KEGG: C09112	CC1=C[C@]23C(=O)[C@@H](C=C(CO)[C@@H](O)[C@]2(O)[C@H]1O)[C@H]1[C@@H](C[C@H]3C)C1(C)C	GC
cpd06009	Ingenol 3,20-dibenzoate	Ingenol 3,20-dibenzoate	C34H36O7	556.0	Primary Database	GIMKEHNOTHXONN-NXBFFCPZSA-N	0	1	0	null	0	10000000.0	10000000.0	1:8:15.98;1:20:12.13;1:21:14.05	1:16:-7.13;1:20:-4.04;1:21:-3.56;1:28:-7.87;1:30:-6.58	null	null	Name: Ingenol 3,20-dibenzoate|KEGG: C09113	CC1=C[C@]23C(=O)[C@@H](C=C(COC(=O)c4ccccc4)[C@@H](O)[C@]2(O)[C@H]1OC(=O)c1ccccc1)[C@H]1[C@@H](C[C@H]3C)C1(C)C	GC
