id	primary_name	equation	definition	status	paired reactions
CoA-2-methylpropanoylating)	1281967929	(1) cpd00010[0] + (1) cpd00123[0] + (1) cpd11621[0] <=> (1) cpd00011[0] + (1) cpd00481[0] + (1) cpd11620[0]	(1) 3-Methyl-2-oxobutanoate[c] + (1) CoA[c] + (1) Oxidizedferredoxin[c] <=> (1) CO2[c] + (1) Isobutyryl-CoA[c] + (1) Reducedferredoxin[c]	unknown	
rxn00001	Pyrophosphate phosphohydrolase	(1) cpd00001[0] + (1) cpd00012[0] <=> (2) cpd00009[0] + (2) cpd00067[0]	(1) H2O[c] + (1) PPi[c] <=> (2) H+[c] + (2) Phosphate[c]	OK	
rxn00002	Urea-1-carboxylate amidohydrolase	(1) cpd00001[0] + (3) cpd00067[0] + (1) cpd00742[0] <=> (2) cpd00011[0] + (2) cpd00013[0]	(1) Allophanate[c] + (3) H+[c] + (1) H2O[c] <=> (2) CO2[c] + (2) NH3[c]	OK	
rxn00003	2-Acetolactate pyruvate-lyase (carboxylating)	(1) cpd00011[0] + (1) cpd00668[0] <=> (2) cpd00020[0] + (1) cpd00067[0]	(1) ALCTT[c] + (1) CO2[c] <=> (1) H+[c] + (2) Pyruvate[c]	OK	
rxn00004	4-Hydroxy-4-methyl-2-oxoglutarate pyruvate-lyase	(1) cpd02570[0] <=> (2) cpd00020[0]	(1) Parapyruvate[c] <=> (2) Pyruvate[c]	OK	
rxn00006	hydrogen-peroxide:hydrogen-peroxide oxidoreductase	(2) cpd00025[0] <=> (2) cpd00001[0] + (1) cpd00007[0]	(2) H2O2[c] <=> (2) H2O[c] + (1) O2[c]	OK	
rxn00007	alpha,alpha-Trehalose glucohydrolase	(1) cpd00001[0] + (1) cpd00794[0] <=> (2) cpd00027[0]	(1) H2O[c] + (1) TRHL[c] <=> (2) D-Glucose[c]	OK	
rxn00008	Mn(II):hydrogen-peroxide oxidoreductase	(2) cpd00001[0] <=> (1) cpd00025[0] + (2) cpd00067[0]	(2) H2O[c] <=> (2) H+[c] + (1) H2O2[c]	CI:2	
rxn00009	GTP:GTP guanylyltransferase	(2) cpd00038[0] <=> (1) cpd00012[0] + (1) cpd00925[0]	(2) GTP[c] <=> (1) GppppG[c] + (1) PPi[c]	OK	
rxn00010	Glyoxylate carboxy-lyase (dimerizing)	(2) cpd00040[0] + (1) cpd00067[0] <=> (1) cpd00011[0] + (1) cpd00843[0]	(2) Glyoxalate[c] + (1) H+[c] <=> (1) CO2[c] + (1) Tartronate semialdehyde[c]	OK	
rxn00011	pyruvate:thiamin diphosphate acetaldehydetransferase	(1) cpd00011[0] + (1) cpd03049[0] <=> (1) cpd00020[0] + (1) cpd00056[0] + (1) cpd00067[0]	(1) 2-Hydroxyethyl-ThPP[c] + (1) CO2[c] <=> (1) H+[c] + (1) Pyruvate[c] + (1) TPP[c]	OK	
