id	abbreviation	name	formula	mass	source	inchikey	charge	is_core	is_obsolete	linked_compound	is_cofactor	abstract_compound	comprised_of	aliases	smiles	notes
cpd32000	(5E)-3-imino-4-sulfanyl-5-(sulfanylmethylidene)pyrrolidin-2-one	(5E)-3-imino-4-sulfanyl-5-(sulfanylmethylidene)pyrrolidin-2-one	C5H5N2OS2	174.235	Primary Database	NPIQAWSIYDPIFA-LLCPMXLLSA-M	-1	0	0	null	0	null	null	Name: (5E)-3-imino-4-sulfanyl-5-(sulfanylmethylidene)pyrrolidin-2-one|MetaCyc: CPD-18201|metanetx.chemical: MNXM722916	N=C1C([O-])=N/C(=C/S)C1S	GC
cpd32001	6-methylheptanoate	6-methylheptanoate	C8H15O2	143.205	Primary Database	OEOIWYCWCDBOPA-UHFFFAOYSA-M	-1	0	0	null	0	null	null	Name: 6-methylheptanoate|MetaCyc: CPD-20063	CC(C)CCCCC(=O)[O-]	GC|EQ|EQU
cpd32002	6-trans-3-oxo-tridecenoyl-CoA	6-trans-3-oxo-tridecenoyl-CoA	C34H51N7O18P3S	971.802	Primary Database	FDXHXLPCLXEYSU-HMXWSVNBSA-I	-5	0	0	null	0	null	null	Name: 6-<i>trans</i>-3-oxo-tridecenoyl-CoA; 6-trans-3-oxo-tridecenoyl-CoA; 6E-3-oxo-tridecenoyl-CoA|MetaCyc: CPD-15676|metanetx.chemical: MNXM147867	CCCCCC/C=C/CCC(=O)CC(=O)SCCN=C([O-])CCN=C([O-])[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)[nH+]cnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]	GC|EQ|EQU
cpd32003	shinorine	shinorine	C13H18N2O8	330.294	Primary Database	WXEQFJUHQIGKNG-MZNRBSSJSA-L	-2	0	0	null	0	null	null	Name: shinorine|MetaCyc: CPD-18778|metanetx.chemical: MNXM165151	COC1=C(NCC(=O)[O-])C[C@@](O)(CO)C/C1=N\[C@@H](CO)C(=O)[O-]	GC
cpd32004	(2E,4Z,6E)-5-formyl-2-hydroxy-8-oxoocta-2,4,6-trienoate	(2E,4Z,6E)-5-formyl-2-hydroxy-8-oxoocta-2,4,6-trienoate	C9H7O5	195.151	Primary Database	IGPCHXWXWBHSFS-WTTCWNDYSA-M	-1	0	0	null	0	null	null	Name: (2E,4Z,6E)-5-formyl-2-hydroxy-8-oxoocta-2,4,6-trienoate; (2E,4Z,6E)-5-formyl-2-hydroxy-8-oxoocta-2,4,6-trienoic acid|MetaCyc: CPD-18131|metanetx.chemical: MNXM163952	O=C/C=C/C(C=O)=C/C=C(/O)C(=O)[O-]	GC|EQ|EQU
cpd32005	3-nitrobenzoate	3-nitrobenzoate	C7H4NO4	166.113	Primary Database	AFPHTEQTJZKQAQ-UHFFFAOYSA-M	-1	0	0	null	0	null	null	Name: 3-nitrobenzoate|MetaCyc: CPD-19230|metanetx.chemical: MNXM484446	O=C([O-])c1cccc([N+](=O)[O-])c1	GC|EQ
cpd32006	3-methylxanthosine	3-methylxanthosine	C11H13N4O6	298.255	Primary Database	GYVBAVMQKDJAFI-KQYNXXCUSA-M	-1	0	0	null	0	null	null	Name: 3-methylxanthosine|MetaCyc: CPD-19520|metanetx.chemical: MNXM484430	Cn1c(=O)nc([O-])c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c21	GC|EQ|EQU
cpd32007	2-[(2'-methylsulfanyl)pentyl]maleate	2-[(2'-methylsulfanyl)pentyl]maleate	C10H14O4S	230.278	Primary Database	FHIODBUYVWQUDO-FPLPWBNLSA-L	-2	0	0	null	0	null	null	Name: 2-[(2'-methylsulfanyl)pentyl]maleate; 2-[(2'-methylthio)pentyl]maleate|MetaCyc: CPD-19479|metanetx.chemical: MNXM164093	CSCCCCC/C(=C/C(=O)[O-])C(=O)[O-]	GC|EQ|EQU
cpd32008	(2E,7Z,10Z,13Z,16Z)-docosa-2,7,10,13,16-pentaenoyl-CoA	(2E,7Z,10Z,13Z,16Z)-docosa-2,7,10,13,16-pentaenoyl-CoA	C43H63N7O17P3S	1075.997	Primary Database	XSIBQUOFLNIVEK-XPBIURITSA-I	-5	0	0	null	0	null	null	Name: (2E,7Z,10Z,13Z,16Z)-docosa-2,7,10,13,16-pentaenoyl-CoA; (2E,7Z,10Z,13Z,16Z)-docosapentaenoyl-CoA; (2E,7Z,10Z,13Z,16Z)-docosapentaenoyl-coenzyme A(4-); 2trans,7cis,10cis,13cis,16cis-docosapentaenoyl-CoA(4-); 3'-phosphonatoadenosine 5'-{3-[(3R)-3-hydroxy-4-({3-[(2-{[(2E,7Z,10Z,13Z,16Z)-docosa-2,7,10,13,16-pentaenoyl]sulfanyl}ethyl)amino]-3-oxopropyl}amino)-2,2-dimethyl-4-oxobutyl] diphosphate}; <i>trans</i>-adre-2-enoyl-CoA; trans-adre-2-enoyl-CoA|ChEBI: 76416|MetaCyc: CPD-17368|metanetx.chemical: MNXM145822	CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCC/C=C/C(=O)SCCN=C([O-])CCN=C([O-])[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)[nH+]cnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]	GC|EQ|EQU
cpd32009	3-[(2E,4E)-4,6-dimethyl-2,4-octadienoyl]-4-hydroxy-5-(4-hydroxyphenyl)-2(1H)-pyridinone	3-[(2E,4E)-4,6-dimethyl-2,4-octadienoyl]-4-hydroxy-5-(4-hydroxyphenyl)-2(1H)-pyridinone	C21H23NO4	352.409	Primary Database	RUYOCRHCIKMVOH-QDPFKYGGSA-N	0	0	0	null	0	null	null	Name: 3-[(2E,4E)-4,6-dimethyl-2,4-octadienoyl]-4-hydroxy-5-(4-hydroxyphenyl)-2(1H)-pyridinone; pretenellin B|MetaCyc: CPD-17123|metanetx.chemical: MNXM148471	CCC(C)/C=C(C)/C=C/C(=O)c1c(O)ncc(-c2ccc(O)cc2)c1O	GC|EQ|EQU
