biomass_id	id	coefficient	coefficient_type	class	linked_compounds	compartment
bio1	cpd00002	-1	MULTIPLIER	energy	cpd00001:-1|cpd00008:-1|cpd00009:-1|cpd00067:1	c0
bio1	cpd11416	1	EXACT	energy	null	c0
bio2	cpd00072	-0.0709	EXACT	other	null	c0
bio2	cpd00101	-0.8977	EXACT	other	null	c0
bio2	cpd00236	-0.8977	EXACT	other	null	c0
bio2	cpd00102	-0.129	EXACT	other	null	c0
bio2	cpd00169	-1.496	EXACT	other	null	c0
bio2	cpd00061	-0.5191	EXACT	other	null	c0
bio2	cpd00020	-2.8328	EXACT	other	null	c0
bio2	cpd00022	-3.7478	EXACT	other	null	c0
bio2	cpd00032	-1.7867	EXACT	other	null	c0
bio2	cpd00024	-1.0789	EXACT	other	null	c0
bio2	cpd00079	-0.205	EXACT	other	null	c0
bio2	cpd00005	-1.8225	EXACT	other	cpd00067:-1	c0
bio2	cpd00003	-3.547	EXACT	other	cpd00067:-1	c0
bio2	cpd00010	3.7478	EXACT	other	null	c0
bio2	cpd11416	1	EXACT	other	null	c0
bio2	cpd00006	1.8225	EXACT	other	null	c0
bio2	cpd00004	3.547	EXACT	other	null	c0
bio2	cpd00002	-1	MULTIPLIER	energy	cpd00001:-1|cpd00008:-1|cpd00009:-1|cpd00067:1	c0
Recon2	cpd00002	-0.0537	EXACT	rna	null	c0
Recon2	cpd00002	-1	MULTIPLIER	energy	cpd00001:-1|cpd00008:-1|cpd00009:-1|cpd00067:1	
Recon2	cpd00023	-0.3859	EXACT	protein	null	c0
Recon2	cpd00041	-0.3526	EXACT	protein	null	c0
Recon2	cpd00038	-0.0361	EXACT	rna	null	c0
Recon2	cpd00132	-0.2794	EXACT	protein	null	c0
Recon2	cpd00035	-0.5056	EXACT	protein	null	c0
Recon2	cpd00084	-0.0466	EXACT	protein	null	c0
Recon2	cpd00053	-0.326	EXACT	protein	null	c0
Recon2	cpd00033	-0.5389	EXACT	protein	null	c0
Recon2	cpd00054	-0.3925	EXACT	protein	null	c0
Recon2	cpd00161	-0.3127	EXACT	protein	null	c0
Recon2	cpd00039	-0.5921	EXACT	protein	null	c0
Recon2	cpd00051	-0.3593	EXACT	protein	null	c0
Recon2	cpd00060	-0.153	EXACT	protein	null	c0
Recon2	cpd12572	-0.0233	EXACT	other	null	c0
Recon2	cpd00052	-0.039	EXACT	rna	null	c0
Recon2	cpd27789	-0.1545	EXACT	other	null	c0
Recon2	cpd11456	-0.0554	EXACT	other	null	c0
Recon2	cpd00160	-0.0204	EXACT	other	null	c0
Recon2	cpd11652	-0.0029	EXACT	other	null	c0
Recon2	cpd12801	-0.0117	EXACT	other	null	c0
Recon2	cpd00062	-0.0534	EXACT	rna	null	c0
Recon2	cpd00241	-0.0099	EXACT	dna	null	c0
Recon2	cpd00356	-0.0094	EXACT	dna	null	c0
Recon2	cpd00115	-0.0132	EXACT	dna	null	c0
Recon2	cpd00357	-0.0131	EXACT	dna	null	c0
Recon2	cpd00079	-0.2752	EXACT	other	null	c0
Recon2	cpd00119	-0.1264	EXACT	protein	null	c0
Recon2	cpd00069	-0.1597	EXACT	protein	null	c0
Recon2	cpd00322	-0.2861	EXACT	protein	null	c0
Recon2	cpd00107	-0.5455	EXACT	protein	null	c0
Recon2	cpd00065	-0.0133	EXACT	protein	null	c0
Recon2	cpd00066	-0.2595	EXACT	protein	null	c0
Recon2	cpd00129	-0.4125	EXACT	protein	null	c0
Recon2	cpd16093	-0.0058	EXACT	other	null	c0
Recon2	cpd00431	-0.0175	EXACT	other	null	c0
Recon2	cpd00156	-0.3526	EXACT	protein	null	c0
