id	name	source	features	aliases
ftr00001	SSU ribosomal protein S14e (S11p)	ModelSEED	null	msfr.1
ftr00002	Treacle protein	ModelSEED	null	msfr.2
ftr00003	H-2 class II histocompatibility antigen, gamma chain	ModelSEED	null	msfr.3
ftr00004	N-acetylgalactosamine 6-sulfate sulfatase (GALNS)	ModelSEED	null	msfr.4
ftr00005	Arylsulfatase B precursor (EC 3.1.6.12)	ModelSEED	null	msfr.5
ftr00006	Cirhin	ModelSEED	null	msfr.6
ftr00007	Hyaluronan synthase 2 (EC 2.4.1.212)	ModelSEED	null	msfr.7
ftr00008	Hyaluronan synthase 3 (EC 2.4.1.212)	ModelSEED	null	msfr.8
ftr00009	Collagen alpha 1(I) chain precursor	ModelSEED	null	msfr.9
ftr00010	Succinyl-CoA:3-ketoacid-coenzyme A transferase subunit A (EC 2.8.3.5)	ModelSEED	null	msfr.10
ftr00011	Ubiquinol-cytochrome-c reductase complex core protein 2, mitochondrial precursor (EC 1.10.2.2)	ModelSEED	null	msfr.11
ftr00012	NADH dehydrogenase subunit 5	ModelSEED	null	msfr.12
ftr00013	Ribosomal protein S6 kinase alpha 5 (EC 2.7.11.1)	ModelSEED	null	msfr.13
ftr00014	Nanos protein	ModelSEED	null	msfr.14
ftr00015	60S ribosome subunit biogenesis protein NIP7	ModelSEED	null	msfr.15
ftr00016	Growth-arrest-specific protein 8	ModelSEED	null	msfr.16
ftr00017	Cadherin-4 precursor	ModelSEED	null	msfr.17
ftr00018	Conserved oligomeric Golgi complex component 8	ModelSEED	null	msfr.18
ftr00019	Hyaluronan mediated motility receptor	ModelSEED	null	msfr.19
ftr00020	NudC domain containing protein 2	ModelSEED	null	msfr.20
ftr00021	Cyclin G1	ModelSEED	null	msfr.21
ftr00023	p53 inducible protein	ModelSEED	null	msfr.23
ftr00024	Tyrosine-protein kinase BTK (EC 2.7.10.2)	ModelSEED	null	msfr.24
ftr00025	Non-imprinted in Prader-Willi/Angelman syndrome 2	ModelSEED	null	msfr.25
ftr00026	Non-imprinted in Prader-Willi/Angelman syndrome region protein 2 homolog	ModelSEED	null	msfr.26
ftr00027	Non-imprinted in Prader-Willi/Angelman syndrome 1	ModelSEED	null	msfr.27
