id	names	equation	enzymes
R00001	polyphosphate polyphosphohydrolase	C00404[0] + C00001[0] <=> (2) C02174[0]	3.6.1.10
R00002	Reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing)	(16) C00002[0] + (16) C00001[0] + (8) C00138[0] <=> (8) C05359[0] + (16) C00009[0] + (16) C00008[0] + (8) C00139[0]	1.18.6.1
R00004	diphosphate phosphohydrolase|pyrophosphate phosphohydrolase	C00013[0] + C00001[0] <=> (2) C00009[0]	3.6.1.1
R00005	urea-1-carboxylate amidohydrolase	C01010[0] + C00001[0] <=> (2) C00011[0] + (2) C00014[0]	3.5.1.54
R00006	pyruvate:pyruvate acetaldehydetransferase (decarboxylating)|2-acetolactate pyruvate-lyase (carboxylating)	C00900[0] + C00011[0] <=> (2) C00022[0]	2.2.1.6
R00008	4-hydroxy-4-methyl-2-oxoglutarate pyruvate-lyase (pyruvate-forming)	C06033[0] <=> (2) C00022[0]	4.1.3.17
R00009	hydrogen-peroxide:hydrogen-peroxide oxidoreductase	(2) C00027[0] <=> C00007[0] + (2) C00001[0]	1.11.1.6|1.11.1.21
R00010	alpha,alpha-trehalose glucohydrolase	C01083[0] + C00001[0] <=> (2) C00031[0]	3.2.1.28
R00011	Mn(II):hydrogen-peroxide oxidoreductase	(2) C19610[0] + C00027[0] + (2) C00080[0] <=> (2) C19611[0] + (2) C00001[0]	1.11.1.13
R00012	GTP:GTP guanylyltransferase	(2) C00044[0] <=> C00013[0] + C01261[0]	2.7.7.45
R00013	glyoxylate carboxy-lyase (dimerizing; tartronate-semialdehyde-forming)	(2) C00048[0] <=> C01146[0] + C00011[0]	4.1.1.47
R00014	pyruvate:thiamin diphosphate acetaldehydetransferase (decarboxylating)	C00022[0] + C00068[0] <=> C05125[0] + C00011[0]	1.2.4.1|2.2.1.6|4.1.1.1
R00015	sucrose:sucrose 1'-beta-D-fructosyltransferase|sucrose:sucrose 1F-beta-D-fructosyltransferase	(2) C00089[0] <=> C00031[0] + C03661[0]	2.4.1.99
R00017	ferrocytochrome-c:hydrogen-peroxide oxidoreductase	C00027[0] + (2) C00126[0] <=> (2) C00125[0] + (2) C00001[0]	1.11.1.5
R00018	putrescine:putrescine 4-aminobutyltransferase (ammonia-forming)	(2) C00134[0] <=> C06366[0] + C00014[0]	2.5.1.44
R00019	hydrogen:ferredoxin oxidoreductase|reduced ferredoxin:H+ oxidoreductase	(2) C00138[0] + (2) C00080[0] <=> C00282[0] + (2) C00139[0]	1.12.7.2|1.12.99.-
R00021	L-glutamate:ferredoxin oxidoreductase (transaminating)	(2) C00025[0] + (2) C00139[0] <=> C00064[0] + C00026[0] + (2) C00138[0] + (2) C00080[0]	1.4.7.1
R00022	chitobiose N-acetylglucosaminohydrolase	C01674[0] + C00001[0] <=> (2) C00140[0]	3.2.1.52
R00023	hydroxylamine:NAD+ oxidoreductase|NADH:hyponitrite oxidoreductase	(2) C00192[0] + (2) C00003[0] <=> C01818[0] + (2) C00004[0] + (2) C00080[0]	1.7.1.5
R00024	3-phospho-D-glycerate carboxy-lyase (dimerizing; D-ribulose-1,5-bisphosphate-forming)	C01182[0] + C00011[0] + C00001[0] <=> (2) C00197[0]	4.1.1.39
R00025	ethylnitronate:oxygen 2-oxidoreductase (nitrite-forming)	C18091[0] + C00007[0] + C01847[0] <=> C00084[0] + C00088[0] + C00061[0] + C00001[0]	1.13.12.16
R00026	cellobiose glucohydrolase	C00185[0] + C00001[0] <=> (2) C00221[0]	3.2.1.21
R00027	2-hydroxy-1,2-diphenylethanone benzaldehyde-lyase (benzaldehyde-forming)	C01408[0] <=> (2) C00261[0]	4.1.2.38
R00028	maltose glucohydrolase	C00208[0] + C00001[0] <=> (2) C00267[0]	3.2.1.20
R00029	thiosulfate:ferricytochrome-c oxidoreductase	(2) C00320[0] + (2) C00125[0] <=> C02084[0] + (2) C00126[0]	1.8.2.2
R00031	1,2-benzenediol:oxygen oxidoreductase	C00007[0] + (2) C00082[0] <=> (2) C00355[0]	1.10.3.1|1.14.18.1
R00032	beta-carotene:oxygen 15,15'-oxidoreductase (bond-cleaving)	C02094[0] + C00007[0] <=> (2) C00376[0]	1.13.11.63|1.14.99.36
R00033	thiamine:oxygen 5-oxidoreductase	C00378[0] + C00007[0] <=> C00027[0] + C05856[0]	1.1.3.23
R00034	Cyclobutadipyrimidine (in DNA) pyrimidine-lyase	C03103[0] <=> (2) C08249[0]	4.1.99.3
R00036	5-aminolevulinate hydro-lyase (adding 5-aminolevulinate and cyclizing; porphobilinogen-forming)	(2) C00430[0] <=> C00931[0] + (2) C00001[0]	4.2.1.24
R00038	4-hydroxy-3-hexanone propanal-lyase (propanal-forming)	(2) C00479[0] <=> C02948[0]	4.1.2.35
R00039	raffinose:raffinose 1F-alpha-D-galactosyltransferase	(2) C00492[0] <=> C08242[0] + C00089[0]	2.4.1.166
R00041	long-chain-alcohol:oxygen oxidoreductase	(2) C00339[0] + C00007[0] <=> (2) C00609[0] + (2) C00001[0]	1.1.3.20
R00042	4-hydroxyphenylpyruvate:oxygen oxidoreductase (decarboxylating)	(2) C01179[0] + C00007[0] <=> (2) C00642[0] + (2) C00011[0]	1.2.3.13
R00043	1,2-bis(4-hydroxy-3-methoxyphenyl)ethylene:oxygen oxidoreductase (alpha-beta-bond-cleaving)	C04547[0] + C00007[0] <=> (2) C00755[0]	1.13.11.43
R00044	columbamine:oxygen oxidoreductase (cyclizing)	(2) C01795[0] + C00007[0] <=> (2) C00757[0] + (2) C00001[0]	1.21.3.2
R00045	3,4-dihydroxy-L-phenylalanine:oxygen oxidoreductase	C00007[0] + (2) C00355[0] <=> (2) C00822[0] + (2) C00001[0]	1.10.3.1|1.14.18.1
R00047	6-hydroxynicotinate,hydrogen-donor:oxygen oxidoreductase (3-hydroxylating, decarboxylating)	C00007[0] + C01020[0] + C00030[0] <=> C01059[0] + C00011[0] + C00028[0] + C00001[0]	1.14.99.-
R00048	(R)-3-((R)-3-Hydroxybutanoyloxy)-butanoate hydroxybutanoylhydrolase	C04546[0] + C00001[0] <=> (2) C01089[0]	3.1.1.22
R00049	1-O-galloyl-beta-D-glucose:1-O-galloyl-beta-D-glucose O-galloyltransferase	(2) C01158[0] <=> C00031[0] + C04101[0]	2.3.1.90
R00052	chloride:hydrogen-peroxide oxidoreductase	C00027[0] + C01371[0] + C01327[0] <=> C01334[0] + (2) C00001[0]	1.11.1.10
R00053	digallate acylhydrolase|tannin acylhydrolase	C01572[0] + C00001[0] <=> (2) C01424[0]	3.1.1.20
R00054	orsellinate-depside hydrolase	C02868[0] + C00001[0] <=> (2) C01839[0]	3.1.1.40
R00055	inosine:oxygen 5'-oxidoreductase	(2) C00294[0] + C00007[0] <=> (2) C01993[0] + (2) C00001[0]	1.1.3.28
R00056	dinucleotide nucleotidohydrolase	C01910[0] + C00001[0] <=> (2) C02171[0]	3.6.1.9
R00057	thiol:oxygen oxidoreductase	C00007[0] + (2) C01525[0] <=> C02318[0] + C00027[0]	1.8.3.2
R00058	catechol:oxygen oxidoreductase|1,2-benzenediol:oxygen oxidoreductase	C00007[0] + (2) C00090[0] <=> (2) C02351[0] + (2) C00001[0]	1.10.3.1|1.14.18.1
R00059	N-(6-aminohexanoyl)-6-aminohexanoate amidohydrolase	C01255[0] + C00001[0] <=> (2) C02378[0]	3.5.1.46
R00060	Sulochrin:oxygen oxidoreductase (cyclizing, (+)-specific)	C00007[0] + (2) C00495[0] <=> (2) C03036[0] + (2) C00001[0]	1.21.3.4
R00061	Sulochrin:oxygen oxidoreductase (cyclizing, (-)-specific)	C00007[0] + (2) C00495[0] <=> (2) C03040[0] + (2) C00001[0]	1.21.3.5
R00062	bilirubin-glucuronoside:bilirubin-glucuronoside D-glucuronosyltransferase	(2) C03374[0] <=> C00486[0] + C05787[0]	2.4.1.95
R00063	1-O-sinapoyl-beta-D-glucose:1-O-sinapoyl-beta-D-glucose 1-O-sinapoyltransferase|1-O-(4-hydroxy-3,5-dimethoxycinnamoyl)-beta-D-glucoside:1-O-(4-hydroxy-3,5-dimethoxycinnamoyl-beta-D-glucoside 1-O-sinapoyltransferase	(2) C01175[0] <=> C04275[0] + C00031[0]	2.3.1.103
R00066	6,7-Dimethyl-8-(1-D-ribityl)lumazine:6,7-dimethyl-8-(1-D-ribityl)lumazine 2,3-butanediyltransferase	(2) C04332[0] <=> C00255[0] + C04732[0]	2.5.1.9
R00067	Reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing)	(2) C05359[0] + (2) C00080[0] <=> C00282[0]	1.18.6.1
R00068	L-ascorbate:oxygen oxidoreductase	C00007[0] + (2) C00072[0] <=> (2) C05422[0] + (2) C00001[0]	1.10.3.3
R00069	4-imidazolone-5-propanoate:oxygen oxidoreductase	C05565[0] + C00027[0] <=> C03680[0] + C00007[0] + C00001[0]	1.14.13.-|1.17.3.2
