ID	name	formula	charge
cpd09193	18-Carbamoyl-9-hydroxy-3,5,7,11,13,15,17-octaoxo-octadecanoyl-[acp]	C19H22NO10RS	0
cpd11464	butACP	C15H28N2O8PRS	-2
cpd11465	2beACP	C15H25N2O8PRS	-1
cpd11466	myrsACP	C25H48N2O8PRS	-2
cpd11467	tmrs2eACP	C25H45N2O8PRS	-2
cpd11468	ddcaACP	C23H44N2O8PRS	-2
cpd11469	2tddACP	C23H41N2O8PRS	-2
cpd11470	octACP	C19H36N2O8PRS	-2
cpd11471	2toceACP	C19H34N2O8PRS	-2
cpd11472	hexACP	C17H31N2O8PRS	-2
cpd11473	2theACP	C17H29N2O8PRS	-1
cpd11474	decACP	C21H40N2O8PRS	-2
cpd11475	2tdeACP	C21H37N2O8PRS	-2
cpd11476	hedacp	C27H51N2O8PRS	-2
cpd11477	tpalm2eACP	C27H49N2O8PRS	-2
cpd11478	3hbACP	C15H27N2O9PRS	-1
cpd11479	3hhACP	C17H31N2O9PRS	-2
cpd11480	3hddACP	C23H43N2O9PRS	-2
cpd11481	3hpaACP	C27H49N2O9PRS	-2
cpd11482	3hdeACP	C21H40N2O9PRS	-2
cpd11483	3hocACP	C19H36N2O9PRS	-2
cpd11484	3htdACP	C25H47N2O9PRS	-1
cpd11485	3oxhdACP	C27H50N2O9PRS	-2
cpd11486	3oxhACP	C17H30N2O9PRS	-2
cpd11487	3oxdeACP	C21H38N2O9PRS	-2
cpd11488	actACP	C15H26N2O9PRS	-2
cpd11489	3oxddACP	C23H42N2O9PRS	-2
cpd11490	3oxocACP	C19H34N2O9PRS	-2
cpd11491	3oxtdACP	C25H46N2O9PRS	-2
cpd11492	malACP	C14H24N2O10PRS	-2
cpd11493	ACP	C11H22N2O7PRS	-2
cpd11494	acACP	C13H24N2O8PRS	-2
cpd11496	4-methyl-3-oxo-hexanoyl-ACP	C18H31N2O9PRS	-1
cpd11497	4-methyl-3-hydroxy-hexanoyl-ACP	C18H33N2O9PRS	-1
cpd11498	4-methyl-trans-hex-2-enoyl-ACP	C18H31N2O8PRS	-1
cpd11499	4-methyl-hexanoyl-ACP	C18H33N2O8PRS	-1
cpd11500	6-methyl-3-oxo-octanoyl-ACP	C20H35N2O9PRS	-1
cpd11501	6-methyl-3-hydroxy-octanoyl-ACP	C20H37N2O9PRS	-1
cpd11502	6-methyl-trans-oct-2-enoyl-ACP	C20H35N2O8PRS	-1
cpd11503	6-methyl-octanoyl-ACP	C20H37N2O8PRS	-1
cpd11504	8-methyl-3-oxo-decanoyl-ACP	C22H39N2O9PRS	-1
cpd11505	8-methyl-3-hydroxy-decanoyl-ACP	C22H41N2O9PRS	-1
cpd11506	8-methyl-trans-dec-2-enoyl-ACP	C22H39N2O8PRS	-1
cpd11507	8-methyl-decanoyl-ACP	C22H41N2O8PRS	-1
cpd11508	10-methyl-3-oxo-dodecanoyl-ACP	C24H43N2O9PRS	-1
cpd11509	10-methyl-3-hydroxy-dodecanoyl-ACP	C24H45N2O9PRS	-1
cpd11510	10-methyl-trans-dodec-2-enoyl-ACP	C24H43N2O8PRS	-1
cpd11511	10-methyl-dodecanoyl-ACP	C24H45N2O8PRS	-1
cpd11512	12-methyl-3-oxo-tetra-decanoyl-ACP	C26H47N2O9PRS	-1
cpd11513	12-methyl-3-hydroxy-tetra-decanoyl-ACP	C26H49N2O9PRS	-1
cpd11514	12-methyl-trans-tetra-dec-2-enoyl-ACP	C26H47N2O8PRS	-1
cpd11515	12-methyl-tetra-decanoyl-ACP	C26H49N2O8PRS	-2
cpd11516	14-methyl-3-oxo-hexa-decanoyl-ACP	C28H51N2O9PRS	-1
cpd11517	14-methyl-3-hydroxy-hexa-decanoyl-ACP	C28H53N2O9PRS	-1
cpd11518	14-methyl-trans-hexa-dec-2-enoyl-ACP	C28H51N2O8PRS	-1
cpd11519	14-methyl-hexa-decanoyl-ACP	C28H53N2O8PRS	-2
cpd11521	5-methyl-3-oxo-hexanoyl-ACP	C18H31N2O9PRS	-1
cpd11522	5-methyl-3-hydroxy-hexanoyl-ACP	C18H33N2O9PRS	-1
cpd11523	5-methyl-trans-hex-2-enoyl-ACP	C18H31N2O8PRS	-1
cpd11524	5-methyl-hexanoyl-ACP	C18H33N2O8PRS	-1
cpd11525	7-methyl-3-oxo-octanoyl-ACP	C20H35N2O9PRS	-1
cpd11526	7-methyl-3-hydroxy-octanoyl-ACP	C20H37N2O9PRS	-1
cpd11527	7-methyl-trans-oct-2-enoyl-ACP	C20H35N2O8PRS	-1
cpd11528	7-methyl-octanoyl-ACP	C20H37N2O8PRS	-1
cpd11529	9-methyl-3-oxo-decanoyl-ACP	C22H39N2O9PRS	-1
cpd11530	9-methyl-3-hydroxy-decanoyl-ACP	C22H41N2O9PRS	-1
cpd11531	9-methyl-trans-dec-2-enoyl-ACP	C22H39N2O8PRS	-1
cpd11532	9-methyl-decanoyl-ACP	C22H41N2O8PRS	-1
cpd11533	11-methyl-3-oxo-dodecanoyl-ACP	C24H43N2O9PRS	-1
cpd11534	11-methyl-3-hydroxy-dodecanoyl-ACP	C24H45N2O9PRS	-1
cpd11535	11-methyl-trans-dodec-2-enoyl-ACP	C24H43N2O8PRS	-1
cpd11536	11-methyl-dodecanoyl-ACP	C24H45N2O8PRS	-1
cpd11537	13-methyl-3-oxo-tetra-decanoyl-ACP	C26H47N2O9PRS	-1
cpd11538	13-methyl-3-hydroxy-tetra-decanoyl-ACP	C26H49N2O9PRS	-1
cpd11539	13-methyl-trans-tetra-dec-2-enoyl-ACP	C26H47N2O8PRS	-1
cpd11540	13-methyl-tetra-decanoyl-ACP	C26H49N2O8PRS	-2
cpd11541	15-methyl-3-oxo-hexa-decanoyl-ACP	C28H51N2O9PRS	-1
cpd11542	15-methyl-3-hydroxy-hexa-decanoyl-ACP	C28H53N2O9PRS	-1
cpd11543	15-methyl-trans-hexa-dec-2-enoyl-ACP	C28H51N2O8PRS	-1
cpd11544	15-methyl-hexa-decanoyl-ACP	C28H53N2O8PRS	-2
cpd11546	4-methyl-3-oxo-pentanoyl-ACP	C17H29N2O9PRS	-1
cpd11547	4-methyl-3-hydroxy-pentanoyl-ACP	C17H31N2O9PRS	-1
cpd11548	4-methyl-trans-pent-2-enoyl-ACP	C17H29N2O8PRS	-1
cpd11549	4-methyl-pentanoyl-ACP	C17H31N2O8PRS	-1
cpd11550	6-methyl-3-oxo-heptanoyl-ACP	C19H33N2O9PRS	-1
cpd11551	6-methyl-3-hydroxy-heptanoyl-ACP	C19H35N2O9PRS	-1
cpd11552	6-methyl-trans-hept-2-enoyl-ACP	C19H33N2O8PRS	-1
cpd11553	6-methyl-heptanoyl-ACP	C19H35N2O8PRS	-1
cpd11554	8-methyl-3-oxo-nonanoyl-ACP	C21H37N2O9PRS	-1
cpd11555	8-methyl-3-hydroxy-nonanoyl-ACP	C21H39N2O9PRS	-1
cpd11556	8-methyl-trans-non-2-enoyl-ACP	C21H37N2O8PRS	-1
cpd11557	8-methyl-nonanoyl-ACP	C21H39N2O8PRS	-1
cpd11558	10-methyl-3-oxo-undecanoyl-ACP	C23H41N2O9PRS	-1
cpd11559	10-methyl-3-hydroxy-undecanoyl-ACP	C23H43N2O9PRS	-1
cpd11560	10-methyl-trans-undec-2-enoyl-ACP	C23H41N2O8PRS	-1
cpd11561	10-methyl-undecanoyl-ACP	C23H43N2O8PRS	-1
cpd11562	12-methyl-3-oxo-tridecanoyl-ACP	C25H45N2O9PRS	-1
cpd11563	12-methyl-3-hydroxy-tridecanoyl-ACP	C25H47N2O9PRS	-1
cpd11564	12-methyl-trans-tridec-2-enoyl-ACP	C25H45N2O8PRS	-1
cpd11565	12-methyl-tridecanoyl-ACP	C25H47N2O8PRS	-2
cpd11566	14-methyl-3-oxo-pentadecanoyl-ACP	C27H49N2O9PRS	-1
cpd11567	14-methyl-3-hydroxy-pentadecanoyl-ACP	C27H51N2O9PRS	-1
cpd11568	14-methyl-trans-pentadec-2-enoyl-ACP	C27H49N2O8PRS	-1
cpd11569	14-methyl-pentadecanoyl-ACP	C27H51N2O8PRS	-2
cpd11570	3-Oxooctodecanoyl-ACP	C29H53N2O9PRS	-1
cpd11571	3-Hydroxyoctodecanoyl-ACP	C29H55N2O9PRS	-1
cpd11572	trans-Octodec-2-enoyl-ACP	C29H53N2O8PRS	-1
cpd11573	Octodecanoyl-ACP	C29H55N2O8PRS	-2
cpd11628	acyl-ACP	C3H4OR2S	0
cpd11726	3oxoACP_delete	C3H2O2R2S	0
cpd11728	trans-2,3-Dehydroacyl-[acyl-carrier protein]	C3H2OR2S	0
cpd11825	octeACP	C29H53N2O8PRS	-1
cpd11828	Enoyl-[acyl-carrier protein]	C3H2O2R2	0
cpd11836	3R3haACP	C15H27N2O9PRS	-1
cpd12370	apoACP	HOR	0
cpd12489	cis-3-Decenoyl-[acyl-carrier protein]	C21H37N2O8PRS	-2
cpd12529	2-Hexadecenoyl-[acyl-carrier protein]	null	0
cpd13411	3,5,7,9,11,13,15-Heptaoxo-hexadecanoyl-[acp]	C16H17O8RS	0
cpd13412	3,5,7,9,11,13,15-Heptaoxo-heptadecanoyl-[acp]	C17H19O8RS	0
cpd13413	3,5,7,9,11,13,15-Heptaoxo-octadecanoyl-[acp]	C18H21O8RS	0
cpd13414	3,5,7,9,11,13,15,17-Octaoxo-octadecanoyl-[acp]	C18H19O9RS	0
