ID	NAMES	EQUATION
0001	L-glutamate:NAD+ oxidoreductase (transaminating)	gln-L[0] akg[0] nadh[0] h[0] <=> (2) glu-L[0] nad[0]
0002	L-Glutamate:NADP+ oxidoreductase (transaminating)	gln-L[0] akg[0] nadph[0] h[0] <=> (2) glu-L[0] nadp[0]
0003	L-Glutamate:NAD+ oxidoreductase (deaminating)	glu-L[0] nad[0] h2o[0] <=> akg[0] nh4[0] nadh[0] h[0]
0004	L-Glutamate:NADP+ oxidoreductase (deaminating)	akg[0] nh4[0] nadph[0] h[0] => glu-L[0] nadp[0] h2o[0]
0005	L-Glutamate:ammonia ligase (ADP-forming)	atp[0] glu-L[0] nh4[0] <=> adp[0] pi[0] gln-L[0] h[0]
0006	L-Alanine:2-oxoglutarate aminotransferase	ala-L[0] akg[0] => pyr[0] glu-L[0]
0007	L-Aspartate:2-oxoglutarate aminotransferase	asp-L[0] akg[0] => oaa[0] glu-L[0]
0008	L-Alanine:glyoxylate aminotransferase	ala-L[0] glx[0] <=> pyr[0] gly[0]
0009	L-aspartate:L-glutamine amido-ligase (AMP-forming)	atp[0] asp-L[0] gln-L[0] h2o[0] <=> amp[0] ppi[0] asn-L[0] glu-L[0] h[0]
0010	(S)-1-pyrroline-5-carboxylate:NAD+ oxidoreductase	1pyr5c[0] nad[0] (2) h2o[0] <=> glu-L[0] nadh[0] h[0]
0011	(S)-1-pyrroline-5-carboxylate:NADP+ oxidoreductase	1pyr5c[0] nadp[0] (2) h2o[0] <=> glu-L[0] nadph[0] h[0]
0026	UTP:N-acetyl-alpha-D-glucosamine-1-phosphate uridylyltransferase	utp[0] acgam1p[0] h[0] <=> ppi[0] uacgam[0]
0027	D-glucosamine-6-phosphate aminohydrolase (ketol isomerizing); D-glucosamine-6-phosphate ketol-isomerase(deaminating)	gam6p[0] h2o[0] <=> f6p[0] nh4[0]
0028	L-glutamine:D-fructose-6-phosphate isomerase (deaminating); L-glutamine:D-fructose-6-phosphate aminotransferase (hexose isomerizing)	gln-L[0] f6p[0] <=> glu-L[0] gam6p[0]
0029	acetyl-CoA:D-glucosamine-6-phosphate N-acetyltransferase	accoa[0] gam6p[0] <=> coa[0] acgam6p[0] h[0]
0030	N-Acetyl-D-glucosamine-6-phosphate amidohydrolase	acgam6p[0] h2o[0] <=> gam6p[0] ac[0]
0031	UDP-N-acetyl-D-glucosamine:chitin 4-beta-N-acetylglucosaminyl-transferase	uacgam[0] <=> udp[0] Chitin[0] h[0]
0032	N-Acetyl-D-glucosamine 1-phosphate 1,6-phosphomutase	acgam6p[0] => acgam1p[0]
0033	ATP:D-glucosamine 6-phosphotransferase	atp[0] gam[0] => adp[0] gam6p[0] h[0]
0034	[1,4-(N-Acetyl-beta-D-glucosaminyl)]n glycanohydrolase	Chitin[0] h2o[0] <=> acgam[0]
0041	urea-1-carboxylate amidohydrolase	(3) h[0] allphn[0] h2o[0] <=> (2) co2[0] (2) nh4[0]
0042	ATP:L-glutamate 5-phosphotransferase	atp[0] glu-L[0] <=> adp[0] glu5p[0]
0043	L-Glutamate 5-semialdehyde:NAD+ oxidoreductase	glu5sa[0] nad[0] h2o[0] <=> glu-L[0] nadh[0] (2) h[0]
0044	acetyl-CoA:L-glutamate N-acetyltransferase	accoa[0] glu-L[0] <=> coa[0] acglu[0] h[0]
0045	L-Arginine amidinohydrolase	arg-L[0] h2o[0] <=> orn[0] urea[0]
0046	L-Ornithine:2-oxo-acid aminotransferase	orn[0] akg[0] <=> glu5sa[0] glu-L[0]
0047	L-ornithine carboxy-lyase (putrescine-forming)	orn[0] h[0] <=> ptrc[0] co2[0]
0048	Urea:carbon-dioxide ligase (ADP-forming)	atp[0] urea[0] hco3[0] => adp[0] pi[0] allphn[0] h[0]
0049	2-(Nomega-L-arginino)succinate arginine-lyase (fumarate-forming)	argsuc[0] => fum[0] arg-L[0]
0050	Agmatine amidinohydrolase	agm[0] h2o[0] <=> ptrc[0] urea[0]
0051	L-Proline:NAD+ 5-oxidoreductase	pro-L[0] nad[0] <=> 1pyr5c[0] nadh[0] (2) h[0]
0052	L-Proline:NADP+ 5-oxidoreductase	1pyr5c[0] nadph[0] (2) h[0] <=> pro-L[0] nadp[0]
0053	Carbamoyl-phosphate:L-ornithine carbamoyltransferase	cbp[0] orn[0] <=> pi[0] citr-L[0] h[0]
0054	N2-Acetyl-L-ornithine:L-glutamate N-acetyltransferase	acorn[0] glu-L[0] => orn[0] acglu[0]
0055	N2-Acetyl-L-ornithine:2-oxoglutarate aminotransferase	acg5sa[0] glu-L[0] <=> acorn[0] akg[0]
0056	4-aminobutanal:NAD+ 1-oxidoreductase; 4-aminobutyraldehyde:NAD+ oxidoreductase	4abutn[0] nad[0] h2o[0] <=> 4abut[0] nadh[0] (2) h[0]
0057	ATP:N-acetyl-L-glutamate 5-phosphotransferase	atp[0] acglu[0] <=> adp[0] acg5p[0]
0058	S-adenosylmethioninamine:spermidine 3-aminopropyltransferase	ametam[0] spmd[0] => 5mta[0] sprm[0] h[0]
0064	L-glutamate-5-semialdehyde:NADP+ 5-oxidoreductase (phosphorylating)	glu5p[0] nadph[0] h[0] <=> glu5sa[0] pi[0] nadp[0]
0065	N-Acetyl-L-glutamate-5-semialdehyde:NADP+ 5-oxidoreductase (phosphrylating)	acg5p[0] nadph[0] h[0] <=> acg5sa[0] pi[0] nadp[0]
0071	(S)-1-pyrroline-5-carboxylate:NAD+ oxidoreductase	1pyr5c[0] nad[0] (2) h2o[0] <=> glu-L[0] nadh[0] h[0]
0072	NO NAME	glu5sa[0] => 1pyr5c[0] h2o[0] h[0]
0075	L-aspartate 1-carboxy-lyase (beta-alanine-forming)	asp-L[0] h[0] <=> ala-B[0] co2[0]
0076	3-aminopropanal:NAD+ oxidoreductase	aproa[0] nad[0] h2o[0] <=> ala-B[0] nadh[0] (2) h[0]
