ID	Name	Reversible	Reactants	Products	E.C.	Pathway
R0001	L-glutamate:NAD+ oxidoreductase (transaminating)	False	M_gln-L_c[1];M_akg_c[1];M_nadh_c[1];M_h_c[1];	M_glu-L_c[ 2 ];M_nad_c[1];			
R0002	L-Glutamate:NADP+ oxidoreductase (transaminating)	False	M_gln-L_c[1];M_akg_c[1];M_nadph_c[1];M_h_c[1];	M_glu-L_c[ 2 ];M_nadp_c[1];			
R0003	L-Glutamate:NAD+ oxidoreductase (deaminating)	False	M_glu-L_c[1];M_nad_c[1];M_h2o_c[1];	M_akg_c[1];M_nh4_c[1];M_nadh_c[1];M_h_c[1];			
R0004	L-Glutamate:NADP+ oxidoreductase (deaminating)	UNDEF	M_akg_c[1];M_nh4_c[1];M_nadph_c[1];M_h_c[1];	M_glu-L_c[1];M_nadp_c[1];M_h2o_c[1];			
R0005	L-Glutamate:ammonia ligase (ADP-forming)	False	M_atp_c[1];M_glu-L_c[1];M_nh4_c[1];	M_adp_c[1];M_pi_c[1];M_gln-L_c[1];M_h_c[1];			
R0006	L-Alanine:2-oxoglutarate aminotransferase	UNDEF	M_ala-L_c[1];M_akg_c[1];	M_pyr_c[1];M_glu-L_c[1];			
R0007	L-Aspartate:2-oxoglutarate aminotransferase	UNDEF	M_asp-L_c[1];M_akg_c[1];	M_oaa_c[1];M_glu-L_c[1];			
R0008	L-Alanine:glyoxylate aminotransferase	False	M_ala-L_c[1];M_glx_c[1];	M_pyr_c[1];M_gly_c[1];			
R0009	L-aspartate:L-glutamine amido-ligase (AMP-forming)	False	M_atp_c[1];M_asp-L_c[1];M_gln-L_c[1];M_h2o_c[1];	M_amp_c[1];M_ppi_c[1];M_asn-L_c[1];M_glu-L_c[1];M_h_c[1];			
R0010	(S)-1-pyrroline-5-carboxylate:NAD+ oxidoreductase	False	M_1pyr5c_c[1];M_nad_c[1];M_h2o_c[ 2 ];	M_glu-L_c[1];M_nadh_c[1];M_h_c[1];			
R0011	(S)-1-pyrroline-5-carboxylate:NADP+ oxidoreductase	False	M_1pyr5c_c[1];M_nadp_c[1];M_h2o_c[ 2 ];	M_glu-L_c[1];M_nadph_c[1];M_h_c[1];			
R0026	UTP:N-acetyl-alpha-D-glucosamine-1-phosphate uridylyltransferase	False	M_utp_c[1];M_acgam1p_c[1];M_h_c[1];	M_ppi_c[1];M_uacgam_c[1];			
R0027	D-glucosamine-6-phosphate aminohydrolase (ketol isomerizing); D-glucosamine-6-phosphate ketol-isomerase(deaminating)	False	M_gam6p_c[1];M_h2o_c[1];	M_f6p_c[1];M_nh4_c[1];			
R0028	L-glutamine:D-fructose-6-phosphate isomerase (deaminating); L-glutamine:D-fructose-6-phosphate aminotransferase (hexose isomerizing)	False	M_gln-L_c[1];M_f6p_c[1];	M_glu-L_c[1];M_gam6p_c[1];			
R0029	acetyl-CoA:D-glucosamine-6-phosphate N-acetyltransferase	False	M_accoa_c[1];M_gam6p_c[1];	M_coa_c[1];M_acgam6p_c[1];M_h_c[1];			
R0030	N-Acetyl-D-glucosamine-6-phosphate amidohydrolase	False	M_acgam6p_c[1];M_h2o_c[1];	M_gam6p_c[1];M_ac_c[1];			
R0031	UDP-N-acetyl-D-glucosamine:chitin 4-beta-N-acetylglucosaminyl-transferase	False	M_uacgam_c[1];	M_udp_c[1];M_Chitin_c[1];M_h_c[1];			
R0032	N-Acetyl-D-glucosamine 1-phosphate 1,6-phosphomutase	UNDEF	M_acgam6p_c[1];	M_acgam1p_c[1];			
R0033	ATP:D-glucosamine 6-phosphotransferase	UNDEF	M_atp_c[1];M_gam_c[1];	M_adp_c[1];M_gam6p_c[1];M_h_c[1];			
R0034	[1,4-(N-Acetyl-beta-D-glucosaminyl)]n glycanohydrolase	False	M_Chitin_c[1];M_h2o_c[1];	M_acgam_c[1];			
R0041	urea-1-carboxylate amidohydrolase	False	M_h_c[ 3 ];M_allphn_c[1];M_h2o_c[1];	M_co2_c[ 2 ];M_nh4_c[ 2 ];			
R0042	ATP:L-glutamate 5-phosphotransferase	False	M_atp_c[1];M_glu-L_c[1];	M_adp_c[1];M_glu5p_c[1];			
R0043	L-Glutamate 5-semialdehyde:NAD+ oxidoreductase	False	M_glu5sa_m[1];M_nad_m[1];M_h2o_m[1];	M_glu-L_m[1];M_nadh_m[1];M_h_m[ 2 ];			
R0044	acetyl-CoA:L-glutamate N-acetyltransferase	False	M_accoa_m[1];M_glu-L_m[1];	M_coa_m[1];M_acglu_m[1];M_h_m[1];			
R0045	L-Arginine amidinohydrolase	False	M_arg-L_c[1];M_h2o_c[1];	M_orn_c[1];M_urea_c[1];			
R0046	L-Ornithine:2-oxo-acid aminotransferase	False	M_orn_c[1];M_akg_c[1];	M_glu5sa_c[1];M_glu-L_c[1];			
R0047	L-ornithine carboxy-lyase (putrescine-forming)	False	M_orn_c[1];M_h_c[1];	M_ptrc_c[1];M_co2_c[1];			
R0048	Urea:carbon-dioxide ligase (ADP-forming)	UNDEF	M_atp_c[1];M_urea_c[1];M_hco3_c[1];	M_adp_c[1];M_pi_c[1];M_allphn_c[1];M_h_c[1];			
R0049	2-(Nomega-L-arginino)succinate arginine-lyase (fumarate-forming)	UNDEF	M_argsuc_c[1];	M_fum_c[1];M_arg-L_c[1];			
R0050	Agmatine amidinohydrolase	False	M_agm_c[1];M_h2o_c[1];	M_ptrc_c[1];M_urea_c[1];			
R0051	L-Proline:NAD+ 5-oxidoreductase	False	M_pro-L_c[1];M_nad_c[1];	M_1pyr5c_c[1];M_nadh_c[1];M_h_c[ 2 ];			
R0052	L-Proline:NADP+ 5-oxidoreductase	False	M_1pyr5c_c[1];M_nadph_c[1];M_h_c[ 2 ];	M_pro-L_c[1];M_nadp_c[1];			
R0053	Carbamoyl-phosphate:L-ornithine carbamoyltransferase	False	M_cbp_m[1];M_orn_m[1];	M_pi_m[1];M_citr-L_m[1];M_h_m[1];			
R0054	N2-Acetyl-L-ornithine:L-glutamate N-acetyltransferase	UNDEF	M_acorn_m[1];M_glu-L_m[1];	M_orn_m[1];M_acglu_m[1];			
R0055	N2-Acetyl-L-ornithine:2-oxoglutarate aminotransferase	False	M_acg5sa_m[1];M_glu-L_m[1];	M_acorn_m[1];M_akg_m[1];			
R0056	4-aminobutanal:NAD+ 1-oxidoreductase; 4-aminobutyraldehyde:NAD+ oxidoreductase	False	M_4abutn_c[1];M_nad_c[1];M_h2o_c[1];	M_4abut_c[1];M_nadh_c[1];M_h_c[ 2 ];			
R0057	ATP:N-acetyl-L-glutamate 5-phosphotransferase	False	M_atp_m[1];M_acglu_m[1];	M_adp_m[1];M_acg5p_m[1];			
R0058	S-adenosylmethioninamine:spermidine 3-aminopropyltransferase	UNDEF	M_ametam_c[1];M_spmd_c[1];	M_5mta_c[1];M_sprm_c[1];M_h_c[1];			
R0064	L-glutamate-5-semialdehyde:NADP+ 5-oxidoreductase (phosphorylating)	False	M_glu5p_c[1];M_nadph_c[1];M_h_c[1];	M_glu5sa_c[1];M_pi_c[1];M_nadp_c[1];			
R0065	N-Acetyl-L-glutamate-5-semialdehyde:NADP+ 5-oxidoreductase (phosphrylating)	False	M_acg5p_m[1];M_nadph_m[1];M_h_m[1];	M_acg5sa_m[1];M_pi_m[1];M_nadp_m[1];			
R0071	(S)-1-pyrroline-5-carboxylate:NAD+ oxidoreductase	False	M_1pyr5c_c[1];M_nad_c[1];M_h2o_c[ 2 ];	M_glu-L_c[1];M_nadh_c[1];M_h_c[1];			
R0072	NO NAME	UNDEF	M_glu5sa_c[1];	M_1pyr5c_c[1];M_h2o_c[1];M_h_c[1];			
R0075	L-aspartate 1-carboxy-lyase (beta-alanine-forming)	False	M_asp-L_c[1];M_h_c[1];	M_ala-B_c[1];M_co2_c[1];			
R0076	3-aminopropanal:NAD+ oxidoreductase	False	M_aproa_c[1];M_nad_c[1];M_h2o_c[1];	M_ala-B_c[1];M_nadh_c[1];M_h_c[ 2 ];			
R0078	primary-amine oxidase	False	M_13dampp_c[1];M_o2_c[1];M_h2o_c[1];	M_aproa_c[1];M_nh4_c[1];M_h2o2_c[1];			
R0079	ATP:L-methionine S-adenosyltransferase	False	M_atp_c[1];M_met-L_c[1];M_h2o_c[1];	M_pi_c[1];M_ppi_c[1];M_amet_c[1];			
R0080	S-adenosyl-L-methionine carboxy-lyase [(5-deoxy-5-adenosyl)(3-aminopropyl)methylsulfonium-forming]	False	M_amet_c[1];M_h_c[1];	M_ametam_c[1];M_co2_c[1];			
R0081	S-Adenosyl-L-homocysteine hydrolase	False	M_ahcys_c[1];M_h2o_c[1];	M_adn_c[1];M_hcys-L_c[1];			
R0082	S-Adenosyl-L-methionine:L-homocysteine S-methyltransferase	False	M_amet_c[1];M_hcys-L_c[1];	M_ahcys_c[1];M_met-L_c[1];M_h_c[1];			
R0083	L-Cysteine hydrogen-sulfide-lyase (deaminating; pyruvate-forming)	UNDEF	M_cys-L_c[1];M_h2o_c[1];	M_h2s_c[1];M_pyr_c[1];M_nh4_c[1];			
R0084	L-Cysteine:oxygen oxidoreductase	False	M_cys-L_c[1];M_o2_c[1];	M_3sala_c[1];M_h_c[ 2 ];			
R0085	L-Cysteine:2-oxoglutarate aminotransferase	UNDEF	M_cys-L_c[1];M_akg_c[1];	M_mercppyr_c[1];M_glu-L_c[1];			
R0086	O3-acetyl-L-serine:hydrogen-sulfide 2-amino-2-carboxyethyltransferase; O3-acetyl-L-serine acetate-lyase (adding hydrogen sulfide)	False	M_acser_c[1];M_h2s_c[1];	M_cys-L_c[1];M_ac_c[1];M_h_c[1];			
R0087	O-Succinyl-L-homoserine succinate-lyase (deaminating; 2-oxobutanoate-forming)	UNDEF	M_suchms_c[1];M_h2o_c[1];	M_2obut_c[1];M_succ_c[1];M_nh4_c[1];M_h_c[1];			
R0088	L-cystathionine L-homocysteine-lyase (deaminating; pyruvate-forming)	False	M_cyst-L_c[1];M_h2o_c[1];	M_hcys-L_c[1];M_nh4_c[1];M_pyr_c[1];			
R0089	O-acetyl-L-homoserine:hydrogen sulfide S-(3-amino-3-carboxypropyl)transferase; O-acetyl-L-homoserine acetate-lyase (adding hydrogen sulfide)	False	M_achms_c[1];M_h2s_c[1];	M_hcys-L_c[1];M_ac_c[1];M_h_c[1];			
R0090	O4-succinyl-L-homoserine:hydrogen sulfide S-(3-amino-3-carboxypropyl)transferase; O-succinyl-L-homoserine succinate-lyase (adding hydrogen sulfide)	False	M_suchms_c[1];M_h2s_c[1];	M_hcys-L_c[1];M_succ_c[1];M_h_c[1];			
R0091	S-methyl-5'-thioadenosine:phosphate S-methyl-5-thio-alpha-D-ribosyl-transferase	False	M_5mta_c[1];M_pi_c[1];	M_ade_c[1];M_5mdr1p_c[1];			
R0092	Acetyl-CoA:L-homoserine O-acetyltransferase	False	M_accoa_c[1];M_hom-L_c[1];	M_coa_c[1];M_achms_c[1];			
R0093	S-adenosylmethioninamine:putrescine 3-aminopropyltransferase	False	M_ametam_c[1];M_ptrc_c[1];	M_5mta_c[1];M_spmd_c[1];M_h_c[1];			
