ID	Name	Reversible	Reactants	Products	E.C.	Pathway
r_0001	(R)-lactate:ferricytochrome-c 2-oxidoreductase	UNDEF	s_0028[1];s_0679[2];	s_0680[2];s_1277[1];			
r_0002	(R)-lactate:ferricytochrome-c 2-oxidoreductase	UNDEF	s_0030[1];s_0679[2];	s_0680[2];s_1279[1];			
r_0003	(R,R)-butanediol dehydrogenase	UNDEF	s_0038[1];s_1082[1];	s_0023[1];s_0764_b[1];s_1087[1];			
r_0004	(S)-lactate:ferricytochrome-c 2-oxidoreductase	UNDEF	s_0066[1];s_0679[2];	s_0680[2];s_1277[1];			
r_0005	1,3-beta-glucan synthase	UNDEF	s_1415[1];	s_0001[1];s_0764_b[1];s_1411[1];			
r_0006	1,4-alpha-glucan branching enzyme	UNDEF	s_0438[1];	s_0743[1];s_1434_b[1];			
r_0007	1,6-beta-glucan synthase	UNDEF	s_1415[1];	s_0004[1];s_0764_b[1];s_1411[1];			
r_0008	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase	UNDEF	s_0079[1];	s_0315[1];			
r_0010	1-phosphatidylinositol-3-phosphate 5-kinase	UNDEF	s_0106[1];s_0452[1];s_0772_b[1];	s_0101[1];s_0406[1];			
r_0011	1-phosphatidylinositol-3-phosphate 5-kinase	UNDEF	s_0102[1];s_0446[1];	s_0097[1];s_0400[1];			
r_0012	1-pyrroline-5-carboxylate dehydrogenase	UNDEF	s_0121[1];s_1084[1];s_1439_b[2];	s_0769_b[1];s_0901[1];s_1089[1];			
r_0013	2,3-diketo-5-methylthio-1-phosphopentane degradation reaction	UNDEF	s_0314[1];s_1434_b[3];	s_0300[1];s_0689[1];s_0764_b[6];s_1207[1];			
r_0014	2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate deaminase	UNDEF	s_0146[1];s_0764_b[1];s_1434_b[1];	s_0319[1];s_0430[1];			
r_0015	2,5-diamino-6-ribosylamino-4(3H)-pyrimidinone 5'-phosphate reductase (NADPH)	UNDEF	s_0145[1];s_0764_b[1];s_1096[1];	s_0146[1];s_1091[1];			
r_0016	2-aceto-2-hydroxybutanoate synthase	UNDEF	s_0184[1];s_0769_b[1];s_1279[1];	s_0042[1];s_0474[1];			
r_0017	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase	UNDEF	s_0152[1];s_0449[1];	s_0005[1];s_0435[1];s_0769_b[1];			
r_0018	2-aminoadipate transaminase	UNDEF	s_0181[1];s_0899[1];	s_0185[1];s_0861[1];			
r_0019	2-dehydropantoate 2-reductase	UNDEF	s_0153[1];s_0764_b[1];s_1096[1];	s_0032[1];s_1091[1];			
r_0020	2-dehydropantoate 2-reductase	UNDEF	s_0154[1];s_0769_b[1];s_1098[1];	s_0033[1];s_1094[1];			
r_0021	2-deoxy-D-arabino-heptulosonate 7-phosphate synthetase	UNDEF	s_0534[1];s_1244[1];s_1439_b[1];	s_0357[1];s_1211[1];			
r_0022	2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase	UNDEF	s_0160[1];s_1296[1];	s_0161[1];s_0769_b[1];s_1292[1];			
r_0023	2-hexaprenyl-6-methoxyphenol monooxygenase	UNDEF	s_0162[1];s_1163[1];	s_0160[1];s_1439_b[1];			
r_0024	2-hydroxybutyrate:NAD+ oxidoreductase	UNDEF	s_0164[1];s_1082[1];	s_0183[1];s_0764_b[1];s_1087[1];			
