ID	NAMES	EQUATION	TRANSPORT	ADJUSTED	MATCH	COMPLETE	MODELSEED	MS DEFINITION
r_0001	(R)-lactate:ferricytochrome-c 2-oxidoreductase	0028(cpd00221)[0] (2) 0679(cpd00109)[1] => (2) 0680(cpd00110)[1] 1277(cpd00020)[0]	Y	N	N	Y	frxn00001	
r_0002	(R)-lactate:ferricytochrome-c 2-oxidoreductase	0030(cpd00221)[0] (2) 0679(cpd00109)[0] => (2) 0680(cpd00110)[0] 1279(cpd00020)[0]	N	N	Y	Y	rxn00146	(2) Cytochrome c3+[0] + (1) D-Lactate[0] <=> (1) Pyruvate[0] + (2) H+[0] + (2) Cytochrome c2+[0]
r_0003	(R,R)-butanediol dehydrogenase	0038(cpd01947)[0] 1082(cpd00003)[0] => 0023(cpd19008)[0] 0764(cpd00067)[0] 1087(cpd00004)[0]	N	N	Y	Y	rxn39373	(1) NAD[0] + (1) BDOH[0] <=> (1) NADH[0] + (1) H+[0] + (1) (R)-Acetoin[0]
r_0004	(S)-lactate:ferricytochrome-c 2-oxidoreductase	0066(cpd00159)[0] (2) 0679(cpd00109)[1] => (2) 0680(cpd00110)[1] 1277(cpd00020)[0]	Y	N	N	Y	frxn00002	
r_0005	1,3-beta-glucan synthase	1415(cpd00026)[0] => 0001(cpd11791)[1] 0764(cpd00067)[0] 1411(cpd00014)[0]	Y	N	N	Y	frxn00003	
r_0006	1,4-alpha-glucan branching enzyme	0438(cpd11735)[0] => 0743(cpd00155)[0] 1434(cpd00001)[0]	N	N	N	Y	frxn00004	
r_0007	1,6-beta-glucan synthase	1415(cpd00026)[0] => 0004(cpd12121)[1] 0764(cpd00067)[0] 1411(cpd00014)[0]	Y	N	N	Y	frxn00005	
r_0008	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase	0079(cpd02979)[0] => 0315(cpd02991)[0]	N	N	Y	Y	rxn03175	(1) phosphoribosylformiminoaicar-phosphate[0] <= (1) phosphoribulosylformimino-AICAR-phosphate[0]
r_0010	1-phosphatidylinositol-3-phosphate 5-kinase	0106(cpd12572)[0] 0452(cpd00002)[0] 0772(cpd00067)[0] => 0101(cpd13384)[0] 0406(cpd00008)[0]	N	N	Y	Y	rxn06976	(1) ATP[0] + (1) 1-Phosphatidyl-1D-myo-inositol 3-phosphate[0] <=> (1) ADP[0] + (1) H+[0] + (1) 1-Phosphatidyl-1D-myo-inositol 3,5-bisphosphate[0]
r_0011	1-phosphatidylinositol-3-phosphate 5-kinase	0102(cpd12572)[0] 0446(cpd00002)[1] => 0097(cpd13384)[0] 0400(cpd00008)[1]	Y	N	N	Y	frxn00006	
r_0012	1-pyrroline-5-carboxylate dehydrogenase	0121(cpd02431)[0] 1084(cpd00003)[0] (2) 1439(cpd00001)[0] => 0769(cpd00067)[0] 0901(cpd00023)[0] 1089(cpd00004)[0]	N	N	Y	Y	rxn00503	(2) H2O[0] + (1) NAD[0] + (1) 1-Pyrroline-5-carboxylate[0] <=> (1) NADH[0] + (1) L-Glutamate[0] + (1) H+[0]
r_0013	2,3-diketo-5-methylthio-1-phosphopentane degradation reaction	0314(cpd11295)[0] (3) 1434(cpd00001)[0] => 0300(cpd00869)[0] 0689(cpd00047)[0] (6) 0764(cpd00067)[0] 1207(cpd00009)[0]	N	N	Y	Y	rxn10075	(3) H2O[0] + (1) 2,3-diketo5-methylthio-1-phosphopentane[0] => (1) Phosphate[0] + (1) Formate[0] + (6) H+[0] + (1) 4-methylthio 2-oxobutyrate[0]
r_0014	2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate deaminase	0146[0] 0764(cpd00067)[0] 1434(cpd00001)[0] => 0319(cpd02720)[0] 0430(cpd19013)[0]	N	N	N	N	frxn00007	
r_0015	2,5-diamino-6-ribosylamino-4(3H)-pyrimidinone 5'-phosphate reductase (NADPH)	0145(cpd00957)[0] 0764(cpd00067)[0] 1096(cpd00005)[0] => 0146[0] 1091(cpd00006)[0]	N	N	N	N	frxn00008	
r_0016	2-aceto-2-hydroxybutanoate synthase	0184(cpd00094)[0] 0769(cpd00067)[0] 1279(cpd00020)[0] => 0042[0] 0474(cpd00011)[0]	N	N	N	N	frxn00009	
r_0017	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase	0152(cpd16763)[0] 0449(cpd00002)[0] => 0005(cpd16760)[0] 0435(cpd00018)[0] 0769(cpd00067)[0]	N	N	Y	Y	rxn12953	(1) ATP[0] + (1) 2-amino-6-(hydroxymethyl)-7,8-dihydropteridin-4-ol[0] <= (1) AMP[0] + (1) (2-amino-4-hydroxy-7,8-dihydropteridin-6-yl)methyl-trihydrogen-diphosphate[0]
r_0018	2-aminoadipate transaminase	0181(cpd00269)[0] 0899(cpd00023)[0] => 0185(cpd00024)[0] 0861[0]	N	N	N	N	frxn00010	
r_0019	2-dehydropantoate 2-reductase	0153(cpd00712)[0] 0764(cpd00067)[0] 1096(cpd00005)[0] => 0032(cpd00408)[0] 1091(cpd00006)[0]	N	N	Y	Y	rxn01790	(1) NADP[0] + (1) Pantoate[0] <=> (1) NADPH[0] + (1) H+[0] + (1) 2-Dehydropantoate[0]
r_001_xxx	1-acyl-sn-gylcerol-3-phosphate acyltransferase	0084(cpd00517)[0] 0387(cpd11611)[0] => 0516(cpd00010)[0] (4) 0768(cpd00067)[0] 2975(cpd11422)[0]	N	N	Y	Y	rxn06140	(1) CoA[0] + (2) H+[0] + (1) 1,2-diacyl-sn-glycerol 3-phosphate[0] <= (1) 1-Acyl-sn-glycerol 3-phosphate[0] + (1) Acyl-CoA[0]
r_0020	2-dehydropantoate 2-reductase	0154(cpd00712)[0] 0769(cpd00067)[0] 1098(cpd00005)[0] => 0033(cpd00408)[0] 1094(cpd00006)[0]	N	N	Y	Y	rxn01790	(1) NADP[0] + (1) Pantoate[0] <=> (1) NADPH[0] + (1) H+[0] + (1) 2-Dehydropantoate[0]
