ID	NAMES	EQUATION
r_0001	(R)-lactate:ferricytochrome-c 2-oxidoreductase	0028[0] (2) 0679[1] => (2) 0680[1] 1277[0]
r_0002	(R)-lactate:ferricytochrome-c 2-oxidoreductase	0030[0] (2) 0679[0] => (2) 0680[0] 1279[0]
r_0003	(R,R)-butanediol dehydrogenase	0038[0] 1082[0] => 0023[0] 0764[0] 1087[0]
r_0004	(S)-lactate:ferricytochrome-c 2-oxidoreductase	0066[0] (2) 0679[1] => (2) 0680[1] 1277[0]
r_0005	1,3-beta-glucan synthase	1415[0] => 0001[1] 0764[0] 1411[0]
r_0006	1,4-alpha-glucan branching enzyme	0438[0] => 0743[0] 1434[0]
r_0007	1,6-beta-glucan synthase	1415[0] => 0004[1] 0764[0] 1411[0]
r_0008	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase	0079[0] => 0315[0]
r_0010	1-phosphatidylinositol-3-phosphate 5-kinase	0106[0] 0452[0] 0772[0] => 0101[0] 0406[0]
r_0011	1-phosphatidylinositol-3-phosphate 5-kinase	0102[0] 0446[1] => 0097[0] 0400[1]
r_0012	1-pyrroline-5-carboxylate dehydrogenase	0121[0] 1084[0] (2) 1439[0] => 0769[0] 0901[0] 1089[0]
r_0013	2,3-diketo-5-methylthio-1-phosphopentane degradation reaction	0314[0] (3) 1434[0] => 0300[0] 0689[0] (6) 0764[0] 1207[0]
r_0014	2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate deaminase	0146[0] 0764[0] 1434[0] => 0319[0] 0430[0]
r_0015	2,5-diamino-6-ribosylamino-4(3H)-pyrimidinone 5'-phosphate reductase (NADPH)	0145[0] 0764[0] 1096[0] => 0146[0] 1091[0]
r_0016	2-aceto-2-hydroxybutanoate synthase	0184[0] 0769[0] 1279[0] => 0042[0] 0474[0]
r_0017	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase	0152[0] 0449[0] => 0005[0] 0435[0] 0769[0]
r_0018	2-aminoadipate transaminase	0181[0] 0899[0] => 0185[0] 0861[0]
r_0019	2-dehydropantoate 2-reductase	0153[0] 0764[0] 1096[0] => 0032[0] 1091[0]
r_001_xxx	1-acyl-sn-gylcerol-3-phosphate acyltransferase	0084[0] 0387[0] => 0516[0] (4) 0768[0] 2975[0]
r_0020	2-dehydropantoate 2-reductase	0154[0] 0769[0] 1098[0] => 0033[0] 1094[0]
r_0021	2-deoxy-D-arabino-heptulosonate 7-phosphate synthetase	0534[0] 1244[0] 1439[0] => 0357[0] 1211[0]
r_0022	2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase	0160[0] 1296[0] => 0161[0] 0769[0] 1292[0]
r_0023	2-hexaprenyl-6-methoxyphenol monooxygenase	0162[0] 1163[0] => 0160[0] 1439[0]
r_0024	2-hydroxybutyrate:NAD+ oxidoreductase	0164[0] 1082[0] => 0183[0] 0764[0] 1087[0]
r_0025	2-isopropylmalate hydratase	0170[0] 1434[0] => 0167[0]
r_0026	2-isopropylmalate synthase	0238[0] 0380[0] 1434[0] => 0167[0] 0514[0] 0764[0]
r_0027	2-isopropylmalate synthase	0239[0] 0383[0] 1439[0] => 0169[0] 0517[0] 0769[0]
r_0028	2-keto-4-methylthiobutyrate transamination	0300[0] 0899[0] => 0185[0] 0933[0]
r_0029	2-methylcitrate dehydratase	0798[0] => 0468[0] 1439[0]
r_002_xxx	mevalonate kinase (UTP)	0031[0] 1430[0] => 0022[0] 0764[0] 1411[0]
r_0030	2-methylcitrate synthase	1158[0] 1263[0] 1439[0] => 0179[0] 0517[0] 0769[0]
r_0031	2-oxo-4-methyl-3-carboxypentanoate decarboxylation	0010[0] 0764[0] => 0297[0] 0470[0]
r_0032	2-oxo-4-methyl-3-carboxypentanoate decarboxylation	0011[0] 0769[0] => 0298[0] 0474[0]
r_0033	2-oxobutanoate dehydrogenase	0184[0] 0517[0] 1084[0] => 0474[0] 1089[0] 1263[0]
r_0034	3',5'-bisphosphate nucleotidase	0397[0] 1434[0] => 0434[0] 1207[0]
r_0035	3',5'-cyclic-nucleotide phosphodiesterase	0197[0] 1434[0] => 0434[0] 0764[0]
r_0036	3',5'-cyclic-nucleotide phosphodiesterase	0199[0] 1434[0] => 0564[0] 0764[0]
r_0037	3',5'-cyclic-nucleotide phosphodiesterase	0201[0] 1434[0] => 0764[0] 0816[0]
r_0038	3',5'-cyclic-nucleotide phosphodiesterase	0200[0] 1434[0] => 0752[0] 0764[0]
r_0039	3',5'-cyclic-nucleotide phosphodiesterase	0198[0] 1434[0] => 0511[0] 0764[0]
r_003_xxx	AKG transporter, mitochonrial	0185[0] 0509[1] => 0187[1] 0507[0]
r_0040	3,4-dihydroxy-2-butanone-4-phosphate synthase	0557[0] => 0163[0] 0689[0] 0764[0]
r_0041	3-(4-hydroxyphenyl-)lactate formation	0210[0] 0769[0] 1089[0] => 0208[0] 1084[0]
r_0042	3-dehydroquinate dehydratase	0216[0] => 0217[0] 1434[0]
r_0043	3-dehydroquinate synthase	0356[0] => 0216[0] 1207[0]
r_0045	3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase	0533[0] 1243[0] 1434[0] => 0356[0] 1207[0]
r_0046	3-hexaprenyl-4,5-dihydroxybenzoate hydroxylase	0222[0] (0.5) 1160[0] => 0219[0]
r_0047	3-hexaprenyl-4-hydroxy-5-methoxybenzoate decarboxylase	0221[0] 0769[0] => 0162[0] 0474[0]
r_0048	3-hydroxy-L-kynurenine hydrolase	0229[0] 1434[0] => 0231[0] 0863[0]
r_0049	3-hydroxyacyl-CoA dehydratase (3-hydroxydecanoyl-CoA)	0045[0] => 1385[0] 1441[0]
r_004_xxx	5-formyltetrahydrofolic acid transport	5470088922863450173868994652061105506176428423222024789781643264[0] => 0326[1]
r_0050	3-hydroxyacyl-CoA dehydratase (3-hydroxydodecanoyl-CoA)	0051[0] => 1388[0] 1441[0]
r_0051	3-hydroxyacyl-CoA dehydratase (3-hydroxyhexacosyl-CoA)	1391[0] 1441[0] => 0048[0]
r_0052	3-hydroxyacyl-CoA dehydratase (3-hydroxyhexadecanoyl-CoA)	0054[0] => 0785[0] 1441[0]
r_0053	3-hydroxyacyl-CoA dehydratase (3-hydroxyoctadecanoyl-CoA)	0236[0] => 1394[0] 1441[0]
r_0054	3-hydroxyacyl-CoA dehydratase (3-hydroxytetradecanoyl-CoA)	0057[0] => 1397[0] 1441[0]
r_0055	3-hydroxyacyl-CoA dehydrogenase (3-oxodecanoyl-CoA)	0245[0] 0771[0] 1090[0] => 0045[0] 1086[0]
r_0056	3-hydroxyacyl-CoA dehydrogenase (3-oxodecanoyl-CoA)	0253[0] 0771[0] 1090[0] => 0051[0] 1086[0]
r_0057	3-hydroxyacyl-CoA dehydrogenase (3-oxohexacosyl-CoA)	0048[0] 1086[0] => 0249[0] 0771[0] 1090[0]
r_0058	3-hydroxyacyl-CoA dehydrogenase (3-oxohexadecanoyl-CoA)	0259[0] 0771[0] 1090[0] => 0054[0] 1086[0]
