rn:R00001	polyphosphate polyphosphohydrolase; Polyphosphate + n H2O <=> (n+1) Oligophosphate
rn:R00002	Reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing); 16 ATP + 16 H2O + 8 Reduced ferredoxin <=> 8 e- + 16 Orthophosphate + 16 ADP + 8 Oxidized ferredoxin
rn:R00004	diphosphate phosphohydrolase; pyrophosphate phosphohydrolase; Diphosphate + H2O <=> 2 Orthophosphate
rn:R00005	urea-1-carboxylate amidohydrolase; Urea-1-carboxylate + H2O <=> 2 CO2 + 2 Ammonia
rn:R00006	pyruvate:pyruvate acetaldehydetransferase (decarboxylating); 2-acetolactate pyruvate-lyase (carboxylating); 2-Acetolactate + CO2 <=> 2 Pyruvate
rn:R00008	4-hydroxy-4-methyl-2-oxoglutarate pyruvate-lyase (pyruvate-forming); Parapyruvate <=> 2 Pyruvate
rn:R00009	hydrogen-peroxide:hydrogen-peroxide oxidoreductase; 2 Hydrogen peroxide <=> Oxygen + 2 H2O
rn:R00010	alpha,alpha-trehalose glucohydrolase; alpha,alpha-Trehalose + H2O <=> 2 D-Glucose
rn:R00011	Mn(II):hydrogen-peroxide oxidoreductase; 2 Manganese(2+) + Hydrogen peroxide + 2 H+ <=> 2 Manganese(3+) + 2 H2O
rn:R00012	GTP:GTP guanylyltransferase; 2 GTP <=> Diphosphate + P1,P4-Bis(5'-guanosyl) tetraphosphate
rn:R00013	glyoxylate carboxy-lyase (dimerizing; tartronate-semialdehyde-forming); 2 Glyoxylate <=> 2-Hydroxy-3-oxopropanoate + CO2
rn:R00014	pyruvate:thiamin diphosphate acetaldehydetransferase (decarboxylating); Pyruvate + Thiamin diphosphate <=> 2-(alpha-Hydroxyethyl)thiamine diphosphate + CO2
rn:R00015	sucrose:sucrose 1'-beta-D-fructosyltransferase; sucrose:sucrose 1F-beta-D-fructosyltransferase; 2 Sucrose <=> D-Glucose + 1F-beta-D-Fructosylsucrose
rn:R00017	ferrocytochrome-c:hydrogen-peroxide oxidoreductase; Hydrogen peroxide + 2 Ferrocytochrome c <=> 2 Ferricytochrome c + 2 H2O
rn:R00018	putrescine:putrescine 4-aminobutyltransferase (ammonia-forming); 2 Putrescine <=> sym-Homospermidine + Ammonia
rn:R00019	hydrogen:ferredoxin oxidoreductase; reduced ferredoxin:H+ oxidoreductase; 2 Reduced ferredoxin + 2 H+ <=> Hydrogen + 2 Oxidized ferredoxin
rn:R00021	L-glutamate:ferredoxin oxidoreductase (transaminating); 2 L-Glutamate + 2 Oxidized ferredoxin <=> L-Glutamine + 2-Oxoglutarate + 2 Reduced ferredoxin + 2 H+
rn:R00022	chitobiose N-acetylglucosaminohydrolase; Chitobiose + H2O <=> 2 N-Acetyl-D-glucosamine
rn:R00023	hydroxylamine:NAD+ oxidoreductase; NADH:hyponitrite oxidoreductase; 2 Hydroxylamine + 2 NAD+ <=> Hyponitrite + 2 NADH + 2 H+
