SCENARIO	REACTION
Entner-Doudoroff Pathway:Gluconate to Glyceraldehyde3P and Pyruvate:2:reactions	R06620
Entner-Doudoroff Pathway:Gluconate to Glyceraldehyde3P and Pyruvate:2:reactions	R01061
Entner-Doudoroff Pathway:Gluconate to Glyceraldehyde3P and Pyruvate:2:reactions	R00658
Entner-Doudoroff Pathway:Gluconate to Glyceraldehyde3P and Pyruvate:2:reactions	R01737
Entner-Doudoroff Pathway:Gluconate to Glyceraldehyde3P and Pyruvate:2:reactions	R01600
Entner-Doudoroff Pathway:Gluconate to Glyceraldehyde3P and Pyruvate:2:reactions	R05605
Entner-Doudoroff Pathway:Gluconate to Glyceraldehyde3P and Pyruvate:2:reactions	R07159
Entner-Doudoroff Pathway:Gluconate to Glyceraldehyde3P and Pyruvate:2:reactions	R01752
Entner-Doudoroff Pathway:Gluconate to Glyceraldehyde3P and Pyruvate:2:reactions	R01786
Entner-Doudoroff Pathway:Gluconate to Glyceraldehyde3P and Pyruvate:2:reactions	R01521
Entner-Doudoroff Pathway:Gluconate to Glyceraldehyde3P and Pyruvate:2:reactions	R01058
Entner-Doudoroff Pathway:Gluconate to Glyceraldehyde3P and Pyruvate:2:reactions	R01520
Entner-Doudoroff Pathway:Gluconate to Glyceraldehyde3P and Pyruvate:2:reactions	R01063
Entner-Doudoroff Pathway:Gluconate to Glyceraldehyde3P and Pyruvate:2:reactions	R02035
Entner-Doudoroff Pathway:Gluconate to Glyceraldehyde3P and Pyruvate:2:reactions	R01541
Entner-Doudoroff Pathway:Gluconate to Glyceraldehyde3P and Pyruvate:2:reactions	R01519
Entner-Doudoroff Pathway:Gluconate to Glyceraldehyde3P and Pyruvate:2:reactions	R01512
Entner-Doudoroff Pathway:Gluconate to Glyceraldehyde3P and Pyruvate:2:reactions	R02036
Entner-Doudoroff Pathway:Gluconate to Glyceraldehyde3P and Pyruvate:2:reactions	R01518
Entner-Doudoroff Pathway:Gluconate to Glyceraldehyde3P and Pyruvate:2:reactions	R01538
Entner-Doudoroff Pathway:Gluconate to Glyceraldehyde3P and Pyruvate:2:reactions	R02736
Entner-Doudoroff Pathway:Gluconate to Glyceraldehyde3P and Pyruvate:2:reactions	R00304
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:79:reactions	R02570
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:79:reactions	R01325
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:79:reactions	R00432
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:79:reactions	R01257
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:79:reactions	R01900
TCA Cycle:AcetylCoA and Oxaloacetate to Oxaloacetate:79:reactions	R00408
