ID	NAMES	EQUATION
13BGH	Endo-1,3-beta-glucan glucohydrase	13BDglcn[0] h2o[0] => glc-D[0]
13BGHe	Exo-1,3-beta-glucan glucohydrase	13BDglcn[0] h2o[0] => glc-D[0]
13GS	1,3-beta-glucan synthase	udpg[0] => h[0] 13BDglcn[0] udp[0]
23CAPPD	ADP-ribose 2,3-cyclic phosphodiesterase	h[0] h2o[0] 23camp[0] => amp2p[0]
2DDA7Ptm	2-Dehydro-3-deoxy-D-arabino-heptonate7-phohsphate mitochondrial transport via diffusion	2dda7p[0] => 2dda7p[1]
2DHPtm	2-Dehydropantoate mitochondrial transport	2dhp[0] => 2dhp[1]
2DOXG6PP	2-deoxyglucose-6-phosphatase	h2o[0] 2doxg6p[0] => 2dglc[0] pi[0]
2HBO	2-Hydroxybutyrate:NAD+ oxidoreductase	2hb[0] nad[0] => h[0] 2obut[0] nadh[0]
2HBt2	2-hydroxybutyrate cotransport with proton	2hb[0] h[0] => h[1] 2hb[1]
2HMHMBQMTm	2-hexaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone methyltransferase, mitochondrial	2hpmhmbq[0] amet[0] => ahcys[0] h[0] q6[0]
2HP6MPMOm	2-Hexaprenyl-6-methoxyphenol monooxygenase, mitochondrial	2hp6mp[0] o2[0] => 2hp6mbq[0] h2o[0]
2HPMBQMTm	2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase, mitochondrial	amet[0] 2hp6mbq[0] => ahcys[0] h[0] 2hpmmbq[0]
2HPMMBQMOm	2-hexaprenyl-3-methyl-6-methoxy-1,4-benzoquinone monooxygenase, mitochondrial	(0.5) o2[0] 2hpmmbq[0] => 2hpmhmbq[0]
2MBALDt	2-Methylbutanal transport (extracellular)	2mbald[0] => 2mbald[1]
2MPPALt	2-methylpropanal transport (extracellular)	2mppal[0] => 2mppal[1]
2OBUTtm	2obut transporter (mitochondrial)	2obut[0] => 2obut[1]
2OXOADPtim	2-oxoadipate transport out of mitochondria via diffusion	2oxoadp[0] => 2oxoadp[1]
2PHETOHt	2-phenylethanol reversible transport	2phetoh[0] => 2phetoh[1]
2PHETOHtm	2-phenylethanol reversible transport, mitochondrial	2phetoh[0] => 2phetoh[1]
34HPLFm	3-(4-hydroxyphenyl-)lactate formation	h[0] 34hpp[0] nadh[0] => 34hpl[0] nad[0]
34HPPOR	4-Hydroxyphenylpyruvate:oxygen oxidoreductase	34hpp[0] o2[0] => co2[0] hgentis[0]
34HPPt2m	3-(4-hydroxyphenyl)pyruvate mitochondrial transport via proton symport	h[0] 34hpp[0] => h[1] 34hpp[1]
34HPPt2p	3-(4-hydroxyphenyl)pyruvate peroxisomal transport via proton symport	h[0] 34hpp[0] => 34hpp[1] h[1]
3C3HMPt	2-Isopropylmalate transport, diffusion	3c3hmp[0] => 3c3hmp[1]
3C3HMPtm	2-Isopropylmalate transport, diffusion, mitochondrial	3c3hmp[0] => 3c3hmp[1]
3C4MOPtm	3-Carboxy-4-methyl-2-oxopentanoate transport, diffusion, mitochondrial	3c4mop[0] => 3c4mop[1]
3DH5HPBMTm	S-adenosyl-L-methionine:3-hexaprenyl-4,5-dihydroxylate O-methyltransferase, mitochondrial	amet[0] 3dh5hpb[0] => ahcys[0] h[0] 3hph5mb[0]
3DH5HPBtm	3-Hexaprenyl-4,5-dihydroxybenzoate transport, mitochondrial	3dh5hpb[0] => 3dh5hpb[1]
3DSPHR	3-Dehydrosphinganine reductase	h[0] 3dsphgn[0] nadph[0] => nadp[0] sphgn[0]
3HAO	3-hydroxyanthranilate 3,4-dioxygenase	o2[0] 3hanthrn[0] => h[0] cmusa[0]
3HBCOAHL	3-hydroxyisobutyryl-CoA hydrolase	h2o[0] 3hibutcoa[0] => h[0] 3hmp[0] coa[0]
3HPH5MBDCm	3-Hexaprenyl-4-hydroxy-5-methoxybenzoate decarboxylase, mitochondrial	3hph5mb[0] => 2hp6mp[0] co2[0]
3MBALDt	3-methylbutanal transport (extracellular)	3mbald[0] => 3mbald[1]
3MBALDtm	3-methylbutanal transport (mitochondrial)	3mbald[0] => 3mbald[1]
3MOBDC	3-Methyl-2-oxobutanoate decarboxylase	h[0] 3mob[0] => 2mppal[0] co2[0]
3MOBtm	3-methyl-2-oxobutanoate transport, diffusion, mitochondrial	3mob[0] => 3mob[1]
3MOPDC	3-Methyl-2-oxopentanoate decarboxylase	h[0] 3mop[0] => 2mbald[0] co2[0]
3MOPt	3mop reversible trasport	3mop[0] => 3mop[1]
3MOPtm	3-Methyl-2-oxopentanoate transport, diffusion, mitochondrial	3mop[0] => 3mop[1]
3OPHB5Hm	3-Hexaprenyl-4,5-dihydroxybenzoate hydroxylase, mitochondrial	(0.5) o2[0] 3ophb_5[0] => 3dh5hpb[0]
3OPHB_5tm	3-Octaprenyl-4-hydroxybenzoate mitochondrial transport	3ophb_5[0] => 3ophb_5[1]
3SALACLHTF	3-Sulfino-L-alanine carboxy-lyase hypotaurine forming	h[0] 3sala[0] => co2[0] hyptaur[0]
3SALACLTF	3-Sulfo-L-alanine carboxy-lyase taurine-forming 	h[0] Lcyst[0] => co2[0] taur[0]
3SALADH	cysteinesulfinic acid dehydrogenase	h2o[0] nad[0] 3sala[0] => nadh[0] Lcyst[0]
4ABUTNtm	4-aminobutanal mitochondrial transport via diffusion	4abutn[0] => 4abutn[1]
4ABUTtm	4-aminobutanoate mitochondrial transport via diffusion	4abut[0] => 4abut[1]
4ABZt	4-Aminobenzoate mitochondrial transport via diffusion	4abz[0] => 4abz[1]
4ABZtm	4-Aminobenzoate mitochondrial transport via diffusion	4abz[0] => 4abz[1]
4H2OGLTtm	4-hydroxy-2-oxoglutarate mitochondrial transport via diffusion	4h2oglt[0] => 4h2oglt[1]
4H2OGLTtp	4-hydroxy-2-oxoglutarate peroxisomal transport via diffusion	4h2oglt[0] => 4h2oglt[1]
4HBZCOAFm	4-hydroxybenzoyl-CoA formation	h2o[0] nad[0] coa[0] coucoa[0] => h[0] nadh[0] 4hbzcoa[0] accoa[0]
4HBZFm	4-hydroxybenzoate formation	h2o[0] 4hbzcoa[0] => h[0] coa[0] 4hbz[0]
4HBZtm	4-Hydroxybenzoate mitochondrial transport	4hbz[0] => 4hbz[1]
4HDBHPT	4-hydroxybenzoate hexaprenyltransferase	4hbz[0] hexdp[0] => 3ophb_5[0] ppi[0]
4HGLSDm	L-4-hydroxyglutamate semialdehyde dehydrogenase, mitochondrial	h2o[0] nad[0] 4hglusa[0] => (2) h[0] nadh[0] e4hglu[0]
4HPRO-LTtm	trans-4-hydroxy-L-proline mitochondrial transport via diffusion	4hpro-LT[0] => 4hpro-LT[1]
4HTHRS	4-Hydroxy-L-threonine synthase	h2o[0] phthr[0] => pi[0] 4hthr[0]
4MOPDC	4-Methyl-2-oxopentanoate decarboxylase	h[0] 4mop[0] => co2[0] 3mbald[0]
