ID	Name	Reversible	Reactants	Products	E.C.	Pathway
R_D_DASH_LACDcm	D-lactate dehydrogenase, cytosolic/mitochondrial	false	M_ficytc_m[2];M_lac_DASH_D_c[1];	M_focytc_m[2];M_pyr_c[1];M_h_c[2];			
R_13BGH	Endo-1,3-beta-glucan glucohydrase	false	M_13BDglcn_c[1];M_h2o_c[1];	M_glc_DASH_D_c[1];			
R_13BGHe	Exo-1,3-beta-glucan glucohydrase	false	M_13BDglcn_e[1];M_h2o_e[1];	M_glc_DASH_D_e[1];			
R_13GS	1,3-beta-glucan synthase	false	M_udpg_c[1];	M_h_c[1];M_13BDglcn_c[1];M_udp_c[1];			
R_23CAPPD	ADP-ribose 2,3-cyclic phosphodiesterase	false	M_h_c[1];M_h2o_c[1];M_23camp_c[1];	M_amp2p_c[1];			
R_2DDA7Ptm	2-Dehydro-3-deoxy-D-arabino-heptonate7-phohsphate mitochondrial transport via diffusion	true	M_2dda7p_c[1];	M_2dda7p_m[1];			
R_2DHPtm	2-Dehydropantoate mitochondrial transport	true	M_2dhp_c[1];	M_2dhp_m[1];			
R_2DOXG6PP	2-deoxyglucose-6-phosphatase	false	M_h2o_c[1];M_2doxg6p_c[1];	M_2dglc_c[1];M_pi_c[1];			
R_2HBO	2-Hydroxybutyrate:NAD+ oxidoreductase	true	M_2hb_c[1];M_nad_c[1];	M_h_c[1];M_2obut_c[1];M_nadh_c[1];			
R_2HBt2	2-hydroxybutyrate cotransport with proton	true	M_2hb_e[1];M_h_e[1];	M_h_c[1];M_2hb_c[1];			
R_2HMHMBQMTm	2-hexaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone methyltransferase, mitochondrial	false	M_2hpmhmbq_m[1];M_amet_m[1];	M_ahcys_m[1];M_h_m[1];M_q6_m[1];			
R_2HP6MPMOm	2-Hexaprenyl-6-methoxyphenol monooxygenase, mitochondrial	false	M_2hp6mp_m[1];M_o2_m[1];	M_2hp6mbq_m[1];M_h2o_m[1];			
R_2HPMBQMTm	2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase, mitochondrial	false	M_amet_m[1];M_2hp6mbq_m[1];	M_ahcys_m[1];M_h_m[1];M_2hpmmbq_m[1];			
R_2HPMMBQMOm	2-hexaprenyl-3-methyl-6-methoxy-1,4-benzoquinone monooxygenase, mitochondrial	false	M_o2_m[0.5];M_2hpmmbq_m[1];	M_2hpmhmbq_m[1];			
R_2MBALDt	2-Methylbutanal transport (extracellular)	true	M_2mbald_c[1];	M_2mbald_e[1];			
R_2MPPALt	2-methylpropanal transport (extracellular)	true	M_2mppal_c[1];	M_2mppal_e[1];			
R_2OBUTtm	2obut transporter (mitochondrial)	true	M_2obut_c[1];	M_2obut_m[1];			
R_2OXOADPtim	2-oxoadipate transport out of mitochondria via diffusion	false	M_2oxoadp_m[1];	M_2oxoadp_c[1];			
R_2PHETOHt	2-phenylethanol reversible transport	true	M_2phetoh_e[1];	M_2phetoh_c[1];			
R_2PHETOHtm	2-phenylethanol reversible transport, mitochondrial	true	M_2phetoh_m[1];	M_2phetoh_c[1];			
R_34HPLFm	3-(4-hydroxyphenyl-)lactate formation	false	M_h_m[1];M_34hpp_m[1];M_nadh_m[1];	M_34hpl_m[1];M_nad_m[1];			
R_34HPPOR	4-Hydroxyphenylpyruvate:oxygen oxidoreductase	false	M_34hpp_c[1];M_o2_c[1];	M_co2_c[1];M_hgentis_c[1];			
R_34HPPt2m	3-(4-hydroxyphenyl)pyruvate mitochondrial transport via proton symport	true	M_h_c[1];M_34hpp_c[1];	M_h_m[1];M_34hpp_m[1];			
R_34HPPt2p	3-(4-hydroxyphenyl)pyruvate peroxisomal transport via proton symport	true	M_h_c[1];M_34hpp_c[1];	M_34hpp_x[1];M_h_x[1];			
R_3C3HMPt	2-Isopropylmalate transport, diffusion	true	M_3c3hmp_c[1];	M_3c3hmp_e[1];			
R_3C3HMPtm	2-Isopropylmalate transport, diffusion, mitochondrial	true	M_3c3hmp_c[1];	M_3c3hmp_m[1];			
R_3C4MOPtm	3-Carboxy-4-methyl-2-oxopentanoate transport, diffusion, mitochondrial	true	M_3c4mop_c[1];	M_3c4mop_m[1];			
R_3DH5HPBMTm	S-adenosyl-L-methionine:3-hexaprenyl-4,5-dihydroxylate O-methyltransferase, mitochondrial	false	M_amet_m[1];M_3dh5hpb_m[1];	M_ahcys_m[1];M_h_m[1];M_3hph5mb_m[1];			
R_3DH5HPBtm	3-Hexaprenyl-4,5-dihydroxybenzoate transport, mitochondrial	true	M_3dh5hpb_c[1];	M_3dh5hpb_m[1];			
R_3DSPHR	3-Dehydrosphinganine reductase	false	M_h_c[1];M_3dsphgn_c[1];M_nadph_c[1];	M_nadp_c[1];M_sphgn_c[1];			
R_3HAO	3-hydroxyanthranilate 3,4-dioxygenase	false	M_o2_c[1];M_3hanthrn_c[1];	M_h_c[1];M_cmusa_c[1];			
R_3HBCOAHL	3-hydroxyisobutyryl-CoA hydrolase	false	M_h2o_c[1];M_3hibutcoa_c[1];	M_h_c[1];M_3hmp_c[1];M_coa_c[1];			
R_3HPH5MBDCm	3-Hexaprenyl-4-hydroxy-5-methoxybenzoate decarboxylase, mitochondrial	false	M_3hph5mb_m[1];	M_2hp6mp_m[1];M_co2_m[1];			
R_3MBALDt	3-methylbutanal transport (extracellular)	true	M_3mbald_c[1];	M_3mbald_e[1];			
R_3MBALDtm	3-methylbutanal transport (mitochondrial)	true	M_3mbald_c[1];	M_3mbald_m[1];			
R_3MOBDC	3-Methyl-2-oxobutanoate decarboxylase	false	M_h_c[1];M_3mob_c[1];	M_2mppal_c[1];M_co2_c[1];			
