complex_id	complex_name	complex_source	complex_type	role_id	role_name	role_type	role_source	role_aliases	role_exemplar	type	triggering	optional
cpx.0	cpx.0	ModelSEED	SEED_role_complex	fr.1530	L-aminoadipate-semialdehyde dehydrogenase large subunit (EC 1.2.1.31)	SEED_role	SEED	searchname:l-aminoadipate-semialdehydedehydrogenaselargesubunit(ec)	null	role_mapping	1	0
cpx.1	cpx.1	ModelSEED	SEED_role_complex	fr.1531	L-aminoadipate-semialdehyde dehydrogenase small subunit (EC 1.2.1.31)	SEED_role	SEED	searchname:l-aminoadipate-semialdehydedehydrogenasesmallsubunit(ec)	null	role_mapping	1	0
cpx.2	cpx.2	ModelSEED	SEED_role_complex	fr.9847	Asp-X dipeptidase	SEED_role	SEED	searchname:asp-xdipeptidase	null	role_mapping	1	0
cpx.3	cpx.3	ModelSEED	SEED_role_complex	fr.9836	Peptidase B (EC 3.4.11.23)	SEED_role	SEED	searchname:peptidaseb(ec)	null	role_mapping	1	0
cpx.4	cpx.4	ModelSEED	SEED_role_complex	fr.11175	Isoaspartyl aminopeptidase (EC 3.4.19.5)	SEED_role	SEED	searchname:isoaspartylaminopeptidase(ec)	null	role_mapping	1	0
cpx.5	cpx.5	ModelSEED	SEED_role_complex	fr.5093	Aminoacyl-histidine dipeptidase (Peptidase D) (EC 3.4.13.3)	SEED_role	SEED	searchname:aminoacyl-histidinedipeptidase(peptidased)(ec)	null	role_mapping	1	0
cpx.6	cpx.6	ModelSEED	SEED_role_complex	fr.6570	Membrane alanine aminopeptidase N (EC 3.4.11.2)	SEED_role	SEED	searchname:membranealanineaminopeptidasen(ec)	null	role_mapping	1	0
cpx.7	cpx.7	ModelSEED	SEED_role_complex	fr.9842	Aminopeptidase YpdF (MP-, MA-, MS-, AP-, NP- specific)	SEED_role	SEED	searchname:aminopeptidaseypdf(mp-,ma-,ms-,ap-,np-specific)	null	role_mapping	1	0
cpx.8	cpx.8	ModelSEED	SEED_role_complex	fr.5119	Cytosol aminopeptidase PepA (EC 3.4.11.1)	SEED_role	SEED	searchname:cytosolaminopeptidasepepa(ec)	null	role_mapping	1	0
cpx.9	cpx.9	ModelSEED	SEED_role_complex	fr.5559	Methionine aminopeptidase (EC 3.4.11.18)	SEED_role	SEED	searchname:methionineaminopeptidase(ec)	null	role_mapping	1	0
cpx.10	cpx.10	ModelSEED	SEED_role_complex	fr.4947	Glucose-1-phosphate thymidylyltransferase (EC 2.7.7.24)	SEED_role	SEED	searchname:glucose-1-phosphatethymidylyltransferase(ec)	null	role_mapping	1	0
cpx.11	cpx.11	ModelSEED	SEED_role_complex	fr.7744	L-idonate 5-dehydrogenase (EC 1.1.1.264)	SEED_role	SEED	searchname:l-idonate5-dehydrogenase(ec)	null	role_mapping	1	0
cpx.12	cpx.12	ModelSEED	SEED_role_complex	fr.3143	Butyryl-CoA dehydrogenase (EC 1.3.99.2)	SEED_role	SEED	searchname:butyryl-coadehydrogenase(ec)	null	role_mapping	1	0
